SOS_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOS10,4561,7024,5730,3133,9722,8744,1448,2684,9017,52059,141852,205761,174673,103778,271132,232358,52323,93677,18662,1294204,581,1393,1148,679,1576,1620,462,1066,115,8644,629,332,400,227,2118,3005,1094,2731,82,10626,10326,12340,10674,6814,39490,35486,10750,16452,1043,143382,1192,1020,960,780,6383,6945,1811,3620,154,22867,41927,22575,16610,9265,28425,54411,11345,28528,3466,216556,4404,6353,5842,3804,22370,23047,5661,10308,418,82216,36212,50329,35411,17142,40670,32375,7853,14349,2558,236902,39731,51260,21513,7930,13173,9910,2505,5738,2016,153784,12469,12841,13390,6820,27429,29987,8715,18051,1850,131552,3359,3876,3391,2356,14792,18657,4275,9632,388,60725,5772,6662,9533,8276,45773,57452,13217,30002,1015,177704,2974,5860,4493,2626,10488,12648,3223,7072,380,49763,10136,24275,22449,14132,57879,88290,19174,43297,1637,281263,10674,15647,12004,5594,16703,15448,3039,5588,953,85649,9987,7536,10657,5575,55236,36371,12187,14762,1107,153405,17750,40316,27048,18246,47927,39279,11730,26836,1454,230589,26151,56103,60133,41921,80023,70178,12982,25960,3148,376598,10605,6127,3915,2137,6099,6047,1252,2715,349,39256
SOS11,672,1868,1171,757,1528,1119,210,468,2220,10021,22499,65955,55930,36788,68145,45726,12422,21252,5280,334002,601,1952,1749,1232,3193,3409,1044,3221,312,16722,1009,345,585,236,2007,3629,2231,7080,231,17360,1422,3222,2541,2287,10871,11018,3788,5580,364,41100,359,317,331,376,2592,2600,749,1341,68,8735,2788,4757,4219,3589,11593,18618,4971,11005,896,62430,440,1080,877,725,3157,3690,1264,2461,103,13792,4053,18016,11631,6477,13012,8304,2699,4274,730,69190,5439,20638,8620,3972,6698,4458,1360,3514,799,55496,1382,2831,2639,1560,4253,4595,1731,5715,346,25055,307,672,526,316,1384,1006,299,594,36,5129,556,764,1229,887,3067,2516,662,1258,62,10995,332,936,765,595,2235,1729,556,1243,68,8459,1001,3809,3474,2473,6273,6216,1729,3853,187,29011,1456,5964,3589,1979,4169,3166,783,1767,318,23185,3203,2529,3447,2160,18056,10834,3622,4223,398,48471,3132,9368,8314,6756,12499,9914,4072,7974,399,62421,6635,15320,19969,16331,24299,18427,3928,6839,1070,112806,742,1950,1131,553,1430,1110,278,649,90,7944
SOS12,76,227,139,85,162,117,20,44,202,1073,2156,6550,5370,3369,5480,3977,1059,2140,514,30608,100,331,250,172,355,526,191,599,52,2570,87,35,31,27,157,258,116,482,16,1201,125,303,238,188,804,945,302,497,45,3448,42,47,37,47,216,251,65,139,11,855,368,640,603,470,1141,1941,471,1209,104,6942,53,117,94,74,290,346,93,210,20,1284,326,1498,958,563,1028,681,214,424,47,5730,506,1877,737,321,445,391,123,412,75,4885,170,344,324,147,369,481,162,668,61,2722,21,56,45,27,90,107,25,55,4,435,45,91,137,83,218,221,54,140,3,990,37,86,54,36,174,144,43,114,9,703,115,426,392,272,500,542,141,390,12,2791,171,585,340,178,323,295,68,173,35,2158,346,270,360,218,1686,958,306,348,44,4530,332,943,890,673,1075,922,330,799,62,6028,604,1421,1765,1307,1744,1416,284,543,92,9180,79,212,129,52,151,133,24,85,14,881
SOS13,380,944,627,352,626,587,102,358,1070,5051,8951,25942,21811,13227,20437,18094,4741,12512,2670,128384,1090,4546,4099,2852,3719,8100,2745,18485,1030,46668,412,157,236,115,641,1287,733,2487,109,6178,642,1370,1061,887,2784,3233,1054,2391,181,13597,140,169,174,126,788,890,242,555,26,3110,2144,3099,2348,1715,4073,7877,1879,5689,514,29352,220,607,497,345,1137,1426,490,1340,55,6121,1444,5260,3172,1606,2951,2317,739,1718,253,19466,1570,5143,1915,818,1080,1019,270,1016,229,13057,617,1308,1190,589,1292,1768,609,2555,223,10146,113,241,181,99,334,371,83,308,17,1743,181,349,477,304,785,896,252,636,31,3916,171,517,419,270,675,728,211,656,47,3694,522,1969,1840,1205,2038,2674,779,2200,125,13344,486,1780,1020,599,983,1030,256,600,125,6880,1169,897,1139,791,5415,3796,1199,1789,162,16357,1352,3907,3474,2503,3902,3484,1213,3003,217,23058,2031,4887,5915,4199,5057,4715,1006,2147,334,30293,400,793,454,278,623,514,120,410,45,3634
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,11,9,3,4,3,6,0,15,54,136,241,168,98,172,161,35,102,20,1128,3,25,8,9,14,23,3,33,8,130,3,6,4,0,5,7,0,19,0,41,9,13,19,7,42,27,10,7,4,135,7,0,4,0,3,3,4,0,0,23,42,27,11,23,33,55,14,38,3,246,4,0,9,5,12,11,5,6,0,57,27,41,40,25,33,21,3,9,6,196,33,86,50,17,19,21,4,8,5,235,16,27,17,8,23,17,8,21,0,134,0,7,0,6,10,13,0,9,0,40,0,7,8,0,20,23,5,8,0,78,4,4,3,0,0,6,0,0,0,20,13,28,14,17,34,35,7,29,3,187,19,29,18,6,15,7,5,16,0,113,18,16,11,5,31,31,8,31,5,150,19,28,21,14,17,20,5,18,0,137,31,38,45,29,47,49,6,32,7,287,16,15,9,5,12,10,5,5,0,76
SOS20,2118,6881,5670,3290,9104,6991,1146,2155,8105,45454,74342,219988,188192,121929,246877,196941,47223,77318,16501,1189306,519,1852,1584,1146,3146,2815,788,1569,159,13578,354,226,211,171,527,1249,510,1870,59,5173,4302,13017,11806,8792,50936,45893,13227,20376,1107,169450,787,961,1272,1249,7589,8079,2118,3610,171,25841,6073,14967,15878,12405,40007,72876,18160,37237,3028,220638,2059,5097,5431,4031,20679,20600,5675,8914,356,72848,14923,62005,37797,18545,43281,32495,8664,14518,2143,234370,15857,59783,26991,9944,16921,12032,3228,7318,1875,153946,5335,10973,13365,7298,24217,28389,8382,15642,1651,115253,1988,3789,3143,2250,11579,12511,2955,5585,275,44063,3995,4618,7113,5821,27812,41427,8157,16297,669,115910,1391,3635,3625,2365,9478,9772,2586,5614,291,38759,6295,19674,19196,14032,51296,73661,16240,34503,1217,236106,4064,15647,14173,6461,16903,13408,2963,5378,889,79887,7323,8464,10182,8539,41426,35322,9554,13289,882,134981,10076,38918,28888,19231,46576,35149,13390,25579,1293,219093,18431,50510,60688,52457,70077,56780,12419,21977,2666,345994,6262,10124,5172,3158,7189,6982,1588,3426,352,44245
SOS21,416,1189,820,480,1005,773,140,262,1470,6552,15397,44529,37243,25769,41239,28634,7299,11845,3627,215583,566,1574,1435,1021,2660,2862,856,2251,318,13555,228,69,67,69,240,406,193,881,21,2175,1282,2728,2031,1724,8891,9434,3538,4196,328,34147,304,251,309,305,1817,2079,592,1033,55,6744,1511,3036,2686,2533,8551,16704,4266,8620,755,48661,362,843,681,580,2680,2861,952,1471,85,10512,2720,12348,7122,3969,8139,5639,1606,2447,532,44526,3221,12005,4327,1809,3139,2153,539,1802,453,29448,1192,1842,2036,1263,3942,4856,1760,4482,347,21725,242,478,364,263,1087,832,224,390,37,3908,444,510,826,628,2370,2411,532,964,54,8742,226,535,484,382,1320,1044,315,716,42,5055,640,2363,2265,1618,4077,4622,1125,2487,125,19331,799,3432,1983,1172,2621,1837,434,801,207,13277,1944,2100,2342,1818,8022,8109,1918,2541,256,29043,2003,5755,5529,4210,8531,5339,2457,4576,302,38703,4619,10058,13204,11860,12995,10033,2101,3524,653,69055,769,1380,733,494,1147,883,180,406,67,6063
SOS22,67,120,70,43,96,56,13,29,157,651,1569,4477,3505,2366,3237,2449,650,1182,423,19858,111,306,255,153,352,491,178,519,45,2410,29,15,10,16,24,59,38,117,5,303,136,254,210,162,679,738,278,393,36,2882,29,31,34,28,116,206,55,118,12,622,195,368,319,279,786,1545,389,812,96,4788,36,93,81,53,198,262,75,135,20,944,261,994,586,345,590,435,134,257,55,3654,359,1090,390,197,270,246,78,268,57,2953,94,214,225,134,262,410,118,441,35,1934,19,45,32,11,64,52,27,36,0,292,35,61,88,44,154,163,30,92,4,673,22,54,55,37,92,87,28,58,3,436,81,292,245,188,293,347,100,226,19,1797,87,391,203,99,182,140,47,100,29,1271,224,217,230,189,689,682,141,206,22,2588,216,656,543,407,702,523,229,441,34,3748,457,979,1147,1023,876,797,140,278,73,5758,92,143,110,57,166,108,24,54,11,772
SOS23,289,690,487,274,442,454,72,226,891,3824,6831,21726,17466,11048,14075,13340,3335,8626,2310,98750,1029,4158,3430,2483,3200,6262,2044,14081,911,37598,154,80,74,51,147,327,163,672,43,1708,607,1513,1051,778,2919,3589,1253,2333,190,14225,140,154,153,134,659,797,229,480,40,2782,910,1922,1564,1331,3529,7383,1830,4796,444,23712,180,501,405,311,891,1277,431,926,73,4994,926,4391,2402,1273,2082,1815,506,1164,243,14790,1286,4079,1309,541,724,720,171,738,193,9757,522,931,852,500,1101,1598,568,1969,200,8232,85,214,157,78,281,282,85,187,18,1388,152,288,367,234,565,682,196,463,31,2984,94,245,220,131,368,476,97,339,38,2005,353,1440,1281,865,1427,2014,622,1508,97,9604,355,1284,724,453,695,657,174,427,94,4872,809,850,1011,766,2692,3125,726,1260,118,11351,853,2786,2481,1548,2749,2050,892,1942,157,15461,1942,4275,5165,4103,3594,3347,745,1406,303,24882,352,671,420,308,585,491,130,460,55,3468
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,8,3,9,5,7,3,0,0,7,44,85,190,111,71,129,98,29,43,16,771,6,8,12,7,8,20,6,15,0,76,0,0,0,0,0,5,0,7,0,6,3,8,5,9,37,23,13,18,4,120,0,5,5,0,7,4,0,3,0,22,5,13,25,8,33,60,14,21,8,190,0,5,4,0,15,10,6,9,0,39,16,36,16,8,20,21,4,5,7,126,28,70,32,16,18,10,3,12,0,202,14,25,8,4,19,21,7,11,0,108,0,4,0,0,5,7,0,4,0,25,5,0,0,0,17,22,5,8,0,53,0,5,0,0,0,3,0,4,0,23,6,10,13,9,22,23,4,11,5,99,9,20,10,0,13,10,0,8,4,74,3,7,10,6,25,36,15,18,3,115,4,27,12,9,17,13,0,3,0,97,24,36,40,34,32,28,6,6,3,205,0,20,7,0,10,8,4,0,0,46
SOS30,1902,4697,3791,2238,5736,4242,761,1620,5582,30564,83005,150187,132213,89502,192703,130606,32885,57766,12242,881114,474,1340,1340,1002,1998,1950,583,1692,139,10519,2089,563,539,404,2068,4135,1694,8879,219,20586,3508,6752,5947,4704,28636,25309,8759,14125,739,98477,880,611,738,793,4416,6398,1668,3277,80,18868,5676,10712,10096,8765,26323,46606,14730,35201,1950,160051,1662,2873,2737,2130,11863,11674,3492,6078,249,42760,16564,39142,25933,14147,32017,20968,6294,10367,1533,166968,21573,45969,19111,8353,14688,9733,3132,6904,1624,131083,5388,7707,8916,5261,18226,17852,6275,14514,1045,85176,1383,1883,1590,1046,5157,4635,1188,3000,131,20017,2115,2534,3989,3169,16506,14366,3696,7537,272,54184,1472,3538,3057,2227,7810,7811,2249,5839,243,34252,4703,12353,11792,8716,30121,39239,9783,21899,620,139224,4580,12326,9341,4982,13309,9416,2204,4716,661,61537,7638,5101,7229,5138,37990,29516,8419,11477,901,113414,12452,25230,23670,14929,32254,24480,8132,17498,875,159519,20799,36512,44598,41199,67103,44212,9755,18943,2326,285445,6658,5791,3469,2037,5292,4282,975,2146,332,30982
SOS31,349,1096,764,501,1064,727,172,408,1554,6633,12595,34477,31245,22156,40877,26732,8005,16087,3575,195748,442,1198,1184,1030,2532,2605,931,3010,303,13230,2142,523,592,270,1666,3212,3033,12476,419,24339,936,1614,1300,1152,6467,6315,3106,4938,243,26079,335,268,223,276,1475,1808,551,1289,61,6283,1308,2256,2085,1843,5846,8669,3494,9261,493,35252,333,601,538,409,2374,2329,929,1829,87,9414,2061,9720,6450,3882,7845,4858,1617,2777,479,39687,2013,9956,4957,2529,4269,2639,897,2587,474,30320,1069,1559,1612,1040,3254,3600,1368,4995,286,18788,103,238,208,123,579,368,122,302,9,2062,264,340,557,413,1477,1096,330,585,24,5093,234,504,428,353,1315,949,382,1147,48,5367,524,1625,1531,1147,3104,2961,935,2288,75,14181,674,2862,1868,1077,2341,1609,579,1842,210,13064,1614,1353,1323,1096,7579,5263,1613,2318,245,22408,1936,4741,5991,4173,6317,5235,2088,4282,256,35009,4051,7143,9395,8925,14193,9418,2026,4056,655,59866,383,963,479,298,544,462,105,287,44,3564
SOS32,74,181,133,78,138,100,31,77,291,1107,1948,4929,4316,2980,5007,3565,948,2467,645,26810,104,297,224,198,452,529,223,809,83,2909,283,70,69,34,131,278,180,1328,48,2427,143,230,209,166,739,848,351,594,55,3319,51,43,41,21,150,238,69,159,15,791,225,402,360,300,803,1334,439,1424,95,5377,38,105,72,48,235,254,93,201,5,1044,310,1218,749,500,887,596,202,449,87,5000,334,1145,548,296,404,334,105,544,70,3788,158,240,303,185,449,476,160,769,47,2792,21,39,40,23,53,52,10,34,0,275,36,39,63,52,178,137,36,73,0,611,39,81,59,42,148,108,36,132,6,643,71,260,252,171,349,388,93,302,15,1906,125,455,254,160,275,195,60,190,31,1746,335,347,263,233,1561,1028,253,528,77,4620,267,735,910,650,794,691,282,639,56,5033,582,1002,1257,1071,1490,1153,201,563,91,7412,73,138,83,50,120,93,14,65,20,650
SOS33,280,700,482,323,546,476,67,351,929,4151,6839,18339,15593,10316,15648,13160,3639,11499,2187,97228,775,3127,2415,1923,2885,5521,1872,16093,851,35461,812,224,238,111,510,926,613,4434,174,8044,480,922,738,616,2532,2913,1228,2674,162,12265,176,142,106,112,628,799,253,592,36,2838,904,1723,1468,1247,2872,5024,1697,5886,409,21233,171,454,322,219,908,1047,359,948,46,4468,962,3854,2282,1342,2370,1691,578,1340,181,14597,1104,3622,1387,702,926,872,277,1151,195,10235,523,888,882,448,1201,1625,563,2612,178,8929,59,127,104,61,195,205,57,170,15,994,154,214,289,186,585,546,157,355,20,2504,108,350,266,200,458,475,167,578,26,2620,397,1135,1025,729,1513,1733,496,1524,91,8636,429,1190,773,438,794,671,244,763,89,5381,782,585,700,554,3155,2241,629,1054,109,9792,1087,2900,3019,1857,2374,2072,816,2018,164,16309,1809,3277,3972,3397,4260,3220,678,1552,280,22447,322,499,279,188,322,316,75,278,25,2302
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,9,14,8,10,3,4,0,8,19,74,205,277,235,144,243,190,39,129,44,1512,6,18,25,20,63,56,32,74,3,300,14,3,0,0,11,9,3,35,0,89,11,18,14,8,40,40,8,14,0,147,0,0,7,0,4,8,3,14,3,44,25,30,23,21,44,68,26,72,15,319,4,3,3,0,10,11,5,11,0,48,31,46,30,22,35,25,5,12,6,216,62,107,83,41,58,24,7,33,7,434,22,10,17,14,41,20,6,50,0,181,3,6,0,4,7,7,0,7,0,37,5,3,6,6,8,9,7,0,0,41,4,5,5,7,12,8,5,5,0,43,15,39,22,5,17,48,12,10,0,171,16,40,27,16,34,24,3,22,11,194,27,11,16,12,38,16,5,8,3,134,30,32,19,16,21,18,4,4,5,149,48,47,59,33,57,69,7,21,3,340,6,12,13,4,7,0,0,3,3,54
SOS40,305,1246,1023,617,1496,815,165,325,1357,7347,14847,56670,52313,34834,67354,36159,10843,16052,3265,292332,165,698,672,514,1159,922,355,711,72,5270,596,150,182,125,639,858,468,2285,55,5366,1030,3070,2933,2234,13095,9468,3388,4358,281,39865,246,323,346,373,2336,2365,699,1155,50,7886,1487,3491,3707,3031,9796,14564,4301,8194,538,49123,356,1076,1121,869,4475,3545,1174,1647,59,14329,2290,16989,10293,5170,11510,6566,2168,2963,478,58433,1994,15696,7564,3026,4736,3142,1295,2192,414,40060,1204,2450,3002,1679,5402,5284,1969,3904,304,25187,218,708,619,437,2172,1738,430,800,45,7161,692,1015,1700,1473,6852,4390,1306,2055,80,19570,250,833,805,524,2075,1585,539,1098,46,7762,1068,4121,4258,3089,10842,11089,2921,5468,185,43046,868,5024,4386,2313,5455,2868,803,1359,220,23294,2215,1892,3086,3020,15290,10604,3030,3375,260,42771,2360,9074,8140,5231,11379,8070,3492,5848,261,53842,5633,14325,19278,16771,26036,11740,3509,6196,764,104256,537,2714,1290,771,1599,1161,342,600,59,9075
SOS41,121,319,236,124,293,157,40,76,421,1779,4026,14858,13243,8802,14040,8439,2728,4497,1083,71715,347,823,626,456,1319,1434,482,1175,117,6780,465,100,96,49,279,489,340,1941,53,3810,484,980,875,775,3577,3523,1597,1613,132,13558,68,89,95,93,487,508,159,311,21,1832,446,908,909,768,2311,3499,1077,2486,186,12607,103,260,227,183,813,855,306,488,25,3265,671,4341,2807,1536,2773,1836,644,967,190,15774,558,4161,1758,850,1107,810,328,700,190,10467,304,556,590,356,854,1007,443,1313,89,5512,35,141,104,73,291,213,49,106,5,1019,111,187,266,229,651,497,157,318,9,2429,72,190,157,122,449,229,115,231,8,1583,172,738,690,446,1210,1239,389,760,32,5678,238,1443,865,482,1054,747,194,374,76,5465,534,449,580,640,2809,2241,558,755,54,8626,597,1789,2260,1394,2261,1824,956,1594,82,12748,1374,3335,4368,3664,4938,2579,727,1246,227,22456,90,444,241,142,270,209,78,114,8,1594
SOS42,26,61,41,23,48,24,3,17,73,327,635,2285,1922,1281,1662,1106,360,768,196,10214,117,277,195,170,319,445,177,501,41,2242,74,17,18,9,23,51,31,235,4,458,71,126,128,100,405,380,148,188,15,1569,17,15,15,15,64,76,21,56,4,279,87,151,135,131,369,553,166,379,15,1990,20,43,34,29,106,150,65,108,5,567,75,507,349,188,295,217,71,170,34,1909,85,527,272,100,124,85,51,180,27,1444,59,121,120,60,114,180,59,264,26,999,4,16,10,10,18,15,3,10,3,94,16,35,41,26,54,36,16,21,0,259,5,20,13,13,39,25,3,27,4,156,19,90,83,68,100,113,37,80,3,603,38,248,161,108,127,75,23,60,13,842,73,82,98,75,375,290,75,94,15,1164,109,319,343,229,302,241,110,257,24,1944,188,474,514,474,549,302,74,150,41,2760,11,57,57,24,42,23,10,15,10,250
SOS43,73,217,140,74,118,89,22,86,256,1062,1817,7371,6280,3951,4895,4141,1154,2886,749,33245,511,1770,1494,1151,1530,3413,1170,5933,329,17310,156,48,39,20,82,141,102,692,27,1307,178,602,440,326,1174,1363,471,812,53,5413,35,42,47,39,157,240,70,166,12,817,221,504,461,376,929,1506,474,1292,91,5857,61,156,121,106,303,364,139,328,22,1606,209,1417,862,469,789,557,215,412,86,5011,213,1393,524,252,282,264,99,351,84,3455,160,309,324,175,313,467,178,753,46,2725,7,55,53,16,65,61,16,34,6,312,28,84,133,77,183,161,57,124,8,853,26,89,68,41,109,97,37,110,12,595,89,408,350,265,488,505,150,369,42,2671,86,521,337,159,301,276,87,183,31,1975,200,192,274,261,946,868,190,276,35,3237,266,997,1029,602,830,671,281,630,63,5370,550,1276,1599,1252,1337,850,269,434,120,7680,43,216,102,80,105,107,38,106,14,809
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,3,0,0,0,0,0,0,6,11,42,68,37,32,56,32,10,24,10,311,0,0,0,8,3,4,4,3,0,30,7,3,0,4,0,0,0,6,0,19,6,3,0,5,13,6,0,7,0,37,0,0,0,0,0,4,0,4,0,11,4,9,0,4,13,12,0,23,3,69,0,0,0,5,4,0,0,0,0,8,4,16,9,0,13,3,4,5,0,54,3,27,9,7,6,3,3,6,4,62,7,7,4,9,3,9,0,13,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,11,0,0,0,0,0,0,0,4,0,12,0,9,5,0,10,13,6,4,0,46,6,15,16,6,12,0,0,7,0,62,7,0,3,0,12,0,0,0,0,36,8,4,5,8,4,6,0,9,0,28,9,16,16,14,20,15,3,3,3,99,0,0,3,0,0,0,0,0,0,7
