SOS_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOS10,56,96,102,250,287,191,476,727,5147,61,5935,26,124,38,193,70,51,123,319,1027,10,1362,29,337,138,509,155,157,313,822,2137,19,2975,62,627,228,915,215,246,461,1378,3547,27,4956,114,1067,409,1586,269,328,601,2185,6358,48,8589,352,2484,814,3648,450,551,1000,4654,8862,43,13556,985,3936,1309,6233,413,408,822,7051,9016,62,16132,2496,4726,1340,8557,351,318,671,9229,11898,106,21232,4896,5298,1458,11661,294,260,558,12214,10977,80,23270,6016,4857,1400,12274,293,266,560,12835,9115,64,22011,6248,3416,972,10631,210,133,343,10979,6151,51,17178,6196,2713,848,9755,166,124,287,10044,5003,45,15087,13204,4369,1552,19129,247,143,396,19523,7366,42,26924,5587,2057,769,8411,118,82,198,8616,4112,20,12739,5221,1366,471,7048,85,45,129,7176,1943,17,9138,2121,614,213,2947,36,18,58,3009,1097,5,4108,8035,1557,475,10069,120,45,171,10239,2414,34,12685,4686,2254,1038,7977,239,161,402,8375,4977,564,13919,206,164
SOS11,27,40,30,97,62,43,105,194,769,25,991,7,52,11,75,23,22,44,116,262,0,377,22,170,25,220,72,74,146,365,592,10,967,19,345,72,441,141,134,273,719,1166,14,1897,54,668,111,835,167,223,391,1226,2499,30,3753,243,1834,302,2378,245,318,564,2940,3731,27,6697,717,2622,422,3761,207,245,448,4211,3522,45,7778,1590,2981,377,4950,143,149,290,5242,4718,62,10027,2686,2824,353,5865,102,125,228,6093,3989,35,10117,2755,2045,305,5109,91,94,179,5290,2729,31,8044,2354,1343,220,3916,46,35,83,4003,1531,17,5551,2142,880,165,3191,30,22,54,3237,1059,21,4315,3711,1138,234,5083,43,29,72,5155,1221,12,6386,1410,424,102,1929,28,11,40,1968,521,8,2499,922,233,58,1214,11,8,20,1236,207,11,1447,344,76,26,447,4,4,4,450,110,0,563,695,204,47,946,19,12,33,976,312,16,1305,1681,1183,287,3151,86,69,153,3304,1850,175,5323,86,78
SOS12,5,0,5,11,4,3,7,18,82,0,106,6,3,3,8,0,0,3,10,26,5,40,0,15,4,16,0,5,6,28,50,3,76,6,25,11,41,10,9,22,63,94,3,156,8,47,13,67,13,12,28,94,206,0,301,19,166,20,209,17,26,40,247,275,3,524,48,216,26,290,13,18,31,323,272,3,597,107,211,24,336,7,8,18,358,420,5,776,193,209,22,429,14,13,24,455,310,10,771,162,150,26,343,9,9,9,350,243,4,599,156,88,36,271,5,0,3,279,120,0,395,146,67,15,224,0,0,0,223,96,6,327,259,95,25,382,6,0,5,385,91,0,473,81,35,15,133,0,0,0,133,41,0,175,65,15,0,82,0,0,0,82,18,0,103,28,8,4,40,0,0,0,40,11,0,48,68,15,0,90,0,0,0,97,35,0,131,135,88,30,256,11,7,16,267,180,13,460,10,11
SOS13,19,12,11,37,9,8,15,55,228,3,289,17,21,0,36,0,3,3,41,83,0,122,13,34,15,58,14,4,18,77,148,4,228,27,63,19,113,29,22,50,159,258,3,418,52,151,28,228,28,27,62,288,482,0,770,61,335,71,467,36,57,96,563,626,12,1194,149,417,78,647,29,38,68,719,620,13,1349,290,441,77,809,24,12,42,854,881,20,1747,453,473,67,993,22,16,34,1028,805,14,1842,434,388,57,887,21,18,36,919,578,11,1512,387,212,56,648,10,3,15,665,354,7,1025,410,212,53,676,3,3,8,686,278,4,970,735,281,71,1089,6,6,14,1104,367,10,1479,319,115,31,460,8,4,10,472,180,4,652,255,73,21,349,0,0,0,349,84,0,426,95,34,13,139,0,0,0,139,44,0,180,335,102,33,474,9,0,6,480,108,5,592,481,297,74,858,27,18,42,899,565,51,1511,35,26
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,118,124,92,335,256,217,478,807,4536,51,5392,38,218,51,307,80,94,178,478,1009,11,1498,61,534,113,711,166,225,391,1107,1909,23,3034,83,895,153,1130,247,308,554,1690,2724,24,4443,160,1462,274,1900,313,397,710,2611,4938,44,7595,427,3165,542,4132,392,558,950,5084,6602,52,11731,1274,4750,668,6695,342,436,776,7466,6777,58,14305,2897,5485,637,9016,328,334,669,9680,9432,95,19207,5241,5788,701,11729,260,264,522,12249,8646,77,20976,6282,4978,611,11877,267,228,492,12370,7087,57,19515,6049,3508,494,10046,163,146,312,10358,4570,28,14964,5768,2591,377,8733,122,103,220,8952,3602,31,12589,11459,3840,705,16005,194,135,326,16331,5205,37,21574,5008,1668,296,6968,110,70,178,7146,2658,24,9822,4222,1063,214,5509,54,30,88,5590,1127,10,6727,1611,462,92,2164,22,17,42,2210,663,4,2870,5338,1006,197,6545,75,28,103,6648,1361,16,8027,4652,2524,727,7897,233,190,421,8321,4143,476,12943,222,159
SOS21,21,18,22,57,36,46,74,137,485,16,634,7,37,9,55,12,16,30,85,139,0,229,6,112,23,139,46,32,76,210,358,6,577,13,220,62,296,55,72,127,424,741,13,1172,36,415,77,531,122,118,240,768,1510,13,2291,146,1112,218,1470,116,198,308,1775,2200,14,3989,395,1701,234,2333,98,134,235,2567,2069,15,4659,888,1911,203,3008,77,92,174,3185,2612,29,5828,1488,1702,185,3375,81,79,159,3536,2093,24,5655,1566,1377,181,3124,53,37,92,3214,1501,13,4730,1433,862,128,2418,32,25,60,2479,806,19,3306,1251,541,108,1895,21,18,35,1926,584,5,2519,2067,733,166,2967,23,30,53,3019,726,7,3747,855,277,57,1186,14,5,18,1205,333,11,1543,582,139,35,760,5,0,3,763,101,0,872,214,56,19,276,0,3,5,280,49,0,335,432,108,22,564,13,0,12,574,146,9,728,1061,758,163,1985,43,31,78,2057,1000,120,3182,71,67
SOS22,3,0,0,3,5,5,3,9,36,0,46,0,5,0,6,0,0,0,8,13,0,22,0,6,3,9,3,5,6,17,30,0,47,3,18,3,23,0,4,12,35,53,0,86,3,32,6,44,8,5,12,56,104,0,160,14,87,20,127,13,15,24,151,151,0,294,37,150,17,205,10,16,19,222,148,0,370,64,126,16,207,4,9,12,218,235,9,460,98,117,14,233,3,11,11,243,174,0,417,120,79,9,210,5,3,8,214,116,0,331,97,57,5,161,0,0,4,164,70,0,236,88,36,12,130,0,0,0,130,38,0,178,152,51,13,213,0,0,0,215,47,0,263,49,19,8,64,0,0,0,64,26,0,96,32,0,5,37,0,0,0,42,5,0,51,7,0,0,3,0,0,0,3,4,0,8,35,9,0,36,0,0,0,38,17,0,47,98,73,13,185,4,0,4,190,105,6,293,5,5
SOS23,12,10,12,34,5,7,10,45,163,4,215,8,18,5,29,3,0,8,28,43,3,76,16,39,4,57,10,5,21,72,97,5,179,16,64,6,90,11,6,20,108,133,3,243,33,104,25,154,16,17,37,193,308,6,502,58,236,52,345,9,35,42,386,424,3,808,99,338,48,486,18,23,40,524,370,3,897,197,340,51,587,18,16,34,630,602,8,1235,329,347,40,720,13,13,25,745,500,8,1257,292,276,52,626,11,10,24,641,392,8,1041,301,183,25,512,12,3,19,531,208,6,739,297,132,26,451,6,0,8,459,176,5,642,520,185,31,740,11,5,12,751,230,4,981,236,90,23,346,0,0,4,350,106,0,453,166,44,14,225,0,0,0,227,56,0,278,87,21,7,108,0,0,0,108,26,0,137,220,69,18,302,3,0,4,305,65,3,375,394,245,62,699,12,7,20,723,359,38,1116,31,19
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,65,79,51,203,208,151,364,560,2388,26,2979,37,120,32,196,49,57,108,301,549,7,855,34,300,80,414,161,135,296,703,1172,12,1885,54,534,148,747,269,264,534,1281,1873,18,3169,154,992,284,1426,374,409,781,2210,3821,20,6051,425,2735,718,3881,581,718,1300,5178,6016,26,11224,1333,4421,990,6747,473,514,983,7735,5794,42,13569,3349,5047,1027,9421,319,345,663,10082,7294,68,17443,5828,5143,989,11960,305,259,566,12525,6772,56,19349,6444,4129,910,11488,262,206,469,11954,5275,34,17263,6213,2828,626,9664,151,112,263,9925,3198,24,13148,5467,2051,479,7998,111,66,176,8175,2416,26,10618,9978,2896,788,13667,154,94,251,13914,3231,26,17169,3727,1150,314,5196,67,39,109,5305,1514,16,6827,2886,675,191,3750,27,22,54,3808,622,7,4431,1035,258,72,1365,10,6,7,1372,297,4,1672,3228,586,178,3996,37,32,68,4063,773,17,4848,3979,2040,676,6697,223,158,386,7078,3050,334,10468,200,110
SOS31,13,10,17,44,46,30,82,123,477,14,612,0,29,10,42,16,12,24,64,133,4,203,18,97,30,141,80,51,128,269,361,7,634,23,175,31,232,114,78,184,411,702,11,1127,50,423,72,543,163,169,328,870,1433,14,2312,172,1042,178,1394,214,246,462,1853,2232,8,4094,463,1526,225,2213,169,189,353,2568,2179,23,4776,1094,1539,198,2831,122,113,230,3059,2670,29,5761,1665,1432,216,3316,96,93,187,3499,2202,23,5725,1601,1070,175,2848,66,43,106,2952,1436,17,4401,1399,636,131,2167,34,25,62,2223,816,9,3050,1223,434,92,1751,18,18,34,1792,532,12,2336,1949,572,119,2643,27,28,59,2700,707,6,3410,728,201,47,974,3,4,13,989,297,6,1291,508,96,38,649,5,8,11,655,105,3,761,161,38,16,214,0,4,4,216,47,3,267,446,79,32,556,13,8,19,572,124,4,701,978,599,182,1760,57,48,99,1864,1048,73,2993,60,47
