SUA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
1000,0,0,0,58,104,10895,122,73,13,9,13,22,18,0,603,11771,2231,12,5,5,0,0,6,3,0,189,2449,442,0,0,0,0,0,4,0,0,48,498,153,0,0,0,0,0,0,0,0,20,186,4,0,0,0,0,0,0,0,0,4,12,601,0,0,0,0,0,3,0,0,75,690,15,0,0,0,0,0,0,0,0,54,68,2850,17,7,3,0,0,12,3,0,319,3207,54276,4897,3763,602,614,636,799,459,252,2896,69194,8999,3450,3591,973,1047,1211,1760,715,354,594,22702,896,282,302,124,172,264,479,159,85,152,2924,40,11,11,5,7,9,13,12,4,31,142,9937,3752,3905,1107,1224,1486,2255,879,441,782,25771,131,3,9,0,0,3,7,7,0,829,995,64346,8654,7676,1710,1832,2126,3066,1340,698,4506,95957
1001,0,0,0,3,8,1063,27,20,0,0,0,9,0,0,48,1163,218,0,6,0,0,0,0,0,0,18,239,97,0,0,0,0,0,0,0,0,9,105,36,3,8,0,0,0,0,0,0,8,48,3,0,0,0,0,0,0,0,0,3,3,131,3,8,0,0,0,0,0,0,17,157,8,0,0,0,0,0,0,0,0,0,9,358,8,9,0,0,0,0,0,0,38,403,4319,541,398,65,59,93,62,50,25,162,5786,1103,1050,1211,340,368,390,317,103,38,80,5003,148,128,241,43,66,122,154,35,0,15,959,9,0,3,0,0,0,0,0,0,4,25,1258,1188,1457,386,436,508,471,137,48,106,5981,11,7,0,0,0,3,0,0,0,14,32,5592,1732,1855,448,497,608,536,190,74,280,11801
1002,0,0,0,0,0,206,0,0,0,0,0,0,0,0,7,222,57,0,0,0,0,0,0,0,0,6,64,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,5,68,1034,159,144,30,41,28,34,31,3,36,1538,241,289,324,107,161,364,438,78,14,33,2045,23,10,5,3,9,72,180,24,5,5,340,0,0,0,0,0,0,3,0,0,0,5,262,302,330,107,169,437,622,109,19,38,2392,0,0,0,0,0,0,0,0,0,9,8,1298,455,469,140,211,466,659,138,20,81,3937
1003,0,0,0,6,4,607,13,9,6,0,0,0,0,0,24,663,201,0,0,0,0,0,0,0,0,14,214,30,0,0,0,0,0,0,0,0,3,33,8,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,3,43,4,0,0,0,0,0,0,0,0,3,5,238,5,0,0,0,0,0,0,0,26,265,3073,488,401,93,64,48,72,41,21,146,4447,453,246,265,53,63,76,73,26,11,38,1295,26,16,7,6,9,8,16,7,0,0,107,0,0,0,0,0,0,0,0,0,0,4,480,268,276,53,65,82,89,35,16,42,1405,4,0,5,0,0,0,0,0,0,23,32,3566,755,674,140,137,132,159,75,30,209,5875
1004,0,0,0,0,0,493,6,4,0,0,0,0,0,0,25,524,121,3,0,0,0,0,0,0,0,10,134,21,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,152,3,0,0,0,0,0,0,0,14,165,1729,94,63,13,14,5,17,8,4,85,2027,302,66,71,20,20,28,27,22,0,11,575,43,5,3,6,0,5,10,4,5,0,80,4,0,0,0,0,0,0,0,0,0,4,349,77,76,28,23,32,35,23,5,17,661,0,0,0,0,0,0,0,0,0,5,9,2083,166,138,41,39,36,55,27,5,106,2698
1005,0,0,0,0,6,318,0,3,0,0,3,6,0,0,21,345,93,0,0,0,0,0,0,0,0,8,107,15,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,12,129,1506,202,152,28,31,38,28,14,7,62,2061,392,278,329,81,114,131,100,47,7,18,1512,47,14,30,3,11,16,19,17,0,10,167,0,0,0,0,0,0,6,0,0,0,3,443,300,357,87,123,146,128,65,12,29,1682,6,0,0,0,0,0,0,0,0,115,121,1952,497,509,119,157,185,151,73,15,207,3867
1006,0,0,0,4,9,1083,21,6,4,0,0,0,0,0,53,1164,264,7,0,0,0,0,0,0,0,29,301,46,0,0,0,0,0,0,0,0,10,58,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,11,63,0,0,0,0,0,0,0,0,0,3,3,310,8,0,0,0,0,0,0,0,44,366,4205,397,249,27,44,39,43,45,14,217,5280,774,396,388,113,103,151,120,55,5,43,2152,61,19,22,6,5,12,30,9,4,10,183,3,7,3,0,0,0,0,0,0,0,9,841,419,416,124,107,167,147,67,13,54,2350,3,0,0,0,0,0,0,0,0,9,19,5054,823,665,148,156,204,195,112,21,282,7654
1007,0,0,0,0,0,86,0,0,0,0,0,0,0,0,4,94,15,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,34,339,51,39,16,11,11,11,5,4,9,507,101,49,70,15,24,38,38,22,6,5,357,12,0,7,0,0,0,6,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,112,47,73,14,25,38,41,26,8,5,393,0,0,0,0,0,0,0,0,0,9,9,460,99,113,34,36,49,56,29,16,22,907
1008,0,0,0,0,0,117,0,0,0,0,0,0,0,0,4,125,24,0,0,0,0,0,0,0,0,3,28,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,7,36,945,220,221,63,63,88,101,78,12,50,1828,180,118,218,78,83,142,203,90,4,29,1145,11,4,5,0,5,4,8,3,0,0,50,0,0,0,0,0,0,0,0,0,0,8,191,128,231,75,89,151,215,94,4,27,1197,0,0,0,0,0,0,6,0,0,3,5,1137,349,444,142,149,230,316,174,12,78,3032
1009,0,0,0,0,0,420,10,0,0,0,0,0,0,0,33,457,85,0,0,0,0,0,0,0,0,12,96,8,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,18,114,1432,90,59,15,11,10,25,8,3,74,1727,136,39,26,7,8,0,15,0,3,4,231,15,6,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,148,38,26,7,8,0,13,0,3,9,259,3,0,0,0,0,0,0,0,0,6,3,1584,126,88,19,21,13,36,10,8,92,1996
