SUA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1000,115886,96139,36104,3008,251136,83997,8637,343770,2503,933,1168,111,4713,7963,377,13052,858,426,390,36,1706,1597,167,3473,3364,1355,1555,140,6422,9557,547,16526,1009,354,584,56,2001,4472,295,6763,143,37,49,8,232,357,34,622,30,5,4,0,32,56,3,93,5,6,0,0,12,5,0,22,136,99,54,6,301,241,30,567,1322,493,688,74,2574,5138,358,8066,316,78,54,7,457,788,39,1287,604,75,94,10,784,1209,79,2064,84,32,30,0,154,227,24,402,325,251,108,17,700,431,56,1190,1332,435,291,33,2095,2659,190,4944,488,345,130,23,978,948,78,2009,122394,98773,38766,3280,263201,102299,9810,375313
1001,9154,9613,4203,306,23272,7686,987,31941,703,307,473,64,1543,3048,209,4804,76,36,68,3,182,307,28,519,775,340,537,73,1724,3357,233,5318,73,13,42,4,136,337,20,499,11,13,0,0,26,40,12,69,11,0,3,0,14,13,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,11,93,27,49,4,177,399,30,611,9,0,0,0,11,51,0,64,13,0,3,0,13,18,0,33,0,0,0,0,0,0,0,0,10,7,7,5,19,8,0,33,25,9,11,5,47,82,4,135,19,9,6,4,36,35,4,69,10070,9999,4802,385,25256,11558,1254,38073
1002,2098,1861,894,75,4935,1932,317,7185,160,108,70,11,344,543,36,919,36,14,8,0,56,93,8,163,195,124,77,11,406,632,40,1082,60,30,32,0,115,257,19,398,13,5,5,0,26,21,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,9,76,36,34,3,148,275,25,455,0,0,0,0,0,3,0,3,3,0,0,0,5,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,7,0,3,0,17,24,0,36,7,6,0,0,11,14,3,27,2387,2026,1009,86,5517,2883,390,8785
1003,4473,3930,1414,110,9927,2731,433,13086,529,272,294,22,1122,1047,80,2245,370,217,230,16,824,611,93,1530,899,491,519,35,1945,1659,173,3776,109,56,82,7,254,344,28,629,41,17,22,0,83,64,10,156,38,3,4,0,45,25,5,67,9,0,3,0,7,10,0,19,13,3,4,0,23,24,0,47,206,83,107,6,410,462,44,921,15,0,0,0,15,46,3,68,55,11,20,5,90,201,10,295,0,0,0,0,0,3,0,8,10,0,5,0,13,11,0,24,81,11,21,11,119,257,18,393,17,3,7,0,29,40,3,64,5681,4512,2077,157,12427,5152,672,18244
1004,2202,1178,667,44,4086,1343,142,5568,92,24,38,5,153,229,3,392,114,27,42,3,187,162,6,355,208,54,82,8,345,390,16,743,121,42,70,5,242,406,19,668,0,0,0,0,5,14,0,26,14,0,0,0,14,17,0,30,0,0,0,0,0,0,0,0,5,4,0,0,6,3,0,14,134,48,72,5,260,444,18,726,11,0,0,0,12,24,5,36,14,4,0,0,17,34,7,50,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,7,20,3,6,0,29,62,4,99,5,0,0,0,11,12,0,24,2572,1281,828,54,4730,2251,181,7162
1005,3231,3525,1646,119,8526,2527,374,11429,223,125,119,17,486,710,60,1261,56,33,48,8,141,206,21,367,281,158,165,19,626,917,78,1626,110,35,44,7,189,455,33,677,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,8,0,19,114,35,41,7,198,470,34,704,5,0,0,0,5,4,0,7,0,0,0,0,7,7,0,6,0,0,0,0,0,0,0,3,5,3,0,0,8,5,0,17,12,9,0,0,17,12,0,34,9,0,0,0,13,12,0,25,3642,3726,1865,152,9380,3939,491,13812
1006,4741,4307,1455,115,10622,3226,288,14135,252,54,47,4,352,550,23,923,117,25,30,4,169,156,9,336,364,71,79,11,520,705,32,1266,58,47,26,0,134,230,12,374,4,0,0,0,7,6,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,0,28,17,3,47,76,64,28,0,164,258,15,442,7,0,0,0,8,10,0,20,9,0,0,0,11,61,0,72,0,0,0,0,0,0,4,3,3,8,3,0,14,8,4,26,24,9,6,7,35,83,10,123,3,10,4,0,14,16,0,36,5211,4457,1567,132,11370,4280,344,15997
1007,1848,1388,1018,80,4335,2413,157,6910,22,11,8,5,44,115,0,158,0,3,0,0,5,7,0,17,25,17,11,6,51,124,0,177,14,5,8,6,30,152,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,8,6,30,152,0,186,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,8,10,4,0,0,9,14,0,25,1897,1407,1037,92,4429,2713,162,7308
1008,705,660,248,21,1634,514,292,2435,70,54,34,0,158,126,62,342,169,92,66,7,337,222,101,658,235,146,101,4,493,345,157,997,60,18,8,0,95,127,32,249,6,0,0,0,11,20,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,23,11,0,34,86,27,17,0,125,154,31,318,5,4,3,0,10,55,0,67,8,4,3,0,15,36,3,54,0,0,0,0,5,7,0,10,8,0,4,0,10,12,0,25,27,8,10,0,39,113,3,160,6,7,5,0,15,21,0,42,1056,846,377,30,2306,1150,493,3952
1009,2814,1454,617,39,4926,1522,143,6591,170,20,25,0,216,349,15,585,36,7,12,0,59,46,0,105,203,29,42,0,280,395,17,689,49,5,36,6,90,164,11,261,3,0,0,0,6,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,11,60,8,35,6,104,173,11,287,16,0,0,0,20,13,0,29,42,3,3,0,53,102,0,162,0,0,0,0,0,0,0,0,0,3,3,0,9,12,0,21,65,10,9,0,78,135,5,213,6,5,0,0,10,14,5,31,3146,1499,704,40,5399,2235,178,7808
1010,28575,34259,14104,923,77863,21544,2797,102204,2356,698,995,96,4146,5214,259,9624,1461,893,1015,69,3444,2462,211,6113,3821,1594,2015,169,7585,7674,472,15739,1291,592,747,66,2690,3578,203,6473,356,143,183,14,695,737,86,1519,744,224,239,37,1249,1067,157,2473,188,56,54,7,308,250,34,600,120,64,65,3,248,156,14,420,2695,1074,1297,125,5191,5795,498,11484,70,13,20,0,105,224,16,345,83,24,60,0,168,293,25,487,6,0,3,0,6,5,0,8,29,18,18,0,70,60,12,144,191,55,103,8,350,579,50,980,54,39,25,0,115,154,5,279,35335,37018,17532,1222,91103,35747,3832,130681
1011,6758,6326,2791,182,16055,4311,657,21024,437,211,274,10,930,1013,85,2033,374,229,215,20,837,546,86,1468,812,434,492,30,1769,1558,174,3499,355,216,293,39,895,1224,111,2225,77,36,61,3,174,202,23,387,75,10,11,3,101,157,12,265,43,3,6,0,58,53,4,115,19,12,7,0,36,41,3,77,568,276,374,49,1261,1668,148,3074,48,9,8,3,72,73,15,158,75,10,5,0,96,198,7,298,0,0,0,0,0,0,0,0,6,4,0,0,9,8,0,24,129,19,20,4,175,277,20,477,36,12,14,0,58,59,4,129,8295,7077,3686,263,19319,7878,1003,28198
1012,3264,3855,1736,158,9012,2560,424,11998,297,137,109,9,555,722,48,1321,15,8,7,0,26,31,5,60,317,137,118,9,582,755,43,1385,193,118,57,5,370,662,48,1078,4,0,0,0,4,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,3,3,18,200,118,57,5,383,679,48,1106,10,0,0,0,10,15,0,21,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,5,7,5,0,19,10,5,26,11,7,6,0,20,30,3,54,4,5,0,0,13,25,7,41,3790,4133,1914,173,10009,4040,527,14582
1013,2340,1205,666,55,4271,1435,157,5870,446,67,144,11,663,718,45,1420,52,21,35,7,112,115,0,230,492,88,176,11,771,830,44,1648,160,41,73,6,277,567,36,887,83,13,31,5,129,245,19,393,113,23,18,4,153,204,15,371,43,0,3,0,46,28,0,75,0,0,0,0,5,0,0,3,393,79,123,10,611,1041,72,1728,13,0,0,0,24,38,0,62,14,0,0,0,19,55,0,77,0,0,0,0,0,0,0,0,4,12,6,0,14,28,4,47,38,9,7,0,53,121,4,184,10,4,0,0,20,17,0,39,3281,1387,979,79,5723,3456,284,9463
1014,2251,2214,1082,77,5619,2176,206,8002,142,77,81,9,308,522,28,862,37,17,21,0,76,86,7,171,176,97,99,7,378,610,37,1027,31,16,25,0,73,195,5,279,4,0,3,0,9,49,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,5,0,13,37,26,29,0,88,252,8,359,3,0,7,0,7,8,0,11,0,0,0,0,3,15,0,14,0,0,0,0,0,0,0,0,11,0,3,6,22,19,4,38,16,9,3,6,28,39,0,71,3,4,0,0,6,16,0,23,2479,2340,1215,90,6125,3099,261,9486
1015,1800,1493,1041,93,4429,1643,199,6265,46,16,21,5,81,225,12,322,40,15,52,7,115,120,12,246,82,32,73,10,194,349,18,568,77,23,62,4,165,411,18,594,3,0,0,0,0,12,0,14,0,0,0,0,4,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,83,23,67,4,178,432,18,630,5,0,0,0,6,21,0,34,0,0,0,0,4,21,0,30,0,0,0,0,0,7,0,3,19,17,8,0,45,18,3,72,30,16,8,0,56,65,5,136,0,6,3,0,10,16,0,27,1995,1568,1197,102,4861,2508,253,7616
1016,1559,2038,695,64,4355,1249,162,5771,65,48,45,4,164,160,17,344,7,3,0,0,9,45,0,64,75,54,45,4,178,210,19,408,208,176,67,18,469,341,49,860,9,6,0,0,19,8,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,4,0,10,220,190,67,17,494,353,51,894,0,0,0,0,3,20,0,22,0,0,0,0,4,9,0,15,0,0,0,0,0,0,0,0,10,5,5,0,19,16,0,41,16,10,6,0,29,52,0,82,5,9,0,0,17,12,0,29,1871,2297,807,85,5072,1874,234,7182
1017,1369,1139,901,79,3482,1230,132,4842,15,6,7,0,28,26,7,60,3,3,8,3,22,29,0,48,21,15,21,3,55,53,0,106,25,8,38,4,74,208,9,296,0,0,4,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,8,40,4,84,215,11,314,3,0,4,0,3,28,5,29,9,0,0,0,9,10,5,24,4,0,0,0,4,0,0,4,0,0,3,0,3,4,0,10,11,0,6,0,18,42,10,66,0,3,0,0,9,7,0,16,1426,1166,964,94,3644,1546,156,5347
