SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
4001,240,244,231,377,105,41,71,5135,0,0,7,3,4,342,620,354,52,65,29,44,3,14,35,1586,27,165,520,404,444,178,478,406,30,37,43,33,14,5,80,2874,615,6755,5104,914,284,205,334,424,93,71,90,89,38,9,583,15603,3,33,17,24,95,238,508,242,49,47,45,107,57,13,34,1519,0,0,7,33,213,265,1571,755,163,152,190,182,94,4,71,3698,21,55,172,384,282,194,294,126,42,35,44,34,30,7,64,1784,14,46,349,648,1143,690,1977,1381,441,488,478,452,254,38,98,8490,0,0,0,4,11,32,1297,1558,689,1015,1008,1004,306,32,105,7054,138,2366,688,289,200,118,301,127,25,33,10,31,21,3,130,4474,66,113,605,1658,2261,1557,1862,938,129,142,147,124,91,105,285,10083,17,41,87,67,36,45,24,16,0,0,0,4,4,0,4,345,5,0,14,28,27,171,849,1806,354,506,559,643,294,76,99,5432
4002,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,15,9,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,66,42,10,3,0,3,0,0,5,0,0,0,0,11,139,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,4,3,3,0,6,3,3,0,0,41,0,0,0,0,0,0,4,0,3,8,0,0,0,0,3,10,0,104,17,12,7,0,6,0,0,0,0,0,0,0,5,155,0,0,9,32,53,53,34,24,3,0,4,8,5,0,14,246,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,33
4003,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,39,38,5,0,0,0,0,0,0,0,0,0,0,9,102,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,4,14,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,36,5,5,0,0,0,0,0,0,0,0,0,0,6,58,0,0,3,20,21,28,38,39,0,0,0,0,0,0,15,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,10
4004,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,12,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,10,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,26,3,14,7,3,0,0,0,0,0,0,0,0,0,0,0,32,0,0,8,9,16,8,8,0,0,0,0,0,0,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,16
4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,10,0,18,4,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,9,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,3,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,37,4,0,0,0,0,0,3,0,0,0,0,0,0,52,0,0,6,21,19,13,39,10,0,0,0,0,0,0,9,128,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
4006,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,12,36,23,0,0,0,0,0,0,0,0,0,0,0,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,4,17,18,3,11,10,3,3,0,3,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,0,0,6,0,0,0,34
4007,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,17,9,4,8,6,0,0,0,0,0,0,3,71,4,38,12,4,0,4,0,6,0,0,0,0,0,0,4,80,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,11,3,142,35,18,12,6,6,0,0,0,0,0,0,0,8,222,0,7,36,75,70,32,29,11,3,0,0,0,4,8,8,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4008,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,3,0,0,0,0,0,0,0,0,5,33,0,19,27,11,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,52,16,6,3,0,3,3,0,0,0,0,0,0,7,86,0,0,10,34,28,15,26,15,0,0,0,5,0,4,3,142,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11
5000,0,0,4,0,0,0,36,100,0,0,3,0,0,3,6,5,0,0,0,0,0,0,20,41,8,20,71,85,103,63,180,201,12,9,17,34,18,0,28,854,54,287,188,23,13,13,40,99,8,13,17,49,21,0,84,910,3,0,0,7,9,27,37,26,0,0,10,14,12,4,4,157,0,0,0,0,5,14,34,32,4,0,8,23,6,0,8,130,0,0,6,3,5,3,0,0,0,0,4,7,0,0,16,41,7,15,46,57,76,27,77,46,11,36,43,32,5,0,45,510,0,0,0,0,0,4,11,14,0,5,12,8,0,0,0,63,37,380,105,76,87,58,100,43,12,3,15,15,10,4,38,976,15,24,299,1035,1610,1232,1664,941,121,105,91,157,49,84,554,7986,3,19,5,7,15,4,0,0,0,0,0,0,0,0,0,63,0,0,0,3,0,6,15,34,5,4,12,7,5,6,11,120
5001,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,5,12,6,11,5,0,0,0,0,0,0,3,59,10,52,39,12,0,6,0,8,4,4,0,3,0,0,11,134,0,0,0,0,4,5,7,5,0,0,0,4,0,0,3,23,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,0,0,17,9,4,0,0,0,0,0,20,70,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,114,20,14,32,9,8,7,0,0,0,0,4,0,13,221,0,8,53,82,132,88,117,46,3,7,4,7,0,7,39,597,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,11,12,0,0,0,0,0,0,0,46,0,0,4,3,0,6,3,15,3,6,0,3,0,0,0,45,0,0,0,0,0,0,9,6,0,0,4,0,0,0,0,24,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,10,0,5,5,0,10,4,0,0,4,3,5,0,0,35,0,0,9,35,46,34,63,49,0,6,0,5,6,0,19,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7
5003,3,0,0,0,0,0,3,46,0,0,0,0,8,4,7,8,4,0,0,0,0,0,0,43,4,5,20,23,65,13,79,100,0,3,4,7,0,0,6,326,24,168,62,13,0,0,5,21,0,0,0,0,0,0,16,323,0,0,3,0,0,7,21,13,0,3,0,4,5,3,0,63,0,0,0,0,3,4,36,27,3,0,9,17,3,0,5,116,0,0,0,7,9,11,11,4,0,0,0,0,3,0,0,45,0,9,13,20,22,21,32,39,7,15,20,8,0,0,6,192,0,0,0,0,0,0,19,15,9,10,4,3,0,0,0,62,3,118,33,14,36,20,25,9,0,4,0,0,0,0,8,273,3,8,71,228,414,299,636,387,15,43,25,27,25,14,101,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,15,39,9,10,6,7,5,3,0,92
5004,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,30,35,19,27,28,0,0,0,0,0,0,3,170,3,24,6,0,5,5,11,14,3,6,9,0,0,0,9,95,0,0,0,0,0,5,13,14,0,0,0,0,0,0,0,43,0,0,0,0,0,0,14,20,6,0,3,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,6,4,8,0,6,0,0,0,0,0,3,53,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,19,11,60,10,9,16,3,19,17,0,0,5,0,3,0,3,153,5,7,58,165,205,148,193,90,8,25,7,5,3,0,41,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,0,0,0,0,0,10,0,26
5005,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,5,7,0,0,0,0,0,0,0,0,32,0,0,17,50,71,58,60,33,6,0,3,6,0,3,14,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,5,5,15,10,5,14,23,0,3,0,0,0,0,0,86,16,39,34,10,0,0,7,7,0,0,0,0,0,0,5,122,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,7,19,6,0,6,3,4,0,0,5,80,0,0,0,0,0,0,5,7,5,5,3,0,0,0,0,25,6,42,10,6,5,5,5,5,0,0,0,0,0,0,4,84,4,3,29,109,133,111,149,81,14,10,3,7,0,0,18,679,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,20,0,0,0,0,3,0,0,39
5007,5,6,3,0,0,0,0,42,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,3,4,12,5,24,28,3,5,4,3,0,0,0,90,4,7,6,0,0,0,0,0,0,0,4,0,0,0,0,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,12,7,3,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,11,7,3,4,4,0,0,0,0,42,0,0,0,0,0,0,7,7,5,0,0,3,5,0,0,20,0,13,4,0,0,0,0,0,0,0,0,4,0,0,0,30,0,6,19,91,213,273,681,459,38,43,63,62,15,14,68,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,3,7,4,3,0,0,0,62
5008,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,8,7,24,33,4,0,0,6,0,0,0,84,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,4,0,0,0,0,0,0,0,37,0,0,0,0,0,0,5,4,12,0,3,0,3,0,0,32,0,0,0,0,0,3,3,0,5,0,0,0,5,0,3,26,0,0,9,49,93,88,213,170,9,9,12,15,7,4,23,716,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,28,0,0,3,0,0,0,0,39
5009,220,192,218,293,87,53,65,6213,0,9,27,10,28,947,1169,771,128,113,120,82,31,14,79,3531,53,230,937,1055,2766,1060,3731,4729,243,219,293,443,268,115,225,16350,770,5475,4313,1084,485,394,869,1614,247,158,159,209,115,24,574,16489,7,28,21,84,311,766,1395,617,138,158,220,281,150,83,115,4370,0,3,4,116,361,465,2421,1485,231,243,207,280,76,22,134,6039,3,16,86,205,264,143,191,97,30,15,12,20,16,3,43,1145,65,212,1042,2412,6894,3208,7745,4434,1029,987,1037,944,567,73,571,31209,0,0,0,0,12,59,1019,871,320,391,598,628,234,18,65,4208,274,2753,663,490,706,404,801,393,53,74,69,97,47,16,172,7000,63,196,1720,5326,10400,8550,14912,11542,862,800,904,1061,514,472,1598,58919,39,153,541,666,654,522,364,158,41,23,25,34,16,8,93,3331,13,18,60,94,165,337,1462,2230,443,520,535,743,420,56,109,7212
5010,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,25,0,0,0,0,0,0,0,46,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,3,11,4,12,9,0,0,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,11,40,103,84,248,188,13,15,22,18,16,12,23,809,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,12
6000,3,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,7,34,45,40,22,23,14,3,0,3,6,3,0,7,209,9,53,32,10,9,5,15,8,4,0,0,0,0,0,14,158,0,0,0,6,12,5,22,11,7,0,4,5,0,0,0,85,0,0,0,5,12,13,14,7,4,0,7,3,4,0,5,80,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,13,0,12,24,25,15,12,24,11,0,4,6,0,0,0,0,137,0,0,0,0,0,0,21,111,61,100,48,25,4,0,11,386,54,268,98,69,65,44,60,14,8,0,3,0,0,0,30,724,12,12,170,496,556,383,309,112,24,14,19,23,10,10,119,2269,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,103,12,15,8,21,12,0,5,195
6001,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,17,0,0,5,5,3,0,0,5,0,0,0,0,0,0,0,32,4,6,4,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,5,4,0,0,11,13,0,0,5,0,0,0,0,46,0,0,0,0,0,0,3,21,12,27,18,8,0,0,0,104,7,32,14,3,5,3,3,3,0,0,0,0,0,0,3,73,0,4,32,42,48,58,37,13,3,0,6,0,5,0,14,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,23
6002,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,13,0,5,7,7,3,0,0,0,0,0,0,0,0,0,0,17,0,3,9,0,3,0,0,0,0,0,0,7,3,0,0,34,0,0,0,0,0,0,0,3,0,0,3,5,3,0,0,12,0,0,0,0,3,0,10,3,0,0,4,6,0,0,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,4,4,3,0,0,0,8,3,0,0,34,0,0,0,0,0,0,8,39,30,55,35,18,0,0,0,198,4,59,21,11,4,0,0,0,0,0,0,0,0,0,0,104,4,4,23,44,65,44,38,6,0,0,0,0,4,0,3,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,6,8,3,0,5,0,0,48
6003,35,40,12,18,12,0,0,273,0,0,0,0,0,6,9,20,10,5,0,6,0,0,0,66,4,16,45,46,82,29,50,33,8,6,5,9,0,0,10,345,18,187,122,24,12,16,19,37,13,3,8,8,0,0,18,493,0,3,4,8,14,49,94,61,6,4,8,17,7,0,10,298,0,0,0,11,64,44,133,98,40,44,26,34,10,0,18,517,0,0,6,16,7,0,9,5,8,3,0,4,0,0,3,71,0,21,40,50,68,59,155,193,78,64,50,42,21,0,8,867,0,0,0,0,0,11,387,1468,633,676,491,283,63,4,78,4099,34,337,74,59,68,37,43,19,6,7,4,6,4,0,21,720,13,31,153,338,412,283,334,140,27,19,16,25,26,23,58,1908,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,4,6,65,412,67,47,97,100,32,0,18,844
6004,42,32,4,24,6,0,0,243,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,9,5,8,5,28,15,5,18,16,3,0,0,5,0,0,8,114,0,79,35,3,3,0,3,5,3,3,3,4,4,0,6,157,0,0,0,5,0,11,13,9,3,0,0,3,3,0,0,51,0,0,4,3,9,16,39,33,0,5,8,7,3,0,3,129,0,0,3,8,0,3,0,0,0,3,0,0,0,0,0,15,0,5,20,15,18,11,58,72,39,37,30,26,18,0,8,360,0,0,0,0,0,0,139,420,226,279,191,102,15,4,22,1411,21,217,40,31,31,11,16,0,0,0,0,0,0,0,11,381,3,15,59,100,151,120,133,55,7,0,0,5,5,4,26,694,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,30,142,24,33,49,54,16,4,3,356
6005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,0,0,0,0,0,0,5,17,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,6,0,11,3,0,0,0,26,5,85,20,0,11,0,5,0,0,0,0,0,0,0,0,133,4,6,9,22,27,16,3,19,0,0,0,4,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10
7000,0,0,0,0,0,0,0,9,0,0,0,0,0,7,13,3,0,0,0,0,0,0,0,20,0,5,13,15,8,7,21,8,5,0,3,11,4,0,4,104,5,4,17,8,0,3,6,9,3,0,0,21,11,0,8,87,0,0,0,0,0,4,12,4,0,0,0,3,4,0,0,23,0,0,0,0,0,0,9,4,5,0,0,5,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,13,7,9,8,4,0,3,7,0,0,3,90,0,0,0,0,0,0,29,68,41,30,24,16,3,0,14,237,0,28,22,0,3,4,11,0,3,3,0,0,0,0,9,92,0,8,47,183,184,145,189,133,16,7,16,22,13,10,53,1013,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,3,3,0,0,0,22
7001,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,11,6,24,17,0,0,0,0,0,0,3,74,0,15,12,10,0,5,8,10,0,3,4,3,4,0,4,69,0,0,0,0,0,3,9,0,0,0,0,9,0,0,0,36,0,0,0,0,0,0,15,15,6,5,3,0,0,0,0,42,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,5,8,3,3,4,3,0,5,0,0,0,44,0,0,0,0,0,0,39,44,41,41,25,19,3,0,0,213,0,10,3,10,10,0,6,6,0,0,0,0,4,0,0,44,0,8,8,80,91,90,149,208,34,11,49,39,14,15,25,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,4,4,3,0,0,5,66
7002,3,0,7,6,0,0,9,87,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,5,28,24,25,24,134,205,22,17,16,44,18,0,8,579,3,51,75,37,5,14,32,66,10,16,14,14,3,0,16,350,0,0,5,7,13,23,36,51,3,10,0,12,0,5,4,167,0,0,0,3,13,22,107,72,19,16,11,6,0,3,10,283,0,0,0,4,0,5,13,13,0,0,0,0,0,0,0,41,6,14,40,85,133,42,91,76,33,36,22,26,7,0,13,628,0,0,0,0,3,8,307,633,407,446,365,258,78,0,38,2541,3,58,32,16,20,9,20,11,7,7,0,4,0,0,13,209,3,12,123,372,425,324,356,296,36,45,38,36,13,19,95,2207,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,17,11,93,216,38,58,58,67,26,0,5,598
8000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,5,3,0,0,0,0,0,5,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
