SUA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
1023,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,7,0,14,11,38,13,20,10,4,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,4,8,3,13,15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,21
1024,0,0,0,0,0,0,0,0,0,3,0,4,0,3,8,9,10,9,3,40,0,0,0,4,0,10,26,20,8,66,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,4,3,3,13,3,0,0,25,0,0,0,0,0,3,13,10,0,32,0,0,0,3,0,6,7,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,12,43,4,0,0,0,0,59,0,0,0,0,3,0,15,18,5,42,0,8,7,36,55,36,42,31,10,219,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,3,0,0,14,0,3,9,15,0,0,3,0,0,38,0,0,0,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20,29,30,4,113
1025,3,16,8,46,11,9,7,0,0,96,0,39,18,148,80,57,55,38,15,449,0,3,10,51,28,67,140,146,110,555,0,17,15,33,4,4,8,0,0,96,0,20,39,203,50,19,8,3,0,349,0,7,0,17,19,15,15,0,0,85,0,13,61,188,72,70,49,15,6,480,0,0,0,3,4,20,49,19,3,100,0,0,0,17,10,13,12,0,0,47,0,3,4,17,8,3,0,5,0,40,0,9,85,349,15,3,0,0,0,457,0,14,5,32,32,44,144,122,47,432,15,123,198,786,565,501,341,150,35,2717,0,0,0,20,40,93,158,86,37,433,7,39,100,337,34,16,14,3,0,543,0,3,4,23,44,21,13,3,0,109,12,81,132,382,115,44,25,6,4,794,0,0,0,40,24,32,57,28,20,204,0,0,10,46,21,24,12,8,0,121,5,28,31,122,121,188,220,163,48,922
1026,0,0,0,5,0,0,4,0,0,11,0,0,0,0,9,10,3,4,0,33,0,0,0,3,4,3,12,14,3,49,0,0,0,7,0,0,0,0,0,8,0,5,3,13,3,0,0,0,0,27,0,0,0,7,0,0,0,0,0,8,0,0,0,0,5,5,6,0,0,19,0,0,0,0,0,3,11,0,4,24,0,0,0,0,0,0,5,0,3,12,0,0,0,0,0,0,0,0,0,4,0,0,3,51,3,0,0,0,0,58,0,0,0,0,3,6,22,23,9,55,0,7,20,45,40,34,40,22,5,211,0,0,0,0,0,0,0,0,0,6,0,11,3,16,0,0,0,0,0,26,0,0,0,0,6,6,0,0,0,9,0,9,15,48,6,0,6,0,0,88,0,0,0,4,0,4,0,0,0,13,0,0,0,4,3,0,0,0,0,10,0,3,3,10,5,9,26,21,10,87
1027,0,0,3,4,0,0,0,0,0,10,0,0,0,4,8,0,3,6,0,30,0,0,0,4,0,8,6,11,3,38,0,0,0,0,0,3,0,0,0,3,0,0,0,24,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,9,0,0,3,15,0,3,0,0,0,27,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,5,0,0,9,102,3,3,0,0,0,114,0,0,0,4,4,3,17,13,4,35,0,12,11,62,44,41,23,15,0,203,0,0,0,0,0,0,0,0,0,10,0,3,0,34,0,0,0,0,0,45,0,0,0,3,5,3,0,0,0,8,0,13,16,60,26,14,5,0,0,131,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,3,3,11,9,6,9,6,3,47
1028,0,0,0,0,0,0,0,0,0,7,0,7,0,18,9,4,17,17,0,74,0,0,0,9,3,9,24,8,0,40,0,3,0,3,5,0,3,0,0,15,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,6,0,5,0,12,5,9,3,6,0,29,0,0,0,0,0,3,11,4,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,54,0,0,0,0,0,63,0,0,0,9,0,8,17,33,10,80,0,15,13,65,66,61,72,53,12,360,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,20,0,0,0,3,9,0,0,0,0,16,0,3,15,51,12,10,3,0,0,97,0,0,0,0,4,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,4,9,9,6,22,35,30,7,128
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,10,0,0,0,0,0,0,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,3,6,9,0,21,0,3,20,41,45,44,9,5,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,5,0,17,11,26,16,0,0,0,0,77,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,21
1030,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,12,10,4,28,0,0,0,3,4,6,24,13,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,9,14,8,4,27,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,3,14,13,3,34,0,0,8,24,25,26,30,20,4,126,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,0,0,0,0,25,0,0,0,0,0,3,13,0,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,12,13,13,4,55
1031,43,1905,3036,9517,4798,3889,2042,876,229,26337,25,296,345,5917,1867,1266,878,561,161,11317,25,146,276,3630,1405,2581,4331,4408,2596,19392,85,366,437,1383,866,473,274,103,29,4019,103,865,1898,9659,4314,3022,1654,931,224,22675,138,551,972,7542,6513,6921,5402,2856,657,31551,77,483,1479,6842,2508,2060,2081,937,177,16638,0,7,19,176,203,725,2014,1555,467,5162,0,8,80,601,328,529,491,239,67,2347,6,46,236,1420,572,478,327,148,47,3293,54,351,10336,19835,1433,289,153,35,0,32484,21,136,149,742,526,526,839,693,311,3935,278,2279,4716,14159,7563,6353,3566,1271,292,40469,0,45,85,893,820,1276,1549,794,210,5675,229,1678,2245,9699,1998,1249,520,115,25,17756,0,22,65,277,463,327,189,77,37,1463,178,1569,3181,15674,6261,5239,3479,873,155,36615,11,69,63,1422,681,765,1199,381,224,4810,18,214,437,1242,938,1026,508,133,15,4529,13,154,242,1725,1417,1637,1519,994,290,7991
1032,0,0,0,3,0,0,0,0,0,4,0,3,0,3,0,4,5,0,0,16,0,0,0,4,0,4,3,0,3,20,0,0,0,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,0,11,0,0,0,0,0,0,6,6,0,7,0,4,0,15,16,0,0,0,0,38,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,25,5,0,4,0,0,37,0,0,9,93,0,0,0,0,0,101,0,0,0,0,0,0,3,14,0,22,0,0,12,38,27,23,27,11,0,143,0,0,0,0,0,0,0,0,0,0,0,4,9,35,0,0,0,0,0,49,0,0,0,4,3,5,6,0,0,14,3,35,46,102,43,6,0,0,0,237,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,3,0,7,11,13,3,0,42
1033,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,7,15,0,15,0,0,0,0,0,0,9,6,4,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,11,0,0,0,0,0,16,0,0,0,0,0,3,13,20,3,43,0,5,3,13,16,15,29,16,0,93,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,3,8,38,5,0,0,0,0,52,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,4,32
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,14,0,0,0,3,3,0,19,19,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,4,12,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,26,0,5,8,23,25,15,31,10,0,111,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,12,4,0,0,0,0,23,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,18,3,46
1035,10,101,93,110,40,13,7,3,0,384,0,3,3,11,8,0,0,7,0,37,0,5,0,9,0,3,12,4,3,36,0,0,0,3,0,0,0,0,0,9,0,3,0,12,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,7,3,28,0,12,9,13,5,0,0,74,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,7,8,78,21,6,0,0,0,117,0,0,12,69,5,0,0,0,0,86,0,0,0,0,4,5,16,11,3,46,6,16,6,72,34,42,21,11,4,216,0,0,0,0,0,0,0,0,0,0,0,9,4,40,8,3,0,0,0,68,0,0,0,5,5,7,0,0,0,21,0,21,25,88,33,4,0,0,0,174,0,0,0,4,0,0,0,4,0,5,0,0,3,30,0,0,0,0,0,41,0,0,3,10,10,13,12,4,5,46
1036,0,38,36,72,31,29,6,9,0,222,0,24,22,87,78,48,49,39,18,363,0,7,11,54,67,184,417,330,238,1313,3,10,17,26,10,3,4,0,0,68,0,5,20,76,28,24,4,0,0,173,3,7,10,101,70,82,66,45,9,386,3,11,32,64,23,35,21,10,4,205,0,0,3,6,15,48,137,87,34,336,0,0,0,8,6,6,6,4,0,27,0,3,5,65,24,11,5,4,0,125,0,4,26,151,5,0,0,0,0,196,0,3,4,28,21,36,169,150,45,469,13,74,129,490,336,299,182,79,22,1626,3,0,11,107,245,450,633,324,84,1867,8,28,44,233,20,12,7,0,0,352,0,0,0,13,19,4,13,0,0,57,3,55,56,231,95,43,34,16,0,530,0,0,0,30,22,30,68,27,9,189,0,0,5,12,5,0,0,3,0,33,0,9,19,56,95,252,260,182,49,926
2000,0,0,4,19,12,14,5,0,0,58,0,19,31,168,101,124,126,84,17,672,0,16,11,94,58,203,586,407,180,1553,0,4,5,25,16,6,13,0,0,75,0,3,6,46,4,3,0,0,0,61,0,5,0,29,14,15,13,7,3,93,4,33,108,546,126,91,42,10,3,960,0,0,0,14,23,117,250,111,19,539,0,0,3,23,12,24,26,6,5,111,0,3,14,72,37,12,11,4,0,155,5,5,28,163,3,0,0,0,0,201,0,4,14,96,105,214,724,516,103,1771,19,135,207,912,812,962,755,268,41,4114,0,0,0,13,19,33,43,10,5,114,4,9,8,75,11,3,3,0,0,126,0,5,5,16,62,32,10,0,0,134,12,171,136,529,131,36,28,9,0,1054,0,0,3,38,27,33,90,35,7,239,0,0,18,94,7,6,0,0,0,133,0,12,18,127,147,307,432,285,65,1389
2001,0,0,0,4,0,0,0,0,0,4,0,0,0,10,3,9,8,0,0,27,0,0,0,4,4,17,16,10,3,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,6,4,0,0,0,0,4,0,0,0,0,3,3,0,0,0,12,0,0,4,3,3,8,29,10,4,74,0,0,0,0,4,3,0,0,0,12,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,3,3,7,8,20,6,3,52,0,13,9,66,36,30,24,9,0,188,0,0,0,3,0,3,3,0,0,14,0,0,0,17,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,4,17,9,0,3,0,0,35,0,0,3,0,5,0,0,4,0,11,0,0,0,4,0,3,0,0,0,10,0,0,6,12,13,13,19,12,7,75
2002,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,16,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,3,0,0,0,25,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,13,15,7,39,0,0,0,19,7,15,25,4,0,62,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,3,19,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,7,3,20
2003,0,7,0,13,8,3,0,0,0,28,0,3,9,21,16,6,17,10,12,89,0,0,0,12,3,14,34,21,14,95,0,0,0,10,5,6,0,0,0,26,0,0,0,21,3,3,0,0,0,31,0,0,0,8,0,3,0,0,0,10,0,10,19,33,13,17,14,3,3,112,0,0,0,0,0,4,18,7,0,31,0,0,0,12,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,30,77,0,0,0,0,0,112,0,0,0,7,3,17,76,78,26,214,3,21,37,127,95,92,58,27,3,463,0,0,0,3,3,3,0,0,0,13,6,13,10,73,5,4,0,0,0,112,0,0,0,7,5,0,0,0,0,13,4,29,38,127,31,6,5,0,0,238,0,0,0,3,5,6,5,0,0,25,0,0,0,0,0,0,0,0,0,7,0,9,8,20,15,27,48,31,7,169
2004,0,0,0,5,0,0,3,0,0,11,0,0,4,21,8,11,14,5,0,68,0,0,0,0,4,13,21,15,6,64,0,3,6,4,0,0,0,0,0,12,0,8,3,16,0,0,0,0,0,26,0,0,0,5,0,0,3,0,0,10,0,6,17,63,21,9,19,0,0,138,0,0,0,0,0,0,12,3,0,27,0,0,3,10,0,0,0,0,0,15,0,5,31,187,69,38,19,15,0,369,0,0,3,53,7,0,0,0,0,69,0,0,0,3,4,11,44,38,5,109,6,27,32,88,84,61,40,15,3,358,0,0,0,0,0,0,0,0,0,3,0,5,7,44,9,0,0,0,0,72,0,0,3,3,9,0,0,0,0,19,0,25,36,119,29,10,7,0,0,230,0,0,0,0,3,6,5,3,0,15,0,0,0,3,0,0,0,0,0,4,0,0,4,11,10,29,38,17,9,119
2005,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,21,0,0,0,3,0,0,0,0,3,10,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,5,0,23,0,3,4,30,22,17,10,3,0,95,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,6,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,0,3,31
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,4,0,0,4,6,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,4,11,4,17,0,0,6,15,10,10,0,8,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,5,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,35,0,0,0,4,3,4,0,5,0,19
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,22,0,0,0,3,0,3,12,11,6,33,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,0,0,0,14,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,4,0,0,7,12,0,20,0,0,6,31,19,17,12,10,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,10,8,25,10,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,15,9,0,33
2008,0,21,25,53,28,14,9,0,0,156,3,21,24,141,65,59,50,31,20,407,0,0,12,85,40,116,260,190,124,832,0,3,8,20,16,5,3,0,0,54,0,9,13,49,10,0,0,0,0,93,4,0,3,19,15,18,10,9,0,73,0,23,44,137,50,31,33,12,3,329,0,0,0,0,4,41,92,53,8,196,0,7,23,33,15,10,0,3,4,87,0,0,35,138,39,26,18,10,0,263,0,3,21,147,5,0,0,0,0,184,0,5,12,31,26,52,272,194,66,666,13,77,129,553,316,241,179,80,10,1588,0,0,0,25,34,79,112,53,19,332,7,58,90,329,34,4,8,0,0,528,0,7,0,15,20,11,4,0,0,56,11,48,108,348,125,61,25,4,0,735,0,0,3,21,17,27,50,17,14,153,0,4,4,19,3,5,0,0,0,26,0,9,19,100,87,166,200,124,43,750
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,5,5,4,0,33,0,0,0,0,4,12,23,11,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,15,0,0,0,0,0,10,26,7,0,49,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,3,0,10,3,0,29,0,9,9,43,42,26,16,9,4,160,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,17,9,11,4,60
2010,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,10,0,0,0,4,0,3,3,7,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,0,0,0,23,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,3,5,4,12,0,0,4,14,9,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,12,15,10,6,0,0,0,41,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,16
2011,29,1184,1502,4699,2393,1672,796,276,77,12623,34,272,287,3628,1030,833,741,505,217,7556,9,175,311,2881,1404,4157,7713,7229,4262,28147,59,284,393,920,438,203,155,37,6,2498,45,342,749,3495,1081,432,173,82,12,6423,56,191,358,2647,1924,1957,1441,672,136,9386,128,1351,3397,11706,3401,2969,2673,1007,194,26819,0,17,35,235,343,1128,2801,2052,561,7179,0,63,357,2022,705,1073,877,418,141,5663,14,209,1015,3231,977,461,249,92,43,6293,25,151,2838,6554,404,115,67,15,4,10171,16,110,173,660,521,600,1621,1323,553,5580,471,3819,5284,15987,6542,4976,2564,1010,222,40863,8,62,139,1501,1337,1870,2484,1098,284,8785,234,1795,2406,10144,1496,625,305,80,13,17095,5,27,63,227,335,153,45,14,5,872,140,1368,2907,10639,4119,2649,1477,342,64,23711,5,39,64,1082,649,1054,1560,640,348,5446,14,214,387,1110,747,683,287,66,5,3521,16,180,324,1833,1432,1957,1906,1352,401,9393
2012,0,0,0,6,9,4,0,0,0,29,0,0,0,5,0,5,3,0,3,18,0,0,0,16,3,23,91,72,54,256,0,0,0,0,0,0,0,0,0,5,0,0,3,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,16,76,390,78,24,8,0,0,597,0,0,0,0,0,0,0,3,0,7,0,0,0,7,0,0,0,0,0,12,0,0,4,7,0,0,0,0,0,12,0,0,3,33,5,0,0,0,0,38,0,0,0,4,0,5,19,9,3,35,0,21,22,57,39,29,29,13,6,203,0,0,0,0,0,0,0,0,0,3,0,8,8,10,6,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,9,7,21,77,13,0,0,0,0,127,0,0,0,0,0,0,0,0,0,4,0,3,4,10,6,5,5,0,0,29,0,0,0,9,7,9,11,9,0,54
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,0,0,0,4,16,3,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,12,0,0,0,3,0,10,22,20,13,76,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,9,13,25,45,16,101,0,0,4,22,12,19,26,6,3,92,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,11,15,0,0,5,0,0,33,0,0,0,5,0,4,5,0,0,6,0,0,0,18,0,0,0,0,0,19,0,0,0,4,5,8,16,17,8,64
