SUA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
3018,1608,1464,497,99,837,814,186,381,1506,181,1212,7159,529,13034,42,28,14,3,31,18,5,13,43,6,23,140,9,274,101,42,32,16,56,53,16,24,49,12,51,122,12,372,24,12,5,8,16,14,0,3,12,0,11,47,0,105,5,0,0,0,6,4,0,0,3,3,0,23,0,39,0,0,0,0,4,3,0,0,0,0,0,14,0,17,4,5,5,0,15,0,0,0,3,0,13,173,5,219,0,0,0,0,3,0,0,0,0,0,4,76,0,88,0,0,0,0,6,0,0,0,0,0,3,58,0,66,13,6,4,0,5,3,0,0,4,0,7,45,0,73,10,7,3,0,3,6,6,0,6,0,4,49,0,80,197,107,65,21,133,96,29,46,117,28,123,741,23,1332,61,21,11,26,26,20,4,15,26,11,25,106,920,1160,1866,1596,572,140,1000,932,217,441,1651,214,1357,8012,1473,15525,432,667,160,0
3019,1758,1389,588,148,767,792,144,440,1545,187,1269,10018,674,16428,70,58,28,5,29,44,0,25,50,8,38,371,36,636,142,54,43,11,55,68,15,34,83,15,83,385,21,772,40,19,16,4,21,29,4,12,18,8,15,136,5,259,14,8,14,4,16,11,0,4,0,0,9,36,0,85,0,0,0,0,0,4,0,0,0,0,0,6,4,12,13,14,0,0,10,0,3,4,8,0,21,149,12,215,0,0,0,0,3,0,0,0,0,0,3,50,0,61,4,0,0,0,3,3,0,0,5,0,0,48,0,61,16,10,3,0,4,3,8,3,12,0,8,113,4,159,25,14,4,0,10,13,0,0,18,0,15,136,3,198,324,174,114,31,147,174,35,89,186,34,201,1424,94,2459,35,8,10,3,18,9,6,12,17,0,15,68,1216,1360,2118,1575,720,183,930,978,185,547,1749,228,1485,11517,1982,20244,575,781,210,0
4000,25959,22487,7823,1846,13516,11205,2066,5267,22592,2334,18514,129855,8533,221886,329,242,94,16,171,142,22,89,233,28,258,1725,101,2849,3251,1335,940,211,1534,1427,227,764,1601,325,1659,5566,436,13471,670,237,254,89,410,385,47,185,278,74,339,1459,112,3230,475,135,136,87,321,256,63,80,174,56,213,877,115,2066,15,11,10,3,21,10,0,0,10,0,13,176,16,254,104,90,46,8,125,33,12,7,76,15,119,2297,99,2880,27,17,14,0,18,11,6,0,19,8,37,686,23,831,57,39,15,5,106,29,4,11,46,15,62,1598,56,1932,132,77,45,3,51,46,4,9,110,9,112,624,28,1036,83,81,33,7,42,34,9,21,99,8,96,875,31,1246,5139,2264,1576,438,2795,2388,405,1161,2645,525,2907,15881,1024,29794,942,466,248,93,531,458,77,235,485,123,348,2303,16108,20708,32040,25215,9645,2379,16843,14044,2547,6662,25719,2983,21765,148041,25663,272390,9538,11653,2820,70
4001,86296,98061,28288,7322,44153,37643,7523,16825,109184,8496,88681,562180,33776,937984,1373,1203,511,96,900,632,138,291,1283,150,1261,7263,437,12570,18656,8545,5907,2028,8910,8731,1491,4305,9893,1906,10899,41143,2817,90699,3841,1345,1381,629,1982,2185,379,845,1700,542,2307,9319,557,19532,10184,2419,2892,2164,6890,5775,1084,1441,4226,1482,5829,20815,1432,46462,1155,639,259,107,1098,596,188,152,959,136,1333,12122,498,16876,2444,2591,865,245,3464,1238,376,318,1800,356,4151,38055,1362,52060,654,636,370,79,1119,457,121,96,668,131,1687,30752,482,35933,1472,1538,356,142,3372,932,253,189,1412,185,2841,62192,1415,73137,966,914,369,71,596,367,67,137,1130,90,1129,10062,327,14346,712,773,284,68,729,350,94,122,844,91,1175,13330,493,17590,41462,20604,13199,5632,29072,21264,4195,7910,23903,5064,32620,245058,9813,379215,2107,1024,569,356,1180,1054,195,514,1194,303,1022,4769,41066,51017,129866,119687,42056,13317,74411,59960,11913,25242,134282,13859,122318,812008,84659,1368209,35532,59213,11907,197
4002,2508,2768,761,217,1523,1292,260,610,2873,321,2207,13939,963,24495,23,30,9,5,16,10,4,11,21,3,22,144,11,258,201,97,64,21,126,107,22,51,86,16,112,341,27,861,87,16,37,15,62,49,13,27,22,14,46,123,15,341,75,13,20,19,46,54,13,13,31,9,37,104,16,304,5,0,0,0,4,0,0,0,0,0,4,68,0,86,22,25,4,0,44,10,5,7,16,0,50,502,26,664,5,10,0,0,3,0,0,0,8,0,5,83,3,102,9,11,3,0,14,6,0,0,7,0,8,200,5,244,5,0,9,0,4,6,0,0,12,0,9,54,0,90,9,10,5,0,11,8,0,0,10,0,14,238,7,293,429,223,147,59,331,256,54,108,209,44,309,1846,112,3239,72,35,26,9,43,44,4,26,43,9,26,133,1394,1707,3009,3026,934,285,1903,1590,322,747,3127,369,2533,15921,2466,29446,803,1449,247,3
4003,1845,1652,528,165,1092,810,181,437,1950,206,1444,7570,954,14617,15,22,4,0,21,8,4,15,22,6,14,139,12,226,160,75,40,13,83,73,14,50,84,29,90,173,27,555,37,14,17,9,23,26,0,13,15,7,20,67,10,176,38,9,15,10,30,23,4,9,14,8,12,56,21,179,13,4,0,0,12,3,0,0,4,0,11,43,3,76,28,23,3,0,35,12,3,0,6,0,33,508,42,655,0,0,0,0,4,0,3,0,0,0,7,200,11,225,7,0,3,0,7,0,0,0,6,0,0,145,5,167,5,7,5,0,6,3,0,0,11,0,12,21,4,54,10,8,3,0,7,3,0,0,5,0,9,111,9,149,302,157,96,32,228,153,29,87,163,42,211,1457,156,2462,76,38,12,7,34,22,3,17,41,9,34,110,886,1164,2223,1853,637,199,1356,990,213,544,2155,257,1684,9133,2001,18243,466,703,154,0
4004,1182,1412,340,94,883,526,175,271,1071,108,897,6097,967,11267,11,8,4,0,4,0,0,3,17,0,4,93,9,135,80,37,21,13,43,36,6,17,32,11,36,107,23,298,25,5,13,0,19,14,0,4,13,0,8,47,4,112,19,4,6,3,12,8,0,5,9,0,6,25,3,67,0,0,0,0,0,0,0,0,0,0,0,14,8,21,3,0,0,0,3,0,0,0,3,0,3,147,3,165,0,0,0,0,4,0,0,0,0,0,0,31,0,38,0,0,0,0,6,0,0,0,0,0,7,232,12,258,4,4,0,0,3,0,0,0,3,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,35,9,49,143,59,48,18,91,58,8,33,65,14,63,738,75,1160,31,20,3,0,24,19,8,3,15,0,11,69,944,1088,1360,1491,389,114,992,595,192,306,1152,128,969,6905,1981,13515,370,626,109,3
4005,1175,1325,408,115,680,526,98,282,1183,123,1000,8525,704,13744,17,14,8,5,11,6,0,4,14,0,11,88,11,154,100,48,32,11,52,58,9,24,38,9,50,206,17,473,33,5,5,4,23,18,3,11,14,8,14,69,0,153,19,4,16,9,19,28,5,3,8,0,12,73,5,146,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,0,0,18,3,0,4,5,0,17,156,5,206,4,0,0,0,3,0,0,0,0,0,3,28,3,42,5,5,0,0,0,0,0,0,0,0,0,75,3,89,10,5,0,0,8,0,0,3,4,0,5,39,0,51,3,0,3,0,0,0,0,0,3,0,5,43,5,68,187,90,58,28,133,117,22,45,93,21,122,777,58,1380,31,25,6,3,24,25,10,5,15,5,18,119,959,1180,1398,1435,473,153,841,666,120,335,1289,151,1133,9421,1717,16307,409,699,130,3
4006,1710,1369,408,155,1047,693,175,418,1669,147,1069,6354,526,11940,16,11,0,0,10,3,0,0,15,6,6,35,4,78,99,47,27,5,62,65,13,48,65,14,50,108,10,347,25,4,7,0,17,15,3,4,10,5,10,31,6,84,52,17,6,6,39,21,4,10,16,7,21,66,3,163,0,3,0,0,3,0,0,0,3,0,0,20,0,24,12,10,5,0,14,4,7,0,0,5,8,106,4,140,4,0,0,0,3,0,0,0,0,0,0,22,0,23,4,0,0,0,8,0,0,0,7,0,8,88,0,111,7,0,0,0,8,0,0,4,6,0,5,22,0,35,0,0,0,0,3,0,0,0,0,0,0,49,3,69,218,89,42,18,171,118,32,70,124,27,102,540,30,1078,73,24,11,13,31,29,8,13,40,9,20,88,653,878,2002,1480,463,188,1255,836,213,506,1833,179,1189,6978,1209,13896,433,514,83,0
4007,3642,2229,1232,312,1614,1814,260,707,2811,388,2357,10487,694,21475,46,29,21,0,21,27,0,9,35,8,45,149,17,311,1015,314,314,109,438,493,65,215,329,107,476,1292,101,3564,147,40,64,20,63,81,11,34,61,17,99,266,15,650,66,13,20,10,31,37,6,13,26,6,37,112,9,260,0,0,0,0,4,3,0,0,0,0,0,11,0,21,20,17,7,0,21,12,0,9,12,6,19,144,7,220,6,4,6,0,3,0,0,0,5,0,6,56,0,82,12,7,4,3,12,6,0,0,6,3,10,78,0,109,22,10,10,0,9,12,0,3,11,0,19,114,6,183,28,16,9,0,8,11,0,9,16,3,16,77,4,143,1368,439,453,153,614,674,91,291,512,153,724,2292,147,5539,122,44,32,25,41,65,5,32,56,30,60,158,914,1347,5132,2717,1719,493,2273,2557,364,1032,3382,569,3147,12934,1762,28363,740,902,260,8
4008,1733,2019,451,110,1132,683,180,443,1931,165,1482,9097,630,15951,18,20,10,0,17,8,3,5,14,0,16,106,9,175,556,211,148,63,319,245,61,171,191,57,233,678,80,1941,81,22,30,13,73,43,11,14,36,12,49,99,3,298,89,17,20,18,73,41,10,19,32,6,43,115,13,314,4,0,0,0,0,0,0,0,0,0,7,33,0,37,16,21,10,0,36,5,0,3,12,6,18,302,12,407,3,3,0,0,0,0,0,0,0,0,6,49,0,63,7,9,6,0,14,7,0,0,7,0,6,209,0,252,6,10,3,0,9,0,6,3,4,6,11,40,0,75,14,12,6,3,21,13,0,6,13,0,23,162,3,228,793,330,228,96,559,362,80,222,313,84,400,1790,129,3778,54,40,19,7,51,32,7,17,30,4,21,102,1172,1424,2575,2382,693,214,1738,1077,266,670,2273,259,1909,10984,1931,21154,685,964,148,7
5000,18012,16560,5981,997,10256,8127,1827,3736,17401,1716,13946,124159,11884,200216,790,680,284,35,415,358,76,207,596,81,510,5718,529,8945,3342,1352,1030,226,1434,1349,228,776,1717,350,1777,8571,689,17409,526,208,188,55,245,281,42,131,274,63,319,2674,162,4341,353,90,85,42,220,196,46,61,136,53,185,1254,146,2253,19,11,16,0,13,11,0,3,19,0,29,314,138,533,175,172,57,12,232,84,30,20,100,26,241,4243,307,5395,21,25,14,0,18,9,6,4,26,3,44,970,70,1162,71,39,22,6,102,48,4,14,40,17,67,1139,145,1553,157,110,51,8,77,74,12,38,143,20,147,1311,86,1979,297,235,124,17,166,127,24,47,250,25,262,2645,196,3960,5745,2922,1870,408,2927,2534,472,1304,3310,639,3578,28847,2472,47537,675,334,222,102,369,331,80,170,358,105,316,2382,31165,35339,24432,19808,8075,1506,13556,10995,2375,5210,21072,2455,17840,155389,45519,283092,8771,9940,2868,65
5001,2835,2656,947,257,1373,1177,211,548,3187,320,2331,14942,1471,26494,72,56,27,5,29,26,6,15,53,4,55,400,43,669,688,252,218,80,304,295,45,139,336,86,396,1175,103,2906,113,37,26,14,61,62,6,25,50,15,69,288,21,601,55,12,23,9,40,37,7,7,21,10,38,142,15,292,0,0,3,0,5,0,0,0,0,0,3,24,4,42,34,22,7,3,48,16,4,4,26,0,52,798,67,1040,0,4,0,0,0,0,0,0,6,0,3,125,20,152,10,7,6,0,18,13,3,0,4,0,7,125,4,173,24,15,11,3,16,12,0,4,29,3,28,151,9,264,53,35,14,3,31,28,3,9,59,3,44,408,24,630,1059,446,329,124,543,500,77,209,595,122,703,3631,309,6782,70,20,24,24,32,34,11,17,36,8,22,169,1461,1786,3959,3127,1299,402,1952,1716,296,770,3821,450,3051,18737,3239,35053,1129,1499,370,7
5002,403,635,201,31,352,236,99,128,673,46,557,7355,597,10351,18,19,8,0,12,11,0,6,15,0,9,230,13,316,45,35,10,5,20,22,6,13,41,9,41,333,20,518,17,13,9,0,8,6,0,4,16,0,14,203,8,266,8,0,3,0,3,6,0,0,0,0,0,95,5,119,0,0,0,0,0,0,0,0,0,0,0,27,0,29,13,13,5,0,21,14,9,5,4,0,8,316,10,396,6,5,0,0,0,0,3,0,4,0,0,131,0,152,4,0,0,0,3,3,0,0,0,0,3,93,4,111,8,4,6,0,3,0,0,0,7,3,16,136,5,174,4,5,0,6,3,5,0,0,5,0,12,145,5,187,112,95,47,8,71,50,19,29,95,13,113,1713,75,2252,5,18,5,4,14,7,3,6,5,3,8,103,1896,2050,526,745,253,40,436,305,124,164,779,60,674,9171,2566,14660,310,455,131,6
5003,5593,5556,1724,414,2752,2069,470,1051,6551,501,4777,33850,2892,57211,218,227,81,14,128,81,23,59,200,19,141,1484,121,2386,970,432,290,85,457,386,79,234,540,93,556,2325,218,4920,161,52,50,22,92,81,13,42,81,24,104,589,34,1067,130,20,50,27,90,82,19,26,40,19,71,337,31,677,11,5,5,0,17,5,5,4,12,0,9,182,18,245,65,58,24,5,106,36,9,6,36,7,94,1401,55,1799,5,11,3,0,8,4,5,0,3,0,17,518,20,581,29,18,5,0,46,12,10,0,8,0,32,740,24,889,42,27,17,0,25,16,0,8,35,3,40,308,14,464,145,155,56,14,92,69,4,22,153,17,180,1558,58,2258,1766,1009,576,166,1071,771,160,405,1115,188,1250,9449,589,15292,85,40,23,14,43,35,7,17,57,11,38,213,3498,3953,7443,6619,2319,608,3867,2882,636,1473,7717,696,6068,43518,6990,76452,2387,3138,703,22
5004,2984,2563,1055,225,1181,1177,269,543,2960,295,2318,18694,1238,30279,124,81,34,3,35,50,7,24,90,11,78,578,36,989,732,287,251,75,278,290,48,153,342,75,373,1770,114,3648,84,29,46,18,43,42,0,19,49,7,60,524,24,788,36,8,16,8,20,21,3,9,21,4,23,151,11,255,8,0,0,0,4,3,0,0,3,0,3,21,0,42,15,22,4,0,27,17,0,3,13,4,22,411,14,514,8,3,4,0,4,0,0,0,8,0,3,184,4,208,19,7,0,0,23,11,3,0,14,4,19,260,7,337,23,30,9,0,9,14,0,6,33,0,34,256,3,367,53,50,23,6,18,33,3,3,51,8,49,460,16,699,1103,519,388,110,463,474,71,216,623,113,662,4620,234,7838,83,34,32,10,26,38,8,19,44,8,28,231,2014,2433,4165,3114,1477,347,1671,1683,343,774,3627,419,3008,23544,3481,40544,1201,1495,431,3
5005,831,896,297,74,469,400,91,185,785,74,583,5686,340,9080,35,24,14,0,9,17,0,9,18,3,14,216,11,333,80,43,24,10,47,47,6,22,49,14,37,272,20,517,26,8,5,0,12,10,0,4,11,3,15,78,10,147,5,0,0,0,3,3,0,0,0,0,3,19,0,33,4,0,0,0,0,0,0,0,0,0,0,3,0,5,10,3,0,0,9,0,0,0,4,0,8,145,0,173,0,0,0,0,0,0,0,0,0,0,4,25,0,27,0,6,0,0,5,5,0,0,0,0,4,44,0,57,0,4,5,0,5,0,0,0,9,0,0,48,0,68,14,9,8,0,10,5,4,0,21,0,7,149,4,207,171,88,53,16,103,90,13,29,116,22,95,1000,44,1566,41,21,18,0,23,14,0,12,25,5,12,121,1134,1355,1043,1005,367,89,593,504,106,225,927,100,692,6800,1522,12003,352,520,119,3
5006,2589,2959,967,276,1690,1263,383,618,3080,276,2337,17665,1536,29588,85,74,31,8,48,43,10,20,70,13,54,415,30,741,346,153,117,42,168,151,38,80,190,32,209,826,58,1737,65,24,23,8,34,18,8,21,27,4,34,246,18,421,53,10,18,12,37,39,5,8,24,8,28,114,9,244,0,3,0,0,0,0,0,0,0,0,3,52,0,59,30,49,9,0,53,13,8,0,19,0,63,733,24,946,9,0,4,0,0,0,0,0,0,0,5,100,5,120,6,20,4,0,23,7,0,5,5,0,18,264,14,345,22,16,6,4,14,13,4,3,25,4,29,124,11,213,33,37,15,3,36,22,0,7,53,0,56,487,24,712,656,379,235,76,416,315,74,145,417,70,491,3350,188,5533,53,16,17,14,37,27,5,26,35,15,32,151,3172,3470,3300,3360,1214,366,2143,1603,464,782,3532,364,2866,21163,4890,38595,1058,1610,371,5
5007,1253,1543,419,87,846,509,186,271,1560,125,1240,12779,1178,19353,123,178,57,3,135,69,19,32,115,16,118,1629,111,2342,107,51,22,18,72,56,18,33,87,10,88,459,41,825,22,13,7,0,9,12,0,7,17,6,20,179,6,252,14,4,4,3,21,15,4,4,9,4,12,124,10,197,7,0,0,0,0,0,0,0,8,0,4,116,6,134,37,32,4,0,51,12,4,4,14,4,43,945,35,1131,0,7,0,0,0,5,0,0,0,0,0,218,6,235,10,10,4,0,32,7,6,3,3,0,16,472,13,553,9,6,5,0,7,4,4,4,6,0,13,172,9,223,30,43,24,0,46,14,0,0,52,6,59,825,26,1067,351,345,127,28,376,195,54,85,310,42,378,5138,266,6955,31,12,9,0,13,16,8,11,8,0,10,126,2562,2763,1639,1899,554,114,1232,722,245,361,1883,166,1626,18046,4006,29072,816,1115,283,3
5008,337,765,118,12,236,121,31,52,713,20,529,8303,450,11038,25,65,22,0,29,15,0,8,38,0,40,559,33,783,34,39,7,0,29,8,6,3,35,3,22,380,13,542,8,5,3,0,3,0,0,0,13,0,8,162,0,194,5,5,0,0,0,6,0,0,3,0,4,101,3,119,0,0,0,0,0,5,0,0,0,0,3,36,0,47,20,15,8,0,27,3,5,0,6,4,31,629,21,742,0,0,0,0,0,0,0,0,3,0,0,116,6,129,4,6,4,0,17,4,0,0,6,0,16,344,6,399,3,9,0,0,6,0,0,3,6,0,8,100,0,131,12,9,6,0,11,11,0,0,33,0,14,263,11,346,106,161,53,6,123,48,12,18,151,14,142,2686,97,3434,10,6,0,0,3,9,0,0,6,0,6,64,2452,2540,447,936,174,12,361,174,47,73,871,26,673,11057,3005,17013,351,633,127,4
5009,89074,112200,32779,6877,44289,39685,8649,18791,129252,9021,100746,798708,49845,1245356,4906,5408,1876,247,2976,2463,449,1130,4873,524,4326,40392,2439,62865,29900,15462,10513,2769,13654,13742,2534,6866,19313,3084,20026,109503,7169,202687,4567,2279,1854,612,2153,2531,425,1063,2810,543,3589,26820,1195,42289,8155,2071,2652,1404,5409,4394,943,1283,3739,1128,5196,29236,1778,52339,1334,1007,408,132,1461,725,209,169,1147,172,1729,18274,857,24921,5592,5535,2215,636,8240,3405,910,742,3932,834,9002,94588,3290,127620,910,771,582,118,1601,623,185,138,948,167,2345,40278,764,47693,3171,2344,931,353,5588,2305,481,520,1828,382,3876,74169,1995,91480,1779,1686,767,125,1005,733,148,290,2182,171,2168,20065,687,28431,4016,4044,1765,295,3364,2056,418,632,4415,394,5205,53892,2038,75309,64331,40606,23557,6687,45453,32972,6690,12830,45191,7409,57474,507225,22222,755634,2033,931,652,554,1160,1056,285,528,1176,336,1037,6258,85419,97245,155433,153739,56982,14112,90895,73710,15631,32157,175625,16768,159249,1312190,157488,2098239,50131,81848,18987,245
5010,332,800,106,10,323,169,68,73,606,45,536,7051,483,9828,50,65,12,3,33,22,5,14,38,4,37,671,30,912,24,20,8,0,15,10,0,3,31,8,23,268,13,392,6,5,0,0,5,0,0,0,0,5,5,108,0,131,4,0,0,0,8,5,0,0,3,0,0,66,7,87,0,0,0,0,0,0,0,0,0,0,0,41,7,50,12,11,5,0,38,15,9,0,7,0,29,656,16,772,0,0,0,0,0,0,0,0,3,0,7,76,6,93,0,6,0,0,13,0,0,0,0,0,3,258,3,283,3,10,0,0,0,0,0,0,7,0,4,70,4,89,15,16,7,0,15,4,3,0,20,0,29,280,12,375,122,133,35,3,135,54,15,21,117,14,142,2488,91,3191,3,11,4,0,5,6,4,3,7,0,3,98,2137,2277,456,949,141,13,468,231,87,94,729,71,682,9635,2721,15298,300,608,95,0
