SUA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
1035,173,6,0,6,181,68,0,252,0,0,0,0,0,0,0,0,0,0,4,5,1219,127,34,11,1388,18,4,26,1413,106,4,1523,420,45,3,0,464,3,5,6,472,17,0,486,270,33,4,0,312,0,3,4,316,12,0,328,17,4,5,0,22,0,0,0,22,0,0,19,4,0,0,5,6,0,0,0,6,0,0,8,710,76,10,5,802,3,9,5,811,33,0,848,6,0,0,0,6,3,0,3,9,0,0,9,3,0,0,0,3,0,0,5,8,5,0,11,11,0,0,0,11,6,0,6,20,5,0,22,722,76,10,5,820,3,9,15,827,35,0,866,99,14,5,0,116,9,0,9,126,38,0,163,0,0,0,0,0,0,0,0,0,0,5,5,819,91,13,10,936,12,9,22,957,76,0,1035,513,43,9,0,564,5,0,5,564,17,0,582,323,42,5,3,379,0,0,0,379,11,0,391
1036,1113,37,8,44,1155,282,0,1438,8,8,0,8,15,3,0,3,22,3,21,43,5668,1100,394,92,7257,101,21,117,7375,573,42,7991,1475,219,84,9,1791,19,5,24,1813,106,0,1920,1515,274,82,10,1875,16,5,23,1898,99,0,2005,190,50,55,0,297,0,0,3,300,6,0,310,10,3,0,14,32,0,0,0,33,6,7,45,3195,548,217,36,3992,39,9,51,4045,226,11,4276,19,0,0,0,22,5,0,5,27,0,0,27,37,7,0,0,50,6,0,6,52,0,0,54,53,10,3,0,72,9,0,11,82,5,0,82,3255,556,216,36,4064,46,9,61,4127,226,11,4360,506,109,40,10,663,21,9,29,695,199,3,895,3,5,0,3,11,0,0,0,10,3,10,25,3760,668,258,54,4740,67,21,86,4828,428,26,5283,1885,285,113,15,2291,34,12,42,2337,139,0,2475,1819,327,109,16,2277,28,11,37,2309,124,0,2436
2000,2238,44,14,62,2299,529,15,2839,21,5,0,10,35,0,0,0,40,4,73,111,13816,1995,454,367,16631,160,62,224,16855,1164,110,18128,3612,393,74,39,4115,27,12,36,4150,182,7,4334,4175,655,104,62,4999,29,13,43,5040,258,3,5301,213,44,63,3,314,3,0,3,323,21,0,342,54,12,0,101,169,0,0,0,169,10,4,186,8055,1100,237,207,9601,58,21,82,9680,472,19,10168,35,8,3,0,49,7,6,6,56,9,0,72,56,9,0,0,72,3,0,8,77,13,0,88,93,14,10,4,126,13,6,15,136,23,0,162,8156,1120,248,209,9724,75,26,96,9820,493,19,10323,1014,205,44,45,1309,27,15,41,1350,352,9,1705,19,5,3,11,33,0,0,0,33,0,54,90,9178,1326,294,259,11057,97,39,135,11194,843,83,12117,4570,488,104,45,5203,38,14,45,5249,266,10,5522,4950,873,137,81,6043,30,16,48,6089,292,6,6389
2001,111,0,4,0,114,6,0,128,0,0,0,0,0,0,0,0,0,0,3,9,604,66,22,25,708,4,4,5,710,23,8,745,169,15,4,0,183,4,0,4,189,13,0,203,156,16,0,0,174,0,0,0,174,0,0,172,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,4,8,0,0,0,8,0,0,9,332,27,3,7,370,4,0,4,377,18,0,400,7,0,0,0,6,0,0,0,10,0,0,10,7,0,0,0,5,0,0,0,5,0,0,5,12,7,0,0,13,0,0,0,16,0,0,16,343,31,9,7,387,5,0,5,393,18,0,411,45,3,0,0,53,0,0,0,53,8,0,65,0,0,0,0,3,0,0,0,3,0,5,8,393,32,8,6,445,5,0,4,446,29,4,481,170,22,8,0,198,0,0,3,204,13,0,215,151,16,3,0,175,0,0,0,175,8,0,182
2002,45,0,0,0,45,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,239,49,6,4,298,0,0,3,300,33,0,331,46,6,0,0,52,0,0,0,52,9,0,60,66,16,4,4,87,0,0,0,87,8,0,101,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117,27,0,7,150,0,0,0,150,17,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,27,0,7,148,0,0,0,148,17,0,162,30,0,0,0,40,3,0,3,37,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,148,25,3,7,188,3,0,3,191,21,0,210,76,9,0,3,88,0,0,0,88,6,0,94,89,19,4,0,109,0,0,0,109,15,0,121
2003,376,13,0,11,388,69,0,462,0,0,0,0,4,0,0,0,4,0,9,12,2275,311,55,19,2657,33,8,40,2693,166,14,2875,546,69,14,0,630,0,6,3,639,30,0,669,660,87,7,3,754,5,4,10,770,38,0,805,45,3,6,0,52,0,0,0,52,4,0,56,3,0,0,0,11,0,0,0,11,0,7,14,1263,160,22,9,1448,7,10,16,1469,75,6,1548,6,0,0,0,6,8,0,8,10,0,0,12,23,4,0,0,23,0,0,0,20,0,0,26,30,4,0,0,28,5,0,5,37,3,0,36,1292,159,22,11,1484,13,10,24,1501,74,6,1583,172,36,5,8,217,11,0,11,221,60,0,282,0,0,0,0,0,0,0,0,0,0,7,5,1461,198,29,13,1694,22,10,29,1721,136,8,1869,741,87,14,3,839,3,0,7,845,44,0,892,745,116,16,6,882,15,8,13,895,36,0,933
2004,333,10,0,10,343,80,0,423,3,0,0,0,7,0,0,0,7,0,7,15,1940,246,53,29,2269,30,5,39,2305,163,14,2488,494,54,11,0,560,7,0,10,570,27,0,595,590,98,12,5,697,6,0,6,708,24,0,736,30,3,4,0,36,5,0,5,35,4,0,44,8,0,0,6,13,0,0,0,13,5,3,22,1119,151,26,12,1315,17,3,20,1332,62,5,1392,4,5,0,0,9,0,0,0,10,0,0,10,22,4,0,0,25,0,0,0,26,3,0,32,26,3,0,0,33,0,0,0,39,3,0,41,1146,156,26,12,1340,17,3,24,1367,65,5,1437,153,28,5,0,188,4,0,8,198,68,0,268,0,0,0,0,0,0,0,0,0,0,5,13,1303,187,32,17,1532,23,7,32,1566,131,12,1707,684,82,19,0,777,4,5,7,790,36,0,826,673,110,13,0,803,4,0,3,802,32,0,838
2005,24,0,0,0,24,5,0,29,0,0,0,0,0,0,0,0,0,0,0,6,122,50,6,4,180,0,0,3,184,12,0,200,34,11,0,0,44,0,0,0,47,10,0,49,53,18,4,0,71,3,0,3,78,5,0,81,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,85,30,4,0,120,3,0,6,124,11,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,34,4,0,122,3,0,6,126,11,0,132,7,0,0,0,11,0,0,0,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,96,32,0,0,133,3,0,6,131,12,0,148,48,10,0,0,60,0,0,0,60,3,0,57,53,33,0,0,84,0,0,0,86,8,0,94
2006,30,0,0,0,30,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,257,33,3,4,289,0,0,0,289,13,0,308,65,3,0,0,68,0,0,0,70,4,0,71,73,10,6,0,88,0,0,0,88,0,0,89,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,140,13,3,0,159,0,0,0,162,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,144,13,3,0,162,0,0,0,159,0,0,165,11,0,0,0,15,0,0,0,15,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,157,14,5,0,175,0,0,0,184,8,0,191,89,12,3,0,101,0,0,0,101,3,0,99,82,8,3,0,99,0,0,0,97,6,0,108
2007,60,0,0,0,62,9,0,72,0,0,0,0,0,0,0,0,0,0,0,0,459,48,9,8,525,0,4,8,535,19,3,564,127,12,0,0,144,0,0,3,148,4,0,151,132,11,0,3,150,0,0,0,149,5,0,156,6,0,0,0,5,0,0,0,8,0,0,8,0,5,0,0,6,0,0,0,6,0,0,6,261,30,0,3,303,3,0,3,303,13,0,319,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,6,0,0,6,260,30,0,3,305,3,0,4,306,13,0,316,24,5,0,0,31,0,0,0,31,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,286,36,0,10,333,3,0,4,336,16,0,352,183,23,3,0,213,0,0,0,209,3,0,212,175,23,0,0,207,0,0,0,209,6,0,210
2008,947,19,9,21,972,193,0,1169,4,3,0,3,5,0,0,0,5,0,17,28,5816,916,154,73,6957,66,23,87,7050,413,27,7491,1338,181,27,5,1553,27,0,26,1581,78,4,1664,1827,227,35,8,2095,30,3,35,2130,56,0,2183,83,14,13,0,105,0,0,5,110,9,0,123,13,0,0,22,37,0,0,0,37,0,0,37,3252,421,76,38,3793,54,10,64,3855,145,4,4000,17,3,10,0,27,4,0,4,35,3,0,40,42,3,0,0,47,3,0,3,49,0,0,52,62,9,10,0,78,8,0,8,78,11,0,93,3309,435,79,38,3866,59,10,70,3932,147,4,4089,466,86,14,13,584,10,0,11,593,126,3,725,5,0,0,4,8,0,0,0,8,0,10,21,3784,522,90,57,4457,72,11,82,4538,280,14,4839,1775,240,34,9,2057,33,6,39,2097,103,0,2201,2127,290,41,8,2474,22,4,25,2500,82,3,2587
2009,98,0,0,0,98,10,0,110,3,0,0,0,3,0,0,0,3,0,0,3,698,84,9,13,801,12,0,12,817,25,0,839,173,17,5,0,196,0,0,0,194,7,0,204,219,24,6,0,253,5,0,5,257,0,0,257,14,0,0,0,12,0,0,0,12,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,403,38,14,4,465,11,0,11,476,7,0,482,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,0,3,11,0,0,10,9,0,0,0,9,3,0,3,11,0,0,10,410,38,14,4,472,8,0,8,483,8,0,497,32,8,0,3,43,3,0,3,44,3,0,50,0,0,0,0,0,0,0,0,0,0,7,4,444,50,12,10,517,11,0,11,529,13,7,547,239,24,7,0,269,3,0,3,273,11,0,286,272,32,7,3,317,0,0,0,319,6,0,326
2010,67,0,0,0,67,14,0,84,0,0,0,0,0,0,0,0,0,0,0,0,339,37,10,4,394,0,0,5,402,31,0,428,93,14,0,0,109,0,0,0,108,0,0,106,105,12,0,3,117,0,0,0,121,6,0,126,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,202,23,4,0,231,0,0,0,232,6,0,241,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,7,0,0,7,5,0,0,0,5,0,0,0,7,0,0,4,208,23,4,0,231,0,0,4,235,7,0,243,24,4,3,0,41,0,0,0,41,12,0,46,4,0,0,0,0,0,0,0,0,0,0,0,233,26,5,5,277,0,0,4,277,20,0,296,110,9,0,0,117,0,0,0,118,4,0,120,144,15,0,0,165,0,0,0,166,4,0,171
2011,22893,762,232,1000,23898,5397,120,29412,181,59,3,233,475,14,0,15,490,48,464,1003,98852,15760,2249,1836,118701,2532,641,3175,121878,9861,824,132557,24110,2977,417,104,27608,498,117,616,28224,1467,37,29725,24463,4079,479,164,29187,414,78,495,29676,1352,42,31070,1196,217,200,11,1620,32,7,39,1664,133,7,1801,236,30,12,267,544,19,9,20,561,44,54,669,49998,7299,1112,545,58958,957,208,1166,60122,3000,136,63257,539,113,20,11,688,114,11,123,810,92,0,903,900,180,15,20,1118,100,67,173,1292,119,9,1418,1438,294,37,31,1801,220,83,300,2102,206,8,2314,51440,7594,1145,577,60761,1174,287,1466,62224,3205,147,65573,10375,2494,300,341,13516,473,151,624,14136,3807,82,18023,87,25,3,101,222,0,0,0,224,24,263,512,61903,10119,1446,1028,74496,1647,445,2094,76585,7039,494,84115,32474,3964,604,133,37173,685,124,802,37984,2148,61,40185,30989,5301,605,213,37107,514,130,644,37750,1874,30,39646
2012,175,6,0,7,188,67,0,257,0,0,0,0,3,0,0,0,3,0,6,5,939,138,24,27,1125,21,4,22,1154,127,14,1293,267,32,0,0,311,0,3,5,313,14,0,334,246,41,8,5,293,4,0,3,299,16,3,315,12,3,0,0,18,0,0,0,18,5,0,18,0,0,0,5,8,0,0,0,8,6,0,15,534,75,11,9,630,6,3,13,642,38,4,683,4,0,0,0,4,7,0,7,11,0,0,7,3,0,0,0,8,0,0,0,10,6,0,14,8,4,0,0,11,7,0,7,18,5,0,19,539,78,11,15,640,13,3,15,661,39,4,704,80,20,0,7,103,5,0,6,109,44,3,156,0,0,0,0,0,0,0,0,0,0,4,4,623,97,13,18,745,18,6,21,765,88,10,866,346,33,5,0,391,0,0,0,388,22,0,415,280,49,6,5,336,6,0,3,339,16,4,359
2013,66,4,0,4,73,22,3,94,3,0,0,0,3,0,0,0,3,0,6,7,323,50,5,15,393,17,0,14,413,43,4,458,72,10,0,0,78,0,0,0,79,3,0,84,124,18,3,0,139,9,3,6,151,10,0,156,12,0,0,0,9,0,0,0,9,5,0,12,0,0,0,0,0,0,0,0,3,0,0,3,200,23,8,0,235,9,3,9,243,15,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,201,23,8,0,230,9,3,14,245,15,0,263,37,3,0,0,46,3,0,3,46,14,0,65,0,0,0,0,0,0,0,0,0,0,0,0,243,27,4,4,281,7,3,14,292,34,5,330,108,10,0,0,119,0,0,0,119,6,0,125,126,18,4,4,150,3,0,4,151,7,0,166
2014,41,0,0,0,42,12,0,47,0,0,0,0,0,0,0,0,0,0,0,0,167,27,3,3,203,4,0,5,206,15,0,224,49,6,0,0,54,0,0,0,54,0,0,59,61,9,0,0,72,0,0,0,73,4,0,74,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,4,114,14,0,0,133,0,0,0,132,7,0,145,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,3,0,0,0,3,0,0,5,117,14,0,0,138,0,0,0,136,7,0,145,14,5,0,0,26,0,0,0,25,8,0,33,0,0,0,0,0,0,0,0,0,0,0,0,135,18,0,0,155,5,0,5,159,19,4,178,60,9,5,4,71,0,0,0,67,3,0,72,55,12,7,0,72,0,0,0,72,3,0,76
2015,58,0,0,0,58,19,0,71,0,0,0,0,0,0,0,0,0,0,0,0,298,45,0,0,343,4,3,12,357,24,4,385,66,9,0,0,74,0,0,0,75,4,0,80,90,14,0,0,106,0,0,0,103,0,0,107,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,5,161,20,4,3,181,0,0,6,186,5,0,190,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,5,165,20,4,3,183,0,0,6,192,5,0,196,28,9,0,0,38,0,0,0,41,13,0,52,0,0,0,0,0,0,0,0,0,0,0,0,195,26,4,3,222,3,0,3,231,18,0,247,87,5,0,0,99,0,0,0,100,5,0,105,98,20,6,0,123,0,0,0,124,9,0,136
2016,220,14,4,20,242,153,0,396,3,3,0,0,8,0,0,0,8,0,15,21,927,184,28,19,1156,28,21,45,1205,201,15,1427,256,35,3,0,295,4,0,4,306,15,0,323,260,38,10,0,303,0,3,6,311,17,0,325,13,4,4,0,26,0,0,0,26,0,0,22,5,0,0,4,8,0,0,0,8,0,0,8,537,76,16,7,632,7,3,11,641,32,0,674,10,0,0,0,10,0,0,0,10,0,0,6,4,0,0,0,4,0,0,0,3,3,0,11,10,0,0,0,10,0,0,0,12,6,0,15,546,76,16,7,637,6,3,9,652,41,0,691,86,29,8,3,126,8,3,11,141,122,0,262,3,0,0,0,3,0,0,0,3,0,4,10,632,106,17,10,769,16,11,23,791,155,5,959,334,42,5,0,381,0,0,0,379,16,0,400,325,49,13,0,384,4,0,4,389,12,0,399
2017,38,0,0,0,39,10,0,48,0,0,0,0,3,0,0,0,3,0,0,3,211,21,3,7,236,6,0,6,244,20,0,265,46,12,0,0,52,0,0,0,53,0,0,56,56,9,0,0,66,0,0,0,67,0,0,67,4,0,0,0,4,3,0,3,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,109,13,0,0,127,4,0,8,131,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,13,0,0,127,4,0,8,131,0,0,132,21,7,0,0,22,0,0,0,27,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,129,21,0,0,152,4,0,11,160,7,0,160,70,3,0,0,72,3,0,3,82,0,0,82,68,8,0,0,71,0,0,0,71,0,0,71
2018,116,0,3,3,124,36,0,160,0,0,0,0,0,0,0,0,0,0,3,4,745,90,23,15,873,19,3,20,896,70,10,973,184,17,3,0,203,0,0,3,208,13,0,213,210,31,10,0,256,5,0,5,260,10,0,271,14,0,0,0,17,0,0,0,17,4,0,21,0,0,3,0,0,0,0,0,0,0,0,0,409,48,17,7,479,10,0,10,491,23,0,511,4,0,0,0,5,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,9,0,0,9,9,0,0,0,6,0,0,0,16,0,0,14,420,51,17,7,490,12,0,14,500,26,0,525,63,15,3,3,81,0,3,5,87,32,0,119,0,0,0,4,4,0,0,0,4,0,6,3,485,65,19,10,571,14,5,18,588,51,5,649,217,30,3,0,250,3,0,3,255,11,0,271,271,25,10,0,310,3,0,8,319,14,0,327
2019,61,0,0,0,61,12,0,68,4,0,0,0,4,0,0,0,4,0,0,4,388,68,13,6,469,7,0,6,478,24,0,501,104,11,3,0,110,0,0,0,116,8,0,123,106,14,0,4,128,0,0,0,128,4,0,129,10,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,212,29,3,6,253,0,0,0,253,10,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,217,29,8,6,257,6,0,6,262,10,0,272,20,0,0,0,24,0,0,0,24,3,0,30,0,0,0,0,0,0,0,0,0,0,3,5,241,33,7,9,283,6,0,6,287,16,3,307,150,11,0,0,164,0,0,0,166,14,0,182,139,23,6,3,175,0,0,0,172,4,0,178
2020,178,10,0,10,188,24,0,217,5,0,0,0,5,0,0,0,5,0,4,11,905,129,27,16,1080,12,5,15,1091,67,7,1162,207,26,7,4,245,0,4,0,245,11,0,259,285,43,4,0,338,0,0,0,344,11,5,355,17,5,4,0,20,0,0,0,20,0,0,24,0,0,0,5,7,0,0,0,8,0,0,8,515,69,17,7,614,4,0,6,619,23,4,649,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,3,11,0,0,11,10,0,0,0,10,3,0,3,13,4,0,9,525,69,17,7,619,8,0,10,629,23,4,660,82,21,0,0,104,4,0,4,107,17,0,123,0,0,0,0,0,0,0,0,0,0,0,4,603,88,19,10,728,9,0,12,739,45,3,789,246,29,5,3,282,0,4,5,287,8,0,296,333,44,6,0,387,7,0,7,396,17,0,411
2021,95,0,0,0,97,24,0,120,0,0,0,0,0,0,0,0,0,0,0,3,715,84,22,13,836,4,6,9,842,46,7,895,173,19,5,0,191,0,0,0,190,9,0,196,299,40,5,0,346,0,0,0,347,11,0,352,10,3,0,0,17,0,0,0,17,0,0,17,4,0,0,0,7,0,0,0,7,0,0,10,482,62,7,3,556,0,0,3,556,18,0,578,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,485,62,7,3,560,0,0,3,565,18,0,576,41,7,0,0,52,0,0,0,55,21,0,70,0,0,0,0,0,0,0,0,0,0,3,0,531,70,9,3,612,0,0,3,612,33,8,657,223,25,4,0,258,7,0,7,257,14,0,271,321,43,6,0,371,0,0,0,371,11,0,377
3000,2565,116,36,153,2714,1058,6,3777,27,8,0,23,58,0,0,0,61,3,113,178,13349,1791,533,413,16088,288,73,361,16450,1884,159,18498,3632,322,99,32,4090,30,15,43,4133,211,4,4354,3300,518,129,65,4019,40,17,61,4075,256,9,4337,188,40,41,6,273,6,0,0,280,29,0,311,56,13,0,87,154,0,0,0,158,12,7,177,7174,895,279,187,8534,72,35,108,8642,512,23,9175,50,19,3,6,77,28,4,34,112,14,0,128,91,8,4,6,104,10,13,24,129,12,0,140,146,24,9,10,182,42,14,57,244,31,0,270,7319,917,291,193,8720,114,51,166,8884,539,25,9446,1149,202,54,65,1471,56,11,68,1543,735,6,2281,12,5,0,10,26,0,0,0,29,7,74,111,8484,1121,345,265,10215,171,65,234,10455,1274,106,11836,4452,385,134,44,5018,35,10,44,5057,286,5,5347,3665,588,128,70,4454,48,16,70,4518,263,6,4788
