RA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
RA10,1014,2379,13877,5584,2063,12637,4040,17001,992,59587,6225,21048,31213,14330,10162,15979,11521,18292,2940,131710,41575,103310,68397,22196,25153,20773,28882,28510,7926,346719,73023,105367,55451,16372,25032,16262,28715,20704,7260,348205,67071,71060,46449,13674,20497,13315,30088,20874,5741,288764,42075,46557,35005,9777,15429,10207,27787,19491,3782,210114,11288,17430,8247,2685,4704,3503,7021,5669,1233,61775,1953,2998,773,259,592,615,543,634,427,8794,201,211,47,13,44,54,11,39,124,751,244431,370368,259464,84898,103669,93351,138609,131220,30431,1456427,952,3387,2170,15065,5060,27356,1225,7119,884,63222,6417,29388,6191,32643,22518,21917,2693,6724,2238,130720,37869,135929,14034,44971,56001,23557,4982,12056,6135,335524,51333,116235,11294,35273,63906,19246,4237,11313,5672,318500,43067,82250,9430,35209,65877,18986,4723,14335,4061,277933,21675,49908,6373,25669,50930,14325,3903,13910,2519,189217,4403,13344,1378,5070,13949,3405,768,3150,843,46304,485,1189,111,312,1503,369,50,233,301,4566,49,56,11,16,78,35,0,11,105,354,166245,431687,50989,194233,279807,129196,22578,68844,22753,1366340
RA11,486,255,6652,1906,385,4842,1149,7142,459,23277,1393,1565,10618,2955,877,2686,2317,5414,532,28352,6602,8556,20954,5186,2274,3373,6888,9269,1243,64353,11443,10630,16712,4745,2695,2918,7677,7614,1359,65789,13861,11016,15275,5161,3415,3268,9588,8190,1463,71256,12399,9538,12732,4088,3341,3233,10001,8295,1190,64806,5713,4234,3334,1037,1147,1292,3066,2558,478,22865,1705,680,318,76,184,208,332,357,233,4099,215,38,20,7,9,22,12,17,82,426,53819,46508,86618,25164,14328,21848,41041,48864,7049,345236,315,458,1106,6425,1320,9588,225,3286,405,23124,1162,3463,1858,8889,3758,4516,422,2356,416,26843,5282,18203,3856,13068,10271,5561,839,4319,912,62296,8194,19463,3295,11623,12986,4987,789,4419,1015,66781,9782,18518,3297,12932,16767,5968,971,5431,1099,74774,7305,14692,2368,11040,15206,5626,840,5694,791,63562,2592,4109,579,2243,4179,1485,201,1363,333,17080,638,254,44,134,437,116,19,168,214,2019,57,7,8,3,24,10,3,9,62,196,35332,79173,16413,66349,64936,37865,4306,27045,5257,336677
RA12,195,38,1488,242,43,865,285,1608,144,4907,484,271,2136,411,132,442,755,1556,134,6319,2366,1361,3975,852,368,611,2211,2812,325,14876,3542,1378,3294,667,375,527,2343,2125,340,14577,4625,1544,3022,828,539,666,2755,2415,357,16749,5401,1434,2835,793,677,671,3134,2563,363,17869,3514,689,819,211,266,259,1056,870,182,7861,1232,111,96,18,27,47,129,146,104,1921,212,14,6,0,6,6,3,16,36,288,21568,6838,17672,4023,2422,4098,12667,14107,1977,85374,79,85,248,1259,270,1707,75,810,122,4661,221,687,416,1528,726,785,166,737,89,5363,1152,3619,833,2695,2166,1216,319,1487,219,13709,1960,3574,724,2492,2751,1069,231,1392,205,14394,2718,3493,756,2933,3442,1348,264,1671,233,16862,2818,3059,629,2786,3394,1293,257,1877,244,16354,1711,841,169,560,1075,350,84,461,140,5387,499,66,17,29,142,36,14,85,86,973,70,0,7,0,11,0,0,8,13,109,11222,15420,3788,14287,13977,7813,1412,8523,1362,77802
RA13,17,0,72,9,0,19,34,85,11,249,57,28,93,28,4,13,76,115,7,426,290,96,242,67,22,22,198,220,24,1179,368,75,180,44,13,22,156,143,17,1022,494,54,138,39,30,10,219,132,20,1143,531,54,167,34,27,37,207,193,32,1271,330,21,46,10,7,17,79,73,14,602,100,3,4,0,0,4,11,11,8,145,18,0,0,0,0,0,0,5,3,31,2207,333,952,227,111,140,982,972,127,6055,8,6,8,80,20,49,10,52,4,233,12,50,18,103,47,39,25,55,3,354,103,290,39,199,172,59,51,131,18,1069,167,212,36,170,163,41,26,93,22,936,265,207,42,163,194,59,30,123,19,1094,278,147,28,162,182,60,26,121,9,1016,135,33,8,33,71,18,8,29,7,346,46,4,0,3,14,0,0,3,13,92,3,0,0,0,0,0,0,0,0,5,1030,949,183,907,870,322,173,597,95,5142
RA14,0,0,22,0,0,0,0,27,0,55,15,3,23,13,3,0,8,21,3,86,52,17,33,38,11,3,30,47,8,248,82,23,42,23,10,9,25,24,4,232,92,16,27,23,7,3,30,42,7,252,117,18,35,13,13,7,40,42,9,292,75,8,11,5,0,0,13,16,0,141,26,0,0,0,0,6,4,4,4,37,4,0,0,0,0,0,0,0,0,8,461,91,194,110,48,30,154,228,36,1351,0,0,3,19,5,8,0,11,3,48,6,14,0,30,12,4,3,16,0,81,20,81,11,59,51,7,3,34,6,269,41,55,10,39,37,7,6,26,0,226,58,60,8,38,45,12,0,30,8,258,72,38,9,37,36,18,0,19,11,244,42,12,5,11,13,6,0,11,0,96,8,0,0,0,3,0,0,0,0,24,3,0,0,0,0,0,0,0,0,3,257,262,40,236,203,63,14,148,33,1240
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,8,9,0,14,0,20,0,57,4,9,25,19,3,18,12,32,4,128,27,94,79,33,11,15,69,97,11,435,38,45,57,24,14,7,55,33,12,295,21,47,30,19,15,11,36,40,5,228,33,29,35,13,11,6,32,22,10,187,7,14,7,0,0,4,9,3,4,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,133,236,241,122,63,69,216,254,55,1388,4,0,3,21,3,26,0,5,0,66,4,16,6,30,9,19,11,19,0,122,29,94,15,60,41,25,18,87,3,369,25,56,6,33,24,11,0,24,6,195,26,37,3,41,38,10,4,19,8,189,21,40,4,21,44,7,4,16,3,156,0,12,0,4,7,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,264,47,216,168,104,35,165,22,1128
RA20,724,1264,9081,6195,1718,12234,2541,15921,920,50593,4997,15193,29443,12953,9081,15546,10597,18221,2866,118888,34576,88954,70176,21294,24385,18508,29396,29705,7715,324717,61532,88329,55158,14657,21985,14174,27327,20930,6818,310903,56633,57963,44919,11870,17171,11852,25581,20019,5194,251197,35771,37586,32049,8562,12930,8576,22891,16913,3380,178659,9697,14119,7716,2235,3959,2974,5761,5177,1138,52770,1657,2332,784,218,491,530,382,753,330,7477,144,151,36,17,35,38,14,53,97,588,205722,305882,249367,78002,91749,84444,124480,127687,28448,1295783,743,1627,1336,13104,3367,27786,695,6743,788,56190,5322,21711,5722,28581,18130,24798,2506,7686,2072,116530,30336,120036,15301,45016,48489,21769,4774,13485,5648,304864,41139,100982,11965,36971,51049,16202,3993,11462,5072,278833,35648,68464,9693,34188,53677,16726,4795,13663,3849,240704,17615,40242,5835,23623,41223,12509,3509,12217,2196,158976,3718,10174,1200,4767,10778,2971,610,3121,688,38027,437,867,81,277,931,269,39,359,258,3523,29,56,3,4,34,12,0,12,93,249,134977,364160,51135,186534,227678,123037,20937,68758,20671,1197891
RA21,412,188,4508,1437,242,3630,660,5666,378,17122,1376,1352,8491,2042,787,2089,1771,4516,460,22891,5937,7718,16942,3779,2049,2648,5090,7910,1105,53171,10457,9203,13943,3214,2402,2229,5521,6485,1032,54494,12593,8728,12828,3623,2776,2642,7429,6777,1237,58629,11234,7381,10500,3040,2701,2418,8065,6582,1101,53013,5445,3311,2629,847,1015,991,2415,2166,451,19262,1701,461,227,70,135,163,177,285,201,3409,233,18,11,3,6,13,9,17,62,377,49386,38355,70070,18071,12116,16825,31135,40402,6011,282367,261,187,668,4223,870,7880,164,2726,332,17324,981,2787,1523,6521,2929,3888,346,2198,322,21499,4161,15835,3359,10226,7998,4141,591,3779,703,50797,6568,17032,2909,9088,10272,3681,528,3729,746,54560,7934,14965,2745,10482,12854,4769,776,4904,811,60245,6112,11383,2067,8932,11653,4359,764,5197,657,51133,2585,3004,434,1787,3013,991,164,1304,314,13591,638,183,26,80,266,75,13,157,140,1585,60,13,6,5,23,4,0,3,60,175,29301,65382,13740,51351,49877,29795,3349,24009,4096,270894
RA22,158,23,878,204,29,668,156,1087,79,3277,397,204,1510,295,82,379,399,1004,98,4363,1757,1151,2769,681,290,515,1110,2064,274,10609,2525,1165,2276,545,286,429,1204,1506,258,10195,3152,1189,2140,599,390,502,1535,1610,279,11409,3569,1120,2088,590,476,550,1983,1756,285,12417,2142,509,566,161,205,205,605,588,119,5094,726,72,65,17,22,33,57,86,82,1170,109,0,3,0,6,0,4,18,24,166,14530,5445,12303,3090,1780,3289,7057,9718,1487,58696,66,40,111,741,143,1355,33,576,68,3141,179,499,279,1110,506,607,87,491,77,3840,839,2883,557,1930,1334,794,119,1130,170,9761,1371,2616,526,1678,1752,744,102,971,166,9933,1898,2437,513,2156,2292,1004,150,1209,177,11841,1879,2182,410,2087,2225,1001,163,1393,159,11504,1028,546,95,440,657,230,32,380,99,3502,264,30,13,23,66,10,6,51,66,530,21,0,0,0,7,0,4,4,18,56,7546,11243,2508,10165,8981,5749,692,6220,1003,54105
RA23,4,0,6,0,0,0,3,13,0,25,3,0,3,0,0,0,6,12,0,34,35,11,11,4,0,0,20,18,3,102,60,8,8,10,0,0,14,12,0,120,56,9,9,0,4,4,18,16,0,115,84,13,14,6,5,5,30,29,0,187,76,3,3,0,4,0,14,20,0,120,25,0,0,0,0,0,0,0,4,28,3,0,0,0,0,0,0,0,0,4,339,48,60,20,19,15,101,121,18,743,0,0,0,4,0,0,3,5,0,12,0,0,0,8,0,5,0,3,0,28,6,25,0,18,14,9,5,9,3,94,18,28,6,24,22,5,4,10,0,116,26,18,3,16,28,5,0,4,3,109,39,28,9,29,31,11,5,14,5,167,33,4,0,5,9,0,0,9,0,62,11,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,139,113,22,116,102,40,14,59,14,608
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,4,0,10,4,0,4,8,7,0,43,5,4,25,13,10,10,15,22,3,104,21,70,68,25,12,19,33,66,8,316,34,44,44,9,9,9,21,38,9,210,22,19,32,11,0,9,34,53,6,182,23,15,26,9,4,5,29,21,0,131,4,3,10,0,3,0,5,8,4,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,108,159,207,68,36,56,147,207,33,1022,0,0,5,9,0,16,4,0,0,37,4,16,4,37,11,16,5,13,0,109,19,74,15,52,38,20,15,51,8,287,18,47,8,20,18,5,3,9,5,131,13,24,3,25,14,11,3,9,0,99,8,25,4,19,22,9,6,10,3,96,0,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,63,176,44,155,109,74,32,104,16,771
RA30,678,1048,7979,4936,1319,10675,3432,14473,759,45296,3341,9896,19613,9362,5398,9446,7637,13365,1755,79819,19175,42730,46107,14207,12077,11076,18390,20136,4157,188060,34361,47257,39893,10482,12192,8792,17534,15403,3987,189897,35884,38376,32844,9788,11161,8425,17471,14420,3352,171727,22454,23723,22661,6287,8439,6576,15103,11667,2138,119049,6130,8045,5164,1514,2302,2434,4169,3446,672,33870,1047,1103,389,154,303,439,360,419,238,4455,87,56,19,4,26,27,15,21,71,322,123156,172241,174677,56729,53213,57894,84118,93348,17120,832494,796,1418,1612,13692,3485,21855,850,6707,752,51172,4021,14706,4259,22097,14099,14248,1690,5192,1310,81625,17889,62138,9722,31290,32811,14458,2714,9695,3228,183950,24675,62030,7704,26476,36693,11097,2103,8979,3132,182896,22867,47982,6679,25844,39852,12302,2380,10356,2463,170724,11470,27463,3892,17901,29792,9790,1815,9282,1413,112817,2467,5907,783,3336,7418,2673,409,2205,419,25622,281,433,64,171,642,275,23,215,147,2257,18,16,0,3,27,10,0,4,69,142,84486,222093,34722,140820,164814,86708,11989,52632,12940,811208
RA31,258,150,3789,1101,238,3275,814,4863,316,14798,745,1116,6300,1562,585,1669,1868,4209,397,18445,3534,4770,13342,2819,1434,2011,5318,6725,879,40828,6070,5851,12110,2520,1670,1690,6300,5214,1028,42443,7651,6199,10984,2749,2173,1867,7812,5386,1062,45886,6671,5091,8885,2233,1993,1774,7801,4953,817,40207,2795,1789,2016,527,563,698,1968,1331,289,11977,798,234,158,42,83,113,175,205,127,1925,100,13,11,0,15,11,4,13,48,205,28612,25200,57593,13551,8740,13093,32067,32898,4955,216718,220,248,706,3850,1061,6398,225,2236,282,15222,750,2477,1372,4835,2775,2820,362,1624,268,17292,2989,10150,2632,7682,7317,3486,757,3353,590,38962,4427,11365,2124,7991,8669,3227,696,3572,670,42741,5235,10626,2139,8978,10441,3970,863,4436,619,47315,3741,7615,1438,7160,8766,3332,735,4249,483,37524,1322,1733,281,1265,2099,818,137,1082,181,8909,313,120,32,73,215,73,0,102,95,1018,30,7,0,3,14,4,0,0,34,101,19030,44345,10720,41839,41358,24126,3778,20661,3230,209079
RA32,185,102,2541,855,148,2260,542,3096,227,9957,615,983,4562,1901,439,1178,1470,2716,305,14167,3015,4115,9810,3237,990,1366,4030,4807,750,32126,5095,4285,8584,2218,1198,1081,5005,3533,699,31685,6090,4334,7640,2254,1407,1256,6020,3697,781,33489,5364,3360,5871,1594,1344,1164,5781,3656,636,28775,2499,1284,1466,351,358,414,1698,1143,227,9443,838,167,121,36,70,74,143,172,84,1709,98,5,3,0,3,7,9,17,23,169,23803,18634,40599,12451,5962,8794,24700,22833,3732,161511,152,210,545,2661,702,4542,127,1489,228,10651,561,2182,879,3588,1923,2032,399,1160,201,12909,2428,8592,1851,5925,5243,2508,820,2613,478,30458,3748,8574,1661,5753,6711,2431,742,2576,481,32690,4310,7427,1382,6093,7327,2924,848,3172,483,33980,3109,5061,973,4573,6034,2582,546,3183,360,26427,1162,1243,220,916,1544,713,123,843,174,6945,275,90,17,61,175,72,8,108,83,891,25,3,0,0,10,3,0,15,15,67,15778,33384,7538,29581,29668,17804,3623,15153,2497,155022
