UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL214006,219,73,297,814,356,39,1212,4161,485,5860
UCL214007,10,0,16,1061,185,24,1267,2466,193,3924
UCL214008,369,47,417,1343,481,50,1874,5644,473,7992
UCL214009,264,21,291,1344,522,59,1929,4909,422,7258
UCL214010,203,33,235,811,388,27,1224,3654,239,5113
UCL214011,217,21,239,1525,406,45,1982,4692,415,7087
UCL214012,249,62,312,817,312,34,1154,3480,364,5003
UCL214013,240,25,268,800,276,36,1111,2982,216,4313
UCL214014,217,42,261,662,321,30,1012,4000,590,5602
UCL214015,193,22,218,884,337,33,1250,3056,269,4575
UCL214016,332,50,383,891,375,59,1322,4829,465,6620
UCL214017,275,15,296,621,449,10,1079,3262,315,4657
UCL214018,213,92,306,838,606,44,1481,5969,647,8096
UCL214019,190,22,208,731,293,26,1049,3599,460,5101
UCL214020,143,72,225,687,271,33,989,3294,481,4765
UCL214021,177,30,213,990,268,17,1273,2941,217,4436
UCL214022,307,62,369,1024,417,51,1483,5183,540,7209
UCL215001,24,0,34,163,103,11,279,883,92,1246
UCL215002,94,0,96,327,106,16,448,1558,126,2126
UCL215003,96,12,102,432,230,14,671,1901,164,2735
UCL215004,37,12,47,165,74,6,251,891,148,1292
UCL215005,45,7,50,142,44,3,188,663,99,946
UCL215006,62,15,73,425,150,13,585,1428,112,2126
UCL215007,75,3,79,435,184,20,638,1276,118,2032
UCL215008,11,0,11,432,109,23,563,850,37,1450
UCL215009,16,4,14,102,55,4,163,561,79,801
UCL215010,28,3,32,466,133,7,605,1082,103,1798
UCL215011,45,7,51,128,57,8,187,729,82,1002
UCL215012,101,9,110,510,166,5,681,1941,131,2756
UCL215013,6,0,6,1045,160,25,1232,1596,144,2973
UCL215014,13,0,13,245,64,9,313,613,50,973
UCL215015,62,21,80,324,103,22,443,1487,203,2129
UCL215016,60,7,68,680,196,39,919,2171,186,3273
UCL215017,62,7,75,490,160,19,672,1279,140,2090
UCL215018,106,15,127,336,141,11,489,1795,175,2459
UCL215019,21,0,18,402,93,15,509,1126,236,1870
UCL215020,89,15,96,121,59,3,188,906,83,1183
UCL215021,16,4,18,162,61,4,226,716,81,1021
UCL215022,38,10,45,689,291,15,998,2451,336,3792
UCL215023,74,7,76,177,117,3,301,890,75,1274
UCL215024,105,14,121,215,104,12,323,1147,137,1602
UCL215025,14,7,19,112,52,10,178,662,64,896
UCL215026,20,0,23,141,55,5,201,671,90,957
UCL215027,63,15,76,138,47,3,192,699,120,1011
UCL215028,99,38,133,353,149,19,519,1592,265,2375
UCL215029,120,27,150,430,199,22,648,2391,263,3308
UCL215030,60,12,72,138,67,5,216,853,83,1154
UCL215031,72,13,87,145,64,5,214,839,109,1165
UCL215032,174,20,195,360,169,21,550,1891,242,2681
UCL215033,3,0,3,743,108,25,874,1086,43,2004
UCL215034,104,10,115,89,55,9,150,918,103,1171
UCL215035,23,3,23,312,104,7,429,747,105,1278
UCL215036,12,0,17,205,62,9,281,603,84,965
UCL215037,18,10,21,181,94,4,283,794,95,1170
UCL215038,96,11,107,170,66,7,239,1206,182,1633
UCL215039,55,6,59,200,94,6,298,838,141,1276
UCL215040,49,15,62,145,69,9,231,739,146,1115
UCL215041,184,24,208,459,191,20,674,2168,246,3087
UCL215042,0,0,4,195,62,11,263,685,75,1018
UCL215043,73,17,94,698,150,37,892,1533,99,2517
UCL215044,22,13,34,297,120,11,427,828,91,1344
UCL215045,157,20,177,539,247,24,809,2195,190,3201
UCL215046,17,0,19,313,101,8,424,845,80,1345
UCL215047,25,4,34,416,131,16,567,996,106,1669
UCL215048,14,0,21,348,79,23,448,886,106,1443
UCL215049,38,14,56,140,95,9,239,773,119,1134
UCL215050,21,4,22,554,181,21,755,1421,131,2308
UCL215051,130,8,144,659,254,41,957,2509,213,3673
UCL215052,57,0,59,137,91,3,227,969,56,1257
UCL215053,127,9,143,640,215,30,884,2165,207,3259
UCL215054,91,15,100,257,102,13,373,1144,185,1702
UCL215055,19,3,26,149,75,3,229,1094,98,1416
UCL215056,23,0,25,236,58,13,312,834,144,1294
UCL215057,61,8,68,293,110,13,422,886,90,1395
UCL215058,53,4,51,139,59,11,207,683,72,960
UCL215059,62,4,69,334,88,14,435,1346,123,1901
UCL215060,148,14,163,359,132,22,518,1750,130,2396
UCL215061,67,19,88,258,99,6,363,1211,139,1721
UCL215062,71,4,72,215,94,7,311,903,78,1292
UCL215063,29,7,40,157,65,10,236,599,46,876
UCL215064,110,17,123,221,88,14,316,1230,104,1653
UCL215065,170,17,195,438,226,23,684,2199,332,3219
UCL215066,80,10,94,209,87,16,311,1181,218,1706
UCL215067,71,8,75,115,36,4,154,651,87,894
UCL215068,186,11,199,290,162,8,458,2584,153,3201
UCL215069,134,26,160,521,242,17,780,1846,217,2840
UCL215070,109,9,122,426,139,20,580,1660,267,2502
UCL215071,31,0,28,678,218,16,913,1835,114,2854
UCL215072,46,22,62,255,76,7,340,1318,356,2013
UCL215073,140,26,162,290,128,15,433,1795,190,2418
UCL215074,39,0,44,959,269,32,1265,2457,164,3891
UCL215075,10,3,19,175,69,12,252,671,108,1033
UCL215076,65,4,74,335,122,13,472,1358,101,1935
UCL215077,39,14,57,238,95,6,336,930,145,1414
UCL215078,14,0,14,399,75,21,497,910,63,1469
UCL215079,87,29,110,222,79,12,309,1358,167,1835
UCL215080,29,3,33,348,121,20,485,1165,85,1733
UCL215081,115,17,129,641,214,21,875,2363,270,3507
UCL215082,13,3,13,461,109,13,587,1017,101,1704
UCL215083,85,17,96,243,129,16,399,1201,113,1713
UCL215084,59,5,69,198,80,15,291,697,74,1066
UCL215085,11,0,15,233,73,17,324,525,75,918
UCL215086,82,34,122,638,234,27,900,1981,177,3063
UCL215087,10,0,10,312,104,12,426,805,123,1349
UCL215088,52,9,58,254,105,11,373,1052,220,1643
UCL215089,70,40,109,259,98,13,383,1314,193,1881
UCL215090,36,34,63,309,96,11,419,1080,172,1673
UCL215091,11,0,13,237,130,12,374,873,43,1291
UCL215092,128,7,140,942,242,16,1195,2378,137,3713
UCL215093,43,0,48,856,251,41,1150,2038,110,3294
UCL215094,0,0,0,163,63,4,231,522,59,810
UCL215095,16,0,16,167,67,18,251,591,61,905
UCL215096,36,4,38,464,133,18,616,1222,93,1932
UCL215097,100,9,109,562,190,38,785,1664,203,2656
UCL215098,31,3,33,242,94,6,342,750,41,1127
UCL215099,88,17,110,156,66,14,237,1097,162,1494
UCL215100,54,6,61,139,74,6,225,775,98,1097
UCL221001,4,0,5,138,43,3,179,354,33,567
UCL221002,12,0,17,117,65,4,182,507,35,723
UCL221003,3,0,3,108,35,0,140,257,53,458
UCL221004,5,4,7,213,63,9,277,561,31,866
UCL221005,25,6,29,83,21,0,106,405,49,561
UCL221006,6,0,6,118,25,3,145,336,25,503
UCL221007,4,0,4,75,33,5,112,291,40,439
UCL221008,53,34,83,96,29,0,125,419,144,682
UCL221009,7,0,7,87,32,3,129,330,35,499
UCL221010,3,5,6,101,30,3,133,290,39,458
UCL221011,3,0,3,111,49,0,160,321,14,495
UCL221012,8,0,3,88,45,4,134,224,40,399
UCL221013,7,0,7,103,36,3,144,320,39,500
UCL221014,21,6,25,130,56,0,188,611,47,848
UCL221015,9,0,8,63,32,5,101,304,33,434
UCL221016,5,0,4,239,53,9,302,324,27,651
UCL221017,11,0,11,142,51,6,204,505,41,745
UCL221018,47,17,61,100,42,4,143,626,117,881
UCL221019,30,5,31,107,38,3,160,574,39,765
UCL221020,65,7,75,70,35,3,113,596,61,767
UCL221021,0,0,9,129,36,0,171,374,48,593
UCL221022,5,3,10,82,31,0,114,284,30,428
UCL221023,19,4,24,57,24,3,83,469,46,594
UCL221024,31,3,28,97,52,3,151,714,29,893
UCL221025,43,9,50,71,21,5,99,460,62,624
UCL221026,36,10,48,55,38,3,102,474,68,642
UCL221027,18,5,30,90,46,0,135,411,79,630
UCL221028,16,8,29,69,74,3,146,523,79,745
UCL221029,3,0,8,131,55,0,192,336,27,558
UCL221030,4,0,4,23,9,6,41,417,30,487
UCL221031,5,0,5,118,24,6,147,297,24,458
UCL221032,8,0,8,104,27,7,141,283,33,461
UCL221033,47,0,46,39,28,0,61,362,30,461
UCL221034,3,0,3,204,44,10,256,411,17,681
UCL221035,50,16,68,76,37,6,120,478,74,685
UCL221036,7,0,7,157,44,0,199,386,25,607
UCL221037,30,0,30,72,39,7,119,443,31,594
UCL221038,0,0,0,164,36,5,209,424,73,714
UCL221039,10,3,11,104,47,0,152,401,87,636
UCL221040,4,0,4,77,34,7,119,425,30,579
UCL221041,3,0,3,125,26,10,155,320,26,500
UCL221042,10,0,10,58,38,3,102,315,50,464
UCL221043,16,0,17,44,37,0,81,818,74,972
UCL221044,42,4,44,120,54,9,180,737,83,1003
UCL221045,8,0,8,138,60,3,197,372,33,602
UCL221046,3,0,5,396,78,13,483,526,45,1059
UCL221047,6,4,8,123,40,0,165,327,28,520
UCL221048,12,3,15,72,38,3,116,277,25,418
UCL221049,3,0,7,168,47,8,219,285,11,516
UCL221050,17,9,24,107,41,5,157,452,53,661
UCL221051,12,5,21,95,40,11,146,453,49,642
UCL221052,0,0,4,92,21,0,110,274,25,411
UCL221053,22,0,22,64,29,3,101,538,32,663
UCL221054,10,0,11,114,30,7,146,367,36,543
UCL221055,5,0,5,168,22,4,195,249,12,463
UCL221056,14,0,19,54,20,5,77,295,62,433
UCL221057,8,0,8,149,53,6,204,354,53,604
UCL221058,4,0,4,95,25,3,122,238,21,375
UCL221059,10,0,15,150,22,9,178,419,39,633
UCL221060,22,0,27,27,22,0,51,486,27,567
UCL221061,10,3,7,65,46,5,119,491,50,667
UCL221062,45,8,50,83,45,5,129,616,98,845
UCL221063,27,3,31,75,26,0,100,338,46,483
UCL221064,0,0,0,157,43,4,202,304,27,533
UCL221065,41,0,41,76,36,0,113,304,22,442
UCL221066,0,0,0,129,36,6,176,347,44,565
UCL221067,5,4,5,103,26,0,131,284,30,441
UCL221068,0,0,4,106,22,0,121,261,25,409
UCL221069,6,0,6,160,47,6,208,534,63,797
UCL221070,53,26,79,141,50,0,193,587,72,856
UCL221071,29,12,41,113,39,0,148,479,73,703
UCL221072,0,0,0,70,40,8,118,248,37,398
UCL221073,0,0,0,106,25,0,130,260,11,404
UCL221074,14,23,38,79,46,4,137,511,77,727
UCL221075,20,0,21,99,51,4,154,524,45,725
UCL221076,12,3,18,91,47,0,136,609,71,810
UCL221077,42,7,48,65,35,4,107,454,66,628
UCL221078,3,0,3,87,40,3,129,311,18,458
UCL221079,17,0,22,49,30,3,82,423,63,571
UCL221080,9,0,9,70,37,0,111,370,18,504
UCL221081,20,19,33,73,26,0,93,334,57,486
UCL221082,0,0,0,148,52,0,201,486,111,797
UCL221083,77,3,79,163,58,9,229,635,49,914
UCL221084,18,0,17,162,42,7,216,400,37,656
UCL222001,3,0,3,32,24,0,60,172,5,235
UCL222002,13,0,13,90,27,3,116,213,15,337
UCL222003,3,0,3,69,25,5,102,137,18,256
UCL222004,0,0,0,0,0,0,0,16,5,22
UCL222005,9,0,9,32,7,0,44,128,8,186
UCL222006,5,0,5,63,36,3,104,209,11,327
UCL222007,0,0,0,28,13,5,53,116,10,180
UCL222008,0,0,0,56,15,5,78,216,20,318
UCL222009,6,0,7,42,16,5,55,205,22,293
UCL222010,0,0,0,53,26,0,72,214,19,309
UCL222011,0,0,0,59,22,0,84,183,13,279
UCL222012,0,0,0,59,29,3,92,224,34,344
UCL222013,6,0,6,20,6,0,28,175,26,225
UCL222014,0,0,0,76,12,0,93,201,20,314
UCL222015,0,0,0,68,25,0,90,205,13,308
UCL222016,0,0,0,18,16,9,39,161,13,220
UCL222017,7,3,4,17,11,0,25,122,26,171
UCL222018,0,0,0,14,0,0,19,80,18,115
UCL222019,5,0,5,51,45,0,99,210,12,322
UCL222020,3,0,3,41,13,3,59,130,15,208
UCL222021,0,0,4,40,21,3,62,163,25,256
UCL222022,9,0,7,36,14,0,56,158,19,239
UCL222023,3,0,3,103,20,0,121,211,24,361
UCL222024,0,0,0,26,3,3,35,184,71,290
UCL222025,4,0,4,27,11,3,41,111,21,170
UCL222026,0,0,0,66,19,3,90,163,0,256
UCL222027,0,0,0,62,17,5,81,173,28,284
UCL222028,4,0,3,68,13,6,85,143,26,251
UCL222029,6,0,6,24,12,0,40,121,12,169
UCL222030,6,0,6,41,14,3,56,104,19,179
UCL222031,8,0,8,51,15,4,70,153,24,247
UCL222032,7,0,10,42,15,4,62,216,40,308
UCL222033,0,0,0,52,7,7,62,167,52,284
UCL222034,7,0,7,53,16,0,67,179,33,287
UCL222035,11,11,22,33,5,0,42,212,32,287
UCL222036,4,0,10,29,8,0,36,133,34,203
UCL222037,0,0,4,45,13,0,55,131,14,206
UCL222038,3,0,3,40,15,0,60,105,5,173
UCL222039,0,0,0,64,17,0,77,146,28,250
UCL222040,15,0,15,70,21,5,99,266,18,387
UCL222041,4,0,4,48,22,0,65,153,8,228
UCL222042,5,0,5,33,10,0,40,158,16,210
UCL222043,8,3,6,54,21,5,83,242,24,344
UCL222044,8,6,10,32,11,0,49,199,30,278
UCL222045,4,0,4,40,11,0,49,160,27,233
UCL222046,15,3,23,50,20,0,75,228,33,335
UCL222047,7,0,5,22,6,0,32,139,8,180
UCL222048,12,0,12,16,7,0,25,147,4,173
UCL222049,3,0,5,41,10,0,56,181,11,245
UCL222050,7,0,9,61,42,4,105,285,35,430
UCL222051,12,0,12,45,22,0,64,304,41,409
UCL222052,8,0,8,75,29,0,100,226,16,335
UCL222053,10,0,13,55,26,8,83,274,33,394
UCL222054,6,0,6,52,22,3,75,131,9,218
UCL222055,35,4,39,39,19,0,57,291,33,377
UCL222056,0,0,0,15,0,0,17,162,130,313
UCL222057,0,0,0,60,13,3,76,153,27,251
UCL222058,3,0,3,11,0,0,10,89,24,119
UCL222059,0,0,0,32,15,0,39,119,8,171
UCL222060,3,0,9,23,9,5,38,132,16,181
UCL222061,3,0,3,36,18,0,49,128,15,181
UCL222062,35,0,37,37,27,5,62,289,20,379
UCL222063,9,0,14,52,29,0,83,296,23,402
UCL222064,7,0,7,36,17,0,48,141,17,215
UCL222065,6,0,4,28,16,0,41,113,16,168
UCL222066,9,0,13,32,11,0,44,175,26,238
UCL222067,8,0,14,20,12,0,32,151,31,216
UCL222068,0,0,0,32,8,0,43,123,12,171
UCL222069,29,0,29,58,20,0,81,300,31,412
UCL222070,7,0,7,33,20,0,53,125,10,182
UCL222071,4,0,4,62,19,4,85,210,25,315
UCL222072,6,0,5,39,8,0,44,219,47,312
UCL222073,0,0,6,37,12,3,52,126,16,189
UCL222074,4,0,4,26,16,3,42,114,23,179
UCL222075,3,0,7,73,25,5,94,256,33,380
UCL222076,18,3,21,36,12,4,52,298,53,397
UCL222077,13,18,36,55,11,0,65,306,51,423
UCL222078,7,0,7,39,12,5,51,159,17,231
UCL222079,4,0,7,87,31,0,121,244,15,376
UCL222080,17,0,17,39,27,0,62,229,22,311
UCL222081,6,0,6,21,17,0,43,166,21,228
UCL222082,0,0,0,36,7,0,45,121,25,192
UCL222083,6,0,6,39,8,0,45,125,10,181
UCL222084,26,6,26,59,14,0,75,284,47,411
UCL222085,5,0,7,41,35,0,70,183,9,266
UCL222086,0,0,3,52,26,0,81,206,29,318
UCL222087,16,0,17,60,27,3,88,293,23,401
UCL222088,12,0,13,16,15,0,36,190,24,251
UCL222089,9,0,9,27,11,0,38,130,11,174
UCL222090,4,0,4,39,17,0,57,105,37,194
UCL222091,4,0,4,76,26,8,112,195,13,313
UCL222092,0,0,0,88,14,3,103,142,18,260
UCL222093,9,4,9,38,18,8,65,262,44,366
UCL222094,5,0,5,47,20,4,72,187,30,286
UCL222095,0,0,0,28,19,3,45,98,9,155
UCL222096,3,0,3,92,25,4,125,177,20,327
UCL222097,4,3,7,43,13,7,66,179,20,265
UCL222098,8,0,8,77,8,0,92,174,19,285
UCL222099,0,0,0,25,6,0,33,117,19,172
UCL222100,6,0,5,19,4,0,14,176,29,222
UCL222101,0,0,3,43,23,5,74,119,19,213
UCL222102,0,0,0,61,21,0,79,238,29,343
UCL222103,0,0,0,52,16,0,62,103,8,172
UCL222104,4,0,11,37,16,3,58,165,30,246
UCL222105,0,6,5,29,11,5,43,140,13,201
UCL231001,5010,892,5963,63230,25755,2227,91213,232337,32737,356286
UCL279997,0,0,0,0,0,0,0,12,27,38
UCL299994,17,17,29,695,281,39,1013,3668,3262,7946
UCL301001,33549,5025,38897,397327,107797,12498,517623,1230087,99895,1847605
UCL302001,10301,2286,12683,100020,27485,2992,130497,335789,34631,500919
UCL302002,6991,1231,8256,45232,13218,1344,59798,162593,14077,236469
UCL303001,1858,361,2243,23588,6890,1005,31483,80591,12038,124110
UCL303002,2859,350,3234,15975,5747,821,22543,60471,5024,88037
UCL303003,2128,318,2470,26897,9402,1405,37705,89865,12549,140125
UCL311001,1612,211,1830,7072,2577,374,10028,30021,3049,43092
UCL311002,1683,324,2010,7144,2347,351,9841,35602,3384,48828
UCL311003,1219,243,1477,12891,4424,602,17916,40182,6195,64297
UCL311004,1281,243,1538,9587,3676,528,13790,32822,4106,50714
UCL312001,827,123,956,1671,1065,81,2805,14852,1084,18748
UCL312002,369,55,428,6017,1787,291,8099,17090,1955,27142
UCL312003,684,90,771,2547,1091,159,3800,13629,1357,18783
UCL312004,580,73,661,3501,899,137,4546,11501,978,17022
UCL313001,37,9,39,1610,389,73,2070,5708,1020,8796
UCL313002,343,23,372,1825,593,74,2494,7923,532,10951
UCL313003,241,19,265,1968,611,118,2701,5924,726,9350
UCL313004,50,31,79,2719,637,144,3501,5944,1081,10530
UCL313005,82,34,117,2211,649,132,2993,4791,678,8463
UCL313006,641,67,714,2789,986,149,3928,11031,985,15944
UCL313007,154,21,180,1903,614,71,2588,5209,269,8069
UCL313008,269,40,310,1508,443,83,2032,5489,590,8108
UCL313009,88,24,114,2935,876,163,3971,8181,1559,13711
UCL313010,385,68,455,1892,717,106,2711,7923,826,11461
UCL313011,10,3,13,2436,393,127,2951,3202,434,6587
UCL313012,423,42,469,2857,1101,152,4111,10043,1204,15359
UCL314001,252,70,321,861,356,48,1263,4190,645,6103
UCL314002,240,37,281,996,420,33,1445,4730,714,6894
UCL314003,201,72,273,1150,326,62,1541,4389,561,6485
UCL314004,121,13,137,1041,278,40,1359,3032,309,4694
UCL314005,85,35,115,904,275,29,1206,2610,647,4460
UCL314006,189,19,211,1327,405,43,1775,5223,852,7854
UCL314007,180,33,210,924,370,55,1347,4139,920,6411
UCL314008,87,28,117,970,247,46,1263,2990,632,4888
UCL314009,14,5,20,1650,365,83,2100,3236,416,5758
UCL314010,172,27,198,881,249,22,1159,4062,489,5711
UCL314011,119,12,136,846,297,43,1190,2627,428,4247
UCL314012,79,29,108,970,319,59,1342,2980,403,4724
UCL314013,262,31,290,885,292,28,1208,3987,618,5812
UCL314014,67,0,62,1069,251,33,1354,2666,253,4271
UCL314015,25,4,32,1081,237,44,1364,2669,181,4211
UCL314016,256,34,290,1036,354,40,1437,4704,829,6964
UCL314017,7,3,13,1862,275,85,2224,3066,1330,6622
UCL314018,26,0,26,1764,268,63,2093,2752,116,4968
UCL314019,151,10,167,837,260,35,1135,2754,201,4092
UCL314020,63,47,116,1023,288,36,1345,3132,635,5114
UCL314021,197,17,212,1323,530,45,1895,6073,415,8377
UCL314022,170,20,198,1181,392,33,1609,4674,426,6701
UCL314023,70,21,88,1790,527,89,2406,4699,463,7570
UCL315001,14,0,15,130,44,9,184,688,156,1027
UCL315002,12,0,12,530,160,24,720,1227,65,2009
UCL315003,29,0,29,148,52,3,205,795,94,1090
UCL315004,0,0,0,184,134,36,355,407,79,836
UCL315005,29,4,32,143,56,0,199,624,103,928
UCL315006,0,0,0,149,126,7,285,412,93,793
UCL315007,73,35,106,444,143,19,603,2010,201,2809
UCL315008,3,3,7,817,182,37,1042,1836,606,3482
UCL315009,158,23,186,308,117,16,443,1714,163,2323
UCL315010,35,5,44,329,129,15,474,1897,159,2526
UCL315011,43,11,55,42,39,5,83,1249,106,1445
UCL315012,22,0,26,949,216,51,1217,1611,216,3050
UCL315013,10,0,9,379,85,15,484,763,115,1359
UCL315014,51,4,63,96,51,5,151,853,114,1116
UCL315015,14,3,19,381,99,13,489,1097,71,1663
UCL315016,19,0,20,672,187,26,888,1355,104,2340
UCL315017,75,12,86,283,117,13,409,1436,277,2123
UCL315018,3,0,5,144,150,34,325,408,39,775
UCL315019,57,5,67,122,45,9,176,864,134,1180
UCL315020,39,7,46,353,90,20,462,972,138,1572
UCL315021,65,6,75,163,49,16,221,771,60,1048
UCL315022,22,0,22,344,92,31,469,1212,275,1954
UCL315023,18,4,23,178,56,11,247,665,155,1059
UCL315024,14,4,13,223,67,19,304,918,232,1448
UCL315025,46,10,54,223,68,6,297,2126,206,2627
UCL315026,101,65,168,515,143,24,677,2001,242,2916
UCL315027,53,71,127,157,74,14,239,1079,275,1590
UCL315028,10,0,11,279,58,5,343,663,36,1041
UCL315029,19,5,22,416,130,23,574,1034,92,1696
UCL315030,4,0,4,258,122,10,389,507,53,952
UCL315031,4,0,4,464,84,21,562,1042,539,2141
UCL315032,106,35,140,684,294,27,1001,2617,365,3980
UCL315033,28,5,32,117,49,4,164,885,60,1107
UCL315034,8,0,8,225,54,9,286,520,62,867
UCL315035,14,0,13,676,137,21,839,1368,118,2319
UCL315036,42,10,52,185,85,4,277,952,210,1430
UCL315037,61,0,62,725,220,16,964,2131,150,3248
UCL315038,12,0,12,404,117,16,540,924,59,1526
UCL315039,0,0,0,190,55,13,258,429,88,775
UCL315040,0,0,0,80,28,4,110,1210,357,1682
UCL315041,8,0,11,193,97,0,292,654,137,1080
UCL315042,115,9,129,306,151,7,467,1602,205,2277
UCL315043,41,3,46,103,47,13,157,697,49,911
UCL315044,213,30,250,476,249,22,749,2519,382,3651
UCL315045,17,0,17,514,177,22,713,1529,90,2337
UCL315046,51,13,64,335,68,8,416,1258,232,1904
UCL315047,16,0,22,379,90,21,491,929,93,1516
UCL315048,26,4,28,188,70,14,263,1032,112,1402
UCL315049,32,3,34,314,132,11,460,1324,246,2026
UCL315050,110,64,174,505,154,32,687,2203,351,3241
UCL315051,60,6,70,802,221,43,1065,2570,155,3795
UCL315052,39,0,42,596,243,24,864,1831,164,2860
UCL315053,71,12,79,372,130,17,515,1423,282,2221
UCL315054,36,22,59,559,204,26,797,1977,271,3036
UCL315055,64,13,82,175,111,13,299,2391,262,2946
UCL315056,52,28,77,240,77,12,322,931,137,1391
UCL315057,143,16,168,340,151,16,506,1994,140,2637
UCL315058,9,0,9,832,152,32,1011,1333,249,2595
UCL315059,41,0,40,311,82,8,402,746,55,1203
UCL315060,6,0,11,550,114,48,708,938,40,1683
UCL315061,0,0,0,310,32,16,349,563,604,1515
UCL315062,40,22,58,158,49,3,212,732,167,1105
UCL315063,33,3,34,185,68,16,264,746,105,1114
UCL315064,38,3,39,240,67,13,316,632,194,1147
UCL315065,70,6,79,108,32,0,140,668,78,891
UCL315066,33,0,32,573,157,21,753,1604,182,2538
UCL315067,29,0,31,283,88,16,380,1412,124,1924
UCL315068,37,3,47,237,77,15,328,900,152,1375
UCL315069,52,9,66,206,100,16,320,1481,348,2146
UCL315070,16,6,18,266,63,16,343,779,265,1386
UCL315071,0,6,6,187,56,5,250,505,52,813
UCL315072,35,10,44,83,33,12,133,660,119,917
UCL315073,95,0,94,222,90,13,327,1098,174,1590
UCL315074,86,14,102,337,127,22,485,2108,328,2915
UCL315075,25,3,28,110,53,12,169,781,119,1069
UCL315076,103,8,114,613,254,39,897,2310,223,3431
UCL315077,0,0,0,308,147,20,477,837,123,1444
UCL315078,184,12,197,409,126,30,565,1580,155,2301
UCL315079,22,3,23,261,95,13,364,1008,76,1452
UCL315080,47,16,64,477,127,19,622,2920,616,4153
UCL315081,122,8,128,512,181,27,721,1863,199,2785
UCL315082,6,0,10,118,61,5,187,736,124,1043
UCL315083,11,0,9,176,74,3,252,580,56,886
UCL315084,24,3,23,249,66,8,320,1396,68,1783
UCL315085,35,52,84,448,178,20,642,1520,281,2449
UCL315086,39,3,49,232,136,18,387,2621,338,3349
UCL315087,23,0,23,514,177,11,694,1440,23,2158
UCL315088,75,8,85,474,224,29,718,1695,347,2761
UCL315089,27,16,45,347,126,29,494,1236,235,1968
UCL315090,199,11,213,568,235,21,828,2956,332,4111
UCL315091,12,0,12,404,127,33,567,1276,206,2044
UCL315092,84,17,102,117,79,11,205,1716,214,2133
UCL315093,44,0,48,92,35,6,127,669,35,835
UCL315094,26,4,28,305,94,6,405,1462,94,1968
UCL315095,65,13,74,249,87,6,343,1280,254,1886
UCL315096,35,7,46,632,201,30,861,1599,285,2747
UCL315097,14,0,14,341,120,22,481,916,81,1477
UCL315098,6,0,10,778,133,24,930,1693,423,3044
UCL315099,10,0,13,834,206,46,1085,1645,105,2836
UCL315100,8,3,9,217,71,8,290,674,78,1045
UCL315101,12,0,12,367,99,8,482,847,39,1363
UCL315102,78,8,87,184,61,12,255,1162,119,1531
UCL315103,10,0,13,170,42,9,217,752,139,1107
UCL315104,73,5,81,325,124,22,462,1350,1519,3336
UCL315105,28,0,30,77,59,0,133,1037,90,1272
UCL315106,8,3,8,400,87,34,522,788,55,1371
UCL315107,28,3,30,510,123,21,650,1284,109,2039
UCL315108,0,0,5,200,146,69,419,411,41,876
UCL315109,24,0,30,134,59,0,194,654,55,901
UCL321001,9,0,9,72,19,8,101,365,36,499
UCL321002,55,4,55,96,49,6,147,499,51,706
UCL321003,4,0,4,60,21,0,84,341,65,493
UCL321004,13,7,20,78,25,4,105,281,58,448
UCL321005,3,0,3,122,37,8,165,343,81,587
UCL321006,0,0,0,100,41,26,166,259,40,461
UCL321007,0,0,3,272,78,10,366,696,193,1256
UCL321008,9,0,9,69,63,3,129,641,107,881
UCL321009,32,5,40,164,60,6,221,683,114,1021
UCL321010,14,0,9,153,45,8,208,411,57,676
UCL321011,0,0,0,156,33,10,200,357,42,594
UCL321012,26,3,28,45,17,0,60,438,75,578
UCL321013,0,0,0,116,30,4,145,481,46,673
UCL321014,0,0,0,109,31,7,141,226,23,391
UCL321015,32,17,50,124,41,6,164,653,89,905
UCL321016,13,0,19,48,27,0,75,409,49,532
UCL321017,10,0,6,161,82,4,253,514,39,802
UCL321018,4,0,4,127,51,4,188,318,38,544
UCL321019,4,0,4,222,55,5,281,449,38,765
UCL321020,9,0,10,127,25,4,150,533,30,710
UCL321021,7,0,9,107,65,11,175,350,96,621
UCL321022,3,0,6,133,25,0,163,310,47,525
UCL321023,15,3,14,101,50,7,157,410,62,620
UCL321024,4,0,8,102,26,4,132,284,20,438
UCL321025,11,0,10,58,20,0,77,400,29,505
UCL321026,5,0,5,73,23,3,101,292,28,417
UCL321027,9,0,9,126,48,4,177,420,50,646
UCL321028,10,0,9,158,55,7,222,377,125,721
UCL321029,18,4,25,62,42,3,108,617,58,785
UCL321030,5,3,4,80,28,3,111,300,30,440
UCL321031,10,0,9,169,41,3,209,553,61,822
UCL321032,6,0,6,357,96,10,461,1048,89,1598
UCL321033,0,0,0,194,48,8,247,516,66,822
UCL321034,31,4,31,122,49,7,185,618,63,856
UCL321035,10,0,14,258,105,15,374,1123,96,1596
UCL321036,3,0,9,209,59,5,269,520,52,844
UCL321037,14,0,15,105,28,0,132,434,67,644
UCL321038,13,0,13,106,55,5,170,557,43,773
UCL321039,43,0,45,91,46,3,148,710,38,892
UCL321040,10,0,10,105,32,4,144,378,26,542
UCL321041,37,5,40,104,33,5,133,545,106,783
