UCL_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
UCL101001,54,7593,..,134980,10734,145713,1184,146895,..,22616,3565,26183,190,26373,..,7658,1085,8746,58,8808,..,3905,2542,6453,42,6494,..,21142,10051,31191,178,31367,..,7922,1646,9569,40,9607,..,7004,371,7373,68,7445,..,10315,1903,12217,101,12313,..,5416,562,5977,43,6021,..,11495,1657,13154,134,13292,..,8504,1423,9928,63,9990,..,7475,609,8094,77,8165,..,8317,1659,9973,45,10015,..,14116,401,14511,117,14630,..,14233,1840,16076,143,16220,..,24590,832,25430,145,25575,..,4139,318,4457,33,4488,..,57081,3398,60476,440,60915,..,27865,3950,31814,236,32052,..,16254,1424,17677,171,17854,..,11133,3307,14441,81,14526,..,8341,2405,10745,62,10811,..,38042,22194,60236,365,60600,..,81746,17567,99316,1819,101140,..,798307,183132,981440,8044,989479,..,12832,3412,16238,107649,123891,1260853,811142,186539,997681,115689,2374220,2532072,..,..,..,..,2532072,..,5051,74,5122,34,5156,..,180141,34578,214715,1511,216224,..,1231,43,1272,10,1280,..,104845,36909,141752,873,142627,..,179929,74421,254356,2109,256467
UCL102001,0,18,..,784,58,845,6,847,..,193,26,218,0,218,..,14,0,14,0,20,..,6,0,9,0,9,..,23,3,26,0,26,..,297,60,364,0,364,..,29,3,33,0,36,..,17,0,17,0,17,..,28,0,28,0,31,..,45,9,48,0,50,..,33,4,36,0,36,..,20,0,23,0,23,..,106,12,119,0,120,..,77,0,78,0,78,..,43,4,40,0,40,..,126,6,137,0,135,..,24,0,27,0,27,..,274,12,280,0,283,..,63,8,74,3,75,..,33,0,33,0,33,..,52,8,61,0,61,..,7,0,9,0,9,..,38,8,45,0,45,..,354,27,387,3,388,..,2869,309,3178,31,3210,..,91,19,103,823,927,14525,2958,327,3288,848,18658,29186,..,..,..,..,29186,..,46,0,46,0,43,..,116,11,130,4,128,..,51,3,56,0,56,..,62,19,85,0,85,..,161,45,205,4,211
UCL102002,0,59,..,1060,96,1153,15,1162,..,421,42,462,3,462,..,246,26,267,0,267,..,33,13,45,0,45,..,318,145,467,0,465,..,12,0,16,0,16,..,382,47,427,8,435,..,93,8,103,0,103,..,187,17,206,0,204,..,300,30,325,9,331,..,339,42,379,5,384,..,47,6,54,0,57,..,103,14,117,0,117,..,370,11,379,6,388,..,179,13,186,0,193,..,594,23,618,0,616,..,135,5,144,0,144,..,1279,54,1330,12,1341,..,872,75,943,4,952,..,91,3,94,0,95,..,420,100,517,5,525,..,64,9,73,0,74,..,200,57,256,0,258,..,1795,169,1966,47,2012,..,11075,1522,12594,146,12743,..,542,50,593,8211,8803,146543,11616,1573,13189,8356,168091,284832,..,..,..,..,284832,..,501,8,515,4,513,..,634,47,677,11,687,..,222,4,222,0,229,..,631,222,856,4,860,..,1281,560,1843,15,1858
UCL102003,0,3,..,125,5,130,0,133,..,78,8,83,0,86,..,111,13,127,0,127,..,0,0,0,0,0,..,14,6,14,3,19,..,6,0,6,0,6,..,56,9,61,0,61,..,3,0,6,0,6,..,29,0,29,0,31,..,209,8,215,0,218,..,15,6,23,0,23,..,14,0,14,0,14,..,8,3,14,0,14,..,93,4,92,0,95,..,27,0,27,0,27,..,96,0,94,0,94,..,26,0,26,0,26,..,237,8,247,0,245,..,112,9,117,4,121,..,9,0,9,0,9,..,95,14,105,0,105,..,11,0,11,0,11,..,36,6,37,0,37,..,251,28,280,4,286,..,1776,176,1951,20,1973,..,105,5,113,1869,1979,29514,1878,178,2060,1891,33464,56364,..,..,..,..,56364,..,41,0,44,0,44,..,17,0,19,0,23,..,85,0,88,6,93,..,61,29,87,5,89,..,123,49,174,3,177
UCL102004,0,59,..,1485,112,1599,18,1612,..,511,72,583,10,592,..,175,26,200,0,200,..,55,19,73,0,73,..,248,73,323,0,327,..,620,142,766,7,773,..,325,27,354,0,352,..,152,17,167,0,167,..,252,23,276,3,279,..,203,13,213,0,215,..,139,18,156,6,162,..,121,6,128,4,127,..,135,41,172,3,174,..,317,14,333,0,335,..,165,15,181,4,182,..,419,13,434,4,438,..,165,7,174,3,170,..,1065,54,1118,10,1129,..,522,43,565,6,574,..,188,3,194,0,194,..,340,77,420,0,421,..,43,8,53,0,53,..,373,119,493,11,503,..,2025,332,2357,55,2416,..,12292,1822,14113,168,14278,..,549,59,604,6860,7468,156296,12838,1879,14719,7032,178047,306099,..,..,..,..,306099,..,440,9,450,4,449,..,944,198,1143,4,1155,..,278,3,278,3,280,..,787,189,977,0,978,..,1664,580,2239,28,2266
UCL102005,0,62,..,1174,88,1260,4,1260,..,1460,314,1774,14,1788,..,157,17,171,0,171,..,32,8,38,0,41,..,143,38,189,3,187,..,2289,728,3015,12,3032,..,377,32,403,4,408,..,139,26,169,4,170,..,210,40,248,0,250,..,499,144,646,5,647,..,127,20,147,0,146,..,43,0,43,0,43,..,764,171,936,9,942,..,279,9,286,5,292,..,148,14,156,0,156,..,424,31,458,4,462,..,92,0,94,0,92,..,936,55,990,12,994,..,1050,200,1242,10,1256,..,81,0,82,0,81,..,412,99,512,0,512,..,498,138,633,4,637,..,501,188,689,3,690,..,2085,408,2496,40,2536,..,17567,3578,21149,168,21317,..,499,93,593,5862,6451,114880,18070,3677,21740,6026,142645,226576,..,..,..,..,226576,..,201,0,203,0,205,..,2740,501,3240,17,3257,..,102,5,104,5,115,..,467,148,617,0,619,..,1931,482,2419,32,2447
UCL111001,0,17,..,702,234,938,4,948,..,58,8,67,0,64,..,16,3,21,0,21,..,3,0,3,0,3,..,17,3,22,0,26,..,0,0,0,0,0,..,36,9,46,0,43,..,16,0,16,0,16,..,14,0,16,0,16,..,9,0,9,0,9,..,15,5,22,0,22,..,0,0,0,0,0,..,14,0,15,0,15,..,70,8,72,4,80,..,19,0,21,0,21,..,113,8,115,0,115,..,15,0,19,0,19,..,216,13,231,4,233,..,44,3,50,0,50,..,20,0,19,0,27,..,54,7,63,0,63,..,0,0,0,0,0,..,37,10,46,0,46,..,308,92,394,9,407,..,1934,442,2373,28,2401,..,81,15,94,1371,1469,23942,2014,455,2470,1398,27809,45920,..,..,..,..,45920,..,41,3,44,0,44,..,68,7,77,4,83,..,69,0,67,0,67,..,33,11,43,3,49,..,153,45,197,3,203
UCL111002,0,10,..,263,31,290,0,296,..,59,0,59,0,59,..,46,13,57,0,57,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,27,3,26,0,29,..,7,0,9,0,9,..,19,0,16,0,16,..,12,0,12,0,12,..,15,0,15,0,15,..,8,0,8,0,8,..,6,0,4,0,4,..,43,3,53,0,53,..,17,0,19,0,19,..,68,4,72,0,72,..,19,0,20,0,20,..,145,10,155,0,157,..,72,11,83,0,83,..,4,0,4,0,4,..,50,12,66,0,66,..,5,0,5,0,5,..,28,3,30,0,30,..,671,357,1026,26,1057,..,1813,517,2336,35,2373,..,103,25,130,1559,1681,22763,1917,543,2458,1590,26816,43355,..,..,..,..,43355,..,72,0,72,0,72,..,134,38,174,0,176,..,155,4,152,3,158,..,57,18,72,5,78,..,127,48,172,4,173
UCL111003,0,17,..,383,51,433,0,432,..,40,5,44,0,44,..,18,0,23,0,23,..,8,3,6,0,6,..,39,12,55,0,55,..,10,4,15,0,15,..,153,15,173,3,170,..,11,0,11,0,11,..,35,7,46,0,47,..,20,3,25,0,27,..,30,0,30,0,30,..,34,0,36,0,37,..,13,4,15,0,15,..,95,0,93,0,93,..,24,0,24,0,24,..,172,8,181,0,181,..,40,4,38,0,44,..,329,17,342,0,342,..,89,7,95,0,94,..,29,3,32,0,32,..,87,20,100,0,100,..,7,0,9,0,9,..,50,32,85,0,85,..,438,69,505,22,526,..,2324,384,2707,36,2738,..,95,7,106,1593,1700,41612,2421,387,2814,1635,46056,81037,..,..,..,..,81037,..,192,4,198,0,201,..,153,17,170,3,166,..,71,0,74,0,75,..,124,68,190,0,190,..,227,123,353,0,356
UCL112001,0,5,..,308,18,331,5,335,..,12,0,12,0,12,..,27,0,30,0,30,..,0,0,0,0,0,..,8,0,10,0,10,..,0,0,0,0,0,..,23,0,28,0,28,..,26,0,26,0,26,..,6,0,6,0,6,..,13,0,12,0,12,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,29,0,34,0,34,..,9,0,9,0,9,..,36,0,36,0,36,..,10,0,10,0,10,..,97,0,97,0,97,..,40,0,46,0,46,..,6,0,6,0,6,..,13,4,17,0,17,..,5,0,5,0,5,..,35,10,42,0,42,..,310,145,460,4,461,..,1209,218,1425,12,1437,..,61,22,82,1138,1219,8596,1263,238,1502,1149,11250,16351,..,..,..,..,16351,..,17,0,17,0,17,..,113,16,127,0,127,..,39,0,44,0,43,..,50,16,66,0,66,..,141,22,165,0,164
