UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL101001,307815,51663,77310,1106,296,438192,353541,69727,114015,807,561,538646,121101,54257,269770,3413,1352,449894,17649,16734,22777,13,103,57281,2601,3940,8438,42,92,15117,29218,9632,31697,873,420,71835,5939,1981,4679,327,224,13143,961,452,1420,30,18,2882,177475,86996,338779,4695,2212,610161,9459,5068,11439,167,125,26256,10329,2976,7630,152,314,21413,858616,216434,549172,6931,3506,1634660
UCL102001,2938,517,274,8,4,3737,3974,1037,486,3,0,5505,719,876,1343,5,3,2953,385,126,51,0,0,559,33,96,33,0,0,162,344,236,286,5,0,871,274,49,64,5,3,384,10,11,5,0,0,26,1756,1395,1787,16,10,4961,66,44,31,3,6,138,94,39,39,0,0,179,8830,3024,2618,29,18,14520
UCL102002,34578,5008,2502,320,33,42443,37687,2454,1672,63,26,41905,15429,3774,4595,309,81,24185,1235,1307,781,5,14,3327,354,373,368,5,3,1108,3930,643,644,59,26,5291,615,135,60,122,10,940,108,41,40,8,0,199,21666,6268,6479,502,131,35052,1074,1499,522,22,12,3139,1187,448,222,33,31,1926,96195,15675,11403,947,239,124458
UCL102003,6490,2467,1384,407,24,10774,5346,1351,627,15,7,7342,1294,1133,1233,4,3,3676,161,309,189,0,0,664,42,106,49,0,0,197,644,487,314,6,10,1468,148,160,68,69,7,452,20,18,6,0,0,43,2308,2217,1875,87,23,6508,157,184,137,13,0,503,218,127,88,11,5,450,14523,6348,4112,535,63,25578
UCL102004,38006,4490,2074,164,28,44765,40908,2976,1632,39,26,45566,14278,5506,5239,183,59,25266,2279,1887,1735,3,9,5916,330,424,450,6,6,1218,4643,1052,906,44,28,6681,537,157,109,54,11,866,105,36,44,0,0,186,22172,9066,8487,293,113,40137,1082,753,331,13,11,2194,980,294,236,15,29,1551,103145,17579,12764,523,206,134205
UCL102005,29223,3094,2929,455,26,35722,28773,2966,2415,80,24,34260,8390,3925,6816,157,48,19337,3172,1977,1525,8,3,6691,193,279,244,3,7,726,2593,700,1007,54,28,4389,263,65,116,64,8,515,73,34,47,0,0,160,14688,6981,9756,280,98,31805,648,395,541,20,10,1613,821,221,253,19,19,1331,74149,13652,15898,858,173,104731
UCL111001,5792,593,44,19,3,6450,6362,334,13,4,5,6711,2968,2210,184,12,5,5386,509,177,20,0,0,699,87,91,11,0,0,188,724,235,6,3,3,974,96,33,3,14,3,150,26,20,7,0,0,52,4408,2763,226,28,12,7445,324,102,33,0,3,456,234,81,14,8,17,353,17127,3873,325,58,44,21423
UCL111002,5386,785,603,169,19,6959,4693,507,314,8,4,5524,1797,945,1311,9,16,4083,345,207,189,3,0,748,179,117,111,0,0,405,644,226,241,8,3,1132,83,32,21,65,10,208,25,15,14,0,0,57,3069,1542,1894,87,31,6625,174,168,67,4,6,414,156,72,72,15,12,331,13482,3071,2948,285,64,19852
UCL111003,8467,591,58,114,8,9244,12166,389,40,7,4,12603,4911,1253,424,28,5,6625,786,240,86,0,3,1125,267,159,66,0,3,495,1061,164,37,7,6,1275,386,30,7,40,0,460,25,13,0,0,0,46,7434,1861,629,80,19,10019,333,309,11,5,7,665,271,56,30,9,5,373,28673,3212,764,211,45,32903
UCL112001,2206,130,14,16,0,2361,1942,69,12,0,0,2022,1281,648,267,8,10,2210,201,50,55,0,3,310,94,46,61,0,0,201,320,61,24,0,5,408,46,12,0,6,0,67,7,8,0,0,0,15,1938,829,410,19,15,3209,103,35,3,0,3,147,72,21,10,0,10,110,6268,1080,449,32,31,7860
UCL112002,3800,296,92,16,6,4206,4056,180,36,0,0,4278,2014,779,418,14,8,3227,320,119,52,0,4,496,50,54,7,0,0,109,505,110,39,0,4,661,43,18,5,0,0,71,20,9,0,0,0,30,2951,1089,523,15,10,4592,101,28,34,0,0,164,126,34,15,0,0,172,11033,1626,704,34,25,13419
UCL112003,4781,150,97,0,9,5031,4304,66,60,0,3,4444,1357,129,261,12,4,1766,33,46,37,0,0,123,77,77,84,4,0,242,453,32,54,5,5,544,29,0,14,3,3,46,10,5,5,0,0,20,1957,292,457,21,13,2742,121,20,27,0,9,175,104,9,13,0,20,141,11269,532,657,31,45,12534
UCL112004,4014,371,51,26,10,4475,2562,79,32,6,5,2680,944,239,152,5,0,1345,74,24,9,0,0,111,87,26,16,0,0,136,244,37,22,0,3,300,27,13,7,4,3,55,5,10,0,0,0,10,1381,345,206,10,5,1959,123,143,20,0,0,284,74,22,10,0,3,113,8156,965,316,41,29,9506
UCL112005,2348,183,7,21,12,2581,2455,74,5,6,3,2545,1396,416,89,5,0,1913,195,112,14,0,0,318,34,47,10,0,0,93,329,53,3,3,0,384,37,16,4,0,4,53,11,9,0,0,0,19,2000,654,116,12,3,2785,71,58,0,0,0,135,102,31,3,0,0,134,6973,995,138,42,19,8172
UCL112006,3373,252,71,17,6,3713,4470,102,29,0,4,4606,2144,584,609,21,8,3367,331,90,151,0,0,571,89,45,44,3,0,184,698,60,55,7,3,819,71,22,45,5,4,153,15,12,14,0,0,46,3359,809,920,35,17,5134,87,172,56,5,4,319,152,44,36,0,9,240,11443,1375,1106,54,42,14014
UCL112007,970,103,7,18,0,1095,777,23,0,0,0,799,244,93,4,0,0,337,12,0,0,0,0,12,5,16,0,0,0,24,72,16,0,0,0,92,22,5,0,8,0,39,0,0,0,0,0,3,357,131,7,5,7,501,33,38,0,0,4,72,38,11,0,0,0,54,2182,304,7,30,11,2527
UCL112008,3104,855,489,120,5,4576,1380,168,146,7,0,1700,650,286,598,29,8,1570,28,82,72,0,0,179,43,65,69,0,0,177,236,93,99,7,6,442,24,13,19,14,0,68,3,5,7,0,0,23,982,545,867,51,13,2456,84,39,172,4,8,308,106,37,55,4,4,199,5650,1643,1728,181,36,9238
UCL112009,2794,203,24,15,0,3041,2660,111,16,6,3,2792,1327,409,203,20,5,1969,391,83,36,0,0,508,35,61,18,0,0,117,373,57,36,6,0,476,41,14,7,14,0,70,13,4,4,0,0,18,2179,626,301,41,8,3157,67,73,5,0,0,146,107,21,8,4,10,146,7804,1027,359,71,23,9283
UCL112010,2124,60,76,21,5,2289,1978,41,40,0,4,2059,819,178,544,24,0,1562,220,22,42,0,0,287,33,20,29,0,0,82,357,35,82,7,4,485,79,12,35,17,0,149,14,3,9,0,0,28,1520,274,740,52,13,2597,119,15,18,0,0,160,113,11,20,7,4,165,5859,404,899,83,32,7272
UCL112011,2087,68,7,0,0,2172,2789,68,10,0,3,2866,1173,302,70,3,3,1550,126,37,26,0,0,196,25,13,4,0,0,43,264,16,10,0,0,301,39,0,0,0,0,35,5,5,4,0,0,15,1635,378,111,7,0,2131,57,0,0,0,0,61,82,3,8,0,3,104,6646,523,144,5,12,7332
UCL112012,3238,307,85,79,3,3713,3133,188,61,0,0,3386,1060,587,373,3,10,2033,233,146,53,0,0,426,48,136,37,0,0,230,659,141,85,13,3,901,43,14,16,94,0,175,12,18,4,3,0,37,2058,1043,561,112,15,3795,79,86,7,6,0,178,110,33,13,3,3,163,8617,1661,732,206,28,11242
UCL112013,271,0,4,3,0,278,368,0,4,0,0,373,52,25,12,0,0,86,9,0,0,0,0,3,13,0,0,0,0,13,22,0,0,0,0,28,13,9,0,0,0,17,0,0,0,0,0,0,108,35,10,0,0,157,10,0,0,0,0,8,16,0,0,0,0,13,770,42,19,7,4,834
UCL112014,2922,162,34,10,5,3128,2600,49,18,0,0,2668,1257,157,97,0,9,1519,27,26,4,0,0,52,11,22,10,0,0,38,356,10,21,3,3,395,47,14,5,0,0,72,3,0,0,0,0,12,1702,221,141,4,11,2083,125,260,4,0,0,387,110,27,0,0,0,138,7457,725,198,14,17,8415
UCL112015,3627,217,57,59,7,3959,3372,153,26,4,0,3555,1780,587,164,4,0,2537,449,141,21,0,0,620,314,169,52,0,3,539,476,66,28,6,0,574,257,17,6,7,4,287,20,14,3,0,0,34,3290,996,272,19,7,4588,83,31,12,3,0,130,148,40,7,7,17,220,10519,1437,379,79,28,12453
UCL112016,4106,269,54,14,0,4447,4836,114,41,0,0,4995,2504,689,264,17,5,3484,476,181,75,0,0,738,71,78,28,0,0,178,500,85,30,0,3,628,62,11,6,11,10,99,20,7,3,0,0,32,3640,1054,417,28,21,5158,93,74,29,0,10,202,177,38,18,0,7,248,12843,1556,553,49,49,15047
UCL112017,5860,1123,700,40,11,7735,4094,465,265,3,6,4839,1857,991,1275,19,6,4149,111,117,122,0,0,358,139,200,165,0,0,501,557,196,179,10,0,952,57,39,27,10,6,146,11,19,15,0,0,40,2733,1562,1787,43,22,6140,189,292,172,0,3,652,177,95,74,6,9,362,13052,3541,3000,88,47,19725
UCL112018,3681,272,17,16,23,4013,3440,110,13,3,5,3575,2473,1092,217,4,13,3792,413,139,58,0,0,610,106,96,26,0,0,225,677,121,11,0,4,813,56,19,4,9,6,91,37,21,5,0,0,67,3752,1488,314,10,22,5595,164,88,0,0,23,279,184,49,6,0,12,263,11229,2014,356,39,87,13712
UCL112019,5269,209,238,13,5,5734,5875,81,110,6,0,6079,2668,432,1350,30,7,4494,711,37,129,0,0,882,72,50,71,0,0,191,776,70,120,6,0,967,185,15,24,7,0,231,23,5,9,0,0,36,4428,605,1704,45,19,6801,206,84,49,3,0,341,198,18,46,0,4,274,15976,996,2152,73,31,19226
UCL113001,2193,723,138,175,14,3243,1123,385,97,6,0,1613,532,674,226,20,0,1447,164,258,48,0,0,474,27,60,18,0,0,101,211,180,46,13,4,449,36,12,5,72,25,145,12,12,0,0,0,21,974,1188,345,95,30,2642,240,73,49,7,0,363,78,56,15,37,0,184,4608,2424,645,320,51,8043
UCL113002,1734,231,178,37,7,2188,937,69,56,0,3,1059,482,181,285,4,0,958,85,46,55,0,0,189,43,21,21,0,0,85,215,35,68,0,0,322,26,3,10,20,0,67,9,4,0,0,0,15,868,296,441,27,4,1634,41,51,26,0,3,119,59,20,9,3,4,101,3640,664,711,69,17,5104
UCL113003,3017,28,3,0,4,3053,2165,8,0,0,4,2182,653,57,67,0,0,777,82,26,13,0,0,116,34,12,20,0,0,72,521,25,17,0,6,568,140,10,20,0,3,176,4,3,3,0,0,22,1431,139,149,3,7,1724,108,0,18,0,4,136,136,5,15,0,3,156,6862,177,186,8,19,7255
UCL113004,929,239,64,64,11,1308,658,217,53,3,0,925,303,295,83,5,12,688,21,13,16,0,0,53,29,29,22,0,0,83,245,145,56,17,4,471,52,13,8,54,6,116,6,3,3,0,0,9,653,495,187,74,22,1428,44,23,5,3,0,79,34,19,7,5,3,78,2322,997,318,150,38,3821
UCL113005,2159,84,107,50,0,2392,1753,37,24,20,0,1838,783,190,302,10,0,1286,170,44,33,0,0,254,31,69,22,0,0,131,416,58,72,4,6,559,38,19,21,25,0,99,16,12,4,0,0,30,1459,390,457,42,7,2355,68,7,21,5,0,102,87,21,17,6,8,131,5517,540,619,114,24,6817
UCL113006,1229,5,36,6,0,1284,946,9,10,3,0,966,497,51,141,6,0,697,127,8,30,0,0,163,126,12,44,0,3,184,210,7,22,0,0,244,34,0,9,21,0,59,8,0,0,0,0,12,999,77,245,30,5,1350,26,0,4,0,0,34,89,0,3,15,10,116,3290,90,300,50,19,3746
UCL113007,1990,376,235,11,3,2614,1438,229,60,0,0,1727,324,221,174,4,3,733,21,14,7,0,0,36,11,3,4,0,0,24,138,36,46,5,0,235,6,4,5,6,0,13,3,0,0,0,0,9,502,289,231,20,4,1040,33,38,121,0,0,187,23,10,21,0,0,62,3984,941,663,36,7,5632
UCL113008,1719,120,6,16,0,1858,1167,37,6,3,4,1217,646,195,63,7,0,914,227,81,18,0,0,325,8,16,11,0,0,38,165,22,11,3,0,207,19,3,5,3,5,31,5,3,0,0,0,9,1075,321,101,11,10,1516,38,87,0,0,0,129,102,27,8,0,0,135,4098,595,121,23,11,4850
UCL113009,962,14,0,0,0,977,1545,12,3,0,0,1562,465,37,0,0,0,506,12,0,0,0,0,12,0,0,0,0,0,0,76,6,0,0,0,87,147,0,0,0,0,147,0,0,0,0,0,0,704,45,4,0,0,754,19,0,0,0,0,18,17,0,0,0,0,23,3244,74,9,0,0,3333
UCL113010,1191,109,0,11,6,1317,1343,43,0,3,0,1390,768,294,20,7,0,1082,127,31,17,0,0,170,27,19,3,0,0,53,171,33,0,0,0,208,24,10,0,13,7,42,8,3,0,0,0,9,1117,386,40,16,4,1564,21,6,0,0,5,36,43,15,0,44,0,100,3719,556,49,73,10,4401
UCL113011,1078,43,7,5,6,1136,1389,25,3,0,0,1415,642,265,18,0,0,922,155,72,0,0,0,227,43,32,0,0,0,75,197,14,0,0,0,216,17,9,0,0,5,33,7,0,0,0,0,8,1059,396,20,0,5,1486,36,17,0,0,0,52,44,14,0,0,0,55,3608,494,27,8,9,4148
UCL113012,1867,589,220,0,3,2686,1151,250,54,0,0,1464,462,393,284,0,0,1137,3,30,28,0,0,67,9,47,23,0,0,72,124,76,39,0,4,237,57,29,6,0,0,98,8,5,3,0,0,17,658,573,385,0,10,1629,41,63,11,0,6,117,47,33,10,0,0,92,3765,1515,682,9,17,5985
UCL113013,1228,142,0,63,0,1434,1527,112,5,3,0,1652,752,346,20,9,0,1128,357,72,16,0,0,442,95,38,8,3,0,147,185,57,0,0,0,246,68,0,0,54,0,125,3,3,0,0,0,14,1459,527,45,69,3,2097,38,10,0,6,0,56,69,14,0,3,0,89,4319,804,51,139,7,5319
UCL113014,1346,86,44,16,0,1493,1919,94,20,0,0,2041,565,299,118,0,3,981,235,32,24,0,0,294,35,14,9,0,0,58,146,40,3,6,0,189,66,0,0,45,0,118,3,0,0,0,0,7,1052,381,157,54,3,1650,44,12,7,3,0,63,45,9,8,6,0,64,4405,584,231,76,7,5306
UCL113015,1826,67,22,22,3,1944,1205,20,9,0,0,1238,710,48,33,0,0,794,15,4,0,0,0,18,24,4,0,0,0,29,186,9,9,0,0,199,48,3,0,20,0,75,5,0,0,0,0,6,993,64,42,22,0,1126,48,50,3,0,4,105,75,0,0,5,4,79,4145,202,85,44,15,4489
UCL113016,2333,239,73,0,0,2643,1573,58,25,0,0,1655,980,243,305,7,4,1537,205,53,78,0,0,338,79,70,85,0,0,237,295,47,42,4,3,388,30,26,11,0,0,58,10,15,3,0,0,34,1606,457,516,14,5,2590,64,32,9,0,0,102,135,27,23,0,3,189,5705,809,649,14,12,7190
UCL113017,2671,173,30,140,15,3021,1338,47,16,5,3,1410,571,149,47,0,0,770,53,41,14,0,0,100,68,57,19,0,0,143,271,33,15,3,0,321,17,0,4,22,7,43,3,3,0,0,0,4,982,288,96,22,3,1389,49,9,3,8,0,67,73,9,0,14,0,95,5116,517,143,194,21,5992
UCL113018,375,33,6,0,0,418,280,9,5,0,0,292,66,35,7,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,44,6,3,0,0,50,11,0,0,0,0,13,4,0,0,0,0,0,124,43,5,0,0,172,14,22,0,0,0,34,23,3,0,0,0,24,807,113,13,0,0,943
UCL114001,791,190,9,0,0,990,485,82,0,0,0,568,204,132,9,0,0,342,28,17,0,0,0,47,4,7,0,0,0,11,58,47,4,0,0,109,5,7,0,0,0,10,0,0,0,0,0,0,296,208,17,0,0,518,27,64,0,0,0,87,17,17,0,0,0,33,1618,552,21,0,4,2200
UCL114002,1690,215,65,80,5,2057,520,42,13,0,0,578,260,103,80,14,0,466,0,4,27,0,0,33,0,5,19,0,0,29,73,25,13,8,3,112,22,6,0,16,5,51,0,5,0,0,0,9,354,150,139,44,9,699,50,51,0,6,0,109,130,120,10,79,7,337,2750,574,223,205,19,3776
UCL114003,1278,68,39,29,0,1414,1003,17,9,5,0,1037,487,148,110,5,0,755,148,12,13,0,0,175,20,23,16,0,0,55,205,28,20,0,0,254,30,8,4,19,0,63,7,8,3,0,0,12,897,225,163,29,4,1315,28,26,0,0,0,63,76,12,8,5,0,96,3280,348,225,66,5,3930
UCL114004,946,26,9,3,0,987,733,12,0,0,0,748,309,76,81,7,0,471,33,13,6,0,0,50,28,4,6,0,0,43,140,8,11,3,0,169,38,5,3,4,0,52,4,0,0,0,0,6,556,115,108,11,5,793,35,17,0,0,0,57,33,0,4,0,0,37,2315,166,121,26,7,2634
UCL114005,1133,28,0,5,0,1165,550,11,0,0,0,561,198,95,0,6,0,311,130,7,13,0,0,150,0,0,0,0,0,0,106,25,0,6,0,132,17,8,0,3,0,23,0,6,0,0,0,0,449,131,15,13,0,613,31,26,0,0,0,52,48,6,0,0,0,58,2213,202,15,20,3,2450
UCL114006,965,98,0,16,3,1090,594,32,0,5,0,627,220,147,0,6,0,373,23,3,0,0,0,31,0,11,0,0,0,8,95,35,4,0,0,135,3,0,0,0,0,12,5,3,0,0,0,7,349,205,3,10,4,571,17,9,0,0,0,30,26,8,0,0,0,40,1955,358,3,29,8,2361
UCL114007,1309,42,0,5,0,1358,825,11,3,0,0,848,424,138,44,3,0,605,139,10,18,0,0,169,28,9,5,0,0,41,189,25,3,0,0,219,23,11,6,0,0,29,10,4,0,0,0,12,811,190,74,4,5,1079,35,11,0,0,0,50,65,6,7,0,0,79,3045,260,91,8,8,3409
UCL114008,993,49,4,3,4,1052,732,7,6,0,0,746,312,157,11,3,0,482,51,15,0,0,0,71,25,14,0,0,0,34,110,17,0,0,0,129,24,9,0,0,4,34,3,0,0,0,0,0,522,206,16,4,3,751,27,3,0,0,0,30,50,12,0,3,3,63,2319,279,16,13,13,2646
UCL114009,307,36,12,0,0,364,963,17,0,0,0,980,455,43,14,0,0,510,9,0,0,0,0,4,0,0,0,0,0,3,88,6,0,0,0,93,60,3,0,0,0,63,4,0,0,0,0,4,612,50,16,0,0,676,10,53,20,0,5,90,21,7,4,0,0,31,1910,164,55,0,3,2140
UCL114010,938,34,10,13,5,990,782,14,5,3,0,803,307,67,103,5,0,484,113,10,14,0,0,134,8,0,5,0,0,19,130,19,12,0,0,161,16,0,5,9,0,30,7,0,4,0,0,10,586,95,137,22,0,841,40,3,7,0,0,46,57,6,8,0,0,73,2392,154,162,42,0,2752
UCL114011,838,18,5,4,0,870,495,0,0,4,0,499,322,113,26,3,0,464,39,0,0,0,0,41,33,0,21,0,0,52,117,9,8,0,3,134,12,0,5,4,0,18,9,0,0,0,0,3,527,123,62,8,3,715,28,4,0,0,0,29,61,5,0,3,0,68,1939,153,70,21,3,2181
UCL114012,122,4,6,0,0,129,1301,70,10,0,0,1381,167,26,6,0,0,198,9,0,0,0,0,9,0,0,0,0,0,0,38,9,0,0,0,47,140,0,0,0,0,144,0,0,0,0,0,0,355,32,5,0,0,396,5,0,0,0,0,9,16,0,0,0,0,16,1796,107,16,0,0,1929
UCL114013,923,49,0,6,0,981,909,18,0,0,0,940,506,166,61,0,0,728,81,27,5,0,0,113,30,24,7,0,0,66,154,20,0,3,0,174,20,4,4,5,0,28,6,0,0,0,0,9,793,239,79,7,4,1125,36,35,0,0,0,71,56,10,3,0,0,66,2720,352,82,15,3,3177
UCL114014,553,15,74,0,0,646,965,31,125,0,4,1126,112,10,68,11,3,206,30,0,0,0,0,30,0,0,0,0,0,0,45,0,24,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,185,14,92,14,0,309,18,0,5,0,0,25,12,0,0,0,0,14,1741,61,300,12,8,2116
UCL114015,1165,44,3,4,0,1225,941,14,0,9,4,961,635,254,27,4,0,912,97,25,0,0,0,120,42,53,8,0,4,103,181,13,11,0,5,209,27,9,0,12,4,60,9,11,3,0,0,21,995,357,42,17,12,1428,42,10,0,0,0,56,68,35,4,9,0,123,3216,463,51,38,27,3789
UCL114016,826,7,59,7,0,905,767,8,24,10,3,814,333,57,163,10,0,560,81,4,6,0,0,95,4,5,0,0,0,7,150,16,43,0,0,215,31,4,14,9,0,54,0,0,3,0,0,9,602,84,227,14,0,933,21,5,3,0,0,34,34,4,0,3,0,40,2246,111,319,38,11,2734
UCL114017,772,200,24,12,0,1003,777,155,26,0,0,964,217,155,44,0,0,419,0,0,0,0,0,0,3,0,0,0,0,6,102,64,28,0,0,195,6,0,0,0,0,12,0,0,0,0,0,0,333,221,73,0,3,631,9,5,0,0,0,16,19,6,0,0,0,24,1913,588,119,13,4,2639
UCL114018,1353,247,119,3,10,1737,682,91,78,0,11,857,213,117,205,0,4,546,8,22,4,0,0,33,13,11,4,0,0,29,106,48,48,0,5,210,20,0,0,0,0,24,3,0,0,0,0,5,369,194,263,4,9,846,54,27,9,0,0,94,28,3,10,0,6,49,2482,568,487,13,33,3577
UCL114019,638,27,0,12,0,676,571,25,0,5,0,600,370,183,39,5,0,592,128,31,11,0,0,165,27,18,10,0,0,59,125,12,0,4,3,146,24,9,0,0,0,44,4,10,0,0,0,10,681,262,61,10,5,1021,24,12,0,0,0,33,72,14,3,0,0,93,1980,342,67,23,5,2419
UCL114020,1175,84,21,46,0,1331,1032,36,13,5,0,1078,432,87,44,4,0,561,79,18,16,0,0,112,68,37,20,0,0,123,109,15,7,3,0,127,10,0,0,12,0,23,7,0,0,0,0,11,700,160,76,21,0,958,33,5,0,0,0,38,28,6,0,6,0,40,2968,293,107,76,3,3448
UCL114021,1137,26,121,15,3,1308,1149,24,18,3,0,1197,349,81,172,9,0,610,68,37,21,0,0,127,20,15,5,0,0,36,167,25,76,7,0,277,14,0,15,4,0,32,4,0,3,0,0,8,626,163,288,16,3,1095,28,0,60,0,0,100,35,6,19,0,3,56,2979,230,510,31,10,3757
UCL114022,1103,108,74,43,26,1354,425,31,22,3,0,479,249,117,172,6,0,547,65,14,5,0,0,80,86,51,13,0,0,149,91,14,23,4,0,139,36,7,4,6,0,55,0,3,7,0,0,14,519,209,228,16,13,981,29,17,4,9,5,63,55,16,3,4,0,74,2131,380,328,75,34,2946
UCL114023,643,16,3,5,0,660,590,12,0,0,0,602,230,167,22,0,0,419,90,36,0,0,0,126,32,27,0,0,0,61,111,16,0,0,0,134,40,9,0,7,0,50,4,6,0,0,0,13,510,266,23,7,0,799,27,6,0,0,0,36,33,16,0,5,0,53,1806,309,22,12,0,2152
UCL114024,1164,28,35,12,4,1246,1170,9,9,5,4,1193,427,57,129,0,0,621,127,15,32,0,0,174,20,11,0,0,0,36,285,10,18,0,0,324,33,3,10,6,3,52,3,0,0,0,0,3,898,102,185,15,10,1212,38,12,28,5,0,84,48,5,13,0,6,68,3322,156,277,22,22,3805
UCL114025,766,114,19,40,0,936,825,119,21,0,0,965,221,142,54,0,0,411,0,18,0,0,0,18,0,3,0,0,0,3,75,40,10,0,0,124,0,6,0,0,0,11,0,0,0,0,0,0,294,207,60,9,0,576,7,0,0,0,0,17,15,4,0,0,0,20,1912,447,104,45,0,2508
UCL114026,474,94,14,0,5,585,630,111,5,0,6,754,276,162,6,0,0,441,58,13,0,0,0,67,4,4,0,0,0,8,35,16,0,0,0,60,20,6,0,0,0,23,0,0,0,0,0,6,394,195,7,0,0,601,78,15,10,0,5,110,13,0,0,0,5,21,1599,424,37,0,11,2069
UCL114027,801,245,83,66,23,1215,436,81,26,0,0,550,153,99,68,0,0,320,3,6,4,0,0,16,4,18,4,0,0,27,71,31,19,0,0,116,10,7,0,8,4,30,0,0,0,0,0,4,237,163,99,11,9,522,13,76,18,5,0,111,18,19,6,0,0,41,1506,577,235,81,32,2437
UCL114028,592,52,4,0,0,644,620,22,3,0,0,642,206,158,6,0,0,376,56,20,14,0,0,90,13,20,0,0,0,31,110,10,0,0,0,126,21,17,0,5,5,45,4,3,0,0,0,8,405,225,29,10,5,670,35,3,0,0,0,41,24,5,0,0,0,36,1682,305,32,10,7,2034
UCL114029,466,7,0,0,0,475,988,0,0,0,0,992,137,11,4,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,3,187,9,4,0,0,198,10,0,0,0,0,10,14,0,0,0,0,14,1669,13,5,0,3,1689
UCL114030,1132,43,82,8,0,1271,433,7,32,0,0,471,227,37,135,0,0,400,7,0,0,0,0,10,6,12,3,0,0,21,76,9,13,0,0,94,11,0,0,0,3,18,4,0,0,0,0,3,326,56,154,8,3,545,13,0,0,3,0,16,35,3,6,0,0,44,1939,116,272,19,5,2353
UCL114031,947,14,11,0,3,981,954,0,8,0,0,965,331,13,21,6,0,362,0,0,0,0,0,0,0,0,0,0,0,0,110,3,5,0,0,119,0,0,0,0,0,5,0,0,0,0,0,0,450,14,22,6,0,488,22,0,0,0,0,22,15,3,0,0,0,20,2390,33,44,9,0,2472
UCL114032,401,42,3,0,4,440,681,31,3,0,0,719,362,46,9,3,0,420,31,7,0,0,0,39,32,4,0,0,0,40,61,7,0,0,0,68,3,0,0,0,0,7,0,0,0,0,0,3,496,64,9,3,0,571,16,12,0,0,0,27,13,0,0,0,0,21,1602,152,12,0,4,1774
UCL114033,865,57,6,0,0,937,713,18,0,0,0,733,295,171,31,4,0,491,122,10,7,0,0,139,4,3,0,0,0,7,122,22,8,0,0,152,17,6,0,0,0,28,0,3,0,0,0,6,561,214,43,4,0,826,16,8,0,0,0,30,25,6,0,0,0,38,2186,308,50,3,4,2558
UCL114034,1032,70,3,0,0,1112,846,44,5,0,0,895,398,125,30,6,0,562,63,9,0,0,0,66,77,27,0,0,0,103,133,22,3,3,0,157,13,0,0,0,0,20,9,0,0,0,0,10,686,184,32,13,3,922,29,29,0,0,0,54,46,11,3,0,0,58,2641,334,43,20,6,3037
