UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL515037,5,3,0,0,0,0,15,0,4,8,6,3,0,0,0,23,8,26,42,19,11,0,0,0,111,6,21,32,27,5,3,0,0,91,28,135,148,65,32,10,4,0,426,12,10,6,0,0,0,0,0,29,0,0,4,0,0,0,0,0,10,43,151,158,73,35,6,4,0,467,0,0,0,0,0,0,0,0,3,37,87,76,48,43,10,5,0,298,87,292,323,170,96,20,3,0,1008
UCL515038,6,0,3,13,3,0,34,0,4,3,3,4,16,3,0,39,4,28,23,29,24,31,19,7,165,0,9,12,31,40,60,30,7,186,19,42,48,59,90,72,32,12,373,11,3,0,7,0,5,0,0,33,0,0,6,0,11,18,3,3,49,35,43,54,72,106,103,34,10,451,0,3,0,0,0,7,8,0,17,19,21,17,33,38,58,49,18,250,61,112,119,168,216,280,150,39,1144
UCL521001,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,5,7,10,3,6,0,0,32,0,5,10,6,10,7,0,0,38,11,17,30,37,29,8,0,0,138,3,0,0,0,0,0,0,0,15,0,0,3,3,0,3,0,0,11,20,21,36,39,37,11,4,0,164,0,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,23,22,27,49,63,60,27,4,0,250
UCL521002,6,0,5,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,4,10,5,4,4,0,36,4,3,9,11,7,17,3,0,53,7,35,14,41,28,35,3,0,167,0,0,0,0,0,0,0,0,9,0,6,0,0,9,3,0,0,16,12,39,24,41,35,43,7,0,189,0,0,0,0,3,0,0,0,0,10,5,19,9,7,24,0,0,84,24,49,62,72,63,90,20,0,375
UCL521003,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,4,10,4,14,13,5,0,50,0,0,5,7,10,12,11,0,57,6,12,25,15,23,28,10,9,125,0,7,0,3,0,0,0,0,10,0,0,0,0,3,6,0,0,14,8,16,24,17,21,32,15,9,145,0,0,0,0,0,3,0,0,8,8,3,14,11,7,22,21,15,105,20,31,53,52,59,86,48,22,374
UCL521004,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,7,5,0,0,0,0,22,0,0,0,0,4,0,0,0,4,7,15,3,8,9,0,0,0,39,6,4,0,0,6,0,0,0,12,6,3,0,0,0,0,0,0,13,16,18,8,10,9,0,3,0,62,0,0,0,0,0,0,0,0,0,8,16,4,10,3,4,0,0,46,25,49,22,29,23,4,3,0,152
UCL521005,6,4,3,0,0,0,13,0,0,3,0,0,3,0,0,14,6,19,20,6,4,4,0,0,65,3,7,12,7,12,8,4,0,54,11,44,24,31,43,13,6,0,183,6,9,5,0,0,0,0,0,25,0,3,0,3,3,0,0,0,19,22,59,34,41,53,16,11,0,221,0,0,0,0,0,0,0,0,6,7,19,9,22,30,15,12,5,124,35,98,85,79,98,59,29,3,491
UCL521006,0,0,0,0,0,0,3,0,0,0,5,8,0,0,0,11,0,6,10,11,17,18,6,0,59,0,6,9,6,19,6,4,0,54,21,24,39,27,50,27,11,0,203,4,0,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,8,24,27,51,29,54,27,11,0,221,0,0,0,0,0,0,0,0,0,8,8,4,9,13,22,16,0,77,31,49,80,62,106,73,36,4,436
UCL521007,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,3,8,9,4,3,3,0,0,29,0,4,7,9,3,4,3,0,37,17,12,13,7,13,6,3,0,73,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,16,20,16,13,11,14,3,3,0,92,0,0,0,0,0,0,0,0,0,4,7,10,17,13,13,9,4,74,22,37,37,35,38,28,23,8,239
UCL521008,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,7,5,5,0,0,0,27,0,3,3,0,9,9,4,0,18,3,11,7,11,10,7,0,3,62,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,5,3,12,13,12,13,7,6,4,74,0,0,0,0,0,0,0,0,3,6,8,11,6,11,5,6,0,61,12,31,33,26,37,28,15,4,194
UCL521009,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,11,0,8,11,3,0,0,0,0,20,0,0,0,7,6,6,0,5,25,5,16,16,7,14,10,7,0,77,0,4,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,9,6,18,16,12,14,11,10,0,92,0,0,0,0,5,0,0,0,5,8,8,9,9,16,17,14,9,79,18,30,34,35,44,38,26,9,229
UCL521010,0,0,0,0,3,0,6,0,0,0,4,0,0,0,0,3,0,6,6,14,3,0,0,0,27,0,4,8,4,6,5,0,0,31,24,39,30,28,28,14,8,0,174,7,4,5,0,0,0,0,0,17,0,0,0,0,7,4,0,0,14,35,45,33,28,32,19,8,0,199,0,0,0,0,0,0,0,0,0,13,3,10,7,15,16,9,0,69,49,60,55,58,60,40,12,5,338
UCL521011,0,0,4,3,0,0,5,0,0,5,5,0,0,0,0,11,3,5,5,7,10,3,0,0,38,0,0,8,12,10,0,0,0,40,10,30,37,31,10,3,0,0,121,5,0,0,0,0,0,0,0,15,0,0,4,3,0,0,0,0,3,19,34,45,34,15,3,0,0,144,0,0,0,0,0,0,0,0,0,0,4,9,8,7,4,4,0,29,20,48,75,60,38,18,4,0,263
UCL521012,4,4,6,0,0,0,11,0,0,0,6,4,0,0,0,14,0,5,3,8,4,0,0,0,24,0,6,5,4,8,3,0,0,34,3,25,17,19,29,10,3,0,105,0,0,4,7,0,0,0,0,11,0,0,6,4,4,0,0,0,8,3,25,20,27,32,12,3,0,130,0,0,0,0,0,0,0,0,4,4,0,4,3,8,9,5,5,40,10,38,39,56,61,36,4,5,251
UCL521013,4,0,4,0,0,0,11,0,0,0,4,0,0,0,0,6,0,4,6,14,13,5,7,0,47,0,12,7,17,14,15,0,0,63,18,48,29,38,39,20,6,0,198,0,0,4,3,4,0,0,0,14,0,0,3,4,4,0,0,0,12,20,50,38,48,36,23,6,3,224,0,0,0,0,0,0,0,0,0,6,16,9,11,8,9,7,0,63,31,81,65,98,79,54,13,3,422
UCL521014,0,0,3,0,0,0,4,0,3,0,0,5,0,0,0,7,0,3,0,9,5,9,0,0,24,0,5,4,3,4,8,0,0,29,7,10,23,25,20,15,0,3,102,10,0,0,5,0,0,0,0,13,0,0,3,0,0,3,0,0,12,12,14,23,24,29,19,0,3,124,0,0,0,4,0,0,0,0,3,13,15,29,33,32,20,4,0,152,32,41,61,71,75,52,9,4,346
UCL521015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,6,0,8,8,4,0,37,0,5,4,9,13,8,4,0,38,12,20,20,19,15,17,0,0,97,11,0,0,0,0,0,0,0,17,0,0,6,0,0,3,0,0,7,16,19,33,18,13,18,5,0,124,0,0,0,0,0,5,0,0,7,4,4,0,10,5,15,7,8,50,22,47,45,32,36,51,18,16,264
UCL521016,0,3,0,0,0,0,4,0,4,0,3,0,0,0,0,5,0,9,8,6,3,0,0,0,27,4,9,0,5,3,3,0,0,24,12,28,16,20,17,8,10,0,118,6,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,12,23,32,16,17,22,9,10,0,134,0,0,0,0,0,0,0,0,7,3,6,12,11,7,7,5,4,54,33,58,35,45,35,22,13,5,248
UCL521017,0,4,0,0,0,0,11,0,5,0,0,0,0,0,0,4,4,19,15,4,3,0,0,0,47,0,5,12,0,5,0,4,0,30,10,22,24,7,9,5,0,0,75,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,13,27,25,7,9,11,0,0,85,0,0,3,3,0,0,0,0,8,10,14,19,13,14,9,5,0,86,24,66,77,37,29,17,15,4,268
UCL521018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,13,6,5,0,0,45,4,9,3,8,15,5,4,0,37,11,33,24,25,17,12,0,3,121,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,35,24,25,17,11,0,3,139,0,0,0,0,0,3,0,0,6,3,3,0,11,0,4,4,0,24,29,52,42,59,35,23,9,0,250
UCL521019,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,3,15,14,7,15,9,0,0,54,0,8,12,13,10,16,4,0,54,10,5,19,22,19,25,8,0,117,3,0,0,3,4,0,0,0,15,0,0,0,0,5,0,0,0,7,17,8,22,29,29,21,13,0,134,0,0,0,0,0,0,3,0,3,13,17,17,20,25,23,16,5,120,37,51,68,62,71,69,28,5,397
UCL521020,5,0,3,3,0,0,8,0,0,0,0,0,0,0,0,7,0,0,12,4,5,3,4,0,30,0,8,0,6,6,12,4,0,42,10,15,23,34,35,33,13,4,165,5,0,0,0,5,0,0,0,9,0,0,0,0,3,3,0,0,11,14,21,23,36,46,38,13,4,190,0,0,3,0,0,0,0,0,4,9,0,3,17,9,13,9,6,60,21,27,51,67,66,75,29,9,335
UCL521021,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,11,0,15,29,17,7,5,6,0,82,0,6,8,11,15,8,8,0,56,7,29,36,25,21,20,10,0,137,6,3,0,0,0,0,0,0,9,4,0,0,0,5,4,0,0,13,20,31,41,23,24,23,10,0,161,0,0,0,0,0,0,0,0,3,4,9,9,9,7,13,11,0,76,27,65,92,68,58,46,32,0,381
UCL521022,8,12,3,4,0,0,33,0,0,0,9,7,3,0,0,26,5,24,22,43,27,16,6,0,141,0,9,13,18,16,12,0,6,84,3,13,13,18,16,13,0,0,74,9,0,6,0,3,0,0,0,14,0,0,0,4,3,0,0,0,9,10,14,17,23,21,16,0,0,98,0,0,0,0,0,0,0,0,3,12,4,8,25,9,21,4,0,82,22,62,77,129,89,77,11,4,466
UCL521023,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,7,7,0,4,5,0,0,29,0,0,0,3,4,8,0,0,20,3,21,14,15,19,6,0,0,85,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,24,14,17,25,6,5,0,94,0,0,0,0,0,0,0,0,0,4,4,8,7,10,15,0,3,58,14,41,38,33,51,31,8,6,215
UCL521024,0,0,3,0,0,0,21,0,3,0,4,0,3,0,0,14,5,23,12,24,11,4,0,0,81,6,4,7,6,6,9,0,0,29,12,27,34,33,22,3,0,0,137,5,4,6,3,3,0,0,0,20,0,0,6,0,0,0,0,0,6,15,34,44,35,25,8,0,0,162,0,0,0,0,0,0,0,0,0,42,52,47,42,27,18,7,3,241,64,128,115,101,79,37,18,3,547
UCL521025,7,4,3,0,0,0,16,0,0,0,3,0,0,0,0,8,0,24,18,17,3,0,11,0,69,3,16,10,18,7,6,3,4,67,6,38,18,18,21,11,3,0,121,0,7,0,0,0,0,0,0,11,0,0,0,3,0,3,0,0,13,6,42,23,22,25,15,3,0,139,0,0,0,0,0,0,0,0,4,4,7,3,9,16,12,13,0,73,14,88,68,66,56,46,23,3,370
UCL521026,0,4,3,3,0,0,10,0,0,8,5,3,0,0,0,14,3,7,20,15,7,3,3,0,66,0,0,10,19,12,6,6,0,63,15,30,31,41,34,9,4,0,153,4,0,0,0,0,0,0,0,11,5,0,4,4,4,0,0,0,12,16,30,28,44,31,9,4,0,174,0,0,0,0,0,0,0,0,7,10,0,8,16,7,3,9,0,49,36,49,76,109,68,29,21,0,381
UCL521027,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,5,7,3,0,0,0,17,11,28,14,17,21,13,3,0,111,6,0,0,3,0,0,0,0,13,0,0,5,0,0,0,0,0,8,21,32,22,16,18,17,3,0,133,0,0,0,0,0,0,0,0,0,40,53,42,42,32,16,4,0,232,58,92,75,66,57,37,11,4,396
UCL521028,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,13,4,3,3,3,0,0,29,0,5,4,0,8,8,0,0,27,12,20,15,17,25,12,10,0,103,0,0,0,0,0,0,0,0,4,0,0,0,3,4,5,0,0,7,14,14,15,20,29,21,10,0,118,0,0,0,0,0,0,5,0,3,13,6,7,15,16,9,20,9,104,28,44,31,42,60,38,33,15,292
UCL521029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,16,10,8,9,9,3,74,0,7,7,4,7,8,4,0,42,9,20,22,15,21,12,0,0,99,10,4,0,0,0,0,0,0,13,0,0,0,0,3,3,0,0,11,17,26,20,15,22,12,0,0,118,0,0,0,0,0,0,0,0,6,5,11,11,13,18,5,22,15,108,23,65,64,47,56,41,36,27,355
UCL521030,0,0,0,3,0,0,12,0,5,0,5,3,0,0,0,12,0,26,8,12,6,8,4,0,63,0,8,6,7,14,12,9,0,53,6,14,5,22,25,25,13,6,112,0,0,0,0,0,0,0,0,9,0,4,0,0,7,4,0,0,17,12,17,6,22,28,24,13,6,127,0,3,0,0,0,0,0,0,7,7,14,9,12,21,16,16,6,99,19,74,30,62,75,58,40,7,372
UCL521031,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,4,0,14,7,3,5,0,0,0,27,0,10,3,6,7,5,6,0,31,5,18,13,15,20,11,0,0,80,5,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,4,7,23,15,14,22,11,0,0,96,0,0,0,0,0,0,0,0,0,13,37,18,17,19,8,7,0,121,29,80,48,50,51,20,9,0,284
UCL521032,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,24,0,4,7,0,0,0,32,0,6,3,4,11,4,0,0,27,0,17,5,6,23,4,0,0,55,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,5,20,7,4,23,3,0,0,67,0,0,0,0,0,0,0,0,0,27,27,11,22,21,15,6,0,132,30,79,28,37,66,19,5,0,271
UCL521033,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,8,3,10,3,0,0,25,0,4,0,0,4,4,0,0,12,0,6,13,7,23,4,4,0,57,0,6,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,4,3,10,15,7,20,6,4,0,64,0,0,0,0,0,0,0,0,3,28,32,50,55,38,24,12,4,234,31,44,71,73,74,42,12,4,351
UCL521034,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,7,10,5,4,7,3,0,42,3,0,10,22,11,9,0,0,58,13,27,24,31,28,11,5,0,139,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,9,18,27,24,34,29,14,6,0,155,0,0,0,0,0,0,0,0,0,7,10,8,12,16,7,3,0,75,31,49,56,79,63,37,19,5,336
UCL521035,6,0,3,0,0,0,11,0,0,0,5,4,0,0,0,6,0,0,8,6,9,3,0,0,31,0,7,9,4,5,16,3,0,40,3,10,11,15,28,14,10,0,100,4,3,0,0,0,0,0,0,8,0,0,0,0,0,3,4,0,6,3,13,13,17,29,23,14,5,116,0,0,0,0,0,0,0,0,4,0,8,4,9,14,12,19,0,67,3,29,36,49,65,51,41,7,280
UCL521036,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,5,0,3,8,4,0,0,20,0,4,0,0,3,9,0,0,16,9,9,8,7,17,11,5,0,64,5,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,6,12,12,8,7,20,11,5,0,66,0,0,0,0,0,0,0,0,3,12,16,0,27,19,13,12,0,102,22,40,13,40,48,30,16,0,216
UCL521037,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,6,0,8,0,8,3,3,0,0,30,0,9,21,6,3,3,3,0,45,17,31,52,31,33,15,4,0,180,5,4,3,3,0,4,0,0,20,0,0,0,0,0,0,0,0,7,21,30,52,34,36,20,7,0,208,0,0,0,0,0,0,0,0,3,3,8,16,14,9,4,11,0,70,30,55,87,65,56,43,23,6,362
UCL521038,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,9,0,4,6,0,7,6,0,3,35,0,4,5,10,5,10,0,4,36,4,11,13,21,32,23,10,0,118,5,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,6,7,11,14,21,35,32,12,4,129,0,0,0,0,0,0,3,0,3,17,6,16,16,19,22,15,8,111,20,30,42,49,63,72,37,8,320
UCL521039,9,12,9,6,3,0,36,0,0,4,4,6,5,0,0,20,0,10,22,27,38,21,15,0,136,0,7,10,19,19,23,5,0,85,8,15,27,18,30,15,7,0,120,4,0,0,0,0,0,0,0,3,0,3,4,0,5,0,0,0,16,6,18,28,22,38,15,9,0,141,0,0,0,0,0,0,0,0,6,7,0,6,14,8,7,13,3,58,15,40,75,96,122,73,48,12,484
UCL521040,8,0,0,0,0,0,14,0,5,6,3,0,0,0,0,13,5,26,29,6,5,3,0,0,76,0,5,13,4,7,5,0,0,37,14,43,29,18,17,7,0,0,136,0,4,6,3,0,0,0,0,11,0,4,6,6,0,0,0,0,15,14,50,32,27,21,10,3,0,156,0,0,0,0,0,0,0,0,0,13,36,30,19,26,5,0,0,133,29,127,125,60,66,20,4,0,429
UCL521041,4,0,0,0,0,0,7,0,4,0,3,0,0,0,0,10,3,14,15,0,4,0,0,0,37,0,19,14,5,0,0,0,0,44,12,72,54,22,14,0,0,0,180,0,3,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,9,17,76,60,22,15,0,0,0,194,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,0,24,23,127,95,39,24,6,0,0,315
UCL521042,0,4,3,0,0,0,8,0,0,0,5,3,0,0,0,9,3,7,7,3,13,0,6,0,42,3,3,6,6,3,4,0,3,33,9,20,12,20,6,10,0,4,78,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,7,11,20,12,23,12,10,0,0,93,0,0,0,6,0,5,0,0,3,9,9,11,6,8,6,8,3,67,29,44,35,53,40,30,10,12,253
UCL521043,5,7,9,0,0,0,22,0,0,0,4,4,4,0,0,11,0,8,14,24,10,9,8,0,80,0,0,4,5,16,14,0,0,40,6,16,19,21,32,11,9,0,103,3,0,0,4,0,0,0,0,9,0,0,0,0,5,3,0,0,14,11,16,17,23,31,17,8,0,123,0,0,0,0,0,0,0,0,6,4,3,8,7,12,3,3,0,31,18,27,49,70,75,51,21,0,319
UCL521044,0,0,4,0,0,0,6,0,0,5,0,0,0,0,0,4,3,0,11,5,0,13,0,0,30,0,7,3,0,18,10,4,0,39,9,10,10,21,27,27,3,0,108,5,3,0,0,0,0,0,0,13,0,6,0,0,3,0,0,0,9,18,18,10,21,34,25,8,0,137,0,0,0,0,0,0,3,0,3,9,5,5,18,12,13,17,6,74,25,34,37,43,65,55,29,8,294
UCL521045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,8,3,0,0,19,0,4,5,10,10,8,3,0,31,8,9,4,7,21,19,5,7,66,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,5,7,5,3,9,28,17,7,7,86,0,0,0,0,0,0,0,0,0,12,11,9,18,21,40,19,11,141,18,30,25,34,61,68,34,15,287
UCL521046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,3,0,0,0,0,14,0,0,9,5,3,0,0,0,22,3,16,7,11,11,8,3,0,66,8,5,0,0,7,0,0,0,12,0,3,0,0,4,0,3,0,8,7,23,12,11,22,9,6,0,91,0,0,0,0,0,0,0,0,0,3,0,13,9,13,12,4,0,58,16,40,29,33,42,19,9,0,187
UCL521047,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,10,12,6,0,0,0,0,32,0,0,5,6,3,0,4,0,20,6,14,14,10,14,6,0,0,74,5,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,8,12,23,18,16,7,0,0,87,0,0,0,0,0,0,0,0,0,0,12,3,9,15,6,3,0,48,8,36,42,40,40,17,8,5,195
UCL521048,0,3,5,6,3,0,19,0,0,9,0,9,6,0,0,16,3,5,3,8,19,11,8,0,61,0,5,0,8,20,19,9,0,68,9,20,26,19,28,31,10,0,144,3,3,0,0,0,3,0,0,11,0,0,0,7,0,13,0,0,22,12,23,25,19,31,47,13,0,174,0,0,0,0,4,0,0,0,8,9,13,11,9,28,14,12,5,105,24,56,48,56,101,109,47,19,456
UCL521049,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,9,8,6,0,0,0,0,21,0,0,0,0,3,0,0,0,4,0,0,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,15,11,9,5,11,0,0,0,48,21,22,25,13,16,4,0,0,103
UCL521050,4,0,0,3,0,0,12,0,0,0,4,3,0,0,0,3,4,11,14,6,8,0,0,0,43,0,5,5,5,9,12,0,0,30,10,24,28,15,25,15,6,0,123,4,9,5,0,0,0,0,0,17,0,0,0,0,0,3,0,0,3,16,41,29,17,23,17,6,0,147,0,0,4,0,0,0,0,0,12,11,9,11,4,3,16,5,0,59,29,62,54,39,47,50,14,8,304
UCL521051,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,8,4,0,0,25,0,3,7,9,3,10,3,0,40,11,23,27,26,29,23,13,0,150,3,5,3,7,5,0,0,0,25,0,0,0,0,3,0,0,0,12,17,28,29,39,37,20,13,0,179,0,0,0,0,0,0,0,0,4,7,4,14,12,12,15,9,3,73,29,39,60,67,64,48,23,3,331
UCL521052,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9,3,6,9,0,0,0,33,0,0,6,6,0,0,5,0,20,4,17,16,20,9,3,0,0,75,5,3,3,3,4,0,0,0,16,0,0,0,0,3,3,0,0,9,13,21,20,27,15,12,0,0,105,0,0,0,0,0,0,0,0,0,16,23,34,22,29,10,3,4,132,29,58,68,58,52,23,9,4,294
UCL522001,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,14,0,4,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,18,0,5,3,0,0,0,0,0,4,0,5,3,0,0,4,0,0,10,0,11,17,6,0,3,0,0,37,0,0,0,0,0,0,0,0,0,5,8,6,3,3,5,0,0,34,8,28,25,12,12,11,0,0,92
UCL522002,4,0,0,4,0,0,11,0,0,0,0,0,3,0,0,6,0,0,4,8,3,9,3,0,33,0,0,4,5,7,6,3,0,27,3,6,7,11,11,10,6,0,53,6,5,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,8,8,13,8,9,11,11,6,0,71,0,0,0,0,0,0,0,0,0,4,6,0,4,6,8,4,0,31,10,19,23,33,32,41,19,0,174
UCL522003,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,4,5,4,5,0,0,0,22,0,4,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,10,8,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,11,7,10,4,3,0,0,0,32,8,23,19,12,6,3,0,0,77
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,4,0,0,0,19,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,7,3,13,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,12,10,8,13,7,3,0,0,0,44
UCL522005,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,7,5,4,12,0,7,0,0,0,28,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,10,11,4,7,0,0,0,29,0,0,0,0,0,0,0,0,0,7,10,7,3,0,0,0,0,32,11,22,25,10,10,4,0,0,75
UCL522006,0,12,7,5,0,0,22,0,0,6,0,0,6,0,0,7,11,10,12,21,14,8,3,0,81,0,5,9,9,15,9,0,4,42,13,11,13,13,12,9,7,3,75,0,0,0,0,0,0,0,0,4,3,0,0,0,9,0,0,0,10,17,9,13,17,20,9,3,3,88,0,0,0,0,0,0,0,0,3,5,7,0,7,7,5,4,0,22,29,32,36,64,56,41,11,5,271
UCL522007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,0,18,0,0,0,0,3,4,0,0,11,4,5,8,4,6,5,8,0,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,8,6,6,6,7,0,41,0,0,4,0,0,0,0,0,3,0,0,0,0,3,8,3,0,14,7,12,14,11,22,17,12,3,97
UCL522008,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,3,5,0,0,4,0,0,15,0,4,0,0,6,6,0,0,13,0,5,3,4,12,11,5,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,8,13,11,5,0,35,0,0,0,0,7,0,0,0,7,0,0,0,3,3,5,7,0,20,4,12,7,14,24,18,10,0,90
