UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL122067,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,5,0,5,0,6,3,38
UCL122068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
UCL122069,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,12,0,0,0,4,0,0,3,30
UCL122070,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,17,3,9,7,0,0,7,0,64
UCL122071,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,18,0,4,0,3,0,0,0,44
UCL122072,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,0,0,0,0,0,21
UCL122073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,8,3,25
UCL122074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7
UCL122075,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,6,4,0,0,0,3,0,40
UCL122076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,5,0,3,0,0,0,0,0,26
UCL122077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,5,0,0,3,4,0,32
UCL122078,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,0,3,0,3,0,22
UCL122079,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,6,0,8,0,0,0,6,0,34
UCL122080,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,12,8,6,5,0,3,4,0,67
UCL122081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,23
UCL122082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4
UCL122083,0,0,0,15,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,0,3,0,0,0,0,6,45
UCL122084,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,3,0,0,0,4,0,15
UCL122085,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,3,4,11,0,25
UCL122086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,4,0,18
UCL122087,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,4,3,22
UCL122088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,7,0,18
UCL122089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,4,4,0,4,0,3,4,47
UCL122090,0,0,0,15,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,23,0,3,0,4,0,8,3,51
UCL122091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,7,0,3,0,3,0,0,7,31
UCL122092,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,12,0,3,3,4,0,6,0,40
UCL122093,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,15
UCL122094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,4,0,0,0,0,0,23
UCL122095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,22
UCL122096,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,16
UCL122097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17
UCL122098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,14
UCL122099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,3,0,0,0,5,0,22
UCL122100,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,3,4,0,6,0,10,4,33
UCL122101,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,11,0,7,0,7,0,0,0,39
UCL122102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,16
UCL122103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,18
UCL122104,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,14,8,17,4,3,0,3,0,70
UCL122105,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,17,0,15,0,3,0,4,0,51
UCL122106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,13
UCL122107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,10,4,0,0,0,4,0,0,43
UCL122108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL122110,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0,3,0,4,0,3,0,47
UCL122111,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,5,17,9,3,0,5,4,8,0,62
UCL122112,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,0,0,8,0,22
UCL122113,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,7,17
UCL122114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,0,0,0,5,0,17
UCL122115,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,18,0,3,0,0,0,9,0,31
UCL122116,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,3,3,0,4,0,25
UCL122117,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,23,4,7,0,0,0,5,4,60
UCL122118,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,4,3,0,0,0,0,0,36
UCL122119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,6,0,4,0,0,4,0,21
UCL122120,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,24,0,5,0,4,0,4,0,59
UCL122121,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,10,3,0,0,4,3,34
UCL122122,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,22,6,17,0,3,0,0,3,73
UCL122123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,0,0,12
UCL122124,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0,3,0,0,0,0,0,44
UCL122125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,14
UCL122126,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,10,0,11,3,0,3,7,0,59
UCL122127,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,4,0,0,0,0,0,22
UCL122128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,14
UCL122129,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,3,3,0,5,0,0,0,28
UCL122130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,6,3,25
UCL122131,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,16
UCL122132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,0,4,0,9,0,29
UCL122133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UCL122134,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,24,0,0,0,0,0,0,0,44
UCL122135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,19
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10
UCL122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,15
UCL122138,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,18
UCL122139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,6,0,4,0,22
UCL122140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,0,16
UCL122141,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,20,5,3,3,0,0,0,0,45
UCL122142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,3,0,0,13
UCL122143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,4,0,4,0,15
UCL122144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,3,3,29
UCL122145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,19
UCL122146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,0,0,4,0,0,18
UCL122147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,13
UCL122148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11
UCL122149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,4,0,3,0,5,0,30
UCL122150,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,20,5,7,0,0,5,4,3,54
UCL122151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,9
UCL122152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,0,4,0,6,0,22
UCL122153,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,12,4,4,0,5,0,6,0,44
UCL122154,0,0,0,7,0,0,0,6,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,22,0,0,0,0,0,3,5,45
UCL122155,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,3,0,42
UCL122156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,6,0,0,0,3,0,42
UCL122157,0,0,0,30,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,11,6,6,6,3,0,3,9,69
UCL122158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,3,0,0,0,16
UCL131001,96,289,25,13706,1549,229,103,1292,185,475,89,268,95,465,2521,7275,111,20,76,103,32,38,10,8,36,73,262,772,17128,3623,1065,19824,3026,7581,1370,3186,1037,5114,2990,65939
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL201001,676,2614,187,146656,4591,927,585,4516,791,2899,444,1355,747,2788,13873,33514,443,78,343,484,161,251,67,85,182,458,2113,4676,135868,27903,5181,163791,25536,100931,7535,34015,7888,52126,17539,578308
UCL203001,7,19,0,1732,110,20,11,114,17,57,11,22,11,31,324,729,3,0,4,15,3,0,0,4,0,8,34,70,2230,555,96,3691,546,1556,158,543,131,701,378,10574
UCL203002,9,18,5,1448,89,23,10,107,12,52,8,23,12,45,314,693,7,0,4,5,0,0,3,4,0,13,28,72,2178,557,106,3596,507,1487,180,512,145,717,364,10344
UCL203003,18,52,3,3896,169,34,17,195,35,107,14,36,21,92,479,1206,11,0,16,14,3,5,0,0,5,17,51,135,3807,997,198,6888,1064,2877,312,994,219,1468,571,19402
UCL211001,3,3,0,464,30,6,3,44,3,11,3,13,3,18,125,262,4,0,0,0,0,0,0,0,0,0,10,21,1009,164,51,1299,213,516,49,185,42,244,144,3910
UCL211002,3,20,0,747,55,12,12,61,19,51,4,25,10,46,276,580,6,0,3,5,5,3,0,0,5,5,54,95,1819,394,84,2091,394,2279,135,775,223,1021,371,9595
UCL212001,5,3,0,461,36,3,3,25,4,18,4,3,0,7,68,167,3,0,6,5,3,0,0,0,0,0,12,29,662,96,43,875,166,455,37,100,40,135,86,2684
UCL212002,3,4,0,163,17,3,5,15,3,8,3,5,3,12,42,112,0,0,0,0,0,0,3,0,0,0,4,12,291,65,12,425,64,152,25,42,25,77,46,1230
UCL212003,0,4,0,348,34,3,4,46,4,8,5,6,4,17,146,285,3,0,4,5,0,0,0,4,0,5,14,32,773,141,41,921,134,454,56,170,49,331,176,3255
UCL212004,5,3,0,690,41,11,0,42,3,16,4,5,3,13,50,180,4,0,0,0,0,0,0,0,0,0,6,18,564,176,40,1135,134,285,53,87,27,92,55,2653
UCL212005,0,11,0,607,59,12,8,58,15,23,3,14,6,40,134,363,4,0,7,3,0,0,0,0,0,13,26,56,1116,252,55,1578,206,687,71,288,74,611,182,5126
UCL212006,0,12,0,963,54,7,3,57,10,28,7,11,0,21,126,333,3,0,4,9,0,4,0,0,0,4,12,37,1177,197,42,1711,281,853,88,202,64,307,147,5066
UCL212007,4,9,0,912,38,4,0,45,10,12,3,8,8,6,86,219,9,0,4,6,0,4,0,0,0,0,3,25,685,162,42,1221,176,408,51,108,27,88,95,3067
UCL212008,7,3,0,534,29,4,0,36,4,13,3,0,4,9,129,241,5,0,0,0,0,3,0,0,0,3,11,16,618,119,26,1005,189,388,50,137,37,159,141,2865
UCL212009,4,7,0,474,36,10,4,45,3,16,0,8,3,10,88,233,6,0,5,0,0,0,0,0,0,0,7,17,670,192,35,1344,164,415,54,139,32,183,103,3334
UCL213001,0,0,0,95,10,0,0,9,0,7,0,4,0,7,38,83,3,0,0,0,0,4,0,0,0,0,4,11,208,66,12,409,45,174,20,77,13,112,40,1187
UCL213002,4,0,0,111,13,6,0,7,5,0,0,3,0,3,18,72,0,0,0,0,0,0,0,0,0,0,3,6,134,107,10,305,33,101,29,59,15,44,31,864
UCL213003,0,0,0,110,16,0,4,13,4,8,0,0,0,5,45,93,0,0,0,3,0,0,0,0,0,0,3,8,230,48,10,457,51,151,25,47,14,81,51,1161
UCL213004,4,0,4,159,10,0,0,18,0,10,3,5,0,3,44,99,0,0,4,0,0,0,3,0,0,3,6,18,289,91,18,562,99,269,33,80,30,102,58,1624
UCL213005,0,0,0,227,17,3,0,18,0,12,0,5,5,12,52,129,0,0,0,4,0,0,0,0,0,0,4,12,333,91,12,610,96,247,42,88,35,134,60,1745
UCL213006,6,4,0,509,12,0,0,23,3,6,0,3,0,10,46,108,0,0,0,3,0,0,0,0,6,0,0,10,426,68,5,623,78,211,27,60,21,61,45,1627
UCL213007,0,3,0,176,28,5,4,27,0,9,3,8,0,10,46,131,0,0,0,3,0,0,0,0,0,0,4,12,362,78,12,652,80,188,31,78,17,92,57,1644
UCL213008,0,0,0,354,29,3,0,17,0,8,0,3,3,12,56,132,0,0,3,3,0,0,0,0,0,0,4,13,500,62,21,763,108,347,45,70,25,111,65,2124
UCL213009,0,5,0,187,22,0,0,15,0,11,0,3,0,6,42,106,0,0,0,0,0,0,0,0,0,0,0,7,294,86,11,601,85,208,27,63,12,79,43,1498
UCL213010,3,3,0,126,12,0,3,23,4,3,4,5,0,14,52,119,0,0,5,4,0,0,0,0,0,6,4,13,198,58,14,370,49,187,19,105,25,171,63,1270
UCL213011,0,0,0,75,7,0,0,6,0,6,0,3,8,14,40,85,0,0,0,0,0,0,0,0,0,4,5,18,139,43,3,267,42,170,18,83,33,194,52,1051
UCL213012,3,0,0,79,12,3,0,16,0,5,5,0,5,3,41,97,0,0,0,0,0,0,0,4,0,0,0,7,144,50,7,306,41,128,28,49,18,84,48,901
UCL213013,3,0,0,194,13,3,0,21,3,13,0,0,0,5,53,112,0,0,0,0,0,0,0,0,0,5,7,12,275,61,12,464,47,208,22,70,16,90,64,1332
UCL213014,0,0,0,126,15,0,0,13,0,5,0,0,0,4,26,66,0,0,0,3,0,0,0,0,0,0,3,6,247,37,11,395,48,148,15,43,8,67,27,1052
UCL213015,3,3,0,239,28,4,0,18,3,19,0,0,7,13,71,156,0,0,0,4,0,0,0,0,5,0,11,24,476,79,23,597,108,448,24,106,39,120,79,2105
UCL213016,0,3,0,225,37,4,0,23,0,7,5,5,0,8,41,136,3,0,0,3,0,0,0,0,0,0,4,16,472,106,14,644,90,212,44,81,23,125,51,1853
UCL213017,0,5,0,352,22,5,3,27,0,14,9,3,0,7,70,162,0,0,0,0,0,0,0,0,0,0,4,10,412,114,28,754,120,328,35,91,18,128,76,2090
UCL213018,0,5,0,92,15,4,0,17,0,0,0,4,0,4,36,74,0,0,0,0,0,0,0,0,0,0,4,3,160,29,18,271,49,56,7,32,4,62,43,727
UCL214001,0,0,0,45,9,0,0,5,3,5,0,0,0,5,27,53,0,0,0,6,0,0,0,0,0,0,3,6,118,26,4,181,32,74,14,47,9,43,29,588
UCL214002,0,6,0,126,15,0,0,9,4,0,0,3,0,0,27,72,3,0,0,0,0,0,0,0,0,0,3,5,194,41,10,377,63,112,23,32,4,34,38,939
UCL214003,0,0,0,69,3,0,0,7,0,3,0,0,3,11,34,67,0,0,0,0,0,0,0,0,0,0,9,11,132,39,13,214,34,98,19,37,13,58,49,702
UCL214004,0,0,0,36,7,0,0,11,0,3,0,3,0,8,15,48,0,0,0,0,0,0,0,0,0,0,0,5,110,16,3,129,26,44,9,19,3,56,14,431
UCL214005,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,4,23,7,3,41,3,14,0,5,0,4,3,107
UCL214006,0,0,0,54,0,0,0,7,0,0,0,0,0,4,19,41,0,0,0,0,0,0,0,0,0,0,4,3,94,42,12,144,24,59,14,27,12,49,26,489
UCL214007,0,0,0,65,5,0,0,3,0,3,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,6,7,146,26,3,221,44,130,16,21,7,40,19,676
UCL214008,0,3,0,72,9,4,0,16,0,8,0,0,0,0,27,68,5,0,0,0,0,0,0,0,0,0,0,10,178,49,11,324,42,105,17,46,15,62,36,882
UCL214009,0,0,0,114,6,6,0,3,4,4,0,3,0,11,26,63,0,0,0,3,0,0,0,0,0,0,0,11,148,66,11,341,47,137,16,44,11,59,28,911
UCL214010,0,0,0,97,8,0,0,6,0,5,0,0,3,3,21,51,0,0,0,0,0,0,0,0,0,0,0,4,90,48,10,170,37,62,18,35,10,39,19,526
UCL214011,0,0,0,136,10,4,3,7,0,9,0,4,0,6,32,79,0,0,0,0,4,0,0,0,0,0,3,10,207,37,10,319,68,197,17,50,17,48,33,1003
UCL214012,0,3,0,52,10,0,0,9,0,0,5,0,0,8,19,46,0,0,0,0,0,0,0,0,0,0,0,3,131,17,8,179,23,70,10,39,8,53,24,558
UCL214013,0,0,0,83,13,0,0,3,3,3,4,0,0,0,10,43,0,0,0,0,0,0,0,0,0,0,0,5,111,39,3,163,26,94,15,22,12,31,13,530
UCL214014,0,0,0,17,7,6,3,9,0,8,0,0,0,6,24,60,0,0,0,0,0,0,0,0,0,0,0,8,73,39,8,119,23,44,18,28,8,62,31,450
UCL214015,0,0,0,53,7,0,0,6,0,3,0,0,0,5,18,43,0,0,0,0,0,0,0,0,0,0,4,3,93,40,5,208,30,80,8,26,7,22,19,545
UCL214016,0,0,0,35,0,8,0,3,0,0,0,7,0,9,24,47,0,0,0,0,0,0,0,0,0,0,3,4,100,49,5,150,23,77,10,36,14,68,29,561
UCL214017,0,0,0,109,4,3,0,12,0,3,0,0,0,5,16,51,0,0,0,0,0,0,0,0,0,0,0,3,84,41,5,155,30,38,12,13,7,37,14,436
UCL214018,0,3,0,80,4,5,0,9,3,7,4,0,0,15,18,65,0,0,4,5,0,0,0,0,0,0,0,8,113,45,13,168,27,87,9,40,12,89,31,630
UCL214019,0,0,0,47,5,0,0,9,0,6,0,0,0,3,22,52,0,0,0,0,0,0,0,0,0,0,3,4,110,24,6,129,13,62,11,28,6,52,27,463
UCL214020,0,0,0,32,6,0,0,3,0,5,0,0,0,7,18,43,0,0,0,0,0,0,0,0,0,0,0,0,93,36,5,132,25,61,14,22,15,39,24,455
UCL214021,0,0,0,81,3,0,0,8,5,9,0,0,3,3,11,42,5,0,4,0,0,0,0,0,0,0,0,11,146,28,0,236,36,113,14,27,10,34,13,661
UCL214022,0,0,0,45,11,3,0,13,0,4,0,3,0,5,16,58,0,0,0,0,0,0,0,0,0,0,7,7,110,50,10,212,30,79,12,57,13,66,25,674
UCL215001,0,0,0,30,7,0,0,9,0,3,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,49,3,12,0,3,6,7,3,121
UCL215002,0,0,0,13,5,0,0,6,0,3,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,0,0,6,41,15,10,75,15,24,0,8,0,20,7,217
UCL215003,0,0,0,74,0,3,0,3,0,0,0,6,0,4,3,24,0,0,0,0,0,0,0,0,0,0,0,3,51,40,7,92,20,26,10,21,3,17,8,291
UCL215004,0,0,0,7,5,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,21,13,9,31,0,9,7,10,0,9,0,101
