UCL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL101001,7176,42029,188175,211576,166446,106427,23247,1982,119,747171,22399,39006,57259,42680,35128,33608,18416,3989,346,252826,9999,16916,26174,20701,17618,16412,5723,819,79,114445,727,2689,7185,5294,3268,2158,666,175,44,22207,40297,100634,278795,280248,222466,158599,48049,6967,588,1136652,1747,5691,11327,8998,7770,6294,1029,47,3,42906,5350,5481,4340,1961,1732,2359,1037,143,10,22425,7103,11169,15670,10957,9505,8655,2064,195,17,65331,47402,111801,294471,291204,231971,167254,50113,7164,603,1201977,81962,40285,54510,44825,46872,70384,120894,84048,29875,573656,5814,9401,23798,18914,13596,11339,8619,7141,5093,103710,135176,161493,372776,354942,292439,248972,179630,98353,35570,1879348,3482,38897,161945,140256,120732,69524,11777,591,34,547232,26658,42516,72965,84623,71257,54569,18685,2322,149,373749,11648,16636,29811,23768,16523,14289,4445,511,43,117668,618,1999,5109,3454,2234,1535,497,157,58,15653,42401,100047,269829,252105,210749,139920,35400,3575,277,1054301,992,3322,7302,5886,4853,3078,301,17,0,25748,5216,4739,5592,4754,3711,3266,702,43,5,28024,6209,8057,12898,10638,8565,6340,1001,57,10,53774
UCL102001,163,638,2074,1953,1933,1282,241,16,0,8300,354,307,410,249,239,280,147,26,6,2017,24,27,66,67,60,72,12,0,0,333,4,18,49,44,22,17,8,0,0,163,553,994,2600,2319,2250,1645,411,44,6,10809,13,23,77,47,57,41,10,0,0,276,50,19,23,5,7,17,14,0,0,131,61,44,98,56,69,56,22,4,0,400,615,1035,2698,2370,2317,1700,432,42,6,11213,409,98,187,155,239,559,922,555,193,3324,37,50,196,123,106,115,73,39,24,770,1063,1182,3086,2656,2660,2379,1422,632,221,15307,83,518,1513,1320,1546,837,103,3,0,5934,432,347,692,742,569,475,127,12,3,3396,31,30,205,115,84,68,18,0,0,549,5,15,29,23,15,16,0,0,0,113,556,898,2447,2204,2216,1390,254,15,5,9999,13,21,45,37,24,22,3,0,0,171,38,21,43,28,27,12,9,0,0,169,51,43,87,65,49,31,12,0,0,337
UCL102002,1194,3050,9348,11229,11238,8006,1426,100,9,45601,2502,2248,2955,2669,2762,2912,1457,265,23,17792,744,816,1177,1037,1032,1069,398,48,4,6321,80,140,333,247,224,133,40,22,6,1229,4528,6251,13810,15179,15255,12121,3328,433,44,70948,246,415,603,423,504,446,49,4,0,2688,471,184,134,121,112,170,71,8,0,1272,722,595,741,547,608,609,122,12,0,3961,5243,6849,14549,15727,15866,12735,3452,444,46,74910,4119,1517,2102,2088,2988,5979,13165,9855,3059,44878,428,426,1026,950,965,884,869,852,636,7034,9794,8789,17674,18763,19826,19597,17484,11152,3740,126826,421,2202,6071,6407,7640,4968,719,32,0,28466,3046,2696,5003,6727,6419,5870,1639,174,4,31580,1063,1084,2069,1610,1356,1258,371,45,4,8854,74,102,241,203,179,116,42,23,14,988,4603,6076,13387,14951,15593,12212,2768,270,22,69895,152,213,263,219,281,200,23,6,4,1347,503,193,245,266,251,260,48,3,0,1773,654,410,505,486,534,455,69,8,3,3121
UCL102003,198,590,1551,2026,2020,1509,292,21,0,8204,552,420,494,507,592,705,404,63,12,3761,69,59,116,106,136,142,47,11,0,682,18,25,64,43,42,31,10,11,0,251,838,1089,2227,2691,2791,2394,755,102,15,12899,45,65,76,64,76,88,8,0,0,427,103,33,39,28,24,49,24,3,0,314,145,98,111,92,105,141,40,3,0,736,985,1191,2343,2779,2896,2536,788,108,18,13642,546,148,266,310,520,1233,3264,2548,957,9799,90,86,225,228,229,211,204,211,148,1632,1615,1424,2836,3326,3653,3973,4261,2867,1118,25070,92,343,973,1134,1455,1039,168,10,0,5215,785,591,1084,1437,1377,1464,464,36,4,7231,90,69,265,182,143,178,71,4,3,1007,18,23,44,49,44,47,14,6,5,243,981,1022,2364,2796,3019,2724,711,57,12,13691,26,29,39,48,43,45,3,0,0,249,68,34,48,68,60,70,16,0,0,372,100,61,94,119,106,122,19,0,0,618
UCL102004,1338,4395,14344,14554,13495,9033,1403,102,3,58666,3145,3756,3785,2668,2485,2803,1541,312,17,20510,466,548,749,617,633,735,218,30,7,4006,64,162,315,217,190,108,31,13,3,1119,5011,8864,19195,18060,16808,12678,3195,457,33,84292,260,481,708,476,537,429,71,0,0,2962,635,395,272,146,149,194,79,6,0,1871,900,876,975,618,691,620,147,5,0,4836,5908,9733,20171,18679,17495,13302,3338,461,33,89127,3915,1772,2132,1914,2763,6129,13243,8833,2945,43651,417,631,1126,947,871,810,789,662,472,6729,10249,12141,23433,21542,21130,20237,17378,9949,3456,139510,608,3314,9625,8169,9077,5244,684,30,0,36754,4388,5037,7227,8480,7463,6220,1640,166,7,40620,638,680,1746,1101,694,824,250,26,3,5953,77,141,256,151,131,101,33,16,6,910,5709,9175,18846,17900,17367,12384,2600,231,15,84236,148,209,298,238,254,140,14,0,0,1295,616,302,318,297,255,239,58,5,0,2087,765,506,618,530,508,376,77,5,0,3386
UCL102005,1040,3324,10024,10491,10195,6926,1025,75,0,43109,1915,2397,3122,2272,2048,2195,997,132,10,15099,670,917,1145,877,895,841,270,34,3,5655,47,142,314,207,152,126,32,14,3,1031,3674,6781,14605,13846,13289,10089,2333,252,24,64887,227,448,577,361,374,298,36,5,0,2325,412,287,219,96,84,140,37,7,0,1287,640,736,799,452,461,441,69,11,0,3613,4309,7519,15406,14295,13751,10529,2402,263,24,68504,4027,1996,2078,1874,2523,5497,10288,7086,2385,37754,389,481,890,753,728,611,550,567,431,5397,8723,9988,18377,16924,16997,16645,13244,7912,2842,111655,466,2502,6491,5718,6471,3734,478,18,3,25885,2627,3106,5010,5985,5458,4323,1032,78,8,27628,896,1182,2081,1400,1047,956,240,17,0,7816,63,112,219,127,128,72,26,7,0,760,4050,6899,13801,13234,13105,9081,1783,125,7,62094,110,234,262,207,196,102,11,3,0,1121,455,318,261,219,202,177,38,0,0,1673,566,552,521,427,394,282,49,3,0,2801
UCL111001,285,814,2262,2135,1898,1471,311,14,3,9198,456,373,483,361,339,384,312,62,0,2779,37,26,53,57,66,93,40,0,0,381,25,22,59,32,27,23,0,3,0,202,806,1244,2860,2586,2337,1973,670,80,3,12551,46,71,99,90,83,77,7,0,0,469,76,45,39,20,15,32,19,0,0,244,120,117,135,109,93,105,28,0,0,713,926,1361,2994,2691,2435,2081,699,80,3,13265,558,181,292,305,421,783,1892,1317,435,6189,99,99,232,201,186,166,135,98,54,1272,1579,1643,3516,3196,3040,3029,2723,1495,497,20723,122,518,1344,1176,1343,873,139,5,0,5518,710,618,1143,1226,1066,1014,369,28,0,6170,41,58,226,113,86,86,36,0,0,660,11,26,33,22,25,28,7,3,0,160,884,1220,2751,2537,2519,2006,556,40,3,12509,22,46,45,47,42,27,0,0,0,230,89,48,56,53,47,50,6,0,0,348,108,94,97,99,83,79,10,0,0,575
UCL111002,174,474,1436,1602,1644,1184,246,18,0,6780,508,335,509,458,436,520,307,36,7,3114,53,41,67,73,82,105,32,5,0,451,12,25,52,46,38,22,14,3,5,210,747,871,2067,2176,2199,1827,590,65,7,10557,40,65,90,77,93,62,7,0,0,424,79,33,47,33,24,29,13,0,0,264,113,96,139,110,124,88,23,0,0,689,864,967,2206,2286,2317,1914,616,65,7,11243,547,208,325,343,434,984,2214,1593,571,7218,101,76,225,202,188,150,144,162,119,1368,1504,1247,2761,2838,2943,3049,2977,1816,694,19833,84,375,895,1059,1318,829,119,10,0,4688,655,418,930,1124,1091,1049,305,26,0,5599,46,38,154,106,83,116,38,3,0,589,10,27,52,25,29,25,6,6,0,187,798,855,2034,2320,2524,2016,466,42,3,11064,31,29,43,40,41,27,0,0,0,224,87,31,46,50,50,56,14,0,0,330,119,56,90,95,93,91,13,0,0,554
UCL111003,417,1310,4121,4030,3423,2283,352,14,0,15956,793,633,866,625,541,566,309,44,3,4376,107,79,199,156,164,171,56,14,0,948,22,48,97,78,41,35,10,4,3,341,1344,2069,5286,4890,4167,3060,724,78,7,21625,105,120,214,125,110,105,19,0,0,801,152,59,58,32,28,32,15,0,0,370,258,173,272,161,134,135,31,0,0,1168,1602,2245,5556,5047,4305,3192,757,78,7,22793,1022,355,485,496,690,1265,2972,1861,467,9616,106,102,284,261,182,174,141,102,69,1419,2721,2703,6326,5806,5178,4636,3877,2045,541,33828,211,934,2463,2239,2220,1284,120,3,0,9479,1103,925,2084,2137,1751,1345,332,27,0,9703,186,145,529,280,185,182,43,10,0,1558,9,31,66,44,27,25,12,5,4,227,1514,2042,5143,4707,4184,2838,504,42,4,20971,47,75,94,68,75,57,3,0,0,422,156,78,87,97,81,59,10,0,0,568,208,158,182,169,157,110,15,0,0,993
UCL112001,89,276,756,649,577,499,104,11,0,2958,187,231,267,182,111,147,111,20,0,1251,13,23,36,19,23,39,7,0,0,171,9,12,24,8,8,8,4,0,0,68,298,536,1077,855,712,697,227,36,3,4450,6,25,60,32,27,18,3,0,0,182,41,36,24,9,10,5,6,0,0,138,46,70,85,41,35,25,8,0,0,316,350,600,1168,899,755,722,236,36,3,4766,320,216,167,168,165,308,581,491,174,2592,137,161,149,76,64,76,48,72,34,816,803,987,1482,1146,985,1100,866,593,215,8175,43,173,540,479,484,362,49,6,0,2143,270,316,449,326,293,303,111,13,0,2083,37,36,66,40,34,36,22,4,0,280,4,11,15,10,10,5,3,4,0,62,358,538,1072,857,818,713,182,18,3,4561,14,26,26,21,19,11,0,0,0,114,47,37,26,21,18,13,5,0,0,166,64,60,56,41,31,26,5,0,0,277
