SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED21401,122,23,272,121,93,116,31,73,9,866,0,0,5,0,0,0,4,0,0,15,87,105,35,48,65,33,12,17,15,417,51,63,73,34,59,37,11,33,125,491,4215,9012,2329,1960,2997,1627,462,777,486,23866
SED21503,107,34,273,164,132,73,44,80,7,921,0,5,4,0,0,0,0,0,0,18,56,73,42,54,61,21,26,17,15,368,53,65,99,41,57,44,28,43,93,508,2961,7313,2980,2473,2741,1154,829,1075,352,21881
SED21608,107,35,342,188,183,118,48,131,8,1152,4,3,4,0,0,0,0,5,0,18,57,74,42,46,50,17,22,31,13,358,75,30,114,76,60,42,63,78,96,629,2825,5795,3826,3078,2538,1060,982,1297,309,21714
SED21706,119,24,228,134,82,86,22,91,0,780,3,0,0,5,0,3,0,4,0,16,120,135,15,42,71,25,15,14,14,449,60,77,43,28,45,31,24,30,106,444,5444,11862,2018,2056,3020,1605,508,888,431,27832
SED21805,173,48,375,193,198,152,81,141,24,1388,0,0,4,3,4,3,0,4,0,23,67,68,61,51,53,24,24,24,19,406,70,53,131,61,64,36,57,70,126,668,3485,6165,4530,3201,3077,1461,1037,1342,439,24734
SED21906,139,31,393,149,115,64,25,63,13,982,0,0,3,3,3,6,0,4,0,17,149,194,38,56,96,41,10,23,24,630,71,113,38,43,39,33,15,28,136,514,5738,13616,2199,2379,3108,1593,438,801,574,30439
SED22005,117,43,463,171,118,108,84,179,22,1305,0,0,9,8,0,0,5,12,6,36,61,77,55,49,68,23,37,48,19,442,51,64,88,67,54,39,65,104,188,723,3038,8435,3361,2770,3207,1579,1418,2012,599,26415
SED22105,255,68,775,431,333,252,390,367,27,2899,5,7,3,0,3,5,8,13,0,36,103,83,108,138,99,46,144,110,23,845,83,77,194,136,91,53,176,132,260,1196,4140,9016,6867,6452,5161,2316,3564,3183,829,41517
SED22201,148,42,305,167,160,124,44,83,18,1091,0,0,0,4,0,0,0,6,3,19,40,91,45,43,59,20,20,11,15,351,43,31,92,56,47,30,27,42,83,449,3178,7137,3514,2708,2766,1140,636,963,354,22398
SED22305,76,23,390,159,99,101,113,214,16,1176,0,6,9,0,0,8,9,12,0,42,26,29,59,45,43,23,52,60,15,341,45,53,123,68,49,34,109,129,166,763,1573,4132,3332,2696,2290,1083,1758,2073,451,19398
SED22404,161,37,387,161,155,118,39,129,17,1204,0,0,0,0,0,0,0,0,0,6,65,76,44,44,35,15,24,17,5,330,79,39,131,77,52,45,54,76,82,637,3286,4183,4205,2594,2094,935,896,1385,311,19889
SED22501,100,28,224,124,159,79,24,48,3,789,0,5,3,0,0,0,0,4,0,9,74,140,40,62,65,29,9,6,13,433,40,56,63,28,35,29,10,28,79,368,4370,8677,3071,2170,2755,1020,390,627,296,23382
SED22607,146,43,293,157,129,93,29,82,14,987,0,0,7,0,3,0,0,4,0,21,116,213,38,51,106,34,7,20,21,607,70,74,48,64,55,37,36,41,105,536,5572,12750,2492,2482,3684,1421,531,1002,473,30410
SED22704,153,36,344,177,125,99,63,166,15,1183,3,0,0,4,0,0,0,5,0,22,76,56,41,71,50,19,44,40,24,412,116,44,131,62,63,37,69,125,123,765,3270,3935,3545,2672,1939,857,1067,1619,382,19289
SED22802,158,34,380,181,186,125,45,109,9,1221,0,0,5,0,3,0,0,7,0,18,44,61,42,53,50,21,21,22,19,318,58,41,105,40,45,35,35,49,93,499,3099,5347,4575,2757,2652,1104,786,1198,336,21860
SED22901,137,26,291,126,120,105,48,100,13,960,0,0,0,0,6,3,0,3,0,17,65,93,46,41,35,38,32,19,17,374,47,39,100,29,50,29,25,42,95,459,3117,6953,3091,2265,2856,1263,807,996,380,21735
SED23007,169,60,470,234,167,112,79,165,13,1462,0,3,6,9,4,0,3,11,0,30,115,158,68,81,105,40,58,40,23,687,47,81,67,78,85,48,87,94,195,776,4144,11124,3152,3312,3887,1760,1582,1854,594,31420
SED23101,97,18,246,89,73,69,29,65,7,704,0,0,0,0,0,3,0,11,0,19,59,91,27,37,63,32,13,14,8,341,36,66,56,37,34,26,21,46,91,409,3481,8494,2290,1935,2852,1279,568,883,383,22160
SED23205,119,49,334,185,135,126,46,135,16,1137,0,0,0,0,3,3,5,4,0,19,71,72,30,47,50,21,13,25,18,357,40,56,91,40,44,54,34,72,82,523,2705,5695,3468,2782,2219,1176,750,1220,313,20333
SED23308,166,42,452,204,122,107,65,153,11,1315,0,0,0,0,0,3,0,0,4,21,65,93,53,69,55,26,25,32,12,428,53,65,97,45,44,23,27,65,89,507,3282,8548,3585,3284,2595,1215,850,1412,357,25131
SED23402,177,49,469,256,241,192,135,143,24,1682,0,0,3,5,0,3,4,3,0,21,71,89,65,67,60,28,45,36,9,469,91,68,138,57,94,47,59,74,137,761,4170,7780,5388,3702,3761,1626,1387,1653,477,29946
SED23502,143,28,330,190,137,114,39,174,11,1168,0,0,0,0,0,0,0,5,0,14,54,33,38,33,28,17,18,23,9,259,90,41,123,69,51,66,52,126,101,711,2514,3709,2898,2544,1689,809,820,1373,324,16681
SED23602,146,27,337,137,89,104,39,138,16,1030,6,4,3,0,0,0,0,6,0,12,48,55,26,31,25,10,23,28,8,258,92,39,103,60,42,44,59,83,69,593,2945,4157,2959,2262,1547,788,764,1254,291,16973
SED23702,160,39,443,256,207,133,70,158,13,1474,0,4,0,0,4,3,4,3,0,18,47,43,68,49,45,20,27,39,9,338,61,35,125,64,66,42,51,80,92,620,2860,4954,5694,3416,2829,1248,1042,1612,366,24031
SED23806,120,48,222,90,94,61,17,39,7,691,0,5,0,0,0,4,0,10,0,20,117,203,29,42,89,50,3,13,16,569,54,73,24,23,39,27,4,22,77,345,6031,14320,1566,1664,3109,1486,294,592,422,29480
SED23901,105,46,244,121,99,71,28,69,11,789,0,0,3,4,5,0,0,8,0,16,103,155,36,65,74,15,12,26,8,511,58,83,53,48,59,24,23,41,89,475,4669,11990,2570,2267,3037,1178,532,828,377,27442
SED24006,107,28,148,79,65,53,11,20,9,525,5,4,0,0,3,4,0,6,0,24,114,144,26,31,76,44,8,12,15,471,55,72,21,21,40,36,3,10,80,341,5319,11633,1399,1522,2856,1388,255,498,466,25329
SED24105,110,17,419,217,133,104,113,190,22,1322,4,4,6,0,3,0,5,11,0,37,52,52,40,41,53,26,53,37,11,359,49,45,92,69,60,36,77,109,164,693,2492,5817,3027,2485,2816,1352,1408,1801,484,21684
SED24207,162,48,476,299,240,157,247,191,34,1847,3,3,6,8,3,0,4,3,0,31,49,78,62,86,74,26,85,65,16,535,69,53,129,93,98,53,101,97,229,925,3135,7678,4075,3791,4164,1595,2387,1891,706,29412
SED24308,106,23,374,194,123,111,111,157,16,1216,0,3,5,3,0,0,0,9,0,16,29,55,40,36,40,19,38,41,15,310,47,42,120,79,50,47,63,101,119,676,1989,4559,3562,3205,2163,1098,1368,1536,382,19874
SED24408,150,30,348,136,122,113,48,129,13,1089,3,0,0,0,0,0,0,5,0,16,53,30,20,36,25,8,19,20,6,227,157,40,73,50,37,37,58,90,64,610,3722,3970,2449,2241,1601,758,757,1343,272,17113
SED24504,157,36,313,141,131,86,28,111,18,1012,0,3,0,0,3,4,0,3,0,22,86,119,54,60,60,25,19,31,11,469,85,53,108,64,59,52,30,61,86,591,4138,6904,3772,2493,2318,940,686,1147,348,22742
SED24606,114,48,213,95,69,71,12,37,15,668,0,9,0,3,0,0,0,3,0,13,137,183,33,43,82,49,10,15,16,557,63,83,32,20,30,32,5,17,86,367,5758,12146,1438,1532,2823,1499,291,571,466,26523
SED24703,252,79,1171,474,182,120,62,210,38,2583,5,7,8,15,10,11,0,12,0,65,225,425,75,148,175,107,34,56,32,1278,90,181,101,137,62,68,44,83,226,986,7890,27801,4633,5796,6148,3279,1160,2940,1054,60702
SED24808,146,43,443,266,237,162,298,178,19,1793,3,0,3,0,4,4,3,10,0,29,52,47,61,75,60,26,93,56,18,492,65,52,144,104,91,58,151,124,179,975,2588,5258,4691,4406,3469,1468,2592,1924,541,26955
SED24904,163,43,375,172,128,128,72,182,19,1272,8,4,0,4,0,0,3,22,0,51,35,26,26,40,15,13,27,42,4,225,118,48,86,72,67,59,69,175,153,843,2852,4200,2728,2464,1726,869,861,1592,371,17659
SED25003,145,31,392,218,196,162,95,138,19,1397,0,5,4,0,0,0,3,0,0,13,39,62,52,51,63,30,47,59,21,420,44,46,114,81,72,54,77,67,138,693,2584,6019,3706,3123,3211,1513,1262,1396,470,23300
SED25102,129,32,282,124,152,74,37,87,20,932,0,0,4,0,0,0,0,3,0,13,77,88,41,64,52,23,17,15,18,399,59,34,81,24,37,31,34,40,90,435,3626,6758,3967,2542,2455,954,635,993,341,22272
SED25205,131,37,302,159,154,108,30,70,11,1010,0,0,0,0,0,0,5,5,0,11,87,123,29,46,64,26,25,19,17,431,59,42,92,32,42,40,15,28,92,446,4581,8966,3360,2526,3172,1367,537,787,359,25654
SED25302,155,44,327,168,142,90,18,70,9,1023,5,4,0,0,0,4,3,0,0,13,76,79,29,47,54,19,10,22,10,340,74,52,90,48,47,33,14,44,64,463,4365,6850,3058,2224,2342,1211,363,768,314,21493
SED25402,115,38,357,201,185,112,53,125,14,1201,0,0,0,0,0,0,0,0,0,8,33,33,58,42,34,10,40,32,8,280,56,41,116,73,50,44,59,102,83,624,2001,4531,3860,2775,2290,879,1087,1279,330,19037
SED25501,103,29,260,116,80,54,32,83,8,776,0,0,0,0,3,0,0,0,0,9,62,110,30,38,59,37,14,26,15,396,60,57,64,28,43,35,8,32,124,457,4134,9989,2089,1826,3055,1409,602,945,457,24510
SED25605,83,32,339,152,91,79,85,124,14,1002,3,0,0,0,3,4,3,0,0,18,36,48,41,43,43,21,29,29,10,301,34,55,66,53,41,37,58,76,117,524,2725,6666,2513,2175,2700,1174,1034,1316,429,20725
SED25704,144,24,404,201,135,99,60,178,15,1264,0,4,0,0,6,0,0,13,0,26,48,28,22,25,21,11,17,41,13,233,132,38,103,67,37,58,77,148,86,744,3169,3859,3063,2418,1564,856,848,1648,260,17694
SED25802,147,34,382,209,167,129,67,161,26,1321,0,5,0,6,3,5,0,0,0,15,55,40,43,56,41,20,36,35,14,339,123,50,127,70,68,49,73,121,129,813,3259,5329,4471,3247,2499,1121,1163,1835,402,23329
SED25905,90,24,297,168,151,93,74,127,14,1057,0,0,0,0,0,4,0,0,0,12,36,48,49,44,58,29,44,38,14,355,53,40,105,51,62,32,60,74,137,604,2467,5186,3685,2616,2944,1216,1239,1432,450,21239
SED26005,123,34,407,223,179,145,114,174,19,1422,3,0,5,0,0,0,3,7,0,23,47,59,55,84,71,27,59,45,18,452,72,54,140,66,73,62,99,94,176,834,3112,6591,4393,3594,3558,1598,1757,1922,552,27079
SED26102,180,27,432,171,130,124,45,127,21,1262,0,0,0,0,0,4,0,3,0,16,66,75,44,60,40,15,5,24,12,342,96,39,121,79,72,77,37,63,72,662,3384,5215,3573,2244,1849,1194,456,1074,358,19342
SED26207,113,34,232,131,151,96,42,71,14,886,0,6,0,0,0,0,0,4,0,23,72,75,43,58,73,23,18,20,21,400,68,48,77,42,74,29,35,38,113,524,3611,7190,2817,1850,2932,1093,622,784,403,21306
SED26303,117,33,278,136,85,64,21,58,4,787,0,0,0,6,0,0,0,0,0,13,194,350,47,70,130,45,12,27,15,897,48,80,51,35,46,14,11,27,95,408,5702,15642,2572,2480,3139,1302,483,751,403,32477
SED26406,133,46,402,162,121,119,58,85,14,1136,6,5,3,5,3,0,0,3,0,28,92,168,53,56,110,50,19,41,26,619,63,76,91,34,56,41,34,44,130,567,4636,12560,2976,2704,3662,1767,856,1391,554,31112
SED26504,173,16,420,196,126,133,67,183,10,1331,0,0,5,0,0,0,0,4,0,13,40,36,30,38,27,12,31,28,13,248,108,45,81,59,58,61,62,120,72,659,2888,4257,3003,2533,1677,918,819,1483,272,17858
SED26603,137,50,468,207,150,111,76,143,21,1365,0,0,0,4,0,0,3,3,0,20,98,174,49,91,101,30,29,33,14,624,56,69,83,64,81,43,41,60,139,624,4389,11815,3869,3224,3735,1489,963,1557,530,31577
SED26708,178,21,416,176,102,90,63,194,15,1260,5,0,0,0,0,0,0,8,0,11,89,64,29,39,37,20,38,35,9,355,151,44,105,65,39,58,65,121,80,730,3992,4491,3366,2590,1801,926,967,1874,335,20347
SED26806,243,81,542,198,152,131,30,77,12,1466,0,6,0,3,0,0,0,0,0,14,197,300,38,59,122,61,13,28,29,824,91,131,65,42,66,34,8,34,133,595,7475,18529,2510,2664,4147,2258,441,974,615,39618
SED26903,149,43,444,156,141,104,65,158,13,1264,0,0,0,5,0,0,5,8,0,24,98,152,51,67,96,33,25,42,15,585,58,52,84,66,72,48,30,74,127,609,3343,9339,3198,2947,3079,1353,939,1512,478,26183
SED27003,202,64,387,189,106,81,32,58,15,1131,0,8,0,0,3,4,0,6,0,24,230,355,52,85,129,66,14,21,29,974,65,112,58,60,43,35,15,35,128,561,7779,21089,2566,2639,3755,1716,378,809,563,41282
SED27101,111,36,310,162,131,98,60,104,9,1015,0,0,0,0,0,0,7,3,0,10,68,91,53,52,78,24,17,20,3,400,46,52,54,49,43,26,19,30,107,428,3969,10039,3018,2584,3207,1308,612,1019,388,26151
SED27208,157,30,321,208,112,106,46,141,8,1135,0,5,0,0,0,0,0,6,0,15,50,48,24,34,29,7,31,43,6,275,106,37,93,84,45,51,63,141,72,698,2946,3868,2762,2855,1763,847,916,1606,276,17827
SED27305,105,30,284,129,128,109,41,73,7,915,0,0,3,0,3,3,4,5,0,19,53,60,40,36,50,20,15,15,11,299,49,43,60,38,66,39,31,41,76,448,3305,6250,3208,2057,2842,1279,660,846,316,20761
SED27406,132,38,221,104,103,81,20,43,13,762,0,4,5,3,0,0,0,6,0,17,129,152,44,45,86,24,14,21,18,522,89,65,42,32,32,40,4,19,90,410,6155,9889,2195,1890,3002,1403,330,558,381,25804
SED27504,136,31,379,199,157,133,82,181,19,1318,0,0,3,0,0,6,0,10,0,20,44,47,34,34,22,15,41,43,14,293,98,44,105,56,55,67,76,150,109,758,2890,5307,3302,2913,2001,1017,905,1876,357,20574
SED27608,197,57,569,295,221,187,56,151,19,1747,0,0,4,5,0,0,0,3,0,19,79,133,53,110,71,25,27,43,17,556,80,66,94,87,53,52,34,66,129,659,5138,11937,5155,4739,3701,1860,1048,1656,468,35696
SED27708,175,31,471,244,125,161,54,202,24,1494,0,0,0,3,0,3,0,7,0,21,48,52,44,45,23,14,21,25,10,286,108,46,85,72,38,56,61,121,108,690,2966,5349,3355,2956,1913,968,893,1591,327,20317
SED27807,89,32,383,266,127,107,104,194,28,1331,5,0,4,4,4,4,4,5,0,30,25,61,37,39,53,10,46,31,9,317,35,41,90,84,62,34,90,102,156,697,1626,4415,2792,2579,2343,1119,1567,1729,477,18652
SED27907,130,35,370,194,182,123,81,113,14,1246,0,0,0,4,3,4,0,3,4,20,39,58,43,46,64,19,43,30,19,362,69,37,78,60,77,41,64,58,104,582,2786,5450,4040,2886,3011,1179,1187,1178,398,22111
SED28007,160,46,369,196,218,190,129,160,19,1488,0,0,0,3,5,3,5,3,0,21,68,64,54,72,75,26,66,37,19,472,64,66,104,70,69,39,53,80,146,696,3293,6873,4048,2940,4002,1638,1588,1444,536,26357
SED28107,247,67,788,361,273,219,688,330,40,3013,0,0,11,5,0,4,14,11,0,42,89,109,126,165,136,65,245,108,37,1087,63,88,134,149,116,73,215,124,328,1284,4680,11898,5627,5975,5902,2698,5256,3020,1140,46198
SED28203,141,27,505,271,172,133,199,198,22,1661,0,0,9,9,5,3,5,8,0,37,53,57,57,85,71,26,97,64,11,522,46,43,116,82,68,61,102,106,163,806,2140,5567,3564,3441,2951,1343,1897,1861,506,23269
SED28301,136,31,237,118,129,86,16,61,11,815,0,3,3,3,4,0,0,4,0,19,79,93,25,41,65,27,13,16,11,371,55,53,50,36,41,34,14,26,92,397,4488,8444,2471,1958,2919,1338,403,714,390,23130
SED28408,130,15,371,180,116,119,42,119,12,1108,0,0,0,0,3,3,0,8,0,14,41,69,42,43,51,18,27,19,9,332,44,38,82,42,51,30,34,69,45,431,2603,6603,2875,2763,2267,1082,680,1078,246,20199
SED28507,154,39,468,246,227,162,200,179,18,1694,0,3,8,0,0,3,4,5,4,22,42,72,73,89,60,36,95,62,23,563,61,53,94,81,87,32,124,99,179,814,2909,7598,4242,4092,3808,1573,2220,1923,579,28950
SED28607,178,59,304,146,152,90,37,73,18,1059,0,4,4,6,5,0,3,0,0,14,170,192,53,55,105,42,23,31,30,696,80,75,62,42,59,36,24,35,84,501,6460,12341,2909,2268,3465,1374,642,912,451,30817
SED28704,234,66,580,373,334,244,174,178,33,2220,3,5,0,7,5,5,0,4,0,24,74,99,64,92,79,33,66,43,25,580,80,66,159,83,97,55,75,95,145,851,4793,9395,6594,5172,4531,1949,1722,1860,605,36619
SED28803,229,58,683,354,268,259,388,259,28,2518,3,4,6,6,8,0,5,11,0,47,87,79,104,125,89,39,148,107,24,798,82,96,171,132,96,98,152,115,250,1177,4159,9218,5805,5659,5006,2265,3315,2615,786,38833
SED29494,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
SED30001,111,33,346,188,153,111,113,138,16,1213,4,3,7,3,6,5,6,4,0,44,40,36,45,51,36,25,69,32,14,354,53,42,66,65,79,46,76,64,119,610,2260,5738,3129,2829,2888,1309,1451,1389,386,21383
SED30002,131,40,266,151,132,93,40,67,7,923,0,3,4,3,0,0,3,4,0,19,57,63,23,33,48,15,18,13,12,285,38,45,43,38,44,31,24,30,75,374,3012,7549,2479,2087,2625,1012,616,815,313,20507
SED30003,156,27,324,227,165,130,81,145,6,1274,0,0,3,4,0,4,4,3,0,21,40,32,37,44,42,19,49,32,8,301,43,40,77,65,55,45,66,69,115,575,2156,4268,2931,3026,2392,1122,995,1234,313,18439
SED30004,184,48,423,275,159,155,58,138,15,1458,3,3,3,7,0,0,0,5,0,25,36,45,42,55,46,14,20,19,17,302,58,60,64,67,42,47,23,70,100,530,2686,6222,3326,3054,2201,1138,670,1111,314,20720
SED30005,161,43,501,237,144,162,65,179,21,1509,3,8,0,8,0,6,0,10,0,37,30,37,35,26,36,20,24,28,14,247,57,52,72,64,40,40,43,54,93,521,2024,5133,2754,2759,2051,1498,772,1347,321,18651
SED30006,137,43,250,140,116,123,37,87,15,955,0,0,0,4,0,0,0,3,0,12,37,38,11,24,35,20,17,10,10,197,65,49,71,35,60,41,22,44,82,475,2826,3876,2176,1617,1917,1272,435,721,292,15135
SED30007,154,38,385,264,150,154,49,124,14,1326,0,6,4,5,0,5,0,3,4,30,32,60,46,38,26,20,17,28,3,271,42,34,71,60,57,39,29,46,89,465,2552,6035,2884,2787,2221,1338,580,1023,281,19692
SED30008,167,45,258,166,167,107,35,69,9,1026,3,4,9,0,0,4,0,0,0,23,84,107,35,27,64,17,12,11,5,365,56,67,48,43,45,19,24,42,98,441,5260,10524,2480,1940,3133,1187,511,782,383,26197
SED30009,93,14,275,159,69,113,38,154,9,925,0,0,5,0,0,7,0,10,0,21,15,18,23,23,17,13,23,35,14,172,30,27,63,55,38,30,35,116,75,480,1109,2740,2023,2251,1225,749,592,1296,196,12178
SED30010,134,40,312,228,142,145,124,198,23,1354,0,3,5,4,3,7,9,9,3,45,26,37,44,43,50,15,61,56,17,338,42,37,120,82,71,41,111,121,161,784,1572,3423,3095,3513,2415,1143,1604,1816,434,19029
SED30011,97,15,289,163,113,82,179,155,19,1107,0,3,0,0,3,3,3,4,0,18,29,26,44,22,16,5,58,33,19,246,79,35,107,53,42,26,139,153,89,729,1946,2636,3398,1550,1401,529,1955,1414,304,15143
SED30012,191,50,362,233,159,118,28,110,19,1271,0,3,0,3,7,0,0,4,0,19,43,47,28,34,23,10,12,20,8,225,53,46,73,55,53,40,20,48,103,496,2769,5728,2905,2415,1964,1199,445,905,341,18666
SED30013,108,25,197,126,79,81,41,100,4,760,0,0,0,0,0,0,0,0,0,11,23,13,22,18,12,5,24,12,13,148,45,25,68,51,36,42,55,137,79,546,1685,2970,2161,1831,1251,627,712,1125,224,12583
SED30014,190,37,527,295,143,154,69,185,14,1602,0,0,0,4,0,4,0,3,0,19,41,43,41,58,27,18,21,20,8,271,44,50,83,96,33,51,35,84,113,594,2168,5674,2835,3175,1930,1121,718,1283,316,19224
SED30015,123,18,205,102,88,69,80,163,8,856,3,0,0,6,0,4,0,10,0,16,21,23,42,21,19,6,43,32,11,219,122,22,89,58,38,30,106,157,91,709,2238,2116,2641,1351,1269,486,1168,1444,270,12988
SED30016,161,39,392,221,140,161,50,125,15,1312,0,3,5,4,0,4,0,3,0,16,38,44,42,38,29,13,21,22,5,250,59,39,79,62,51,42,56,61,78,520,2175,4641,3016,2641,2049,1120,725,1216,269,17860
SED30017,133,51,319,185,169,129,71,127,14,1193,5,0,0,0,4,6,0,0,0,21,30,34,36,28,36,18,24,24,10,229,38,32,75,43,41,31,53,60,76,447,2186,4018,3432,2368,2406,1025,857,1084,287,17659
SED30018,127,32,205,112,128,100,37,63,11,828,5,0,0,3,0,5,3,4,0,24,37,50,17,26,47,17,18,14,6,232,56,54,45,18,53,38,17,36,58,373,3774,7991,2246,1669,2705,1092,459,689,241,20870
SED30019,170,57,316,182,164,110,41,88,6,1137,6,6,3,3,0,4,0,0,0,32,62,102,31,38,54,33,22,18,10,370,55,75,37,40,63,35,24,39,87,461,4657,11206,2271,2211,3222,1473,587,946,369,26946
SED30020,103,32,282,166,160,121,54,140,14,1068,0,0,0,9,3,0,0,6,0,18,52,25,41,40,19,10,45,30,9,260,59,29,93,56,43,40,49,96,91,554,2422,3682,3370,2233,2148,830,950,1354,268,17265
SED30021,138,34,281,173,89,79,59,158,14,1026,0,0,0,5,0,4,0,0,0,14,29,22,25,30,22,8,24,25,10,187,92,77,110,123,95,68,91,158,124,932,1808,2767,2355,2097,1378,636,833,1401,327,13603
SED30022,276,73,596,373,307,236,154,211,21,2254,6,3,7,6,3,11,6,3,4,38,35,50,55,44,41,31,62,37,18,384,75,56,139,72,78,74,117,91,167,870,3690,6238,5050,4069,3400,1986,1561,1927,506,28430
SED30023,107,33,195,125,95,60,18,45,3,674,0,3,5,5,7,4,0,0,0,22,64,110,25,40,61,22,11,16,17,364,48,66,29,36,30,22,14,15,69,321,4504,11388,1741,1767,2412,971,304,592,281,23967
SED30024,131,44,282,224,140,133,45,121,13,1131,0,0,0,6,4,0,0,3,0,6,31,57,29,28,18,15,10,20,15,223,51,52,75,48,52,46,24,49,89,487,2348,4975,2767,2197,1780,1027,465,969,301,16840
SED30025,151,41,233,196,157,104,35,64,14,990,0,3,4,0,5,3,0,0,0,14,53,54,37,39,44,13,23,12,0,275,31,55,62,32,58,28,19,25,74,382,3399,7574,2943,2490,2931,1055,514,750,262,21918
SED30026,108,43,228,169,123,88,31,63,9,864,3,0,4,6,0,3,0,9,0,19,62,75,20,36,45,21,16,12,8,287,44,49,49,36,42,26,22,23,55,340,3333,8227,2424,2281,2541,921,491,684,273,21176
SED30027,142,47,425,225,172,135,62,150,19,1385,0,4,0,0,4,3,4,0,0,22,26,32,35,27,35,20,17,31,9,234,39,27,85,45,53,48,43,52,109,493,1915,3847,3077,2464,2048,1243,716,1154,298,16769
SED30028,90,23,229,154,89,96,111,113,5,909,0,0,0,4,0,3,0,0,0,13,20,41,79,25,28,7,87,32,9,342,35,19,107,47,47,28,87,79,94,551,1433,3333,4025,1803,1511,721,1395,1066,316,15597
SED30029,134,24,256,143,106,72,49,106,16,911,0,0,0,0,3,9,7,4,0,18,25,26,40,37,25,13,33,25,6,236,71,41,104,50,44,37,39,75,86,550,2127,3514,2880,1927,1714,777,747,1148,294,15125
SED30030,110,55,273,156,110,72,40,79,3,918,5,4,4,5,6,0,0,3,0,29,55,74,25,29,52,24,19,20,10,310,56,72,39,33,43,30,17,29,75,396,3968,10859,2361,2179,2815,1083,526,906,311,25000
SED30031,87,13,175,96,87,67,96,102,10,733,0,3,4,0,4,5,0,11,0,30,30,17,29,16,9,9,34,14,3,169,77,26,92,31,31,31,90,96,63,538,1950,2075,2304,1092,1167,503,1283,1038,221,11631
SED30032,113,23,292,188,99,127,50,183,7,1076,0,0,0,3,3,4,0,0,0,8,28,25,30,29,17,13,33,30,11,215,51,22,98,53,43,57,63,119,81,590,1501,2349,2406,2011,1428,865,836,1321,252,12970
SED30033,112,15,296,212,83,114,41,111,13,1002,0,0,6,0,0,4,0,0,0,12,16,28,33,37,8,14,12,35,0,184,27,24,61,71,28,46,31,61,68,421,1170,3182,1946,2533,1236,773,464,921,198,12419
SED30034,135,15,261,140,91,78,80,176,17,992,0,3,4,0,0,4,0,10,0,22,41,15,28,37,14,12,17,39,7,211,73,39,99,75,42,59,61,200,107,753,2130,2978,2441,2058,1409,720,807,1596,280,14414
SED30035,145,26,277,183,125,103,54,106,14,1038,0,0,5,0,4,8,0,0,0,17,22,29,27,45,27,14,24,21,8,215,51,29,72,56,48,31,65,76,85,514,1827,3301,3310,2436,1814,752,1020,962,285,15705
SED30036,79,21,240,207,119,103,101,151,20,1047,4,0,5,4,5,11,6,3,4,43,36,29,34,33,37,24,53,32,7,287,28,28,74,87,58,35,86,78,118,586,1573,4386,2229,2694,2145,933,1232,1342,345,16888
SED30037,113,31,260,187,145,123,55,141,7,1062,0,8,3,3,5,3,0,6,0,32,34,21,31,38,33,18,27,23,6,232,38,25,63,59,51,41,63,62,92,487,1614,3502,2708,2502,1923,854,831,1052,258,15247
SED30038,111,34,278,173,113,101,56,127,10,997,0,9,6,7,3,5,4,6,0,30,33,33,43,36,33,15,27,22,11,254,43,32,82,78,43,41,55,59,90,525,1789,3390,2970,2616,1988,835,876,1077,266,15811
SED30039,162,55,371,216,220,127,156,116,23,1439,0,4,0,0,5,14,3,14,0,43,46,54,44,54,49,21,51,38,9,367,66,46,97,68,81,52,70,56,151,697,3108,6374,4031,3262,3364,1326,1428,1250,430,24579
