SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED20508,569,501,551,521,178,24,2721,20,219,363,377,469,471,116,16,2059,297,1606,2008,1728,1559,1524,593,121,9433,220,714,1059,1262,1338,1455,653,136,6842,678,1827,2109,2013,2088,1682,746,190,11333,89,69,111,107,88,104,29,5,599,46,81,114,163,185,250,139,37,1018,811,1979,2330,2281,2368,2037,910,231,12943,10,24,34,31,42,85,80,23,328,348,296,405,437,616,933,905,548,4480,1718,5198,6767,6625,6950,7019,3434,1101,38814
SED20604,392,377,309,268,50,3,1721,26,241,355,354,351,265,82,9,1678,193,1412,1595,1280,1025,867,275,61,6702,228,799,1097,1118,1203,914,356,63,5766,1168,2654,2417,2361,2173,1374,518,114,12784,145,155,128,110,122,100,22,4,778,76,94,105,183,208,193,92,21,970,1381,2905,2651,2663,2509,1662,628,137,14530,13,21,30,38,42,53,33,22,248,597,545,582,600,668,765,652,291,4696,2451,6215,6695,6428,6104,4790,2074,588,35346
SED20704,514,412,330,254,97,10,2214,31,317,435,422,373,265,67,13,1924,466,2081,2020,1521,1048,839,297,94,8364,256,887,1001,1038,985,875,385,88,5511,987,2556,2152,2006,1936,1169,483,131,11420,172,142,141,106,106,80,16,3,764,67,92,127,145,179,166,66,26,866,1227,2787,2424,2259,2219,1415,556,160,13041,5,42,25,36,42,40,29,17,227,495,562,537,555,659,607,580,353,4346,2538,7197,6963,6241,5656,4298,2012,733,35635
SED20804,487,471,427,391,147,17,2413,25,207,353,371,352,322,82,10,1725,279,1467,1531,1268,976,931,404,77,6927,185,689,824,886,915,807,382,72,4757,728,1997,1801,1823,1733,1179,549,148,9948,115,118,120,84,108,82,13,4,648,39,76,85,141,175,144,76,30,761,882,2190,2006,2047,2013,1408,635,173,11357,6,32,22,30,42,43,41,15,240,471,587,546,587,626,789,762,606,4983,1899,5604,5768,5663,5354,4691,2455,969,32406
SED20906,1960,1406,683,310,84,28,5774,28,225,502,574,432,212,51,12,2039,830,2833,3846,3338,1853,968,375,137,14179,314,691,1096,1417,1000,634,273,102,5529,360,818,826,1099,1020,603,323,125,5177,75,39,59,59,58,45,17,0,360,41,72,125,171,192,142,81,33,861,483,929,1012,1329,1277,790,430,157,6404,11,48,76,78,71,66,48,21,424,247,387,432,416,347,347,354,269,2788,1968,6364,8921,8555,5659,3319,1620,730,37132
SED21001,2196,1517,1037,568,272,64,8190,32,333,469,615,550,376,157,43,2563,1384,3883,3685,3367,2193,1553,737,291,17093,493,1018,949,1148,1034,825,509,217,6188,505,723,581,795,812,446,298,131,4291,80,59,58,57,69,32,19,5,373,51,70,89,163,160,142,104,51,834,625,850,725,1016,1044,618,419,193,5492,34,49,67,73,87,74,53,27,455,508,708,451,425,353,397,447,572,3862,3228,9223,8545,8157,6289,4412,2599,1396,43841
SED21106,1475,1650,1250,696,275,61,6400,14,215,353,614,546,335,137,33,2254,821,2935,3277,3800,2692,1698,737,248,16204,180,604,792,1082,1024,847,470,181,5178,185,615,542,649,642,370,266,95,3356,39,34,42,52,52,36,14,7,266,34,54,97,133,174,147,122,47,808,256,701,683,834,854,552,395,148,4430,13,43,55,82,59,68,44,32,396,236,401,486,500,381,411,422,411,3261,1567,5845,7127,8559,6813,4608,2484,1124,38118
SED21203,950,343,176,82,10,0,3037,55,273,242,168,96,32,7,0,886,782,2816,1772,807,545,251,77,17,7067,412,1260,1154,854,530,226,76,16,4528,791,1468,1178,1100,875,443,223,75,6152,152,149,98,84,65,30,5,0,580,73,137,162,158,155,61,33,6,782,1027,1756,1437,1345,1090,536,252,82,7522,28,85,68,51,48,28,11,4,325,980,1363,1133,778,709,484,409,200,6052,3390,8923,6743,4339,3201,1631,858,332,29418
SED21303,3064,1604,967,512,145,11,10543,56,846,840,684,551,281,56,12,3321,2019,8220,4749,2616,1412,759,199,40,20020,450,1514,1240,905,640,338,109,37,5232,583,1538,890,811,629,314,171,73,5002,75,115,60,51,37,26,5,0,365,49,132,116,135,150,72,40,10,703,707,1784,1065,1000,813,405,208,89,6070,32,78,80,51,36,39,13,8,337,321,896,540,347,310,287,226,138,3065,3762,17394,11584,7206,4720,2626,955,335,48582
SED21401,1720,981,741,500,222,40,5944,20,196,345,363,341,266,114,21,1661,1056,3152,3297,2625,1982,1270,671,186,14239,288,739,950,1150,1030,791,556,187,5690,392,637,636,935,881,561,560,211,4804,52,37,48,72,62,40,39,13,357,53,57,90,186,211,183,136,51,973,493,737,773,1189,1154,783,732,273,6132,22,59,58,58,69,69,66,22,425,234,379,424,405,376,415,507,381,3123,2226,6879,7563,6776,5701,4088,2861,1117,37213
SED21503,1250,631,357,194,55,9,4174,30,303,369,328,241,141,37,9,1459,834,2856,2520,1645,1005,635,229,60,9780,389,912,1044,1128,813,513,233,68,5108,586,1289,1129,1329,1145,761,475,140,6864,99,69,58,79,55,46,18,0,427,41,68,115,168,202,133,65,28,817,728,1428,1293,1581,1401,941,561,171,8104,32,65,49,40,47,34,45,7,309,503,531,390,341,330,345,335,216,2992,2694,7584,6933,5697,4196,2802,1491,536,31929
SED21608,521,421,375,282,84,11,2261,22,240,374,379,293,254,50,11,1619,378,1712,1779,1330,896,730,241,46,7106,242,865,1057,1085,916,705,256,52,5181,956,2362,2247,2121,1830,1142,436,105,11190,147,148,141,113,77,68,10,3,719,54,76,121,150,176,125,55,10,762,1157,2584,2503,2379,2080,1334,495,128,12665,11,30,44,42,38,47,24,5,239,594,591,513,626,558,725,537,276,4424,2450,6545,6793,6249,5165,4078,1693,524,33494
SED21706,2033,1694,1031,534,218,43,7900,37,262,457,642,548,362,98,15,2427,1431,3651,3620,3431,2232,1377,550,217,16506,515,705,791,983,1006,738,393,160,5297,443,656,514,719,757,405,285,125,3910,74,64,39,50,57,35,21,8,347,54,59,87,150,161,131,86,55,776,571,781,635,917,973,583,389,186,5026,30,46,62,51,71,54,64,27,403,414,618,425,349,327,361,310,333,3143,3162,8230,8025,8079,6177,4008,2020,995,40696
SED21805,699,454,269,159,55,5,2212,28,267,342,288,210,146,43,0,1331,402,2119,2142,1471,873,581,182,55,7830,298,1239,1625,1469,931,650,219,46,6485,784,2426,2468,2322,1940,1118,466,134,11649,111,107,136,84,87,70,16,0,611,55,121,184,223,222,165,72,13,1048,949,2656,2791,2634,2242,1341,550,146,13309,13,46,49,44,53,55,40,15,317,359,563,592,561,492,498,477,316,3864,2083,7430,8245,6920,5064,3444,1564,582,35345
SED21906,1918,1346,904,666,209,52,7509,25,411,468,553,498,404,87,21,2479,1220,5116,4041,3069,2154,1681,595,201,18076,381,1052,942,911,800,851,341,119,5395,365,969,688,606,541,440,239,127,3974,71,59,47,42,39,29,14,6,306,44,87,98,149,147,152,89,39,812,479,1115,841,800,728,623,346,169,5098,20,71,79,58,49,78,52,26,431,408,811,571,410,353,475,374,337,3750,2673,10858,8859,7151,5486,4775,2002,928,42733
SED22005,1812,690,339,172,67,19,6503,41,289,349,271,189,114,24,10,1284,1429,4387,3219,1883,1022,683,227,86,12927,576,1329,1237,1140,798,470,199,76,5822,571,1153,1026,1130,1043,671,340,133,6057,65,80,58,81,68,44,15,0,417,57,112,156,193,205,107,64,30,920,694,1340,1239,1399,1318,822,417,157,7390,43,112,102,58,51,46,39,25,473,588,1074,600,453,442,495,494,475,4628,3663,11641,8561,5893,4159,2797,1457,857,39026
SED22105,2470,731,231,107,24,4,5259,66,441,559,300,165,75,12,0,1622,942,4367,4917,2081,804,472,135,27,13746,784,3030,3614,1934,993,514,165,48,11087,1586,4198,4015,2930,1939,978,423,98,16163,227,290,233,179,122,37,19,4,1117,129,296,358,306,208,125,53,8,1491,1948,4788,4600,3418,2266,1144,497,114,18764,39,122,177,73,69,44,28,9,566,877,1481,1278,825,672,509,383,203,6230,4734,15838,17620,9368,5201,2858,1244,412,57272
SED22201,990,526,326,238,78,17,2968,35,253,416,332,282,225,81,9,1630,469,2452,2435,1510,978,742,345,84,9018,290,976,1173,1092,938,677,351,125,5615,746,1691,1555,1563,1455,852,509,148,8507,76,92,91,76,56,62,18,4,485,49,73,134,171,210,167,112,38,952,870,1854,1779,1805,1722,1079,643,191,9941,11,40,42,30,49,63,43,18,300,238,382,335,314,343,353,381,288,2634,1954,6717,7157,5615,4640,3367,1925,730,32104
SED22305,929,367,182,104,27,9,3011,38,233,209,156,109,62,29,7,830,628,3084,1960,893,701,426,160,45,7888,461,1469,1394,937,725,425,167,54,5631,776,1671,1489,1319,1069,769,395,98,7589,126,150,139,97,84,50,17,0,662,49,176,179,171,170,115,50,14,930,956,2001,1806,1593,1324,927,460,116,9185,36,96,96,55,54,49,22,14,422,757,1414,1103,818,732,697,511,236,6261,2951,9599,7488,4818,3824,2697,1377,477,33233
SED22404,287,341,354,288,116,28,1656,19,150,232,305,298,272,65,5,1358,198,967,1170,1212,1121,991,330,72,6060,181,717,937,1069,1157,915,375,72,5422,795,2029,1945,2186,2250,1443,563,138,11351,105,102,111,87,110,62,25,5,605,53,89,95,161,207,181,74,28,889,948,2220,2149,2427,2563,1688,666,170,12841,7,23,29,28,50,69,50,9,261,626,511,604,780,919,890,603,260,5192,1997,4815,5410,6172,6464,5125,2190,618,32792
SED22501,1214,925,569,429,169,19,3958,17,202,442,610,456,392,93,10,2219,557,1822,2799,2380,1602,1185,384,67,10800,241,584,923,1225,1053,927,358,69,5375,547,985,1175,1424,1461,910,417,90,7023,78,48,61,61,67,50,15,5,375,40,50,97,187,244,214,74,26,937,666,1090,1339,1671,1769,1175,506,110,8332,11,25,47,39,45,75,35,8,289,177,175,245,274,313,360,321,180,2045,1703,4481,7007,7124,5810,4553,1878,471,33020
SED22607,1857,1070,763,480,101,17,6656,53,495,612,584,528,320,79,14,2681,1275,4665,3829,2910,1786,1027,266,75,15832,443,1106,1041,1165,926,610,237,71,5609,448,1232,957,1045,945,548,266,104,5544,70,98,69,73,57,40,10,0,412,59,113,121,194,167,120,51,33,859,578,1441,1151,1311,1167,712,325,135,6818,12,71,60,37,52,31,26,7,295,384,756,556,499,452,382,294,164,3485,2865,10774,9097,7582,5674,3564,1333,489,41379
SED22704,261,254,222,212,56,15,1307,20,138,205,252,266,213,68,5,1166,218,1000,995,868,857,804,319,73,5134,203,714,893,1031,1089,872,388,90,5263,923,2031,2000,2249,2308,1570,606,133,11831,147,147,107,115,137,92,31,6,775,51,83,117,191,175,177,84,28,908,1123,2269,2217,2553,2627,1836,730,170,13515,9,20,21,41,50,58,37,21,257,725,677,715,887,1149,1114,883,438,6588,2315,5084,5303,5886,6261,5106,2478,795,33235
SED22802,512,302,229,135,51,3,1690,37,241,285,240,209,160,50,9,1230,398,1863,1661,1163,720,620,241,35,6711,288,992,1178,1131,935,596,306,54,5475,940,2423,2157,2115,1826,1025,513,107,11106,143,87,104,79,67,55,33,3,560,54,95,133,157,183,149,61,17,856,1142,2601,2389,2359,2076,1234,605,124,12526,10,44,21,38,37,52,35,20,252,236,336,318,344,362,343,321,133,2393,2128,6509,6363,5583,4564,3133,1606,373,30278
SED22901,1373,675,462,247,65,19,3764,33,218,314,287,238,189,39,11,1330,637,2354,2684,1761,1208,896,305,88,9935,287,792,1111,1048,976,738,322,97,5366,547,1303,1246,1371,1262,988,473,140,7334,101,94,65,61,72,71,15,8,476,32,69,102,121,194,166,74,27,790,679,1460,1418,1554,1528,1223,567,171,8608,11,38,53,36,51,79,42,12,329,224,326,333,288,317,346,420,323,2583,1924,6060,7284,5650,4777,3717,1768,724,31914
SED23007,1888,786,385,179,30,3,6742,42,588,608,416,254,116,18,0,2047,1185,6304,4314,2098,942,507,149,28,15517,515,1727,1537,1067,722,340,85,32,6022,646,1762,1373,1161,951,537,228,65,6726,114,149,107,104,80,38,12,0,600,49,166,177,214,168,110,35,11,932,809,2087,1651,1482,1199,687,270,75,8258,38,130,85,54,46,40,12,4,408,680,1604,975,717,630,549,459,362,5980,3510,15665,11059,6619,4176,2419,1025,501,44968
SED23101,1925,1150,654,389,165,23,5816,18,192,336,414,347,274,114,22,1713,914,2506,3115,2519,1594,1126,541,152,12462,316,589,857,1105,938,835,500,170,5307,396,574,562,984,862,565,488,192,4622,59,44,48,49,40,40,25,5,318,35,53,78,149,151,143,128,48,791,491,674,690,1186,1057,751,647,245,5730,23,37,61,59,54,59,70,22,382,222,297,294,288,260,382,481,408,2637,2082,5703,7279,6714,4908,3813,2514,1042,34054
SED23205,504,401,288,199,50,15,1950,28,223,327,317,233,197,57,10,1391,347,1851,1713,1323,890,671,293,67,7154,274,1036,1239,1148,976,671,317,94,5760,720,2145,1826,1788,1540,969,512,161,9665,104,109,104,102,85,74,18,5,600,56,110,136,151,170,164,91,29,899,878,2364,2067,2039,1795,1200,617,194,11156,18,42,38,43,54,54,39,33,325,529,739,655,683,615,568,582,424,4794,2109,6720,6552,5947,4847,3558,1956,838,32523
SED23308,941,604,445,279,96,8,3926,34,429,444,423,333,241,66,9,1976,811,3157,2513,1709,1201,906,317,75,10687,345,1007,1006,1047,938,763,306,91,5497,887,2072,1646,1681,1613,977,422,136,9432,132,107,94,90,65,62,17,0,564,55,91,89,116,162,114,55,19,698,1078,2273,1831,1889,1836,1156,490,153,10694,25,44,47,43,33,42,49,21,307,466,598,513,477,493,530,495,317,3883,2861,8946,7293,6183,5288,3914,1818,675,36980
SED23402,1191,567,354,198,70,3,3335,43,317,416,362,249,183,62,7,1647,662,2593,2675,1817,1046,720,261,62,9840,434,1591,1907,1550,1203,729,293,65,7776,1066,3187,2666,2488,2041,1083,471,110,13107,179,137,122,103,89,56,12,4,697,88,151,174,235,185,155,78,17,1077,1331,3472,2960,2818,2318,1297,560,133,14886,15,64,74,44,44,42,27,14,334,559,700,691,630,541,473,467,259,4313,3090,9634,9913,7799,5751,3648,1748,549,42123
SED23502,201,180,218,212,81,10,1140,5,133,194,205,280,286,74,5,1181,149,884,886,785,903,897,367,57,4930,107,571,680,870,1066,1060,466,100,4913,701,1922,1835,1928,2236,1903,809,162,11507,92,113,124,109,143,117,18,5,722,25,71,121,135,202,213,95,24,881,817,2107,2082,2170,2578,2237,923,195,13113,6,28,25,24,41,69,65,21,281,577,551,592,702,1002,1212,900,400,5928,1681,4499,4648,4929,6079,5976,2882,788,31480
SED23602,241,292,282,209,63,17,1331,21,163,200,264,221,203,52,9,1126,231,1006,1061,953,852,856,283,62,5303,122,551,742,891,904,835,335,75,4451,680,1758,1784,1987,2101,1476,581,107,10471,112,117,104,104,115,69,24,0,642,41,75,119,109,172,162,69,25,777,827,1944,2006,2195,2390,1710,675,136,11890,5,22,30,33,44,58,40,12,241,498,526,629,618,776,961,652,330,5000,1727,4430,4906,5243,5461,4839,2097,643,29339
SED23702,287,246,177,121,40,7,1222,35,238,286,248,203,159,47,3,1224,346,1600,1401,1050,720,548,200,45,5916,317,1179,1344,1223,1105,667,285,56,6181,1208,3035,2755,2698,2513,1498,598,149,14435,187,140,118,105,133,58,14,4,759,68,129,161,202,205,170,81,21,1038,1461,3303,3030,2999,2855,1726,691,167,16232,8,19,39,43,43,53,40,9,266,429,473,561,575,575,580,510,219,3922,2625,7142,6952,6384,5682,3853,1820,512,34966
SED23806,2153,1780,1297,903,406,91,9084,35,438,519,592,566,386,144,29,2702,1502,4906,3634,3335,2543,1680,860,287,18746,402,764,634,773,743,748,453,165,4676,382,679,412,420,414,275,203,77,2859,69,42,36,28,34,29,14,3,265,26,60,80,113,130,137,83,30,650,482,778,524,563,582,438,296,114,3774,27,62,46,45,41,75,50,24,375,327,500,374,311,280,321,309,188,2613,2922,9756,7877,7397,6043,4544,2522,897,41961
SED23901,1953,1267,946,634,270,43,6821,31,403,533,610,509,331,117,22,2554,972,3527,3578,2679,1886,1273,487,163,14567,266,834,948,1048,890,665,358,133,5139,535,1052,898,1013,959,558,354,158,5532,69,79,55,58,59,41,7,5,371,50,79,96,149,165,156,93,43,838,652,1208,1055,1221,1179,757,456,208,6739,16,44,69,54,50,55,34,22,352,318,457,472,397,384,392,317,215,2958,2338,8108,8609,7276,5847,4101,2035,807,39131
SED24006,1721,1762,1377,810,400,109,7640,30,216,363,612,573,350,119,35,2293,1340,2984,3059,3529,2837,1798,876,299,16727,262,509,592,1046,911,768,450,204,4751,254,485,360,472,539,333,220,100,2763,43,35,31,37,46,36,19,5,241,32,46,72,131,157,118,70,47,677,325,570,463,640,744,486,308,155,3681,24,47,63,68,73,72,53,30,428,256,279,292,368,333,312,324,268,2435,2356,5952,6555,8026,6844,4604,2531,1106,37962
SED24105,1099,500,254,132,26,9,3314,26,218,273,235,151,100,36,4,1045,986,3192,2567,1534,810,539,208,55,9880,438,1242,1377,1093,679,484,173,54,5543,595,1204,1230,1281,1077,776,418,116,6697,96,91,87,90,66,49,18,3,505,61,126,160,196,165,135,67,20,931,756,1421,1475,1566,1316,959,498,140,8129,21,72,107,62,51,57,31,12,412,439,698,584,432,435,477,396,196,3644,2755,8049,7485,5425,3688,2737,1369,462,31973
SED24207,1647,566,224,103,29,4,3998,40,367,429,291,123,31,20,0,1307,1042,4046,4184,2175,971,512,144,21,13092,513,1907,2237,1412,712,364,99,12,7250,910,2110,2240,1842,1251,768,264,55,9435,132,126,173,157,93,42,9,0,728,81,210,275,273,200,137,33,8,1213,1124,2443,2683,2271,1540,948,302,58,11374,25,99,112,64,50,36,11,4,410,903,1471,1250,843,611,499,316,137,6034,3752,11646,12548,7620,4234,2500,919,238,43464
SED24308,443,283,180,100,33,3,1817,26,254,255,207,142,116,20,4,1027,428,1960,1427,971,660,417,127,30,6018,317,1112,1007,1038,737,543,213,43,5009,1049,2566,2091,1917,1697,1072,423,149,10954,138,150,133,97,75,51,21,3,671,62,103,131,157,143,127,56,17,786,1242,2825,2345,2168,1917,1254,495,167,12417,26,36,31,36,35,48,22,14,254,667,863,724,687,611,625,543,293,5009,2771,7780,6236,5392,4277,3100,1454,545,31551
SED24408,231,198,157,128,23,10,1046,16,159,206,190,211,157,42,3,989,202,1098,996,874,699,619,239,54,4782,151,585,725,857,928,713,278,75,4301,865,1885,1604,1680,1967,1140,396,126,9666,142,133,119,85,102,64,25,0,670,39,68,94,133,156,133,50,14,694,1041,2089,1815,1901,2227,1332,476,140,11026,10,17,22,22,34,57,36,16,194,492,431,424,563,721,908,788,495,4820,1949,4644,4410,4604,4972,3904,1881,794,27162
SED24504,709,754,666,473,147,15,3154,22,160,435,542,503,375,66,13,2111,250,1217,2170,2107,1529,1199,455,86,9015,170,616,1019,1280,1194,1020,403,46,5756,588,1439,1783,1997,1766,1150,478,90,9306,68,70,84,77,90,59,25,4,476,47,68,114,185,206,181,69,12,879,703,1578,1978,2265,2065,1394,572,111,10662,6,39,30,51,46,64,48,19,308,452,394,452,651,684,718,527,291,4175,1616,4368,6791,7654,6693,5244,2232,569,35175
SED24606,1724,1373,1029,725,342,79,7306,22,349,404,549,448,331,117,18,2242,1269,4173,3194,3244,2392,1760,871,269,17161,297,670,659,842,805,751,477,193,4699,267,570,383,421,420,273,201,88,2623,47,43,42,30,41,27,16,4,254,26,41,86,139,162,149,93,50,743,342,657,506,598,615,449,311,139,3625,25,58,50,69,59,75,59,33,427,296,461,363,330,316,364,391,298,2822,2393,8269,6899,7001,5663,4462,2569,1027,38278
SED24703,4375,1857,1326,846,368,71,21123,170,1196,784,506,411,301,96,7,3470,7458,17032,6446,2720,1853,1244,531,121,37406,1912,3096,1714,950,732,545,203,69,9214,1114,1903,973,668,561,274,109,39,5637,189,155,68,53,57,32,13,0,571,131,231,169,139,137,85,41,6,933,1436,2287,1208,858,751,390,160,47,7146,211,318,147,87,55,51,33,14,906,2248,3720,1716,907,703,504,312,165,10273,14549,38818,16392,7887,5828,3880,1696,490,89540
SED24808,1004,342,185,111,35,4,2644,55,317,380,237,134,144,18,0,1287,463,2434,2595,1212,590,436,148,26,7910,417,1909,2039,1214,822,517,200,44,7166,1347,3686,3228,2500,1928,1234,416,73,14409,186,247,217,162,116,60,7,6,997,96,201,270,225,191,153,49,14,1192,1630,4131,3707,2886,2239,1448,477,88,16602,18,82,111,48,44,41,18,12,370,913,1299,1155,858,684,637,432,141,6114,3533,11106,10992,6794,4697,3328,1328,316,42093
SED24904,250,169,126,72,25,4,953,10,173,182,227,179,122,19,3,907,226,1412,1105,853,642,410,141,44,4828,190,721,802,840,794,561,202,33,4148,887,2239,1913,1848,1680,990,349,80,9980,140,181,135,119,104,40,16,0,738,61,94,113,164,133,98,41,8,715,1094,2514,2159,2131,1922,1132,400,86,11437,15,46,43,38,32,38,23,12,255,755,926,862,823,939,945,701,403,6350,2311,6081,5395,5084,4642,3268,1508,585,28884
SED25003,1226,451,227,108,22,4,3280,31,298,336,244,166,73,21,0,1167,803,2596,2485,1299,818,455,96,19,8571,419,1330,1483,1268,895,381,105,16,5906,859,1906,1650,1862,1515,748,241,56,8833,112,107,101,78,87,43,10,0,540,76,118,173,254,230,110,24,0,989,1048,2129,1925,2198,1827,900,277,62,10363,28,59,71,63,64,33,10,3,327,447,611,582,462,459,442,444,408,3862,2875,8168,8103,5990,4458,2395,984,507,33484
SED25102,751,612,416,328,95,7,2656,14,186,369,449,380,295,78,3,1773,368,1639,2000,1679,1239,886,306,55,8176,262,752,1132,1318,1021,780,283,66,5594,713,1601,1786,1950,1773,1113,375,83,9378,101,63,75,84,85,49,15,0,473,48,60,129,177,194,172,73,16,874,868,1722,1986,2213,2056,1334,464,94,10735,19,20,27,36,47,55,38,6,242,230,292,345,387,373,358,285,212,2477,1762,5049,6609,6684,5525,4042,1537,453,31656
SED25205,1222,835,472,240,94,11,3647,25,211,481,510,365,213,51,8,1860,591,2519,3212,2499,1436,737,279,74,11348,294,834,1265,1597,1048,679,289,117,6119,555,1215,1419,1681,1417,861,436,163,7746,72,59,83,92,99,52,22,0,475,34,72,175,214,233,161,69,51,1009,658,1340,1682,1986,1751,1076,531,218,9232,24,38,48,52,57,54,44,21,338,206,355,370,410,367,388,394,278,2766,1827,6033,8275,7899,5493,3390,1672,725,35311
SED25302,559,643,542,440,174,47,2704,15,118,366,443,415,354,129,13,1861,327,1199,2113,2314,1462,1264,797,200,9678,247,485,1062,1509,1195,1139,689,197,6532,468,1030,1461,1831,1623,1151,740,210,8513,86,39,65,80,87,72,34,13,471,44,49,127,211,194,232,159,62,1077,597,1110,1659,2122,1905,1458,934,283,10062,8,16,43,49,55,73,85,42,382,285,210,330,492,420,626,713,562,3639,1501,3425,6122,7586,5994,5363,3515,1347,34860
SED25402,323,225,209,151,43,13,1279,32,173,205,197,208,147,43,3,1014,309,1365,1072,821,733,530,211,38,5081,161,828,854,878,877,613,263,40,4516,1082,2781,2356,2204,2335,1445,611,156,12969,122,155,160,110,93,64,20,3,735,41,93,108,130,146,163,44,15,745,1246,3025,2626,2448,2580,1665,678,176,14451,14,27,29,37,45,56,28,7,246,710,764,719,726,834,858,673,464,5748,2502,6478,5829,5338,5485,4022,1936,740,32335
SED25501,2549,1580,1070,524,236,50,7949,27,201,329,381,380,282,119,27,1740,1240,2994,3375,2936,2096,1243,615,226,14725,351,641,847,1034,956,710,567,188,5289,323,508,449,656,664,419,330,189,3538,53,39,30,41,57,52,19,11,301,44,41,65,149,157,146,112,59,766,412,587,545,852,879,616,460,255,4609,22,50,92,65,61,70,63,29,451,382,484,433,415,342,271,365,319,3009,2585,6750,8177,7269,5780,3710,2420,1086,37778
SED25605,1364,766,471,291,153,20,4559,23,219,298,260,190,162,50,14,1214,756,2872,2575,1779,1175,845,371,132,10504,323,967,1073,995,761,605,348,119,5195,440,842,847,1096,874,731,544,143,5522,57,65,79,72,53,38,13,0,381,41,92,105,182,189,130,104,24,870,533,1005,1027,1350,1113,906,656,168,6766,39,73,67,67,35,69,46,25,406,406,601,459,430,416,465,594,529,3893,2167,7140,6859,5649,4171,3342,2219,1004,32543
SED25704,164,151,111,72,19,0,786,6,148,166,178,199,123,55,4,879,211,1085,1087,810,605,515,172,44,4527,173,584,730,824,812,639,261,72,4097,923,2104,1914,1996,2137,1338,490,118,11003,131,114,116,81,94,53,23,0,621,53,80,124,130,158,132,46,17,726,1107,2303,2154,2200,2390,1521,556,136,12355,12,23,33,28,31,36,37,15,214,605,550,614,700,871,965,841,549,5705,2142,4936,4953,4893,5016,3864,1940,815,28552
SED25802,354,322,290,211,86,11,1639,30,206,266,258,301,269,75,6,1416,316,1590,1372,1061,976,852,331,59,6550,209,982,1130,1102,1052,878,364,85,5792,1087,3095,2586,2591,2475,1575,660,170,14244,178,143,146,109,110,111,22,0,816,64,127,132,187,201,193,104,25,1033,1326,3364,2868,2890,2789,1883,786,195,16096,17,34,42,37,59,66,63,12,329,618,703,687,751,865,898,736,315,5591,2536,7228,6730,6417,6324,5052,2441,684,37415
