SOSR_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,11,151,97,253,20,255,135,411,51,689,423,1164,72,541,491,1108,67,500,442,1010,84,544,317,949,54,465,138,648,15,122,40,166,0,11,4,19,372,3273,2085,5734,17,172,90,279,18,265,132,418,76,616,339,1022,70,392,285,749,93,365,210,666,95,464,147,698,41,301,59,404,8,77,22,104,0,19,12,32,417,2663,1300,4381,28,326,184,532,34,518,274,829,124,1303,757,2187,143,933,782,1859,156,872,646,1678,181,1005,463,1648,92,760,194,1055,19,193,58,277,3,25,16,49,787,5945,3382,10112
SOSR201,5462,118284,6615,130354,8173,140462,10107,158734,21608,321646,26337,369594,32697,289259,20094,342049,41396,229093,14458,284946,39792,185974,10900,236664,23500,142513,8325,174337,12042,81094,6779,99909,3921,28796,3934,36647,188591,1537114,107533,1833238,6144,111705,6066,123919,10450,132403,8350,151199,31829,321319,22482,375628,49080,282306,17242,348635,66611,221010,12668,300286,63232,179094,10141,252467,36074,152963,9460,198500,14489,97159,8476,120121,2798,48631,7413,58840,280701,1546593,102305,1929594,11607,229987,12681,254272,18615,272859,18459,309933,53439,642969,48816,745220,81783,571567,37333,690688,108005,450101,27129,585234,103020,365064,21039,489125,59572,295477,17783,372835,26529,178253,15254,220034,6719,77425,11349,95489,469288,3083704,209834,3762827
SOSR203,481,10169,682,11331,689,11522,884,13088,1840,24669,1783,28291,2559,19351,1289,23205,3338,17270,1188,21800,3544,15891,1079,20512,2499,14422,952,17873,1280,8087,800,10157,364,2902,487,3752,16592,124276,9149,150016,619,9823,662,11105,978,11537,737,13252,3167,24227,1585,28973,4504,19617,1303,25426,5854,17002,1118,23981,6213,16246,980,23437,3843,15964,1076,20876,1549,10040,1041,12629,273,5228,902,6406,26998,129689,9404,166091,1101,19996,1345,22438,1664,23059,1624,26344,5000,48897,3368,57266,7061,38970,2595,48628,9199,34275,2313,45780,9755,32142,2058,43953,6343,30382,2027,38749,2825,18123,1840,22789,640,8126,1391,10152,43590,253966,18551,316110
SOSR211,181,3093,276,3547,223,3067,294,3584,626,7370,719,8713,917,6800,624,8335,807,5033,432,6266,708,4127,333,5168,553,3600,245,4391,257,1577,148,1982,43,396,50,487,4295,35064,3121,42480,243,2787,281,3305,276,2798,249,3319,1113,7667,729,9515,1531,6395,617,8546,1483,4584,411,6478,1262,4170,290,5722,880,3765,261,4900,307,1762,187,2255,34,659,81,780,7131,34588,3098,44812,421,5873,554,6850,499,5866,540,6904,1744,15043,1452,18229,2446,13193,1242,16879,2283,9615,843,12751,1963,8303,617,10892,1430,7360,505,9296,567,3336,336,4235,75,1057,129,1265,11422,69649,6218,87292
SOSR212,289,6990,572,7851,414,6355,509,7275,1109,14514,1170,16783,1728,13384,1090,16199,2152,12699,997,15841,2437,11627,855,14923,1769,10630,775,13180,859,5715,630,7207,230,1880,340,2451,10980,83792,6936,101705,405,6506,505,7411,565,6112,431,7109,1960,14818,1177,17952,3010,13590,1060,17655,4011,12340,873,17225,4269,11812,860,16943,2690,11417,867,14981,1025,6768,825,8611,188,3352,638,4177,18119,86719,7240,112074,693,13495,1079,15267,976,12470,942,14390,3068,29331,2348,34739,4735,26971,2149,33856,6162,25036,1866,33063,6710,23439,1718,31866,4463,22048,1641,28154,1882,12485,1450,15815,416,5237,978,6635,29099,170508,14172,213775
SOSR213,337,6369,483,7189,369,5760,461,6587,1066,13022,1208,15291,1548,11641,993,14183,2106,11176,935,14217,2377,11424,788,14588,1839,11373,818,14037,1056,6636,729,8420,267,2177,449,2897,10964,79578,6863,97402,405,5798,436,6636,538,5417,400,6360,1837,13292,966,16087,2850,11622,886,15359,3676,11215,773,15658,4168,11377,744,16290,2701,12069,876,15650,1166,7903,987,10056,171,3824,833,4820,17518,82512,6897,106926,743,12171,918,13824,909,11174,864,12946,2902,26312,2168,31377,4402,23260,1878,29543,5778,22393,1707,29876,6547,22798,1529,30880,4544,23446,1700,29687,2222,14538,1719,18476,438,5995,1282,7715,28480,162091,13759,204331
SOSR214,187,3340,296,3819,203,3036,203,3443,552,6545,526,7627,840,5876,526,7239,1140,6228,524,7895,1545,7061,603,9208,1238,8318,678,10239,709,5082,606,6397,178,1692,306,2180,6599,47169,4277,58042,224,2987,288,3501,257,2671,174,3105,901,6502,513,7917,1435,5973,504,7912,2087,6252,449,8788,2629,7234,557,10424,1979,8794,726,11496,842,5596,723,7159,137,2845,542,3524,10492,48851,4478,63822,414,6324,587,7320,461,5707,382,6544,1457,13055,1038,15546,2274,11852,1032,15155,3230,12475,975,16679,4175,14296,1162,19633,3217,17107,1412,21732,1554,10670,1326,13555,314,4532,847,5699,17096,96021,8759,121867
SOSR215,302,5127,583,6021,308,4324,412,5036,930,10199,866,11998,1379,9765,931,12071,1831,10298,924,13059,2298,11655,992,14946,1942,12001,1092,15028,917,6667,767,8357,238,2093,382,2708,10150,72121,6947,89222,346,4734,507,5588,373,3872,338,4582,1466,10188,846,12503,2368,9791,877,13034,3196,9903,932,14035,3977,11410,917,16302,2743,11933,1057,15740,1090,7294,934,9321,170,3625,650,4441,15736,72753,7054,95544,651,9865,1094,11608,681,8199,744,9623,2400,20383,1714,24498,3746,19554,1805,25102,5026,20201,1861,27085,6279,23062,1906,31245,4683,23932,2153,30765,2013,13960,1704,17677,406,5713,1033,7150,25885,144877,14007,184765
SOSR221,74,1344,152,1569,89,1077,86,1257,229,2435,194,2858,381,2632,236,3249,550,2962,281,3797,748,3733,350,4832,585,3861,387,4826,245,1839,227,2311,60,478,108,653,2969,20366,2022,25357,92,1280,157,1537,81,940,76,1103,358,2464,186,3016,621,2555,258,3431,953,2832,242,4032,1239,3424,324,4990,766,3415,294,4478,301,1703,235,2240,47,758,196,1002,4469,19371,1984,25825,167,2631,307,3103,170,2020,163,2351,590,4898,382,5867,1006,5189,494,6681,1511,5792,530,7831,1990,7154,676,9819,1353,7276,678,9308,547,3546,462,4555,112,1243,304,1658,7441,39740,4004,51183
SOSR222,42,678,126,848,47,603,87,737,123,1355,165,1640,197,1378,158,1736,321,1677,191,2200,426,2123,215,2760,319,1994,212,2525,122,871,126,1122,24,227,48,298,1627,10909,1329,13866,65,672,99,831,69,532,83,685,199,1294,138,1631,352,1370,149,1872,467,1588,160,2212,675,1932,194,2803,385,1653,145,2187,153,824,129,1106,19,333,62,414,2386,10205,1151,13745,108,1353,226,1684,119,1136,170,1426,316,2649,298,3270,553,2746,304,3606,789,3262,352,4415,1102,4058,409,5566,703,3652,358,4713,276,1699,258,2229,45,560,110,714,4012,21116,2486,27613
SOSR231,708,11585,1461,13752,675,8733,1039,10442,1391,15145,2726,19262,2474,17980,2969,23421,4418,23871,3098,31393,5861,27993,3124,36977,3968,25435,2808,32210,1465,11018,1491,13965,285,2211,433,2926,21245,143971,19141,184354,761,10523,1336,12624,771,7266,720,8759,2192,14655,1550,18401,4090,17375,1959,23422,7371,21639,2370,31378,9123,23781,2597,35508,4989,20349,2150,27492,1459,8553,1308,11317,179,2376,482,3033,30945,126519,14469,171931,1467,22106,2799,26374,1450,15997,1758,19202,3587,29799,4274,37655,6568,35348,4927,46846,11791,45513,5470,62773,14984,51778,5720,72485,8957,45787,4959,59700,2922,19571,2792,25286,463,4585,914,5963,52188,270484,33608,356286
SOSR279,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
SOSR299,6,130,97,234,26,199,127,345,46,506,391,939,56,422,524,1008,81,366,467,912,57,290,295,644,36,225,132,392,5,61,30,90,0,4,6,15,316,2202,2062,4576,12,127,91,229,34,195,92,321,79,485,310,878,82,304,346,730,81,220,181,479,79,229,118,429,23,133,62,224,5,47,7,58,0,13,9,19,394,1754,1219,3373,22,255,187,459,56,392,215,671,128,991,698,1819,136,731,871,1736,157,586,645,1393,139,520,416,1074,60,353,199,613,12,102,37,152,6,17,13,29,714,3955,3282,7946
SOSR301,3082,66065,3828,72975,3686,72810,5475,81963,9334,149897,12682,171915,14334,137978,10122,162430,17508,119100,7802,144404,16627,93984,5576,116187,10862,71422,4167,86446,5443,37470,2952,45868,1371,11333,1649,14350,82250,760047,54247,896541,3552,62744,3545,69837,4712,71980,4751,81441,14703,152880,10651,178233,23918,137894,8335,170143,29398,116210,6170,151775,27088,92304,4758,124148,16103,76278,4171,96551,6312,44170,3898,54379,983,20057,3511,24542,126753,774530,49775,951062,6634,128811,7366,142815,8393,144783,10226,163409,24035,302781,23333,350151,38248,275874,18452,332576,46905,235307,13972,296180,43717,186291,10331,240341,26961,147701,8331,182994,11755,81640,6855,100251,2355,31380,5157,38897,209007,1534576,104026,1847605
SOSR302,972,23745,1539,26252,1029,22671,1898,25595,2712,47947,4780,55437,4493,47625,4021,56143,6237,46888,3752,56883,6377,41170,2915,50456,4797,37588,2643,45031,2928,21786,2061,26774,784,6386,1212,8372,30322,295798,24823,350936,1115,22882,1498,25492,1346,23819,1927,27087,4428,51307,4480,60215,8099,49584,3694,61380,10896,47806,3303,62015,11367,42877,2836,57084,7696,40236,2688,50621,3365,23948,2682,29997,554,9627,2383,12572,48865,312097,25491,386454,2085,46623,3041,51749,2372,46488,3820,52677,7138,99253,9261,115654,12590,97212,7720,117521,17141,94698,7055,118890,17744,84043,5755,107542,12493,77827,5332,95649,6293,45729,4743,56766,1337,16009,3593,20942,79186,607895,50316,737390
SOSR303,637,12386,1212,14238,669,12699,2022,15390,1660,24995,3626,30281,2423,21829,2826,27076,3152,21540,2535,27227,3083,19502,1938,24522,2263,15377,1425,19068,1121,7884,816,9823,306,2249,397,2945,15316,138452,16790,170562,740,12318,1041,14099,850,12608,1329,14789,2744,25677,2763,31188,4337,23108,2225,29667,5276,22040,1856,29172,5184,19169,1509,25862,3241,15853,1213,20310,1389,9212,1018,11627,191,4138,674,5003,23948,144131,13637,181716,1380,24706,2253,28337,1514,25309,3352,30179,4404,50672,6391,61474,6757,44937,5044,56737,8428,43584,4393,56401,8265,38671,3444,50383,5501,31235,2635,39374,2513,17094,1836,21445,500,6388,1064,7954,39267,282588,30421,352278
SOSR311,321,6845,609,7775,339,6194,657,7186,918,12674,1606,15196,1377,11643,1561,14588,1749,11569,1489,14811,2122,12014,1281,15413,1659,11237,939,13837,1013,6613,759,8386,270,2022,399,2694,9770,80811,9301,99888,393,6415,537,7345,442,6115,628,7181,1615,13013,1274,15899,2533,11846,1043,15420,3164,11680,1032,15879,3653,11970,923,16545,2532,11376,880,14790,1134,7677,1011,9823,203,3310,649,4161,15671,83392,7981,107048,718,13261,1142,15119,782,12309,1282,14374,2538,25684,2878,31099,3916,23488,2608,30005,4912,23250,2523,30685,5774,23981,2204,31956,4189,22614,1828,28630,2147,14291,1769,18205,470,5336,1052,6854,25446,164210,17285,206931
SOSR312,124,2527,210,2865,144,2161,202,2507,331,4477,427,5240,511,4308,450,5274,736,4621,457,5819,902,5175,404,6475,796,5345,353,6492,455,3010,280,3741,113,873,122,1107,4111,32501,2900,39514,144,2374,193,2705,179,2053,153,2385,609,4334,385,5328,1013,4223,374,5612,1273,4594,347,6214,1557,5154,358,7065,1147,5390,338,6870,517,3424,341,4282,73,1393,246,1712,6508,32944,2722,42184,265,4901,398,5574,321,4213,356,4896,939,8816,816,10567,1530,8536,821,10884,2010,9217,800,12032,2457,10326,753,13539,1939,10738,689,13363,971,6434,620,8024,184,2266,363,2822,10621,65454,5628,81697
SOSR313,220,4642,416,5279,216,3914,456,4585,563,8990,1173,10724,886,7861,1032,9772,1032,7410,882,9326,1108,7144,738,8991,899,6214,481,7595,476,3483,299,4253,112,946,140,1192,5502,50597,5620,61719,219,4190,344,4754,276,4107,350,4740,1110,9329,925,11362,1748,8119,742,10607,1802,7452,605,9867,1948,7115,529,9590,1282,6316,460,8059,581,3724,394,4700,95,1575,264,1932,9058,51925,4621,65608,443,8826,766,10032,488,8024,808,9324,1670,18319,2101,22086,2631,15976,1774,20381,2840,14862,1489,19187,3052,14261,1266,18587,2185,12526,940,15650,1051,7210,692,8949,204,2523,406,3127,14568,102524,10238,127325
