SOSR_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR101,23396,912,262,1172,24574,11185,143,35893,148,42,15,262,472,3,0,10,478,98,484,1055,85884,16620,7826,1816,112146,2741,627,3364,115514,17519,873,133909,23590,3047,1438,136,28208,540,88,627,28835,2170,47,31053,16532,3912,1210,132,21782,343,62,405,22184,1707,21,23911,2304,573,994,29,3900,57,9,68,3966,310,10,4289,173,34,29,265,499,6,8,18,515,63,68,649,42593,7564,3667,566,54396,937,176,1108,55501,4249,149,59904,564,113,41,9,726,147,17,170,897,90,0,987,627,122,47,16,819,97,57,152,967,119,0,1088,1195,235,92,27,1542,246,75,323,1865,208,0,2076,43787,7797,3756,590,55940,1183,243,1431,57368,4463,152,61981,9489,2569,1411,362,13834,541,184,729,14556,7338,79,21977,65,27,17,126,237,3,0,6,239,43,273,554,53343,10397,5185,1081,70000,1729,431,2156,72159,11844,505,84504,30406,4183,1908,184,36683,756,125,880,37566,3029,48,40641,20200,4959,1470,169,26796,461,85,538,27337,2303,38,29683
SOSR102,3325,98,34,133,3453,831,7,4295,22,7,3,22,56,4,0,4,58,9,56,121,19243,3510,1057,299,24111,335,98,429,24542,1842,119,26497,4985,711,198,38,5929,62,20,79,6006,358,3,6372,5129,938,228,42,6323,62,18,79,6408,322,11,6730,504,132,133,7,776,8,5,14,786,42,0,833,45,8,0,48,105,3,0,3,113,15,15,146,10659,1787,558,130,13137,131,46,175,13314,737,30,14080,57,11,4,0,73,12,0,12,89,16,0,98,117,32,3,0,156,9,8,17,171,10,0,181,171,47,13,3,231,22,8,29,260,19,0,283,10834,1829,569,135,13370,156,45,202,13570,762,28,14363,1569,339,110,29,2052,54,28,81,2132,610,12,2754,10,9,0,13,25,0,0,0,28,7,35,75,12411,2180,679,180,15455,211,71,280,15733,1376,76,17186,6386,952,276,36,7647,116,29,144,7796,473,3,8273,6122,1127,306,44,7594,74,25,93,7690,385,20,8089
SOSR111,637,20,8,26,666,184,0,856,0,4,0,4,11,0,0,0,11,0,6,17,3740,580,114,55,4490,72,16,91,4583,368,20,4966,1043,140,29,9,1218,11,4,17,1235,66,4,1304,956,139,25,3,1123,9,0,16,1133,51,0,1189,59,10,10,0,80,0,0,0,80,5,0,83,5,5,0,12,23,0,0,0,23,0,5,24,2062,291,63,23,2441,24,4,38,2474,122,10,2608,9,0,0,0,12,0,0,0,14,6,0,19,19,5,0,0,30,0,0,0,28,0,0,28,37,8,0,0,41,4,0,4,41,3,0,51,2099,290,63,23,2475,33,4,38,2517,127,10,2653,281,65,12,12,364,11,5,17,382,124,0,510,0,0,0,5,10,0,0,0,9,0,3,13,2379,357,78,40,2851,40,11,54,2903,257,12,3174,1312,139,28,8,1494,15,3,22,1514,65,0,1580,1098,199,31,8,1333,11,4,10,1350,50,0,1403
SOSR112,1437,58,17,75,1509,514,0,2022,8,0,0,3,12,0,0,0,12,0,22,39,9114,1388,311,145,10962,160,59,216,11182,997,56,12227,2725,336,58,10,3139,28,16,36,3176,154,5,3335,2330,412,61,17,2821,27,12,35,2859,154,5,3012,157,37,32,5,224,5,0,5,229,17,0,245,27,3,0,22,53,0,0,0,49,9,6,61,5238,788,155,57,6236,51,27,73,6307,326,15,6649,26,11,3,0,36,8,0,10,46,5,0,55,43,6,0,4,51,7,4,9,64,12,0,75,67,18,8,4,95,13,7,22,112,17,0,135,5310,806,160,58,6331,66,31,96,6425,342,16,6785,682,146,37,23,885,43,7,51,931,359,5,1295,8,0,0,0,9,0,0,0,9,3,27,38,5995,950,194,82,7224,109,36,143,7371,701,49,8122,3588,420,70,21,4099,26,8,35,4133,203,7,4343,2557,459,71,24,3105,18,14,35,3140,182,0,3323
SOSR113,654,30,13,44,696,233,0,933,12,3,0,0,14,0,0,0,14,0,11,30,3575,611,146,82,4419,76,28,106,4519,471,25,5021,940,130,37,6,1120,24,0,24,1141,60,0,1205,977,175,30,6,1184,7,0,7,1192,80,0,1279,65,16,8,0,90,4,0,4,95,6,0,96,9,5,0,19,29,0,0,0,29,6,5,38,1994,321,73,31,2417,36,0,35,2454,154,9,2621,19,5,0,0,24,4,0,4,29,5,0,34,25,4,0,0,30,4,0,8,36,5,0,42,45,6,0,0,51,12,0,11,66,8,0,78,2037,328,77,37,2474,44,3,46,2522,164,9,2694,290,76,14,10,388,15,8,18,413,176,0,588,4,0,0,3,4,0,0,0,4,3,13,21,2329,403,87,44,2868,57,8,63,2941,343,18,3305,1191,144,40,8,1383,16,3,21,1400,85,0,1486,1077,191,41,5,1313,13,0,13,1332,110,0,1442
SOSR114,800,14,6,14,818,247,0,1063,0,0,0,3,5,0,0,0,15,3,23,34,4685,778,165,91,5713,61,21,87,5804,507,33,6347,1277,170,46,6,1495,15,4,21,1516,79,3,1598,1178,180,31,12,1398,12,3,17,1415,65,4,1480,70,12,16,0,97,0,0,0,97,5,0,103,17,0,0,20,34,0,0,0,34,6,4,42,2541,361,90,36,3032,29,6,38,3071,153,8,3228,17,0,0,0,20,8,0,8,22,0,0,27,33,6,0,0,36,6,4,11,51,0,0,50,44,9,0,0,56,17,4,19,69,3,0,76,2588,373,90,36,3086,46,9,56,3140,155,8,3305,320,63,12,11,412,13,0,9,423,152,0,577,5,3,0,0,7,0,0,0,8,4,19,26,2907,439,109,46,3504,56,13,67,3569,311,25,3905,1497,178,54,14,1741,11,5,18,1763,117,4,1881,1237,212,35,9,1493,8,5,14,1505,97,3,1609
SOSR115,1033,38,4,44,1077,313,3,1389,16,0,0,7,29,0,0,0,29,5,28,54,6163,1127,298,147,7741,112,36,143,7883,675,42,8605,1658,229,61,5,1954,19,5,24,1979,101,3,2081,1545,340,65,28,1976,20,5,21,2001,140,3,2142,106,40,34,0,178,0,0,0,181,15,0,199,21,4,0,34,50,0,0,0,54,0,3,58,3323,616,161,66,4166,39,11,55,4214,256,11,4485,25,0,0,0,30,4,3,5,30,8,0,44,28,3,0,0,28,3,0,5,34,8,0,39,51,3,0,0,58,7,5,9,65,12,0,81,3379,617,161,67,4219,44,12,62,4279,269,11,4565,463,110,35,24,627,14,7,22,652,256,0,910,9,4,0,8,18,0,0,0,18,3,16,37,3844,733,197,100,4868,65,25,85,4955,531,32,5511,2068,274,81,15,2437,18,15,29,2464,156,5,2624,1684,339,68,26,2113,20,6,27,2136,118,3,2265
SOSR121,308,14,0,14,323,100,3,421,6,0,0,4,9,0,0,0,9,5,10,24,1927,390,79,47,2435,27,13,37,2478,235,17,2730,529,78,17,4,636,8,6,12,647,39,5,688,543,122,10,4,682,11,0,10,689,45,0,736,39,12,9,0,51,4,0,4,56,3,0,62,3,0,0,4,14,0,0,0,14,0,0,9,1111,205,43,19,1377,17,10,25,1406,96,5,1500,11,6,0,0,11,6,0,6,13,0,0,13,17,0,0,0,17,0,4,4,20,0,0,21,27,6,0,0,33,6,4,3,39,0,0,39,1139,213,46,19,1409,21,13,29,1444,97,5,1540,135,41,3,12,187,4,0,9,191,70,0,262,0,0,0,3,9,0,0,0,9,0,6,16,1273,252,48,29,1606,23,11,41,1641,169,7,1821,703,98,20,5,824,3,3,11,835,54,0,891,569,144,15,3,736,11,3,10,747,53,0,806
SOSR122,146,3,0,3,158,75,0,236,3,0,0,0,3,0,0,0,3,0,5,3,798,146,39,32,1015,11,8,19,1034,130,4,1175,224,39,11,4,276,4,6,3,277,22,3,301,217,47,12,6,278,0,0,0,283,23,0,305,22,7,3,3,34,0,0,0,34,6,0,37,0,6,0,0,7,0,0,0,5,0,0,5,469,89,20,15,592,5,6,10,605,47,3,652,0,6,0,0,7,0,0,0,7,0,0,7,4,0,0,0,5,0,0,0,6,0,0,6,8,6,0,0,7,0,4,4,11,0,0,11,479,91,22,15,601,5,8,11,616,47,3,668,80,15,3,3,101,4,0,4,110,55,0,162,3,0,0,0,0,0,0,0,0,0,3,4,553,107,26,22,708,8,10,18,724,97,5,830,269,23,11,0,304,0,0,0,309,24,3,332,205,41,13,0,259,7,0,7,267,19,0,291
SOSR131,2124,48,21,60,2184,612,11,2805,14,8,0,21,40,0,0,0,40,3,77,128,13381,1983,561,323,16254,158,52,211,16465,1242,130,17837,4047,434,95,33,4613,38,5,43,4653,175,5,4834,3546,641,126,46,4363,39,12,47,4411,207,15,4634,226,53,67,3,349,0,0,4,354,31,3,388,54,5,7,77,141,4,0,8,152,6,9,168,7874,1132,297,161,9465,75,24,107,9562,422,37,10020,22,9,0,0,28,7,0,10,41,5,0,47,58,12,0,0,71,3,4,6,78,12,0,88,82,19,0,0,103,15,4,15,119,20,0,133,7952,1148,300,162,9566,90,25,117,9684,440,37,10160,1003,219,74,53,1341,22,4,33,1370,456,12,1845,14,0,0,4,21,0,0,0,24,3,54,83,8968,1368,370,222,10925,116,37,153,11080,902,108,12086,5061,591,138,39,5834,51,8,54,5886,291,4,6191,4056,784,141,44,5021,41,10,53,5068,260,8,5339
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,21645,728,223,952,22596,5134,114,27843,168,55,3,225,459,14,0,15,475,47,431,949,93811,14949,2108,1703,112568,2420,608,3032,115604,9355,769,125725,22971,2844,392,99,26300,479,110,594,26898,1387,31,28317,23159,3870,439,162,27624,395,75,468,28097,1284,39,29418,1116,203,189,7,1510,28,7,37,1552,121,3,1674,218,29,12,246,505,15,9,19,528,44,51,623,47463,6940,1034,508,55951,924,198,1118,57069,2832,126,60030,511,105,19,11,648,105,11,117,765,80,0,851,856,169,15,24,1063,100,70,165,1232,114,9,1349,1373,271,33,31,1712,204,79,286,1996,197,8,2197,48841,7212,1065,544,57660,1122,283,1404,59064,3033,135,62236,9801,2383,288,318,12789,453,149,594,13379,3610,78,17067,76,31,3,104,209,0,0,0,212,22,234,467,58720,9622,1350,964,70655,1578,426,1999,72657,6661,448,79770,30898,3805,573,122,35401,649,115,769,36165,2022,52,38246,29372,5048,568,196,35190,491,121,614,35800,1786,30,37618
SOSR203,1232,29,9,38,1274,293,0,1570,7,7,0,6,14,0,0,0,14,0,33,43,7087,1070,158,74,8390,105,25,128,8518,594,43,9160,1693,209,32,7,1946,23,5,27,1977,91,3,2069,2154,278,31,12,2479,23,8,35,2510,103,3,2613,117,12,13,0,141,5,0,3,147,17,0,159,17,3,0,17,36,0,0,0,36,5,4,46,3979,503,77,37,4594,51,20,67,4665,206,11,4886,22,4,4,0,33,5,0,5,36,4,0,46,68,6,0,0,77,6,0,6,82,3,0,83,89,11,4,0,109,15,0,15,119,10,0,134,4073,518,77,38,4704,64,20,79,4787,222,11,5017,574,128,21,14,740,19,3,21,760,217,0,978,6,0,0,3,12,0,0,0,12,0,14,23,4650,647,100,57,5455,83,20,109,5558,439,21,6024,2306,282,43,5,2636,29,13,43,2677,129,5,2808,2503,362,41,12,2924,27,7,40,2957,116,6,3074
SOSR211,737,29,9,40,780,179,0,960,13,0,0,6,15,0,0,0,15,0,16,35,2229,406,70,52,2755,74,29,102,2860,309,27,3193,539,67,6,0,620,6,4,18,635,40,0,673,417,91,12,8,528,8,0,8,535,48,0,575,33,7,0,0,36,0,0,0,36,6,0,41,5,0,0,5,14,0,0,0,14,0,0,16,994,160,27,10,1195,18,4,23,1216,89,4,1309,17,10,0,0,23,7,0,7,33,9,0,40,20,8,0,0,35,7,0,3,37,5,0,34,37,18,0,0,52,15,0,11,68,9,0,72,1031,179,27,10,1250,30,5,32,1286,97,4,1383,273,68,12,15,371,16,4,21,399,134,4,533,0,0,0,0,4,0,0,0,4,0,10,17,1305,249,41,25,1623,45,11,57,1678,238,16,1937,646,76,9,4,734,14,7,17,752,48,0,806,540,92,18,13,663,17,0,21,681,48,0,726
SOSR212,939,28,12,38,980,272,0,1251,4,3,0,3,16,0,0,0,16,6,27,45,5417,789,158,108,6466,84,41,124,6591,481,42,7110,1384,170,17,13,1583,14,9,25,1607,78,0,1690,1583,204,30,13,1826,16,7,25,1852,57,3,1908,76,15,18,0,107,0,0,0,108,8,0,120,6,4,3,24,37,0,0,0,37,4,4,40,3051,391,65,45,3556,36,14,48,3604,146,11,3754,25,4,0,0,26,7,0,7,34,0,0,36,26,5,0,0,34,8,0,8,37,0,0,37,51,10,0,0,59,13,0,13,73,4,0,73,3096,396,70,44,3611,43,14,62,3673,149,11,3830,397,91,8,22,520,19,8,24,545,223,5,771,3,0,0,4,5,0,0,0,5,0,21,28,3506,493,78,69,4140,62,22,83,4227,375,31,4634,1753,222,35,3,2014,19,4,24,2040,103,0,2146,1839,247,39,15,2140,20,8,24,2162,71,0,2235
SOSR213,846,23,4,23,869,189,0,1059,4,0,0,0,11,0,0,0,11,0,16,24,4674,666,121,94,5551,74,24,96,5651,398,24,6071,1109,131,21,4,1263,10,7,19,1283,65,0,1353,1392,197,36,11,1639,27,0,25,1665,60,5,1727,70,16,15,0,99,0,0,0,104,7,0,111,13,5,0,8,18,0,0,0,24,0,5,30,2581,351,70,28,3023,44,8,56,3075,133,6,3216,8,0,0,0,12,3,0,3,15,8,0,16,32,0,4,0,32,7,0,8,44,3,0,43,39,0,7,0,42,6,0,11,55,10,0,62,2620,353,70,28,3069,48,10,63,3129,143,6,3276,392,72,18,8,490,18,3,21,514,122,4,643,8,0,0,5,14,0,0,0,14,3,8,21,3012,427,87,42,3575,69,14,84,3654,263,19,3942,1491,143,32,13,1671,19,0,21,1699,90,0,1787,1709,245,50,23,2024,21,5,28,2050,78,0,2130
SOSR214,383,5,0,4,389,101,3,496,3,0,0,0,6,0,0,0,6,0,16,21,2237,397,66,54,2752,27,14,42,2800,236,26,3055,566,65,14,7,659,9,3,7,669,31,0,698,686,131,28,8,853,3,0,3,860,52,0,904,35,7,11,0,60,0,0,0,60,6,0,60,3,0,0,10,16,0,0,0,16,0,0,18,1296,207,52,31,1583,10,3,14,1595,86,0,1685,9,3,0,0,17,0,0,0,16,0,0,16,12,5,0,0,14,0,0,0,16,0,0,16,20,3,0,0,28,0,0,0,29,0,0,33,1321,207,52,30,1609,12,3,16,1627,89,0,1717,182,35,11,7,227,4,0,4,230,70,0,306,5,0,0,0,5,0,0,0,5,0,9,11,1501,240,63,37,1839,16,3,20,1857,158,17,2036,757,81,18,8,859,16,0,17,878,45,0,921,822,164,30,7,1020,8,4,6,1030,49,0,1078
SOSR215,701,12,3,16,719,186,3,908,9,0,0,3,9,0,0,0,9,0,20,32,4262,617,135,120,5126,47,22,65,5192,383,31,5606,983,117,28,5,1140,11,0,11,1147,59,0,1205,1257,193,34,14,1498,8,5,13,1511,68,4,1583,76,16,19,0,107,0,0,0,107,8,0,116,11,0,0,32,48,0,0,0,48,5,0,54,2322,328,80,49,2786,22,5,26,2815,135,4,2952,8,4,0,0,16,3,0,3,20,7,0,21,27,3,0,0,27,0,0,0,26,7,0,37,34,4,0,0,44,6,0,5,47,13,0,62,2359,335,84,53,2827,25,7,33,2862,151,4,3016,355,64,10,11,443,5,12,12,455,113,0,566,8,0,0,5,7,0,0,0,7,0,17,24,2717,403,89,71,3278,31,15,43,3326,260,26,3606,1228,128,19,9,1388,10,0,12,1401,81,0,1480,1458,244,28,31,1763,7,6,12,1769,110,3,1879
SOSR221,222,3,0,8,227,54,0,283,0,3,0,0,3,0,0,0,8,0,0,12,1208,184,47,29,1467,16,6,20,1492,110,4,1605,274,45,0,3,332,5,3,5,334,31,0,361,374,51,6,6,439,3,3,5,443,19,0,457,20,5,4,0,30,0,0,0,30,0,0,32,6,0,0,3,10,0,0,0,10,0,0,10,674,96,13,11,804,8,3,11,811,47,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,7,0,0,6,680,99,17,11,807,8,3,11,820,52,0,865,101,21,0,5,123,0,0,0,126,31,0,153,0,0,0,0,6,0,0,0,6,0,4,6,779,121,18,21,939,7,3,13,948,75,4,1031,351,48,14,0,415,0,0,0,417,38,0,451,407,70,10,8,494,5,3,12,500,38,0,535
SOSR222,102,4,0,4,106,26,4,136,0,0,0,0,0,0,0,0,0,0,4,7,578,118,25,10,728,11,0,11,745,64,8,817,143,20,5,0,165,4,0,9,170,10,0,181,177,32,0,4,222,3,3,3,223,3,0,228,14,4,0,0,14,0,0,0,14,4,0,18,3,0,0,8,9,0,0,0,9,0,0,12,334,53,7,9,407,7,0,9,414,20,0,436,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,7,4,0,9,5,0,0,0,7,0,0,0,13,4,0,10,345,53,7,9,417,10,5,10,425,22,0,453,39,7,4,0,54,0,4,5,61,22,0,84,0,0,0,0,0,0,0,0,0,0,8,8,383,67,14,14,470,12,7,17,489,49,9,547,186,17,5,0,212,0,3,3,216,10,0,226,184,44,7,7,234,0,0,6,241,8,0,251
SOSR231,1566,28,8,37,1595,311,13,1924,14,4,0,9,27,0,0,0,33,0,52,83,10167,1312,312,278,12069,109,25,134,12204,700,86,12996,2755,268,52,17,3097,15,4,18,3117,118,4,3243,3210,452,76,41,3784,34,4,36,3819,170,3,3987,151,20,36,3,215,3,0,5,218,19,0,235,45,10,0,85,135,0,0,0,141,14,6,156,6167,754,168,153,7231,49,12,60,7293,322,12,7626,23,4,4,0,26,4,6,7,31,4,0,40,52,10,0,0,62,3,0,3,66,0,0,72,69,16,3,0,90,11,6,12,100,12,0,111,6239,763,167,153,7319,58,12,69,7393,336,12,7737,757,133,29,36,958,14,4,16,973,215,9,1189,19,0,0,4,27,0,0,0,27,4,39,69,7011,900,204,192,8304,73,20,84,8391,552,59,8999,3590,382,77,37,4082,32,8,40,4120,192,9,4320,3849,632,92,44,4612,24,7,31,4648,167,4,4822
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
