SOSR_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,656,648,201,16,264,298,65,213,1342,60,722,2790,464,5912,28,26,16,0,12,12,0,12,36,4,32,138,13,257,40,25,18,0,20,25,3,17,48,10,47,207,13,367,10,14,4,0,8,5,3,5,11,0,15,136,7,193,21,11,6,0,8,5,6,5,9,6,10,76,8,127,8,9,0,0,3,7,0,5,21,0,3,71,4,110,6,8,0,0,10,0,0,0,25,0,14,164,11,227,8,0,0,0,7,5,0,0,12,0,12,169,8,198,0,3,4,0,6,7,0,0,10,0,9,101,5,128,11,11,0,0,6,3,0,0,27,0,13,125,8,182,3,3,0,0,4,0,0,0,15,0,8,72,3,109,137,108,54,5,84,75,18,49,208,20,160,1246,89,1901,20,14,7,0,7,20,0,12,31,4,18,53,3431,3558,813,776,260,27,365,387,85,268,1585,79,894,4089,3980,11371,116,215,44,4
SOSR201,180474,265333,68244,13656,82080,78751,18707,33221,274743,19083,220735,1745090,99226,2696611,6451,9731,2383,364,6061,3346,892,1133,7704,838,7195,65296,3444,100601,21937,13619,8321,2429,10134,10669,2083,4659,14846,2599,15335,78527,4629,148758,7628,3682,3142,1292,3729,4487,868,1522,4415,1108,5853,34499,1822,59286,45554,11524,13054,7983,31088,24030,5746,6013,20526,6499,28247,102896,7890,222137,10950,6678,2709,1073,11177,5904,1815,1336,8863,1337,13285,84361,4514,128693,11722,15994,4707,1262,18402,6471,2251,1297,9775,1974,22448,212514,7835,290049,4884,4976,3191,825,8747,4047,1235,833,5204,1042,12702,183040,3471,222689,10508,11997,2855,882,23097,7774,1936,1123,8083,1282,15911,309265,8234,379935,4212,4617,1512,296,2704,1589,437,453,5816,400,5361,45410,1543,65831,4185,4527,1549,351,4653,2079,521,512,4146,482,5245,48902,2212,70956,128029,87340,43420,16752,119796,70389,17788,18870,89381,17548,131581,1164715,45600,1688934,4791,2080,1491,872,2803,2468,667,984,2834,730,2644,15028,172262,199995,313289,354757,113157,31282,204677,151612,37163,53075,366957,37362,354960,2924830,317085,4585537,93008,192524,36866,513
SOSR203,31585,36997,10196,2429,14845,13529,3146,6684,43668,3541,30495,173437,12279,309928,439,428,145,22,241,181,48,93,486,44,413,2302,113,4036,2162,1175,717,238,1066,1051,206,568,1380,230,1361,4926,397,11028,947,360,345,143,473,597,99,232,464,132,546,1903,144,4377,1511,391,442,305,1113,869,188,238,739,231,923,3083,241,7049,105,102,20,9,118,53,15,18,136,23,204,1638,49,2219,295,393,113,18,416,148,47,40,272,40,567,6526,221,8487,58,83,38,16,100,54,8,7,77,7,165,3028,51,3572,139,255,57,22,425,137,39,22,178,17,345,10028,223,11488,180,205,73,10,92,55,21,34,274,17,218,1506,48,2335,119,152,47,9,84,60,14,17,199,10,195,1824,68,2552,5957,3542,2004,791,4128,3197,691,1269,4208,766,4932,36777,1564,57143,779,431,243,93,376,364,99,212,466,124,331,1483,15800,19166,38325,40967,12442,3309,19346,17093,3932,8161,48346,4433,35761,211696,29636,386231,10839,20120,3468,57
SOSR211,6746,9854,2014,341,3795,2870,791,1685,10638,732,7434,45534,3182,77903,206,280,68,9,274,108,43,51,185,32,205,2693,146,3823,643,299,215,51,350,289,66,189,342,65,349,1011,85,2643,250,96,79,27,161,164,29,77,106,33,148,462,37,1127,638,189,199,72,492,348,103,121,381,94,404,1317,119,3029,98,82,13,7,139,48,13,14,85,11,106,1442,48,1881,146,305,57,11,287,72,41,8,131,30,314,3481,137,4667,24,11,13,3,32,11,6,3,21,8,35,461,4,591,141,210,37,6,423,96,27,15,157,15,309,7288,166,8547,95,84,18,5,75,24,9,11,83,8,100,452,31,807,41,78,17,3,98,22,3,9,64,6,113,1737,67,2148,2279,1631,722,192,2332,1186,337,504,1555,298,2073,20346,847,29256,175,106,32,16,94,78,19,56,133,23,96,398,6191,7025,9198,11602,2769,545,6223,4131,1150,2244,12327,1051,9595,66278,10219,114187,2734,5413,777,20
SOSR212,21450,23922,7020,1464,9901,9481,2261,4451,24643,2342,19019,121702,8678,210153,340,408,108,23,258,159,38,68,317,58,302,2440,148,3974,1623,782,602,176,812,790,182,410,912,207,945,3577,290,8001,575,226,209,89,286,288,73,126,279,69,309,1461,93,2968,917,262,250,175,653,484,123,168,430,148,521,1786,148,4115,195,129,46,14,208,110,32,25,196,27,212,1361,71,2103,179,254,41,8,226,76,36,15,153,25,255,4522,204,5635,42,43,19,3,48,13,5,7,45,5,57,1645,30,1893,163,162,36,20,374,113,35,18,132,16,303,5755,182,6966,105,123,50,12,63,37,11,15,152,10,124,981,37,1499,100,96,29,10,85,51,9,10,102,6,151,1564,56,2080,4230,2487,1388,532,3008,2124,540,866,2716,562,3188,25083,1266,39248,555,276,156,89,301,304,84,148,320,89,224,1120,12652,15134,26239,26685,8564,2079,13207,11905,2881,5463,27687,2992,22428,147917,22595,264540,7579,13051,2437,34
SOSR213,23474,23083,7316,1692,10887,10038,2419,5360,25792,2624,19610,112741,8984,203751,378,347,129,14,228,168,42,97,361,42,243,1727,139,3105,2160,911,670,232,1001,1024,211,557,1023,271,1164,3481,323,8807,744,239,259,105,402,476,92,204,329,106,431,1301,122,3260,870,264,254,122,615,475,112,151,368,107,469,1413,177,3650,52,41,14,6,50,37,7,13,47,6,72,594,73,897,156,221,45,9,251,68,28,18,159,21,229,3346,207,4394,32,29,12,4,29,18,5,3,33,0,67,1231,43,1455,95,121,34,9,214,75,23,12,70,7,154,3393,94,4057,130,135,54,15,83,59,5,19,159,9,161,722,29,1296,121,111,46,5,104,52,11,14,123,14,131,1042,46,1575,4741,2422,1517,519,2979,2454,541,1080,2668,591,3114,18248,1245,32495,738,334,186,113,355,382,92,208,428,112,341,1206,11207,14169,28964,25841,9018,2321,14219,12874,3053,6650,28897,3327,23070,132203,21440,250413,7432,11789,2219,36
SOSR214,15944,13039,4981,1297,7098,7130,1496,3532,14982,1779,11518,62514,4766,117075,251,198,87,19,130,128,31,70,228,37,190,1066,66,1958,1483,635,474,160,706,743,139,408,695,166,735,2148,204,5798,445,157,153,67,248,289,56,122,198,71,255,826,81,2028,527,133,149,93,382,322,67,87,222,72,257,950,90,2286,39,15,22,0,46,21,4,7,35,0,34,225,21,375,80,98,23,5,82,41,12,9,73,3,105,1516,65,1967,15,20,11,0,18,4,0,3,15,8,24,725,10,826,60,56,20,0,119,47,17,6,34,3,66,1619,39,1953,93,65,37,4,61,29,15,20,73,10,68,394,21,691,70,53,26,5,35,29,7,10,43,3,76,354,29,617,3060,1430,993,364,1828,1655,349,750,1618,381,1801,9833,630,18506,560,250,157,71,255,246,65,135,306,73,237,997,7310,9621,19561,14722,6135,1729,9180,9033,1906,4417,16908,2236,13554,73345,12706,145199,4470,6199,1367,31
SOSR215,22145,20028,7189,1774,9819,9941,2182,4960,21359,2440,16826,103087,6982,183115,426,324,126,16,239,197,48,85,292,47,287,1804,103,3192,2078,911,727,198,1004,1019,191,515,1064,256,1076,3707,279,8986,629,220,237,91,336,373,68,148,234,101,343,1479,110,3184,561,159,175,86,399,311,65,116,225,91,285,996,103,2408,61,32,14,10,54,33,7,11,41,11,38,242,13,426,116,142,44,8,133,50,15,11,98,12,159,2264,170,3006,23,16,9,0,17,14,4,0,14,0,31,550,14,660,63,52,7,5,113,52,9,5,40,11,58,1427,48,1755,153,103,47,7,69,64,10,28,118,8,124,720,21,1189,83,71,40,3,66,47,8,21,86,3,92,628,18,996,4193,2026,1411,424,2427,2154,426,935,2207,545,2487,13820,871,25794,777,407,236,85,373,380,92,201,401,93,316,1672,12187,15772,27114,22451,8836,2285,12618,12470,2697,6096,23972,3076,19630,118578,20045,224681,6953,10022,2252,38
SOSR221,6381,5412,1897,377,2657,2642,531,1414,5869,610,4441,28450,1791,50276,128,93,36,7,71,54,14,23,83,6,77,417,17,815,661,257,199,38,281,310,42,147,302,71,335,1098,82,2690,188,59,58,9,97,98,22,51,68,19,90,371,28,836,146,45,39,25,95,82,19,33,62,16,76,279,17,642,6,9,0,0,10,3,0,0,8,0,11,63,0,98,27,27,14,0,33,15,0,0,23,4,43,442,20,591,4,10,0,0,5,6,0,0,4,0,6,122,4,155,21,14,5,0,25,9,0,4,8,0,22,251,10,340,48,29,26,6,18,19,3,5,35,4,39,180,13,333,21,19,6,5,16,14,3,4,24,0,27,182,4,284,1257,566,382,81,661,616,103,262,618,132,724,3411,200,6792,243,107,58,19,105,111,20,59,125,31,89,526,3483,4556,7881,6085,2335,483,3417,3370,657,1743,6613,778,5256,32390,5480,61615,2167,2732,594,12
SOSR222,3305,2839,982,154,1397,1338,279,774,3127,347,2377,15090,980,26650,72,56,19,5,28,23,6,20,56,8,35,197,17,403,286,130,101,11,114,142,22,87,120,22,159,574,53,1285,92,24,29,3,35,55,8,18,35,12,40,217,9,437,54,22,21,6,34,33,9,8,23,8,37,136,14,305,6,0,6,0,11,4,0,4,8,3,6,25,0,53,15,25,9,0,9,10,0,0,6,0,23,305,12,391,3,9,0,0,3,0,0,0,4,0,3,105,0,128,13,4,6,0,6,10,0,4,8,0,3,109,0,141,19,18,12,0,10,9,0,7,22,0,27,122,6,212,16,9,9,0,11,8,0,0,6,4,7,60,4,108,572,303,202,29,265,294,43,156,289,57,347,1852,122,3473,116,76,38,3,60,62,9,30,78,17,57,364,2243,2929,3993,3215,1216,188,1720,1694,335,953,3490,421,2781,17309,3343,33052,1199,1463,369,4
SOSR231,35837,32307,12091,1206,14543,14962,2863,6721,30620,3227,26726,214262,15090,348928,646,515,232,23,275,290,54,146,472,67,476,3242,339,5680,2898,1313,975,140,1248,1308,227,640,1420,317,1576,6921,502,14529,972,306,392,87,450,544,117,236,362,124,563,3043,181,5793,1284,349,375,136,917,711,139,211,438,171,644,2719,332,6101,101,52,36,0,91,60,10,11,55,13,77,501,140,951,156,189,51,6,156,66,18,22,98,13,191,3163,373,4260,39,40,16,4,45,13,6,6,34,6,69,1021,89,1320,94,97,29,8,141,76,16,12,51,5,99,1167,109,1712,217,162,82,12,82,96,18,37,180,18,219,1322,97,2156,173,125,67,7,67,66,13,24,111,18,152,1185,104,1840,6569,3148,2242,429,3485,3228,614,1333,3225,753,4069,24286,2266,44333,1173,584,367,66,503,531,116,265,645,131,514,3647,28992,35642,43580,36040,14708,1693,18530,18714,3598,8318,34490,4107,31306,242190,46350,428903,17430,19048,5904,158
SOSR279,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0
SOSR299,390,581,108,17,161,170,56,117,1246,49,608,1841,388,4283,12,21,7,3,10,11,0,9,29,4,19,101,13,179,23,25,5,0,13,17,0,6,33,0,22,109,16,206,7,5,4,0,5,0,0,3,16,0,12,75,4,111,23,5,6,0,10,3,3,6,20,3,16,52,5,104,9,11,0,0,10,9,0,9,17,0,17,70,4,108,6,6,0,0,5,0,0,0,17,0,21,154,12,207,0,4,3,0,4,0,0,3,9,0,10,64,7,94,6,7,0,0,8,0,0,0,21,0,13,120,8,165,7,7,0,0,3,0,0,0,21,0,10,70,4,110,0,3,0,0,5,3,0,0,16,0,12,61,7,96,93,88,31,4,63,53,10,31,202,16,144,878,68,1379,12,15,10,3,6,7,6,9,26,5,10,45,3334,3431,490,684,148,23,229,234,70,154,1470,68,769,2768,3785,9089,87,155,26,3
SOSR301,125020,162248,45641,9666,61634,58567,12849,29505,189338,12903,148578,932268,58815,1540554,10916,12130,3930,758,8812,5597,1374,2349,10148,1371,10395,83806,5141,133920,14927,8692,5400,1511,6940,7286,1439,3698,10608,1691,11121,53296,3392,101023,3832,1905,1611,572,1896,2296,428,950,2475,543,3201,18189,872,30905,4493,1366,1505,849,2838,2646,564,753,2643,620,3550,19538,1054,33320,945,950,267,94,1044,619,183,132,1149,116,1711,16135,715,21739,3771,4055,1417,366,4854,2002,652,485,3070,564,6729,59506,2235,81728,1485,1642,1154,239,2565,1390,373,255,1819,304,4652,69384,1262,83004,1982,2299,558,169,4380,1570,340,277,1614,277,3430,65019,1652,79182,2055,2164,767,158,1193,852,209,294,2987,200,2972,26117,777,36492,2345,2460,990,155,1789,1264,261,356,2904,213,3301,33132,1267,45971,46760,37666,17589,4866,36308,25524,5822,9542,39405,5901,51061,444129,18354,647291,2157,1186,642,394,1179,1245,341,666,1365,340,1243,6002,88431,100053,173937,201101,63871,14930,99119,85336,19010,39707,230104,19141,200878,1382402,165603,2287896,56497,106581,21380,262
SOSR302,55390,53709,20600,4847,20307,24374,5207,12276,60145,5914,51560,371959,24897,600761,6201,5309,2413,449,2554,2791,606,1427,4633,716,4512,37213,2414,60788,8511,4215,3172,982,3112,3879,755,1974,4659,952,5549,30692,1995,56162,2121,780,848,328,836,1224,197,482,990,319,1480,8962,462,15326,2254,616,783,435,1233,1256,283,393,1146,320,1585,9381,553,15929,458,272,158,57,362,270,71,87,324,61,475,3212,136,4901,906,895,349,72,853,394,110,123,662,108,1153,12813,480,17277,487,406,301,72,610,301,89,79,451,89,1166,18733,400,22302,374,382,123,35,625,274,57,69,243,44,491,11382,285,13575,920,995,399,87,420,414,73,164,1149,113,1132,14318,511,18954,1110,917,511,76,579,545,96,179,1062,95,1330,11193,445,16360,23347,14796,9058,2613,11181,11341,2333,4964,15306,2811,18873,157899,7692,241569,1125,447,381,255,439,554,154,325,589,196,582,2786,43929,49465,79862,68958,30044,7717,31926,36264,7687,17570,76044,8923,71014,532643,76520,891797,23337,35265,8844,143
SOSR303,30440,30587,10223,2638,15388,13915,3258,6794,37928,3202,29733,195378,14095,325682,1380,1130,562,96,949,677,177,321,1223,162,1185,9093,540,14779,2417,1118,933,263,1061,1180,285,614,1503,311,1674,7461,456,14612,761,288,322,102,341,408,82,183,407,130,567,3342,178,5681,550,150,182,129,280,261,64,105,272,80,400,2016,113,3530,118,100,47,23,153,93,27,22,140,23,312,3363,80,4192,468,404,166,37,599,205,72,49,328,57,747,7615,324,10211,105,100,97,11,153,63,21,14,144,17,272,5158,89,6042,194,230,81,16,459,158,38,29,164,33,427,7498,238,9107,278,246,116,21,154,117,26,52,351,35,366,3005,104,4290,305,254,117,21,195,144,25,46,369,35,417,4660,155,6249,6595,4019,2621,712,4351,3313,814,1429,4901,874,6357,53217,2277,78692,568,259,158,169,319,329,76,142,320,107,274,1486,27985,30931,37599,34859,13011,3522,20055,17552,4153,8367,43152,4187,36366,250081,44362,435301,12454,17784,4173,77
SOSR311,24536,21023,7525,2019,12052,11803,2679,6530,24509,2818,19320,111935,8506,200816,958,663,356,55,454,497,111,321,683,125,630,3934,250,7074,1957,716,639,206,898,933,216,654,969,225,1100,3350,289,8215,517,148,177,94,244,297,45,150,215,85,308,1172,94,2531,317,72,120,59,228,204,64,74,142,51,178,721,60,1574,34,16,14,0,31,24,9,9,26,6,40,361,13,495,285,251,79,10,295,106,38,33,154,26,300,4346,217,5711,36,26,17,0,28,24,0,8,35,7,67,1553,35,1782,71,96,16,3,154,43,7,11,61,11,123,2756,61,3278,140,101,53,15,79,67,15,38,134,16,132,990,43,1509,192,169,57,13,109,102,16,44,179,15,214,2076,80,2958,4511,2266,1529,464,2513,2299,528,1340,2599,563,3088,21253,1144,35127,589,265,154,126,290,330,82,191,301,92,225,942,15418,17758,29644,23551,9213,2614,14852,14433,3295,8062,27404,3468,22628,134131,25070,253701,7188,10284,2168,50
SOSR312,10486,8643,3317,839,4816,4707,1080,2785,10674,1087,8492,40741,3231,77256,538,314,175,26,245,265,60,146,369,54,349,2023,137,3703,1118,402,394,115,448,532,108,310,504,123,644,1934,134,4626,258,69,97,42,127,154,25,69,113,35,155,558,40,1247,137,43,43,18,80,78,19,31,53,17,84,302,16,644,16,4,7,0,12,10,4,11,10,0,13,107,8,164,115,80,32,12,120,37,16,10,71,18,121,1356,75,1875,24,18,12,0,14,7,4,7,16,0,21,298,0,380,17,18,3,0,48,25,12,7,9,0,33,716,19,864,64,51,24,5,29,28,9,21,63,4,68,413,15,655,82,48,33,5,64,49,6,16,82,11,83,700,32,1061,2364,1040,834,227,1189,1177,248,622,1286,261,1572,8409,468,15219,345,160,102,34,151,167,42,119,193,49,124,482,4774,6002,13191,9843,4251,1097,6156,6054,1375,3525,12147,1394,10188,49639,8471,98469,2801,3743,817,16
SOSR313,12633,13306,4029,960,6433,5792,1341,3100,14463,1313,11141,77278,5622,129783,535,527,190,23,359,285,65,142,487,73,427,3743,211,5966,972,389,325,84,466,477,118,255,557,135,524,2160,150,4740,268,91,72,45,128,167,26,68,134,28,141,880,35,1572,113,42,54,20,94,77,13,23,58,12,83,453,11,801,9,12,7,0,9,13,4,0,11,3,22,208,4,257,120,119,34,6,137,50,20,13,73,14,144,2229,112,2891,11,17,5,3,24,8,3,8,7,6,23,669,18,771,32,21,11,0,61,24,5,8,21,8,30,1024,27,1208,86,70,32,3,49,30,9,23,78,4,76,742,24,1057,130,130,49,8,67,71,11,18,132,14,128,1606,56,2211,2268,1418,777,190,1384,1205,274,565,1561,290,1601,13715,640,21476,288,132,69,56,154,141,28,78,147,35,118,631,9691,10998,15186,14862,4875,1210,7970,7140,1638,3736,16171,1645,12860,91623,15953,162262,4379,7042,1433,28
SOSR314,13034,12816,4091,1065,6605,5886,1355,3033,13692,1336,11054,76318,5486,127972,648,529,250,43,342,300,77,159,508,74,475,3843,287,6278,1035,485,370,91,476,547,110,303,637,112,717,2760,189,5773,300,96,94,39,142,165,29,82,138,42,223,1001,66,1884,322,57,83,70,216,175,40,48,126,32,169,795,49,1589,16,17,3,3,21,8,0,5,31,0,26,228,16,330,134,135,53,8,152,53,20,18,85,11,139,2160,87,2814,21,30,6,0,22,15,0,0,29,0,51,1477,24,1644,48,44,16,0,79,31,10,4,31,10,49,1632,55,1915,94,68,39,12,52,38,10,27,94,12,103,773,30,1156,129,98,44,6,66,69,16,35,107,11,136,1230,26,1740,2740,1555,954,272,1571,1406,305,684,1793,309,2086,15889,836,25109,336,168,86,29,161,171,44,91,169,35,135,808,12401,14027,16107,14530,5128,1373,8342,7462,1703,3811,15658,1679,13280,93016,18720,167109,4643,6861,1461,28
