SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR101,376426,235551,295935,275178,207110,147542,79017,31108,8214,1656074,34874,34569,40866,45697,50317,59114,53790,30731,10392,360359,1417,3078,4937,6436,10111,17273,22691,16873,6762,89578,75,222,582,1230,3010,7434,12525,12101,5847,43025,36369,37871,46384,53365,63435,83829,89003,59708,22998,492964,32287,23243,30459,26395,21901,17601,11612,7541,4355,175395,445085,296670,372776,354942,292439,248972,179630,98353,35570,2324431,366088,211513,291407,272693,209595,151887,88559,34869,11033,1637641,23656,41493,51779,50685,55486,61576,59393,37313,16928,398302,1057,5842,9094,9518,13761,20289,24540,20090,11163,115350,42,351,1041,2257,5065,9536,13327,13599,9484,54703,24752,47683,61912,62456,74312,91406,97263,71005,37573,568362,30203,20041,27550,24425,20172,16758,12339,8842,7893,168221,421042,279236,380866,359568,304077,260048,198163,114713,56501,2374220,742513,447067,587340,547872,416702,299426,167578,65980,19249,3293716,58532,76058,92647,96380,105800,120697,113184,68044,27325,758666,2471,8923,14026,15961,23872,37565,47232,36961,17921,204931,120,577,1623,3485,8076,16968,25851,25704,15330,97736,61125,85559,108297,115822,137747,175231,186266,130708,60575,1061329,62495,43281,58010,50820,42066,34361,23951,16382,12252,343614
SOSR102,76348,47173,47082,43615,40649,32427,19893,8246,2141,317568,11007,10708,11147,11910,13670,16729,16762,10129,3284,105352,740,1315,1818,2281,3531,6074,8326,6454,2319,32856,36,101,213,469,1245,3048,5398,5418,2305,18223,11782,12123,13176,14659,18439,25849,30485,21999,7909,156431,7767,5683,5144,4944,5179,4544,3412,2275,1329,40271,95893,64971,65404,63218,64262,62818,53798,32519,11378,514266,73919,40841,42967,42720,39977,33549,22040,9517,3195,308718,8175,14004,15209,14775,15816,18267,18903,12339,5616,123107,566,2604,3666,3807,5379,7542,9389,7654,4047,44649,24,182,500,1012,2316,4461,6300,6187,3961,24943,8767,16788,19378,19595,23507,30261,34590,26182,13623,192697,7212,4957,4721,4504,4511,4424,3820,3047,2301,39493,89901,62582,67067,66817,67991,68238,60452,38742,19113,540905,150268,88011,90046,86334,80622,65976,41933,17769,5334,626287,19186,24715,26358,26687,29485,34995,35666,22468,8905,228461,1305,3918,5481,6094,8901,13615,17715,14108,6364,77502,59,277,716,1483,3558,7512,11694,11603,6269,43167,20546,28906,32555,34260,41950,56112,65077,48186,21534,349123,14985,10636,9868,9448,9683,8974,7236,5313,3628,79761
SOSR111,14961,8148,8602,7700,6594,5241,3390,1363,317,56319,2345,1945,2373,2494,2605,2869,2989,1628,469,19713,195,257,439,499,751,1161,1531,1037,349,6219,11,14,69,119,279,612,1099,946,399,3551,2552,2213,2880,3113,3635,4647,5617,3607,1212,29480,1761,1039,1111,1026,935,819,573,378,206,7853,19271,11401,12602,11839,11161,10713,9580,5351,1737,93659,15001,7104,8106,7519,6669,5588,3846,1564,461,55856,1835,2717,3248,3009,3031,3206,3302,2201,883,23428,149,601,874,860,1083,1484,1797,1262,651,8766,15,37,131,265,538,936,1215,1119,644,4898,1997,3357,4249,4132,4658,5624,6310,4585,2177,37090,1650,954,976,978,838,816,642,535,332,7733,18651,11407,13334,12628,12167,12026,10801,6687,2981,100680,29961,15254,16710,15217,13264,10829,7237,2921,781,112173,4175,4662,5620,5500,5638,6080,6286,3831,1352,43145,347,854,1315,1366,1835,2643,3330,2299,1001,14988,30,50,197,384,812,1546,2313,2061,1044,8451,4547,5573,7133,7249,8291,10271,11929,8195,3397,66576,3413,1989,2090,2001,1777,1634,1212,922,537,15586
SOSR112,37685,21128,22275,18859,17148,14412,9943,4476,1261,147180,6182,5374,5723,5593,6388,7937,8390,5189,1711,52493,468,807,1073,1293,1833,3091,4475,3392,1282,17706,26,73,164,318,744,1764,3105,2843,1212,10246,6677,6257,6961,7207,8963,12797,15966,11422,4202,80445,5042,3777,4221,3575,3277,2587,1944,1350,664,26443,49406,31162,33457,29638,29387,29795,27849,17249,6127,254071,37461,18591,21327,18495,17284,15308,11395,5398,1772,147025,4676,7025,7735,7030,7537,9007,9634,6696,3095,62432,389,1527,2078,2080,2704,3919,4978,3997,2150,23827,26,117,340,643,1386,2585,3403,3256,2130,13883,5086,8669,10158,9754,11626,15509,18020,13946,7371,100141,4910,3065,2860,2610,2537,2344,2058,1641,1137,23152,47458,30323,34351,30854,31444,33159,31469,20989,10278,270318,75147,39715,43605,37348,34425,29722,21335,9880,3033,294205,10858,12399,13461,12626,13922,16943,18024,11882,4808,114922,855,2333,3153,3375,4536,7012,9453,7387,3432,41539,53,195,510,958,2129,4350,6505,6098,3338,24130,11761,14928,17117,16958,20587,28303,33983,25369,11579,180587,9945,6844,7081,6180,5811,4932,4003,2995,1801,49593
SOSR113,15755,8623,8792,7955,7754,7082,5318,2318,572,64169,2590,2178,2256,2424,2880,3989,4577,2757,788,24435,218,311,386,519,836,1608,2280,1670,599,8425,6,27,56,131,377,908,1635,1421,619,5185,2817,2522,2699,3073,4084,6510,8491,5849,2006,38045,2341,1557,1678,1527,1437,1294,1095,674,287,11889,20915,12697,13168,12557,13273,14884,14900,8843,2868,114105,15551,7163,8520,7830,7518,7597,5815,2578,813,63376,1976,2620,3090,3035,3429,4277,4837,3295,1479,28035,157,541,773,911,1282,1907,2538,1959,1040,11116,5,45,123,307,721,1274,1715,1554,1037,6781,2138,3206,3988,4259,5432,7459,9091,6808,3547,45930,2167,1202,1301,1196,1211,1163,1109,867,630,10851,19853,11569,13814,13279,14165,16213,16020,10253,4991,120152,31312,15781,17310,15783,15272,14674,11134,4899,1379,127545,4565,4796,5350,5457,6305,8267,9410,6054,2265,52468,377,847,1160,1433,2115,3515,4821,3631,1640,19542,12,77,178,439,1096,2183,3348,2979,1647,11962,4950,5723,6694,7329,9516,13965,17586,12657,5555,83970,4507,2759,2979,2724,2648,2459,2208,1549,917,22740
SOSR114,18925,9777,10114,9015,8510,7629,5636,2626,671,72899,2838,2245,2345,2606,3120,4187,4831,3116,1022,26328,241,303,386,537,853,1634,2532,1888,722,9111,13,28,54,110,352,873,1714,1633,702,5477,3096,2580,2789,3259,4324,6692,9079,6645,2447,40910,2579,1497,1569,1520,1455,1353,1229,814,394,12406,24598,13848,14476,13787,14292,15678,15942,10077,3513,126221,18771,8702,9749,9118,8683,8221,6297,3091,982,73614,2126,2910,3361,3252,3507,4522,5256,3808,1705,30435,174,557,854,1014,1231,1939,2698,2225,1162,11854,13,52,117,262,571,1274,1815,1714,1101,6924,2308,3515,4332,4527,5305,7734,9772,7756,3970,49221,2543,1375,1477,1380,1270,1366,1202,1051,683,12342,23624,13594,15561,15020,15260,17322,17270,11893,5633,135174,37694,18476,19865,18128,17193,15854,11933,5710,1656,146514,4965,5165,5705,5863,6625,8702,10087,6920,2727,56766,414,857,1245,1545,2082,3571,5234,4116,1891,20959,20,81,170,378,922,2148,3528,3351,1802,12402,5404,6102,7118,7785,9635,14428,18851,14395,6417,90134,5124,2867,3047,2900,2724,2720,2426,1864,1076,24747
SOSR115,25521,13142,12997,12305,12523,11841,9351,3909,874,102453,3963,2932,2967,3531,4258,6506,7916,4506,1321,37898,255,378,468,706,1185,2505,4059,2861,920,13335,9,26,90,187,478,1418,2686,2317,908,8120,4228,3337,3518,4424,5918,10425,14657,9688,3151,59351,3826,2210,2149,2155,2233,2312,2078,1296,532,18788,33576,18690,18668,18881,20666,24580,26088,14889,4552,180592,25190,11240,12514,12368,12541,12967,9790,4090,1222,101918,2925,3631,4194,4452,5054,6935,8256,5068,2188,42699,219,714,1050,1192,1751,3024,4027,3178,1578,16733,7,54,166,351,875,1827,2707,2448,1440,9884,3148,4398,5413,5994,7679,11794,14994,10691,5204,69314,3437,1839,1873,2024,1990,2144,2034,1473,879,17685,31770,17487,19796,20385,22209,26907,26813,16251,7304,188916,50708,24386,25510,24669,25060,24807,19144,7999,2094,204376,6884,6561,7160,7986,9314,13445,16169,9576,3502,80596,470,1092,1521,1899,2933,5534,8084,6044,2496,30070,16,84,255,538,1356,3246,5393,4760,2354,17999,7376,7735,8932,10419,13600,22217,29651,20376,8351,128666,7262,4051,4026,4172,4216,4454,4109,2760,1412,36468
SOSR121,7209,3692,3192,3451,3873,3649,2700,942,202,28908,1063,799,722,935,1318,1955,2154,1086,245,10278,84,112,120,187,328,732,1032,648,154,3396,3,6,28,40,107,348,689,514,160,1899,1142,921,874,1166,1750,3035,3882,2246,558,15576,904,509,470,513,570,626,603,298,119,4627,9263,5123,4535,5125,6199,7321,7184,3482,879,49118,6998,3143,3040,3449,3813,3817,2669,848,227,28000,845,949,1055,1186,1496,1989,2062,1094,350,11018,67,184,249,314,542,810,1024,633,223,4042,0,16,46,102,219,486,623,483,220,2205,912,1151,1353,1603,2253,3286,3714,2211,800,17265,903,510,414,499,526,584,534,313,171,4465,8815,4800,4811,5549,6590,7684,6915,3368,1199,49733,14206,6838,6233,6895,7684,7466,5371,1791,423,56912,1901,1746,1779,2120,2810,3942,4218,2177,599,21297,149,295,372,507,862,1542,2059,1279,380,7440,7,25,73,145,329,835,1309,1000,381,4103,2058,2065,2227,2768,4004,6322,7592,4453,1353,32844,1818,1020,885,1017,1097,1214,1137,614,294,9092
SOSR122,3366,1709,1554,1598,1877,2018,1368,494,91,14079,431,388,372,455,658,1096,1164,601,123,5292,30,41,64,92,180,413,559,317,77,1783,0,3,13,30,83,264,417,281,97,1188,465,437,449,575,920,1774,2138,1202,289,8257,488,339,297,304,394,448,369,198,49,2878,4323,2483,2300,2489,3188,4241,3877,1895,427,25218,3164,1478,1483,1535,1819,1968,1308,434,105,13285,344,438,473,574,722,1072,1052,557,170,5395,16,84,138,153,289,491,550,317,107,2145,0,3,28,42,149,299,374,241,128,1259,364,528,631,769,1154,1865,1974,1118,397,8796,474,290,261,282,356,385,365,160,78,2656,3997,2295,2372,2585,3328,4223,3645,1710,575,24744,6531,3191,3037,3139,3697,3989,2673,923,191,27368,776,830,844,1027,1378,2171,2215,1159,291,10685,46,130,202,249,465,907,1109,637,178,3924,0,4,41,69,227,570,789,520,217,2446,826,962,1082,1346,2071,3645,4111,2317,683,17060,961,631,558,589,752,833,736,359,127,5539
SOSR131,41564,24534,17609,20435,26195,25903,16742,5583,927,179499,5099,4125,3608,4914,7865,11726,12122,5619,1182,56256,295,418,510,836,1742,3908,5472,3002,766,16962,25,24,49,213,619,1791,3134,2306,647,8806,5414,4573,4177,5963,10226,17421,20724,10924,2593,82024,5644,4137,3857,4202,4856,5400,4058,1968,481,34606,52626,33245,25644,30595,41279,48733,41527,18477,4005,296123,39536,20332,16388,20376,25532,24388,14807,4831,903,167092,3668,4824,4594,5921,8641,11358,10328,4738,1285,55357,198,745,994,1411,2472,4262,4601,2543,830,18068,4,58,130,371,981,2081,2541,1683,680,8530,3874,5622,5722,7703,12092,17702,17469,8971,2800,81953,5289,3170,2729,3464,4262,4494,3484,1692,512,29106,48701,29127,24836,31539,41886,46587,35755,15494,4215,278147,81106,44866,33997,40809,51731,50294,31545,10414,1831,346587,8762,8949,8202,10835,16504,23088,22448,10359,2467,111613,499,1165,1509,2245,4220,8171,10075,5546,1603,35026,30,85,186,581,1601,3869,5673,3993,1327,17337,9289,10200,9895,13664,22322,35129,38194,19893,5395,163979,10930,7302,6588,7670,9114,9902,7544,3664,999,63710
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,332,298,549,403,317,286,211,47,3,2443,36,100,168,154,165,184,159,43,9,1008,7,18,17,43,53,86,89,30,3,343,0,0,5,9,29,74,52,17,3,203,44,123,191,206,244,348,303,88,12,1552,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,276,284,470,269,247,261,144,31,7,1986,50,143,154,127,122,155,96,21,4,870,5,47,53,43,56,79,50,19,8,347,0,5,15,19,36,55,44,12,4,196,57,192,223,186,204,284,190,56,16,1408,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,610,587,1016,670,557,546,356,76,7,4427,89,244,317,279,285,344,254,66,12,1883,9,67,72,88,99,159,139,48,5,690,0,4,21,33,68,124,102,33,10,394,97,311,408,394,453,632,494,148,27,2966,555,462,763,794,661,469,210,54,14,3980
SOSR201,355911,226407,283802,256664,195799,137037,74814,30338,8255,1569025,35469,37173,49432,51907,53791,58232,52784,31434,10820,381043,1731,3670,6860,8138,11268,17561,22883,17829,7289,97228,101,250,731,1439,3436,7736,13090,13317,6901,46994,37304,41095,57015,61486,68493,83526,88761,62587,25003,525268,29333,21585,28779,23900,20655,16099,10762,6992,3390,161494,422549,289091,369594,342049,284946,236664,174337,99909,36647,2255791,346915,200901,271453,252722,198276,141176,83789,34332,10966,1540528,24210,47078,64034,58840,60602,63237,60691,39522,17754,435971,1275,7692,13052,12469,16420,22104,26869,22244,12675,134794,62,411,1402,2548,5712,10293,15053,15720,11657,62862,25546,55184,78485,73857,82738,95624,102610,77485,42092,633627,27696,19023,25687,22057,19278,15663,12101,8303,5790,155596,400163,275116,375628,348635,300286,252467,198500,120121,58840,2329751,702824,427310,555252,509388,394075,278211,158602,64672,19220,3109557,59682,84257,113466,110751,114392,121465,113472,70959,28575,817017,3006,11360,19909,20602,27688,39662,49755,40076,19972,232026,165,666,2128,3990,9147,18024,28139,29038,18553,109857,62857,96281,135507,135344,151225,179152,191371,140073,67096,1158893,57030,40617,54467,45951,39935,31762,22863,15296,9177,317085
SOSR203,28238,17348,19927,15476,13292,10310,6661,2723,763,114743,4370,4280,5127,4775,4823,5460,5539,3150,1040,38563,327,559,933,988,1331,2011,2682,1912,791,11533,13,48,107,240,523,1118,1802,1646,788,6284,4714,4881,6169,6009,6678,8588,10024,6702,2610,56377,2999,2196,2195,1724,1834,1616,1182,732,372,14846,35947,24428,28291,23205,21800,20512,17873,10157,3752,185970,27798,15293,17795,15419,13460,11294,7547,3231,1138,112975,3243,5744,6977,6015,5778,6215,6436,4002,1901,46312,227,1247,1929,1756,2080,2714,3360,2440,1328,17089,4,91,254,468,972,1701,2215,2010,1385,9104,3482,7075,9161,8243,8827,10631,12016,8455,4609,72502,2900,1991,2018,1763,1695,1507,1319,943,651,14786,34178,24358,28973,25426,23981,23437,20876,12629,6406,200267,56039,32639,37723,30900,26748,21610,14211,5951,1900,227717,7614,10017,12100,10795,10604,11671,11970,7149,2941,84872,556,1804,2861,2744,3409,4724,6043,4354,2120,28618,25,139,365,707,1493,2819,4020,3653,2169,15384,8195,11959,15329,14247,15505,19221,22038,15160,7225,128881,5896,4183,4212,3486,3524,3126,2506,1672,1027,29636
SOSR211,10621,5165,6231,5666,3720,2431,1451,477,103,35862,1388,1045,1433,1520,1393,1368,1347,568,138,10196,120,180,229,323,418,565,733,394,97,3058,8,8,39,88,153,348,569,391,115,1716,1514,1232,1696,1937,1965,2275,2647,1356,350,14975,1391,726,782,735,587,455,295,150,41,5168,13526,7128,8713,8335,6266,5168,4391,1982,487,56005,10793,4300,6241,5313,3364,2482,1578,528,158,34753,1106,1373,1837,1734,1587,1533,1520,693,220,11601,101,298,558,568,657,758,806,478,161,4378,3,13,89,191,331,543,677,387,167,2395,1204,1687,2485,2499,2572,2829,2993,1558,547,18374,1369,639,795,733,542,409,333,163,73,5049,13370,6625,9515,8546,6478,5722,4900,2255,780,58179,21415,9465,12468,10979,7082,4917,3026,1007,259,70620,2495,2416,3267,3260,2977,2903,2868,1260,358,21792,216,482,788,893,1075,1323,1534,875,252,7438,15,27,126,278,481,884,1243,777,281,4116,2721,2923,4181,4436,4536,5107,5643,2911,895,33350,2760,1366,1576,1469,1126,860,631,321,112,10219
SOSR212,20612,10856,11928,11033,9878,7774,4909,1822,480,79286,2971,2455,2898,3063,3344,3842,4102,2179,679,25526,205,314,458,572,897,1407,1911,1370,458,7585,3,31,73,119,317,688,1309,1190,505,4238,3180,2800,3430,3753,4552,5937,7324,4738,1640,37353,2387,1463,1433,1411,1408,1213,953,643,332,11236,26178,15121,16783,16199,15841,14923,13180,7207,2451,127879,19912,9535,11482,11143,10069,8332,5543,2122,715,78856,2210,3036,3922,3773,3925,4383,4558,2749,1203,29763,172,620,989,1030,1331,1852,2288,1643,845,10769,4,46,157,301,597,1134,1514,1327,832,5908,2394,3703,5065,5102,5857,7368,8362,5717,2875,46447,2278,1291,1398,1412,1294,1240,1070,771,593,11355,24581,14524,17952,17655,17225,16943,14981,8611,4177,136657,40525,20395,23410,22179,19949,16101,10449,3945,1190,158144,5179,5494,6815,6834,7266,8222,8664,4926,1878,55289,379,932,1448,1597,2226,3260,4194,3013,1307,18357,10,75,233,417,911,1827,2824,2515,1337,10148,5571,6506,8496,8854,10411,13304,15684,10452,4517,83796,4663,2751,2829,2825,2705,2455,2023,1425,924,22595
SOSR213,18357,9749,10547,9216,8475,7238,5158,2160,576,71476,2828,2323,2697,2861,3186,3909,4283,2624,828,25540,233,348,450,604,894,1480,2125,1644,569,8351,7,21,69,157,348,816,1428,1329,579,4756,3062,2695,3218,3621,4426,6209,7838,5599,1984,38646,2267,1336,1530,1345,1315,1139,1046,659,333,10964,23684,13778,15291,14183,14217,14588,14037,8420,2897,121091,18143,8275,9954,9154,8605,7731,5669,2498,831,70861,1973,2926,3755,3601,3747,4385,4728,3299,1456,29873,176,611,1010,1065,1439,1883,2518,1913,970,11583,6,62,135,323,698,1189,1645,1489,980,6532,2155,3598,4904,4989,5891,7455,8895,6702,3400,47991,2101,1128,1231,1217,1171,1106,1088,856,584,10474,22395,12995,16087,15359,15658,16290,15650,10056,4820,129324,36502,18023,20502,18369,17080,14965,10827,4659,1410,142338,4799,5241,6458,6463,6934,8297,9010,5925,2283,55417,405,960,1465,1668,2336,3359,4645,3555,1543,19929,10,84,201,482,1049,2007,3077,2821,1557,11290,5215,6290,8124,8608,10316,13665,16735,12306,5384,86636,4363,2466,2754,2556,2479,2244,2129,1514,923,21440
SOSR214,9257,5145,5325,4694,4800,4556,3782,1625,436,39611,1423,1285,1331,1475,1676,2361,3127,1896,617,15191,110,174,273,314,499,986,1541,1233,428,5556,3,12,37,73,202,507,1005,1062,431,3335,1539,1471,1636,1858,2384,3853,5671,4192,1474,24081,1196,649,666,681,709,799,783,586,265,6338,11985,7263,7627,7239,7895,9208,10239,6397,2180,70033,9156,4188,4912,4722,4827,4876,4231,1825,642,39380,979,1513,1853,1811,2113,2762,3550,2231,1021,17822,64,319,457,544,804,1245,1735,1384,716,7271,4,18,74,185,387,766,1149,1051,693,4332,1050,1851,2383,2543,3302,4776,6433,4668,2426,29418,1137,565,626,650,662,771,834,665,455,6362,11343,6604,7917,7912,8788,10424,11496,7159,3524,75164,18407,9333,10238,9417,9627,9436,8012,3445,1080,78993,2404,2797,3179,3278,3787,5123,6674,4124,1640,33011,175,489,725,861,1307,2230,3276,2620,1142,12825,9,31,111,260,587,1276,2152,2117,1122,7667,2587,3322,4017,4405,5682,8626,12108,8860,3898,53498,2336,1213,1285,1336,1374,1569,1618,1251,724,12706
SOSR215,16168,7867,8332,7977,8005,7649,5599,2203,588,64369,2320,1811,2177,2341,2804,3813,4552,2534,770,23119,146,229,364,449,761,1367,2232,1586,524,7658,11,20,52,124,283,817,1444,1330,516,4592,2478,2057,2594,2916,3842,5994,8239,5444,1809,35363,1956,1138,1071,1182,1212,1307,1189,711,318,10088,20600,11058,11998,12071,13059,14946,15028,8357,2708,109821,15555,6620,7802,8019,7839,7851,5786,2460,771,62710,1748,2149,2838,2910,3298,4298,4719,2947,1362,26256,139,412,721,844,1128,1839,2380,1753,963,10184,10,34,110,188,520,1116,1597,1337,836,5747,1901,2596,3674,3944,4942,7245,8697,6036,3162,42192,1860,953,1026,1070,1244,1206,1251,826,513,9958,19315,10172,12503,13034,14035,16302,15740,9321,4441,114859,31724,14489,16133,15993,15841,15502,11387,4658,1356,127076,4067,3954,5015,5252,6097,8104,9279,5477,2134,49372,290,642,1085,1290,1887,3208,4613,3334,1484,17842,18,54,166,314,801,1930,3042,2667,1355,10346,4377,4647,6267,6854,8788,13238,16933,11480,4974,77555,3816,2095,2097,2256,2459,2508,2445,1541,831,20045
SOSR221,4219,2074,2064,2130,2282,2444,1760,618,127,17711,622,405,490,647,825,1238,1480,736,183,6622,44,72,57,135,248,463,689,417,128,2247,4,11,14,41,80,252,488,331,116,1335,670,478,566,821,1156,1956,2658,1481,429,10211,466,278,230,298,362,428,413,215,104,2792,5358,2825,2858,3249,3797,4832,4826,2311,653,30711,4154,1724,1927,2112,2253,2374,1705,587,177,17005,436,553,681,715,967,1329,1294,751,304,7031,33,99,178,225,358,552,701,388,194,2724,0,7,21,65,137,335,415,304,168,1460,461,662,888,1005,1468,2214,2416,1442,664,11219,461,250,199,321,309,403,368,214,159,2689,5079,2636,3016,3431,4032,4990,4478,2240,1002,30906,8369,3792,3990,4241,4536,4818,3462,1202,304,34713,1056,953,1177,1360,1797,2570,2774,1486,485,13655,73,169,240,358,609,1013,1387,803,325,4975,6,14,41,105,218,585,906,639,281,2791,1133,1139,1451,1823,2626,4171,5068,2921,1092,21426,932,525,435,613,671,832,778,429,262,5480
SOSR222,2131,1108,1106,1172,1333,1366,899,328,66,9522,340,225,289,295,458,683,759,369,80,3500,21,38,52,73,127,266,366,172,59,1178,0,3,3,15,46,154,265,139,51,682,361,264,342,385,629,1104,1396,684,191,5357,288,212,187,181,234,292,233,108,34,1773,2789,1580,1640,1736,2200,2760,2525,1122,298,16656,2152,967,1052,1082,1249,1364,812,296,72,9053,225,294,343,462,498,677,663,367,122,3648,18,69,79,129,179,326,324,196,65,1386,0,4,10,26,83,184,213,128,100,746,239,368,437,619,759,1184,1200,691,282,5778,262,185,142,170,208,252,176,117,55,1570,2649,1522,1631,1872,2212,2803,2187,1106,414,16396,4284,2079,2159,2258,2580,2730,1709,627,142,18575,564,522,631,755,951,1357,1423,738,205,7140,42,106,127,204,310,592,695,368,125,2562,0,9,19,44,125,341,477,269,150,1428,605,635,775,1005,1391,2292,2595,1370,476,11139,557,394,334,346,442,544,407,226,93,3343
