SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SOSR511,3,0,0,0,0,0,3,46,0,0,0,0,8,4,7,8,4,0,0,0,0,0,0,43,4,5,20,26,65,13,79,100,0,3,4,3,0,0,6,326,24,168,62,13,0,0,5,21,0,0,0,0,0,0,15,325,0,0,3,0,0,7,22,13,0,3,0,4,5,3,0,63,0,0,0,0,3,4,36,27,3,0,9,17,3,0,5,116,0,0,0,7,9,11,11,4,0,0,0,0,3,0,0,45,0,8,13,20,22,21,32,39,7,15,20,8,0,0,6,194,0,0,0,0,0,0,19,15,9,10,4,3,0,0,0,62,3,118,32,14,36,20,25,9,0,4,0,0,0,0,8,275,3,8,71,221,406,295,627,381,15,43,25,27,25,14,102,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,15,39,9,10,6,7,5,3,0,92
SOSR512,5,6,3,0,4,0,0,60,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,16,4,9,28,36,48,14,60,91,4,3,0,5,0,0,8,319,29,110,78,24,4,5,14,32,0,3,4,5,0,0,17,328,0,0,3,4,5,15,19,12,0,0,0,4,0,0,0,65,0,0,0,0,11,0,24,29,11,5,4,4,0,0,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,20,25,20,18,38,20,5,10,14,4,0,0,18,219,0,0,0,0,0,0,13,19,12,11,7,6,11,0,0,73,24,203,37,24,37,15,26,23,0,0,5,4,0,0,14,410,6,15,133,367,573,541,1043,643,50,71,86,78,21,27,135,3776,0,4,4,7,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,32,50,3,9,0,6,5,6,5,125
SOSR513,0,0,5,0,0,0,0,22,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,5,3,5,12,34,10,74,100,3,0,0,11,0,0,3,270,5,11,14,4,4,7,7,30,4,6,0,8,4,0,4,102,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,48,0,0,0,0,0,5,14,11,0,0,3,4,5,5,0,48,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8,0,3,8,14,19,9,36,21,4,3,8,3,3,0,4,137,0,0,0,0,0,0,8,9,13,0,5,7,5,0,0,43,0,41,13,10,9,9,18,7,5,5,4,3,9,0,3,127,0,6,51,205,381,330,749,589,42,32,57,62,47,25,87,2651,0,0,5,3,0,8,6,0,0,0,0,0,0,0,0,31,0,0,4,0,5,7,15,26,0,0,4,0,0,0,0,63
SOSR514,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,22,21,7,21,24,0,0,0,9,0,0,3,127,4,27,8,0,0,0,13,34,3,9,8,8,5,0,9,129,0,0,0,0,0,7,6,14,4,0,0,5,0,0,0,34,0,0,0,0,0,0,11,15,3,0,5,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,4,7,3,5,6,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,4,38,4,9,3,3,3,7,0,0,0,0,3,0,5,86,0,0,38,92,137,103,163,98,4,12,3,18,11,5,25,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,21
SOSR515,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,34,30,21,54,86,0,8,6,3,0,0,8,287,24,104,85,14,3,0,9,21,7,0,3,7,6,0,34,323,6,0,0,0,3,11,11,3,0,0,5,3,0,3,0,50,0,0,0,0,0,0,10,11,0,0,5,4,0,0,9,47,0,0,4,0,0,0,0,0,0,0,4,7,0,0,4,13,6,3,20,28,27,15,39,12,9,11,16,14,3,0,4,205,0,0,0,0,0,0,4,0,0,0,6,8,0,0,0,26,8,137,42,23,25,11,33,13,0,0,5,3,0,0,13,310,10,19,98,347,498,444,708,369,42,54,34,63,22,18,148,2862,4,13,0,0,5,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,6,6,15,3,5,6,7,5,0,0,54
SOSR521,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,13,9,8,7,28,35,0,0,3,5,4,0,5,115,6,33,19,5,0,0,4,9,0,0,0,4,0,0,9,91,0,0,0,5,0,0,4,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,6,10,5,10,5,0,0,3,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,47,21,14,3,8,17,5,0,0,0,0,0,0,4,123,3,3,40,138,239,190,195,125,13,12,5,11,8,9,61,1059,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,13,11,11,14,0,0,0,3,0,0,0,57,5,9,10,0,0,0,0,8,0,0,0,0,0,0,0,29,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,4,0,3,0,0,0,0,0,3,15,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,13,4,30,9,3,13,3,4,3,0,0,3,0,0,0,0,73,0,0,18,62,123,76,93,57,15,7,4,7,3,3,31,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR531,0,0,0,0,0,0,40,70,0,0,0,0,0,10,8,0,0,0,0,0,0,0,15,35,0,15,59,54,89,51,101,81,5,5,8,20,10,0,16,511,52,267,178,17,14,7,25,46,4,5,10,28,10,0,23,690,0,0,0,4,6,18,23,12,0,4,3,3,5,0,3,94,0,0,0,4,4,9,17,9,0,0,0,6,3,0,5,58,0,0,4,10,0,0,0,0,0,0,0,0,0,0,16,27,5,7,28,44,57,17,41,30,16,25,27,21,0,0,33,356,0,0,0,0,0,4,8,3,0,3,0,0,0,0,3,18,35,246,66,46,77,43,78,19,7,7,6,9,3,0,22,657,10,15,186,618,963,689,823,432,51,48,44,83,15,32,305,4309,0,5,0,3,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,3,5,3,15,0,3,6,0,0,4,9,58
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,7,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,9,0,0,3,31,0,5,0,0,3,0,0,6,0,0,3,11,3,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,21,0,0,7,24,39,25,42,34,5,5,6,0,4,9,51,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR603,35,40,12,18,12,0,0,255,0,0,0,0,0,6,10,20,10,5,0,6,0,0,0,65,4,19,46,43,69,26,53,25,8,3,5,9,0,0,5,314,18,178,105,24,11,13,22,33,8,0,9,8,0,0,18,450,0,3,4,12,14,44,89,59,6,4,8,17,7,0,10,277,0,0,0,11,58,41,120,96,37,31,26,30,10,0,18,481,0,0,6,14,7,0,3,5,8,3,0,4,0,0,3,69,0,19,34,54,64,51,153,187,70,61,50,42,21,0,8,823,0,0,0,0,0,11,384,1447,633,668,484,279,63,4,77,4050,34,301,64,50,53,25,36,17,3,7,3,6,3,0,19,606,15,31,121,283,339,237,299,117,22,20,17,24,20,23,44,1604,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,4,4,59,398,67,45,92,95,25,0,18,808
SOSR611,42,32,4,21,6,0,0,235,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,9,5,8,6,26,12,4,18,16,3,0,0,5,0,0,8,104,0,70,32,3,3,0,3,5,3,3,3,4,4,0,9,143,0,0,0,5,0,8,13,9,3,0,0,3,3,0,0,51,0,0,4,3,13,16,30,33,0,5,8,7,3,0,3,114,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0,11,0,5,15,16,16,12,54,74,40,37,30,26,15,0,4,339,0,0,0,0,0,0,136,419,226,269,191,96,15,4,22,1384,16,176,29,21,24,13,9,0,0,0,4,0,0,0,7,312,0,15,52,82,133,110,119,56,6,0,0,5,5,4,17,607,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,30,139,24,33,49,54,16,4,3,356
SOSR612,0,4,0,4,3,0,0,15,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,17,3,9,5,5,5,0,0,7,0,0,0,0,0,0,0,34,0,8,12,0,3,0,5,0,0,0,0,4,3,0,0,42,0,0,0,0,0,0,7,0,0,0,5,3,3,0,0,18,0,0,0,0,0,0,11,10,3,0,4,6,0,0,0,33,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,4,3,8,5,14,14,5,0,3,8,0,0,0,65,0,0,0,0,0,0,12,52,42,72,43,17,3,0,7,247,7,72,26,13,4,0,3,3,0,0,0,0,0,0,0,125,4,5,35,70,68,74,48,20,0,0,4,0,7,0,15,353,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,30,6,10,8,7,3,0,0,59
SOSR613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,5,13,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,0,11,3,0,0,0,24,7,74,17,0,7,0,5,0,0,0,0,0,0,0,0,114,5,6,9,16,17,14,3,17,0,0,0,4,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
SOSR614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,9,4,4,3,6,0,0,0,24,4,22,17,3,6,3,6,0,0,0,0,0,0,0,4,57,0,0,19,29,47,34,19,3,11,0,0,3,8,0,4,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
SOSR615,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,13,0,7,11,9,13,9,4,4,0,0,0,0,0,0,3,61,0,32,12,0,4,5,4,0,0,0,0,4,0,0,5,71,0,0,0,0,3,3,6,6,0,5,0,3,0,0,0,35,0,0,0,0,0,4,14,6,0,8,0,0,4,0,0,42,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,0,3,10,8,9,8,17,8,6,0,0,0,0,0,0,65,0,0,0,0,0,0,16,63,29,56,37,26,0,0,8,239,24,156,37,39,29,15,7,5,0,0,0,0,0,0,21,334,3,3,50,163,194,95,106,44,5,10,10,11,5,0,42,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,8,12,7,11,0,0,0,91
SOSR621,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,7,3,3,3,0,0,0,0,0,0,0,19,3,9,4,0,3,0,3,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,12,0,0,0,4,3,3,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,11,30,0,7,0,0,0,80,7,48,21,6,7,7,0,0,0,0,4,0,0,0,0,106,0,0,28,67,64,43,34,10,4,0,0,0,0,0,16,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,14,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,14,4,15,5,9,5,4,6,0,0,0,0,0,0,0,0,39,0,0,4,27,29,15,10,7,0,0,0,0,0,0,21,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12
SOSR631,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,22,39,29,17,19,11,0,0,3,3,3,0,4,162,6,33,26,7,0,3,5,8,3,3,3,0,0,0,9,109,0,0,0,0,9,15,25,9,5,0,7,3,0,0,0,71,0,0,0,0,12,7,21,13,0,3,0,0,0,0,5,63,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,16,16,11,12,14,8,0,6,6,0,0,0,0,97,0,0,0,0,0,0,9,47,23,31,25,11,3,0,4,155,30,144,57,38,43,38,52,10,7,0,8,6,0,0,8,428,13,9,123,296,349,283,217,83,9,9,8,20,6,6,58,1488,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,62,10,12,3,18,15,3,0,126
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,9,3,3,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SOSR703,3,0,7,6,0,0,9,87,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,5,26,18,25,24,130,204,22,18,19,44,18,0,8,565,3,50,69,37,5,14,32,66,10,16,14,14,3,0,16,338,0,0,3,7,13,21,36,51,3,10,0,12,0,5,4,164,0,0,0,3,13,24,104,72,19,16,11,6,0,3,10,283,0,0,0,4,0,5,13,13,0,0,0,0,0,0,0,41,6,7,38,84,131,42,90,79,33,36,22,28,6,0,5,609,0,0,0,0,3,8,304,633,407,446,365,258,78,0,38,2538,10,54,23,18,18,10,20,11,7,7,0,4,0,0,6,188,3,12,107,352,401,305,347,289,36,45,38,34,13,19,91,2104,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,17,11,93,216,38,58,58,67,26,0,5,596
SOSR712,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,11,6,24,17,0,0,0,0,0,0,3,74,0,15,12,10,0,5,8,10,0,3,4,3,0,0,6,64,0,0,0,0,0,3,9,0,0,0,0,9,0,0,0,36,0,0,0,0,0,0,15,15,6,5,3,0,0,0,0,42,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,5,5,3,3,4,3,0,5,0,0,0,41,0,0,0,0,0,0,39,44,41,41,25,19,3,0,0,213,0,10,3,10,10,0,6,6,0,0,0,0,4,0,0,43,0,8,8,77,92,91,143,208,34,11,49,39,14,14,27,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,4,4,3,0,0,5,66
SOSR714,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,13,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,45,32,26,16,6,3,0,8,156,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,9,15,14,14,10,16,3,0,0,3,4,0,6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,11
SOSR715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,6,0,0,0,0,0,0,22,0,0,0,0,0,0,7,12,0,4,6,9,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,5,16,27,31,40,42,0,4,9,8,5,0,9,192,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SOSR721,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,10,5,3,5,0,0,0,0,25,0,5,3,0,4,0,0,0,3,0,0,0,0,0,0,13,0,0,0,17,21,22,42,17,3,0,3,4,6,3,3,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,23,12,12,16,9,0,0,0,0,3,0,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR731,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,10,4,0,8,8,0,0,3,5,4,0,3,63,0,3,17,10,0,0,6,0,0,0,0,14,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,6,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,7,7,0,6,0,3,0,3,0,0,7,55,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,11,4,17,22,0,6,3,7,4,0,0,4,0,0,0,7,71,0,6,36,119,112,74,75,43,6,0,4,5,0,3,22,513,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
