SOSR_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,7,0,3,5,0,0,17,0,0,3,29,16,29,15,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,3,19,0,5,3,0,0,32,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,5,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,10,4,5,3,0,0,28,0,0,0,8,0,0,0,0,0,7,0,0,0,30,0,0,0,0,0,34,0,0,0,6,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,16,5,0,0,0,0,30
SOSR201,0,4,30,204,282,1020,2706,2026,761,7038,10,58,352,1941,727,1132,936,465,247,5859,5,211,871,2956,833,466,269,123,50,5793,25,169,2105,5489,226,144,63,16,0,8237,11,107,168,603,386,491,1425,1287,676,5155,442,3272,4906,15344,5955,4707,2608,979,330,38549,4,49,129,1544,1389,2037,2328,1113,389,8990,195,1600,1305,6721,850,434,288,59,16,11477,5,19,54,290,378,206,84,12,7,1049,119,1274,2814,14577,5712,4764,2931,773,220,33188,3,28,76,1505,880,1300,1843,881,790,7300,7,177,424,952,745,599,259,76,28,3261,17,144,333,1639,1134,1789,1864,1477,713,9104,84,889,1328,3306,1387,1050,789,232,66,9139,83,619,1152,4366,2818,1842,1398,680,269,13231,98,1158,2535,12987,4911,4202,3084,1439,588,31001,34,157,309,3425,649,459,413,45,10,5514,73,614,1284,6553,1749,764,295,76,19,11427,26,164,222,2060,2290,1961,1213,600,156,8686,297,1140,1259,4136,1264,962,720,251,49,10066
SOSR203,0,0,0,9,0,15,48,24,8,102,0,6,8,46,12,14,3,6,0,89,0,15,66,357,124,68,45,16,4,691,0,5,63,240,3,0,0,0,0,313,0,13,10,33,22,47,304,258,116,798,21,85,136,600,307,321,209,86,26,1783,0,0,0,34,39,72,102,60,29,336,8,43,73,200,14,7,3,3,0,359,0,0,7,28,47,17,3,0,0,105,6,78,132,825,275,217,148,41,4,1733,0,0,0,54,30,37,57,36,40,250,0,0,0,13,0,3,4,5,0,29,0,20,13,94,76,150,195,197,60,806,0,15,31,59,33,30,32,3,0,193,10,38,73,200,100,69,54,36,7,582,9,35,67,307,59,32,38,12,7,561,0,0,4,100,9,6,0,3,0,122,6,192,265,328,91,55,13,0,0,950,0,0,4,21,17,9,15,13,0,78,9,41,69,211,66,61,48,17,0,529
SOSR211,0,3,9,30,27,56,146,66,11,344,0,6,5,39,11,10,5,0,0,69,5,7,42,171,26,11,6,4,0,277,0,11,21,79,6,0,0,0,0,116,0,0,0,9,3,15,45,34,7,114,27,246,200,433,166,132,79,22,4,1312,0,0,5,23,24,26,29,7,0,111,13,52,36,230,14,13,7,0,0,365,0,0,0,9,9,5,3,0,0,19,7,85,166,602,224,141,91,15,8,1335,0,0,0,15,8,19,26,3,11,84,0,43,62,107,65,28,24,10,0,332,0,0,3,24,14,50,56,39,16,205,0,7,7,24,11,8,7,0,0,59,0,5,17,44,18,24,4,3,6,110,5,15,20,140,43,9,17,3,0,269,3,5,0,25,5,4,4,0,0,45,0,18,32,93,44,9,9,0,0,207,0,0,7,20,18,8,6,7,0,56,0,12,15,42,13,10,6,0,0,104
SOSR212,0,0,4,12,13,45,94,33,12,216,0,0,5,21,3,8,0,0,0,41,0,3,0,23,0,3,4,0,0,38,0,4,31,98,3,0,0,0,0,142,0,3,10,32,34,28,178,127,64,475,5,96,123,494,302,246,175,65,12,1525,0,0,3,13,4,9,15,11,3,58,0,42,23,103,10,4,5,0,0,195,0,3,4,12,28,21,8,0,0,74,10,75,81,551,209,177,107,22,0,1233,0,0,0,23,21,15,27,10,11,108,3,10,12,32,23,13,3,0,0,99,0,9,16,74,64,120,141,129,34,582,6,3,11,34,24,11,5,5,4,89,4,31,46,146,102,46,34,15,3,439,4,33,16,170,64,31,18,12,5,355,0,3,9,184,8,4,4,0,0,221,6,11,24,193,72,40,15,0,0,365,0,6,4,41,66,66,39,17,4,230,11,30,31,132,47,45,42,9,0,338
SOSR213,0,0,0,9,7,38,101,79,10,240,0,0,5,34,13,19,4,4,0,92,0,0,6,50,7,7,6,0,0,80,0,8,15,93,4,0,0,0,0,126,0,0,3,27,26,59,241,186,74,615,7,64,99,355,246,228,197,74,24,1291,0,0,0,6,6,11,6,10,0,41,5,27,9,70,12,9,3,5,0,136,0,0,3,15,23,11,7,5,0,66,11,59,97,575,215,195,134,29,3,1327,0,0,0,30,10,30,32,15,11,127,0,4,6,19,6,5,3,3,0,43,0,6,10,41,46,116,191,156,48,622,3,11,7,33,16,22,6,0,0,102,3,31,46,119,73,65,36,24,7,404,0,12,12,141,34,18,25,6,3,255,0,6,9,155,6,0,3,0,0,179,8,18,32,154,57,28,7,0,0,318,0,7,4,9,11,9,3,0,0,38,5,18,22,95,43,31,55,21,5,285
SOSR214,0,0,0,4,3,16,51,40,13,124,0,0,6,10,3,11,15,0,0,42,0,0,0,12,6,0,7,0,0,18,0,3,6,62,0,0,0,0,0,70,0,0,8,12,13,32,153,108,43,375,3,33,57,221,153,188,140,65,14,869,0,0,0,11,8,6,3,0,0,27,3,7,7,21,0,0,0,0,0,40,0,0,0,13,13,4,13,3,0,41,0,20,44,234,93,99,61,6,4,567,0,0,5,15,7,10,11,7,12,67,0,0,9,15,4,0,0,0,0,31,0,0,3,29,25,68,94,86,19,327,0,4,0,8,17,9,5,0,0,48,0,7,19,49,25,35,29,14,3,186,0,8,8,41,12,5,11,7,0,96,0,0,0,105,0,0,0,0,0,107,0,11,16,86,49,18,12,0,0,189,0,0,0,4,3,3,5,0,0,13,4,9,9,48,28,28,42,9,3,179
SOSR215,0,0,4,8,3,23,50,22,4,110,0,0,6,20,10,12,8,7,3,61,0,5,4,42,12,8,4,0,0,69,0,0,12,57,4,0,0,0,0,72,0,3,4,24,42,57,202,152,60,551,3,42,71,343,264,298,224,85,20,1353,0,0,0,6,0,7,4,3,0,24,0,6,5,22,7,5,0,0,0,37,0,0,0,11,19,13,13,0,0,53,0,28,48,287,144,109,80,22,4,733,0,0,3,19,10,9,23,5,6,78,0,0,0,10,3,3,8,0,0,14,0,5,11,37,43,110,131,104,38,475,0,3,0,14,14,11,10,4,0,59,0,8,26,80,52,52,46,14,4,279,0,0,11,70,13,15,18,3,6,135,0,0,3,57,5,3,0,0,0,63,0,24,27,138,66,33,10,3,0,302,0,0,0,14,12,6,0,0,0,33,4,9,18,85,37,55,78,9,0,305
SOSR221,0,0,0,0,0,5,14,10,3,39,0,0,0,3,0,4,7,0,0,21,0,0,0,3,0,0,3,0,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,3,7,14,53,35,6,128,0,4,16,65,62,90,86,27,0,354,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,0,0,12,3,4,0,0,17,0,10,4,55,29,37,28,0,0,168,0,0,0,4,3,8,7,3,9,28,0,0,0,0,0,0,0,0,0,3,0,0,0,12,18,30,47,27,4,149,0,0,0,3,6,4,0,0,0,16,0,3,0,23,21,24,11,9,0,94,0,0,0,13,5,6,7,4,3,38,0,0,0,13,0,0,0,0,0,13,0,3,10,34,17,11,3,0,0,78,0,0,0,0,0,0,0,0,0,3,0,8,9,16,20,21,21,0,0,96
SOSR222,0,0,0,0,0,0,5,6,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,11,0,0,0,8,0,10,31,19,5,69,0,4,0,44,33,49,33,9,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,0,11,12,55,25,19,7,0,0,136,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,20,22,12,12,68,0,0,0,5,3,0,0,0,0,4,0,0,0,11,10,5,9,0,0,40,0,0,0,6,0,4,0,0,0,10,0,0,0,19,0,0,0,0,0,15,0,0,5,18,12,3,0,0,0,43,0,0,0,0,0,3,0,0,0,8,0,3,0,13,10,6,9,5,0,42
SOSR231,0,0,0,15,19,71,142,54,15,318,0,0,5,15,7,32,12,5,4,69,0,0,0,13,0,6,5,0,0,22,0,0,0,7,0,0,0,0,0,9,0,0,10,85,97,150,352,173,46,914,11,95,140,545,570,601,350,107,13,2431,0,0,0,6,10,35,35,7,3,100,0,0,0,17,0,10,3,0,0,42,0,0,3,10,43,29,8,0,0,90,6,63,53,412,161,152,92,17,0,959,0,0,4,31,27,19,34,14,9,151,0,0,3,20,7,5,0,0,0,32,0,8,12,84,89,224,213,104,21,753,0,4,15,22,32,22,9,0,0,110,7,25,53,184,148,114,59,15,0,602,0,0,0,37,18,30,24,16,0,135,0,0,14,107,7,13,3,0,0,152,3,18,33,249,90,46,14,3,0,466,0,0,0,11,25,19,7,11,0,74,8,25,33,137,102,124,138,35,4,604
