SOSR_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,36744,4662,788,222,42412,729,206,932,43348,1954,85,45380,60846,10175,1220,408,72646,635,204,838,73481,1890,141,75514,20875,2626,2248,182,25924,208,55,259,26177,518,38,26737,1018,142,30,865,2054,20,11,31,2082,107,182,2369,119482,17600,4280,1675,143036,1589,466,2052,145092,4471,446,150003,1818,333,36,43,2227,188,30,219,2445,170,4,2620,2935,578,79,89,3686,218,85,307,3990,176,22,4180,4751,908,118,130,5908,410,117,526,6430,343,22,6796,124233,18513,4394,1808,148943,1998,582,2579,151525,4807,469,156800,45381,10108,1786,1487,58763,2017,456,2467,61232,8185,327,69742,390,105,12,575,1088,18,0,21,1107,84,906,2096,170006,28726,6199,3871,208795,4029,1033,5066,213863,13068,1706,228635,54585,6893,931,257,62661,1011,311,1321,63986,3040,116,67132,69069,11001,1106,500,81681,872,227,1101,82778,2590,117,85480,5239,853,714,72,6879,76,27,98,6977,283,19,7276,704,110,22,897,1737,39,10,44,1781,120,164,2063,129595,18866,2779,1722,152958,1994,568,2559
SOSR203,1930,352,54,12,2351,29,13,40,2391,151,0,2539,6259,904,135,34,7333,46,19,65,7399,168,15,7592,1908,258,238,22,2428,21,0,23,2447,37,0,2488,75,5,7,57,142,5,0,0,149,9,12,168,10169,1524,432,120,12250,99,39,137,12386,373,31,12784,51,16,5,0,69,4,0,4,74,9,0,84,194,41,3,6,245,21,3,22,271,7,0,277,243,56,7,5,314,25,3,29,349,16,0,359,10411,1583,438,128,12569,123,40,165,12734,386,31,13149,3217,571,124,56,3972,90,21,112,4083,446,10,4541,18,0,0,12,27,0,0,0,27,3,40,77,13647,2159,569,195,16568,214,65,280,16844,838,84,17772,3266,542,54,16,3871,46,14,55,3932,192,3,4129,6892,899,136,31,7953,52,17,72,8023,193,5,8225,478,54,69,7,601,3,0,3,607,12,0,619,53,4,0,42,99,6,0,6,100,11,10,123,10685,1491,258,98,12529,109,33,133
SOSR211,914,117,26,5,1061,23,8,33,1094,64,3,1166,1555,271,39,14,1880,27,9,34,1913,76,4,1999,439,67,70,3,582,7,0,7,585,26,3,611,51,6,0,28,88,0,0,0,88,11,18,107,2958,465,129,56,3607,55,14,72,3675,174,23,3874,65,18,0,0,89,13,0,13,101,11,0,112,117,23,10,3,152,4,3,12,161,4,0,171,181,43,10,8,239,22,3,25,261,10,0,279,3143,505,140,63,3842,80,19,98,3943,189,28,4160,1752,421,69,73,2313,85,24,102,2412,330,12,2760,22,5,0,34,56,0,0,0,56,5,33,96,4909,933,204,165,6217,158,43,201,6412,523,71,7009,1245,151,32,13,1445,28,12,38,1482,79,3,1562,1562,284,40,13,1896,27,8,33,1929,98,5,2036,136,15,14,5,170,3,0,3,176,13,0,189,31,6,0,27,66,0,0,0,66,5,15,89,2970,457,88,59,3573,56,18,75
SOSR212,1469,242,29,8,1748,24,12,35,1779,111,8,1896,4247,570,84,17,4920,31,15,44,4967,106,13,5083,1280,178,141,12,1613,9,0,9,1622,28,3,1646,54,4,5,29,87,0,0,0,87,10,13,108,7043,989,257,72,8365,61,29,88,8455,246,29,8733,34,0,0,0,40,11,0,11,51,9,0,59,139,22,0,4,161,6,0,6,170,20,0,183,174,18,0,6,201,15,5,18,217,22,0,242,7218,1005,261,79,8565,79,31,110,8671,273,29,8976,2264,366,99,68,2791,63,34,100,2891,389,12,3293,22,9,0,21,49,0,0,0,49,4,34,90,9502,1378,361,164,11403,147,65,211,11614,658,83,12355,2574,417,68,14,3064,37,17,52,3123,170,7,3293,4861,615,97,34,5604,37,13,50,5654,116,8,5777,341,51,73,9,479,4,0,4,479,16,0,496,46,4,3,63,108,0,0,0,108,6,13,133,7818,1084,239,121,9254,79,30,108
SOSR213,1285,197,34,3,1522,16,5,23,1540,77,5,1630,3938,512,83,43,4574,27,14,41,4616,131,5,4746,1142,126,117,5,1391,14,3,18,1405,38,0,1446,45,3,0,33,80,0,0,0,83,0,12,97,6412,840,229,84,7572,62,21,81,7649,251,17,7919,39,7,0,0,45,7,0,7,51,4,0,58,94,19,3,7,119,8,0,7,132,5,0,131,133,24,3,7,162,19,0,21,179,7,0,189,6538,866,234,86,7735,80,15,100,7834,252,18,8109,2231,347,91,80,2745,109,18,125,2876,295,8,3177,25,3,0,8,38,0,0,0,38,5,29,72,8804,1219,327,179,10522,193,34,226,10744,550,58,11351,2002,298,36,12,2349,30,16,42,2393,140,7,2533,4203,550,98,46,4902,39,17,52,4956,167,6,5123,331,42,33,4,412,0,0,3,415,9,0,430,47,7,0,32,82,0,0,0,86,8,16,101,6584,896,171,96,7741,72,31,97
SOSR214,586,103,13,5,700,10,3,12,717,39,0,762,1896,304,34,18,2259,7,3,15,2271,54,0,2330,590,95,64,7,755,4,0,8,760,26,0,785,34,4,0,18,57,0,0,0,64,0,3,68,3101,508,116,51,3775,28,14,34,3811,125,10,3944,11,6,0,0,17,0,0,0,17,5,0,23,48,11,3,0,62,0,0,4,64,4,0,72,60,16,3,4,82,0,0,4,84,3,0,87,3160,527,123,55,3856,26,14,40,3901,127,7,4032,1058,189,63,39,1344,35,9,42,1386,162,5,1551,5,0,0,4,14,0,0,0,14,0,26,39,4222,714,179,101,5211,60,19,82,5294,293,43,5627,990,183,38,11,1224,7,3,12,1233,62,3,1293,2004,340,50,17,2405,17,8,19,2429,85,6,2522,193,39,40,8,285,0,0,0,285,5,0,287,31,3,0,29,70,0,0,0,68,3,0,70,3216,569,133,60,3975,25,6,33
SOSR215,996,137,43,11,1191,19,5,26,1213,58,0,1277,3361,404,77,29,3868,21,4,29,3894,100,3,3994,1059,138,115,14,1326,7,0,9,1331,13,0,1342,66,4,7,52,126,0,0,0,128,8,9,138,5479,681,240,98,6499,47,13,60,6562,180,7,6749,17,6,0,0,28,9,0,9,37,0,0,36,88,6,4,4,104,5,0,4,110,3,0,115,115,12,3,4,135,12,0,15,144,3,0,154,5590,698,245,107,6632,61,15,70,6709,182,7,6904,1974,273,83,57,2393,31,15,41,2437,202,4,2643,16,4,3,7,29,0,0,0,28,0,29,60,7583,971,328,170,9055,93,23,117,9173,389,41,9603,1863,247,64,19,2194,29,6,32,2228,104,0,2328,3901,508,80,33,4531,33,18,52,4584,132,5,4721,309,54,51,8,419,3,0,3,422,13,0,428,42,4,0,46,92,0,0,0,98,5,3,100,6115,813,202,99,7235,59,28,88
SOSR221,211,45,10,3,266,0,0,0,270,21,0,296,914,144,18,8,1090,0,3,4,1092,23,0,1114,271,43,42,0,360,4,0,4,359,10,0,372,13,5,3,16,39,0,0,0,39,0,0,40,1410,229,77,33,1750,8,3,12,1759,56,0,1816,0,6,0,0,3,0,0,0,6,0,5,12,17,4,0,0,21,0,0,0,21,0,0,20,18,5,0,0,26,0,0,0,29,0,5,32,1427,237,77,33,1774,8,3,12,1787,59,6,1851,456,66,22,31,584,20,6,24,605,58,0,671,3,0,0,3,7,0,0,0,7,0,3,10,1892,307,97,63,2362,31,5,35,2400,114,11,2529,433,93,9,8,549,9,0,9,555,28,0,583,1039,154,24,12,1226,5,0,11,1234,36,3,1276,93,14,23,0,131,0,0,0,131,3,0,132,17,4,0,18,44,0,0,0,44,0,5,51,1583,266,57,38,1949,13,0,19
SOSR222,120,20,6,0,145,0,0,0,151,9,0,160,403,56,12,0,462,3,3,7,475,9,0,481,129,18,9,0,156,0,0,0,154,0,0,155,7,0,0,5,16,0,0,0,16,0,0,19,656,87,24,8,776,3,4,8,785,27,0,815,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,11,0,0,0,15,0,0,0,15,0,0,15,673,87,25,8,790,3,4,8,799,27,0,826,237,44,16,11,301,9,6,15,315,31,5,345,0,0,0,0,9,0,0,0,9,0,0,7,908,128,37,20,1104,15,7,20,1120,55,6,1187,219,32,5,5,260,4,0,4,262,25,0,295,513,75,15,6,608,0,0,0,605,15,0,622,46,15,6,0,69,0,0,0,69,6,0,67,8,0,0,10,25,0,0,0,25,0,0,23,787,123,27,26,957,4,0,3
SOSR231,2075,215,53,14,2349,14,0,15,2366,112,0,2479,6034,674,93,66,6870,14,5,21,6889,123,8,7019,1515,181,176,41,1912,3,0,3,1915,42,5,1966,96,21,0,74,197,0,0,0,196,3,12,216,9724,1087,319,196,11327,34,8,42,11369,284,25,11678,20,6,0,0,26,3,0,3,31,0,0,39,89,19,0,0,105,0,0,0,112,0,0,113,108,21,4,0,137,3,0,7,144,3,0,149,9837,1109,324,197,11465,40,10,45,11514,288,25,11827,2882,371,112,117,3489,61,12,70,3558,326,11,3898,30,6,3,11,46,0,0,0,46,5,65,114,12749,1486,436,326,15002,94,20,117,15120,615,99,15839,4199,444,83,25,4759,30,13,38,4795,243,14,5052,8107,902,159,65,9233,33,9,46,9273,244,9,9528,523,93,78,12,710,0,0,0,710,39,0,746,100,20,4,132,258,3,0,3,264,12,16,287,12934,1460,321,238,14955,64,27,87
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,18845,2520,622,93,22079,318,101,419,22501,1168,45,23712,28199,4751,847,205,34002,284,120,400,34403,956,52,35412,11083,1580,1457,79,14195,102,38,141,14335,378,17,14736,422,77,10,395,907,10,4,11,921,74,78,1070,58545,8927,2936,778,71182,714,259,974,72155,2582,192,74925,734,164,24,20,940,105,17,116,1065,61,0,1124,1325,267,47,40,1673,99,34,139,1814,77,3,1893,2059,430,70,62,2620,200,51,253,2871,140,10,3014,60606,9357,3008,835,73805,917,311,1230,75029,2721,201,77947,19831,4064,1136,619,25647,961,214,1176,26827,3062,108,29992,137,36,11,220,402,9,0,9,410,23,319,755,80571,13461,4142,1680,99851,1885,530,2412,102264,5807,626,108698,29138,3648,816,142,33742,528,132,662,34403,1715,60,36169,32284,5116,775,216,38401,404,93,498,38902,1294,52,40248,4199,691,573,56,5517,50,10,59,5578,222,8,5802,292,45,7,346,693,11,5,17,711,67,82,862,65914,9502,2178,762,78355,990,245,1236
SOSR302,5118,813,217,51,6202,96,28,123,6325,346,11,6678,10564,2040,390,97,13093,102,44,150,13247,409,25,13676,3472,576,548,53,4646,50,10,64,4709,143,4,4856,182,24,8,140,341,0,4,0,349,14,36,400,19330,3452,1163,335,24285,248,91,334,24621,917,77,25611,162,27,6,10,206,23,0,23,227,11,0,238,431,91,31,12,559,35,11,45,605,31,0,636,592,116,36,23,765,58,11,70,831,41,0,874,19923,3569,1198,356,25047,308,98,406,25456,960,80,26488,6135,1326,430,202,8099,219,66,278,8377,794,34,9204,56,7,0,79,138,4,0,5,142,0,151,292,26108,4907,1624,638,33283,524,168,686,33972,1750,259,35980,8535,1290,294,56,10176,133,54,186,10360,593,17,10972,12412,2460,414,106,15395,157,51,208,15600,511,22,16137,1510,299,232,16,2057,20,5,22,2088,100,0,2187,166,17,11,167,360,8,0,8,369,23,43,430,22621,4071,956,352,27996,313,106,425
SOSR303,2946,420,62,28,3462,33,17,54,3515,199,11,3722,4788,799,122,39,5750,55,20,70,5823,196,4,6022,1469,230,197,15,1909,23,7,22,1931,48,0,1984,53,14,0,59,122,0,0,0,126,10,7,143,9256,1464,381,139,11240,114,39,149,11391,453,19,11865,77,18,0,0,100,12,4,17,117,24,0,136,173,43,3,4,226,12,12,26,248,5,3,260,249,60,4,9,320,24,14,41,364,30,3,400,9503,1523,383,141,11562,141,52,192,11752,488,25,12264,3051,724,167,113,4052,136,52,185,4243,624,22,4891,11,8,0,10,31,0,0,0,31,5,61,99,12567,2254,555,269,15653,276,100,379,16031,1118,109,17253,4707,626,103,34,5471,71,24,94,5563,294,14,5865,5451,961,148,38,6598,57,21,76,6673,301,4,6976,346,80,63,0,490,15,0,16,508,32,0,543,50,4,0,56,114,5,0,5,113,11,10,131,10556,1677,310,132,12667,143,48,191
SOSR311,1406,177,36,22,1636,22,6,23,1662,83,0,1745,2638,354,76,38,3104,30,21,42,3144,94,3,3244,768,73,118,8,962,3,4,3,971,14,0,984,41,8,0,37,85,5,0,4,95,4,12,103,4850,611,230,100,5787,51,28,79,5865,198,12,6075,43,6,0,0,50,4,0,8,52,8,0,61,80,19,3,9,111,9,4,14,130,3,0,129,130,24,3,9,156,20,3,20,181,7,0,192,4975,635,233,105,5950,71,28,99,6048,204,12,6271,1881,289,99,76,2339,84,18,102,2439,295,7,2741,12,0,0,17,27,0,0,0,27,0,28,60,6870,919,326,201,8318,156,50,204,8522,502,51,9070,2460,288,47,16,2807,25,8,40,2845,147,9,3002,3193,386,95,33,3708,52,17,66,3773,136,8,3919,199,26,37,6,269,0,0,0,269,9,0,282,24,0,0,38,70,3,0,3,75,5,12,85,5882,696,189,90,6858,83,26,108
SOSR312,393,68,13,9,483,6,0,7,492,26,0,524,886,111,31,5,1032,17,3,24,1056,45,0,1097,244,25,39,8,310,0,0,0,309,6,0,317,13,0,0,7,27,0,0,0,24,3,0,30,1531,204,83,25,1847,25,5,35,1880,82,3,1968,16,3,0,0,20,12,0,12,28,0,0,28,38,16,3,0,58,0,0,0,60,0,0,63,55,20,3,0,76,13,0,13,86,0,0,87,1593,223,85,25,1920,34,5,45,1968,82,3,2056,787,143,44,19,995,43,15,60,1048,156,5,1212,8,0,0,5,11,3,0,3,12,0,18,31,2383,368,128,52,2927,82,21,103,3036,241,23,3296,677,80,23,0,779,14,5,21,800,36,0,837,1112,168,50,11,1334,25,8,31,1367,66,0,1428,135,20,28,4,185,0,0,0,194,13,0,202,7,9,0,14,28,0,0,0,26,4,0,35,1927,266,94,38,2327,37,17,54
SOSR313,1099,105,26,3,1236,21,6,20,1259,74,0,1338,2076,242,58,11,2384,17,8,29,2412,78,0,2487,607,68,109,0,782,0,0,0,787,10,0,796,29,5,5,30,70,3,0,3,75,3,8,82,3811,423,200,47,4483,41,12,50,4533,165,10,4706,29,7,0,0,37,7,0,7,44,7,0,45,85,6,0,4,97,0,0,4,98,11,0,112,109,11,0,7,127,11,0,11,140,13,0,155,3925,435,195,53,4610,46,10,64,4672,179,11,4857,1728,240,72,46,2088,74,13,85,2176,203,13,2389,7,3,0,6,13,0,0,0,13,3,37,54,5652,678,277,110,6711,122,32,148,6864,388,58,7309,1837,144,42,13,2037,28,4,29,2063,107,12,2177,2405,298,70,32,2804,21,12,31,2831,109,7,2947,194,27,33,0,255,3,0,3,253,5,0,263,33,5,0,39,73,0,0,0,73,10,12,91,4458,473,143,85,5159,51,16,67
SOSR314,1091,113,26,5,1239,14,4,18,1256,56,4,1323,2022,238,73,24,2354,27,3,27,2385,65,3,2454,572,83,95,4,751,7,0,7,757,19,0,775,32,6,0,49,87,0,0,0,89,4,12,102,3726,432,196,82,4434,44,8,50,4487,145,18,4651,25,7,0,0,34,10,0,10,39,4,0,45,97,11,0,4,111,5,5,8,119,8,0,124,123,10,4,3,145,17,5,21,165,8,0,174,3844,445,199,86,4579,61,9,71,4646,156,18,4823,1588,185,110,77,1957,70,13,87,2044,222,10,2276,6,0,0,14,22,0,0,0,22,5,43,66,5444,632,312,171,6566,131,24,152,6721,381,72,7170,1807,173,65,23,2066,20,4,25,2090,104,4,2195,2415,296,68,37,2813,33,4,34,2843,86,0,2933,253,42,43,0,337,0,0,0,337,26,0,358,21,5,0,52,81,0,0,3,84,7,12,102,4499,519,171,109,5292,53,5,60
SOSR315,1420,152,38,7,1615,26,9,29,1646,123,0,1771,2678,322,81,31,3107,27,12,38,3143,109,7,3261,826,134,121,6,1090,10,0,10,1099,42,3,1135,59,4,6,39,104,0,0,0,104,5,10,119,4983,608,243,86,5910,60,20,78,5987,274,19,6286,23,7,3,6,40,12,0,12,55,3,0,56,104,13,3,4,119,6,3,8,133,3,0,138,122,18,3,9,157,22,3,23,180,11,0,193,5107,622,246,96,6070,81,25,101,6174,288,19,6483,2029,351,140,112,2633,109,26,138,2765,556,11,3336,17,4,7,15,31,0,0,0,35,6,38,83,7144,977,389,216,8728,188,50,239,8974,855,72,9900,2416,286,68,17,2791,40,13,55,2844,171,10,3014,3197,465,117,41,3815,40,10,48,3868,150,3,4021,306,66,57,6,432,8,0,8,434,31,0,467,34,0,0,63,102,0,0,0,99,11,4,118,5955,814,238,135,7141,84,27,107
SOSR321,490,51,12,3,560,8,0,8,565,45,4,612,892,145,25,20,1077,12,3,15,1092,47,6,1146,219,43,41,6,308,0,0,0,309,6,0,318,19,0,0,24,49,0,0,0,46,0,0,50,1614,240,76,55,1987,20,3,23,2011,110,11,2126,6,4,0,0,11,19,0,19,28,8,0,40,25,6,0,0,30,7,5,13,45,10,0,54,31,8,0,0,38,24,5,31,70,20,0,90,1647,252,76,55,2035,46,5,54,2086,129,11,2219,665,115,29,29,839,41,8,45,889,191,6,1089,9,0,0,6,17,0,0,0,17,0,28,45,2324,367,109,89,2887,84,9,103,2985,319,40,3343,959,116,24,14,1108,8,9,17,1122,61,0,1186,1181,193,31,13,1421,13,9,21,1447,69,0,1515,105,25,23,0,150,0,0,0,155,9,0,161,23,5,0,21,51,0,0,0,52,4,0,57,2264,334,79,50,2735,30,16,39
