SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,9,12,10,12,0,3,3,7,0,0,0,50,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,9,16,14,3,0,0,0,0,0,6,0,55,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,8,28,3,0,0,43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,12,9,21,66,40,34,34,42,18,3,0,7,21,27,24,17,367,0,0,5,0,0,4,9,3,0,0,0,4,3,30,3,64,0,0,0,0,9,8,9,3,0,0,0,6,0,0,3,34,0,7,26,32,24,32,48,41,0,15,24,57,17,28,24,387,15,59,126,131,194,190,236,179,39,56,102,223,107,148,91,1908
SOSR201,13,28,166,1926,9215,6886,13843,9662,2425,2440,2874,3894,1286,294,842,55788,744,911,1113,1155,4873,1588,935,538,123,115,96,92,32,16,282,12616,28,87,271,913,1885,1890,5597,2758,677,708,639,605,346,126,174,16709,25,126,485,2160,4248,4135,7778,2956,741,851,762,897,370,159,250,25945,58,315,1611,2838,7645,8736,18549,10565,2286,2548,3045,3470,1291,245,845,64043,0,4,13,99,1153,1691,2006,1828,441,477,612,532,182,50,153,9241,5,6,57,314,1534,1640,4674,3307,1109,940,1007,1176,395,87,420,16690,3200,11885,29513,19714,17036,11269,25700,14833,2507,2695,2584,2740,1127,496,3459,148758,58,164,569,1409,1643,2366,4453,3439,783,952,976,1146,675,302,436,19367,5,16,141,9530,25676,15753,13950,10174,2392,2328,2224,2734,1346,323,3060,89668,3140,10985,21214,29946,36774,41866,55155,34811,10515,9961,10503,12082,4301,1195,6352,288806,13365,66230,124814,112812,177979,181385,384419,259409,65396,69540,75557,86110,31474,9311,35121,1692930
SOSR203,0,3,4,60,284,274,540,575,163,143,233,307,56,12,65,2709,37,43,55,35,116,48,10,19,3,0,0,9,0,0,11,393,0,4,13,44,46,29,103,38,7,4,18,13,17,0,4,354,3,4,30,90,112,156,343,162,23,34,38,45,45,13,26,1130,0,7,18,26,68,68,271,351,53,99,92,111,60,13,17,1259,0,0,0,0,7,17,34,62,15,20,13,16,4,0,0,194,0,0,0,16,29,57,530,414,140,113,134,85,25,5,29,1577,349,1362,2916,1559,1051,614,1440,789,126,116,126,132,63,22,362,11028,6,9,37,103,91,124,272,178,27,34,21,42,21,9,17,993,0,3,0,58,121,70,127,159,42,57,51,41,32,6,33,796,195,593,880,765,587,685,2021,1284,374,357,400,344,129,49,237,8912,1050,4604,6206,4200,4017,3750,11026,8903,2258,2353,2724,3145,1252,266,1484,57244
SOSR211,0,0,3,34,181,181,663,645,173,103,84,104,39,29,20,2257,8,3,3,16,62,19,10,5,0,0,0,0,0,0,8,145,0,0,0,9,10,9,43,22,9,0,3,0,0,0,4,110,0,3,4,11,20,30,127,30,3,5,9,0,0,0,3,231,0,4,4,7,22,52,210,164,27,27,14,15,10,10,4,579,0,0,0,0,5,11,4,17,5,0,7,4,0,0,5,58,0,0,0,3,18,18,101,68,19,9,19,23,0,0,10,294,62,312,863,426,330,114,255,122,17,19,18,14,12,11,73,2643,0,0,7,18,16,18,50,50,7,8,15,4,7,0,5,208,0,0,0,33,81,83,165,136,20,51,74,77,9,0,29,751,64,298,522,516,572,707,2272,1328,290,301,341,286,89,37,184,7805,263,1137,2036,1532,1915,2149,8382,5776,1313,1174,1182,1255,382,178,616,29301
SOSR212,0,0,12,25,220,160,340,471,125,126,130,197,78,21,43,1935,15,14,17,16,61,11,21,11,0,6,0,0,0,0,8,180,0,4,9,16,15,19,48,22,7,3,6,0,8,4,7,169,0,8,11,53,62,94,298,141,25,31,20,71,11,19,7,881,0,7,18,17,46,42,150,228,47,42,51,56,13,14,15,737,0,0,0,4,8,9,42,77,12,28,43,74,10,0,12,317,0,0,0,6,22,51,143,95,44,28,43,37,20,0,13,505,273,979,2127,1074,798,426,1067,598,89,74,90,83,25,14,279,8001,3,5,25,68,62,57,150,124,18,21,21,28,24,8,15,639,0,0,0,26,78,72,132,111,30,43,59,75,21,12,44,709,121,390,554,534,478,653,1237,813,173,131,255,431,141,45,169,6123,769,3073,4004,2773,2931,2930,7723,5843,1525,1522,1791,2236,778,257,1176,39333
SOSR213,0,5,3,43,230,180,487,358,110,96,133,173,61,23,59,1956,18,14,22,24,96,22,25,11,0,0,0,4,0,0,6,241,0,0,8,21,16,21,68,29,7,8,0,4,5,0,0,190,0,10,11,45,85,107,276,112,16,19,41,27,23,12,13,793,0,6,34,21,43,36,156,91,36,36,31,10,10,3,13,530,0,0,0,0,0,16,30,50,24,25,70,91,24,0,5,329,0,0,0,4,25,45,122,125,24,21,43,31,6,4,21,460,362,1341,2549,1265,859,438,960,433,59,60,73,45,29,9,337,8807,9,5,36,84,47,57,138,93,11,20,14,18,11,7,10,558,0,0,0,15,51,54,81,93,27,63,46,43,15,4,76,570,128,459,636,449,478,359,839,532,121,89,96,124,89,69,172,4638,920,3835,4580,2831,2914,2216,5641,3743,865,930,1109,1111,492,176,1204,32568
SOSR214,0,0,5,12,78,57,187,220,63,41,57,90,28,8,28,874,13,10,12,11,34,9,14,3,0,0,0,0,0,0,4,114,0,3,0,15,13,11,23,11,0,0,0,4,0,0,4,82,0,3,16,50,42,47,92,46,11,10,5,8,0,0,7,335,0,4,22,14,9,10,37,61,12,17,3,8,5,0,3,213,0,0,0,0,0,5,16,26,19,21,36,57,14,3,3,198,0,0,0,7,10,23,70,74,18,4,17,8,14,4,11,255,264,932,1837,861,543,240,493,219,30,29,33,32,23,16,258,5798,0,5,26,50,35,30,62,48,13,11,7,3,4,0,6,298,0,0,0,12,11,19,26,38,12,7,10,13,8,0,9,154,74,316,333,288,200,171,332,190,29,43,57,66,33,53,95,2281,596,2523,3150,1909,1609,1122,2686,1866,424,437,515,659,221,99,721,18540
SOSR215,0,0,9,23,130,95,219,216,54,62,58,77,20,11,50,1025,13,10,19,15,53,15,24,3,0,5,0,0,0,4,5,163,0,0,5,16,3,9,21,20,0,9,0,5,3,0,3,102,0,7,21,87,64,97,154,56,16,10,19,18,0,0,6,562,4,13,19,18,25,20,78,50,16,15,8,18,3,0,7,296,0,0,0,0,6,3,11,28,5,3,15,21,8,0,7,102,0,0,3,6,16,31,146,100,16,25,29,20,8,0,21,430,320,1189,2647,1474,867,460,1016,394,55,54,39,43,31,6,392,8986,9,7,44,85,51,67,135,74,14,11,13,16,19,8,10,556,0,0,0,20,50,53,96,54,5,9,16,31,24,5,34,398,109,343,425,439,387,295,558,300,77,54,72,143,36,24,155,3434,778,3095,4262,3100,2618,1929,3988,2277,530,548,576,698,272,87,1070,25833
SOSR221,0,0,0,8,38,29,38,39,5,9,6,21,7,0,17,224,5,0,3,4,17,6,0,4,0,0,0,0,0,0,0,44,0,0,0,4,3,3,3,3,0,0,0,0,0,0,0,21,0,6,14,24,27,17,45,23,0,4,0,3,3,0,6,168,0,11,14,4,7,6,7,0,0,8,0,5,0,0,0,61,0,0,0,0,0,0,4,4,0,0,0,6,0,0,0,17,0,0,0,5,6,10,29,33,6,4,4,6,3,0,0,107,91,372,823,415,299,148,246,108,16,18,15,12,5,0,120,2690,0,0,10,24,27,26,31,40,0,7,10,5,0,0,7,173,0,0,0,4,6,0,11,6,0,0,4,0,3,0,4,42,28,82,137,128,113,70,121,58,19,19,25,35,3,15,41,885,210,838,1303,886,842,539,875,505,94,115,121,144,47,23,265,6809
SOSR222,0,0,0,0,17,10,45,61,8,7,15,18,9,3,3,193,0,0,0,7,4,3,5,0,0,0,0,0,0,0,0,17,0,0,0,5,0,3,3,3,0,3,0,0,0,0,0,14,0,0,3,14,14,11,20,7,0,0,0,0,0,0,3,74,0,0,0,6,0,4,0,4,3,0,0,0,5,0,0,26,0,0,0,0,0,0,3,0,0,0,10,14,4,0,0,36,0,0,0,0,4,6,20,6,9,0,3,3,0,0,4,48,42,173,384,207,131,66,116,51,11,6,10,9,8,0,65,1285,0,0,4,10,10,16,14,17,3,0,0,7,0,0,4,95,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,12,8,52,70,71,43,46,56,38,7,9,6,24,8,4,12,450,105,406,652,444,393,259,423,275,68,56,73,121,44,17,140,3475
SOSR231,0,4,11,38,154,98,178,339,113,79,98,164,56,53,75,1454,17,27,34,26,94,30,25,8,5,0,4,0,0,0,13,283,0,5,16,33,19,12,49,22,18,0,3,3,0,6,16,200,0,12,36,136,124,181,352,99,38,29,16,41,25,13,37,1144,0,13,44,48,37,30,45,34,3,6,8,11,5,4,18,304,0,0,0,5,7,22,30,43,9,20,35,38,7,0,6,222,0,0,4,4,22,39,143,203,46,37,32,52,34,12,68,692,406,1813,4046,2315,1709,928,1611,619,104,61,66,105,41,21,696,14529,12,11,76,182,135,139,214,102,22,25,31,26,16,7,41,1038,0,0,0,36,68,54,60,24,11,8,9,20,9,7,141,453,187,686,1156,934,721,528,707,375,93,93,99,193,64,74,482,6375,1138,5530,7795,5648,5121,3655,5849,3103,749,652,725,1060,420,252,2721,44415
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
