SOSR_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,3,14,0,3,4,3,0,30,0,0,0,3,0,0,0,3,0,10,0,3,6,19,3,8,0,0,0,32,0,0,7,55,4,7,0,0,0,78,0,0,3,28,5,3,0,0,0,32,0,0,7,11,7,5,0,0,0,28,0,0,3,8,0,0,0,0,0,10,0,0,0,17,7,5,0,4,0,29,0,0,0,17,0,6,9,0,0,31,3,0,4,8,0,0,0,0,0,14,0,0,3,11,3,0,0,0,0,21,0,0,0,5,4,3,5,0,0,20,0,0,11,37,8,6,3,0,0,67,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,17,0,0,0,13,0,8,8,5,0,37,0,7,10,60,38,48,34,3,0,194,0,0,0,0,3,0,0,0,0,4
SOSR201,71,279,672,3606,2020,1865,4015,3649,1501,17681,28,426,882,2176,2497,6330,10626,15211,6228,44391,222,1576,2318,9564,3131,3692,2904,641,200,24262,2067,13575,24127,147941,20621,11977,8511,3549,1119,233490,95,573,2990,9569,2665,1192,1289,470,125,18974,87,1423,2180,11523,2765,1512,823,339,92,20740,59,2214,2920,9612,4434,3055,1567,664,176,24704,53,543,546,6609,1757,1562,1444,973,479,13975,26,344,616,4637,2377,7732,15355,15542,9611,56229,113,552,810,3771,1801,643,430,128,63,8319,88,657,1548,8248,2475,964,398,168,31,14582,105,371,704,4789,3867,3943,2741,1164,300,17972,266,2605,6566,24113,7455,6889,6142,2161,489,56679,0,16,51,397,582,2035,5235,3915,1299,13525,12,115,700,3904,1422,2181,1797,877,388,11392,19,409,1835,6006,1759,909,508,216,94,11760,45,315,4922,11964,625,262,125,27,0,18290,32,215,339,1243,856,1040,2879,2494,1194,10290,875,6818,9898,30662,12129,9349,5000,1939,542,77217,11,107,261,2995,2690,3854,4758,2202,665,17551
SOSR203,3,19,35,146,114,111,451,292,151,1319,0,5,10,18,28,48,106,128,69,417,4,47,55,107,34,34,40,4,0,333,62,366,1100,5154,408,157,150,61,15,7465,0,21,53,183,87,29,30,11,3,416,6,62,96,281,69,41,18,11,4,593,0,42,47,118,59,30,13,5,0,325,5,42,36,239,107,82,93,65,48,718,0,4,20,104,51,190,426,384,269,1453,0,19,25,109,53,20,4,4,4,246,0,21,28,192,32,18,4,6,0,305,4,4,4,35,10,33,13,9,5,124,0,69,128,456,158,147,97,32,10,1097,0,0,0,9,5,30,105,54,11,219,0,0,29,89,26,16,9,5,0,181,4,18,130,689,228,129,78,36,6,1330,0,12,118,522,15,3,0,0,0,665,3,18,18,56,46,100,557,486,200,1478,32,178,285,1121,649,612,387,165,43,3475,0,4,0,58,72,143,207,110,49,644
SOSR211,0,4,11,46,30,54,217,105,29,494,0,0,0,13,17,26,37,44,0,137,0,4,4,25,11,9,9,0,0,60,46,322,460,4583,318,204,161,43,4,6151,0,9,6,80,35,21,3,0,0,159,0,10,8,52,12,5,4,3,0,93,0,24,29,81,22,14,8,3,0,186,0,6,8,38,14,20,27,20,0,137,0,4,8,29,26,70,109,62,22,328,0,0,3,18,3,0,4,0,0,42,0,3,5,45,17,8,6,5,0,98,0,4,5,45,25,24,10,7,0,128,0,91,25,123,42,31,21,12,0,343,0,11,21,57,53,111,291,146,21,717,0,6,4,77,15,14,9,4,0,135,8,23,90,355,79,28,15,4,0,595,0,28,59,157,3,0,0,0,0,249,0,0,0,7,13,16,97,88,16,247,57,459,416,823,342,268,147,41,15,2561,0,0,6,56,42,44,67,11,4,225
SOSR212,6,11,13,139,75,82,317,160,89,886,0,10,8,21,13,45,99,125,56,373,9,18,27,106,10,27,18,3,0,212,40,264,342,2777,375,229,156,59,26,4266,9,20,22,149,54,12,18,9,5,281,0,37,48,77,18,8,4,3,0,198,4,43,52,267,104,64,24,5,0,565,3,41,31,173,94,93,90,63,19,604,0,3,12,85,53,190,467,414,251,1476,5,19,9,70,34,10,3,0,0,155,7,9,20,109,15,8,6,0,0,172,0,5,6,17,13,16,5,0,0,69,10,97,184,1067,254,125,50,10,3,1806,0,3,6,26,28,75,185,82,28,440,0,0,3,42,14,18,5,0,0,82,0,9,3,36,4,3,5,0,3,70,0,8,45,219,11,8,0,0,0,291,0,5,14,68,70,75,338,232,97,901,15,205,288,992,585,471,328,135,19,3034,0,3,3,18,13,23,29,21,6,121
SOSR213,3,10,11,84,50,86,410,296,100,1049,0,4,0,13,19,35,74,52,15,218,0,9,18,57,15,23,13,3,0,136,31,138,230,1879,192,116,83,34,14,2715,3,14,21,121,41,19,20,4,0,234,0,11,8,45,18,8,0,0,0,94,0,10,6,57,19,14,6,0,0,118,3,10,23,107,58,56,80,51,35,421,3,0,10,58,38,179,393,369,235,1287,0,8,4,39,32,9,0,0,7,112,0,3,8,56,11,0,4,0,0,88,0,0,0,26,14,10,11,4,5,64,3,39,52,311,85,82,38,12,0,634,0,0,0,12,11,76,206,149,26,488,0,5,15,67,24,30,22,9,4,186,0,5,10,105,30,10,9,0,3,170,0,14,22,209,11,4,5,0,0,258,4,0,4,40,50,114,474,416,147,1253,14,125,195,714,490,458,380,151,35,2565,0,0,0,18,9,26,15,10,0,86
SOSR214,0,10,6,70,42,79,217,152,65,643,0,0,0,9,12,40,83,80,30,260,0,4,6,32,7,10,10,0,5,63,10,80,107,993,79,65,50,27,17,1429,0,14,12,42,29,5,14,11,0,122,0,3,3,29,6,4,5,0,0,41,0,4,8,22,11,11,0,0,0,52,0,12,9,63,34,38,64,51,16,288,0,9,5,49,20,92,321,226,133,861,0,5,0,26,10,12,8,4,0,70,0,3,3,32,4,5,0,0,0,46,0,0,0,9,8,4,3,7,3,35,0,19,48,185,39,41,11,3,0,352,0,0,0,11,7,52,119,87,18,298,0,0,9,18,8,12,21,3,0,74,0,0,5,13,12,0,11,0,0,42,5,9,16,120,0,0,0,0,0,152,0,3,13,25,31,58,302,234,69,727,11,57,95,404,307,345,288,127,34,1669,0,0,0,17,8,17,12,6,0,54
SOSR215,0,6,7,109,73,125,343,235,83,985,0,0,0,7,13,41,75,39,8,186,0,0,0,30,7,9,12,0,0,66,8,50,81,748,74,62,54,37,7,1120,0,8,6,66,21,7,12,5,16,145,0,0,0,16,8,4,3,0,0,29,0,3,10,16,9,6,0,0,0,42,0,16,17,116,57,71,62,54,17,409,0,3,5,43,37,109,263,250,145,856,0,6,7,53,24,7,10,0,0,110,0,0,0,30,5,3,0,0,0,42,0,0,5,14,7,8,12,3,0,47,0,21,56,312,101,65,33,4,0,589,0,0,4,13,10,43,109,41,10,230,0,3,6,30,12,24,15,11,4,109,0,5,6,74,26,18,6,0,3,146,0,0,27,139,4,0,0,0,0,170,0,4,4,47,84,114,415,317,119,1115,10,97,153,641,521,563,430,179,29,2624,0,0,5,5,3,16,17,3,4,53
SOSR221,0,4,5,25,21,45,105,64,14,284,0,0,0,5,10,5,20,18,3,68,0,0,0,10,0,7,0,0,0,19,3,23,8,134,20,22,8,9,0,222,0,0,4,16,8,0,3,3,0,35,0,0,0,3,0,5,0,0,0,17,0,0,0,0,0,4,0,0,0,4,0,3,5,33,14,31,25,7,3,133,0,0,7,11,10,30,66,30,17,169,0,0,0,9,6,4,4,3,0,25,0,0,0,7,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,6,4,36,21,17,16,4,0,103,0,0,0,3,0,21,45,19,3,97,0,0,0,12,0,8,15,5,0,33,0,0,4,10,3,0,7,0,0,22,0,0,4,12,0,0,0,0,0,17,0,0,0,11,13,39,122,77,16,277,0,20,21,130,136,171,167,53,6,705,0,0,0,0,6,6,8,5,0,19
SOSR222,0,0,0,19,0,32,40,27,15,134,0,0,0,0,0,4,8,9,0,26,0,0,4,8,0,0,3,0,0,12,0,0,5,39,13,6,9,3,0,90,0,0,0,20,5,0,4,0,0,29,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,14,13,15,8,9,0,61,0,0,0,5,4,15,31,13,4,77,0,0,0,3,4,5,0,0,0,14,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,8,0,0,6,22,6,10,7,0,0,58,0,0,0,0,0,10,9,11,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,5,0,0,0,13,0,0,0,20,0,0,0,0,0,23,0,0,0,13,13,17,63,43,6,155,0,9,7,81,67,96,73,30,3,365,0,0,0,0,0,0,3,0,0,3
SOSR231,3,15,35,191,175,305,659,384,98,1864,0,0,0,14,27,114,190,138,71,543,0,10,15,61,21,29,16,0,0,159,0,46,93,530,139,169,100,59,6,1156,4,13,20,93,37,21,32,16,3,231,0,5,5,38,14,7,10,7,4,87,0,0,4,31,20,12,5,0,0,77,0,12,17,176,98,132,137,89,25,687,0,9,10,64,71,323,791,564,197,2039,0,5,17,52,42,25,20,8,0,154,0,5,5,41,9,4,0,0,0,73,0,0,8,64,47,53,31,8,3,224,4,33,76,490,148,129,47,12,6,939,0,0,4,27,41,165,378,154,33,802,0,0,0,26,18,53,22,5,4,127,0,0,13,31,5,10,3,0,0,68,0,0,0,24,3,0,0,0,0,34,0,8,23,163,168,295,809,465,90,2014,19,190,267,1112,1085,1245,795,224,42,4974,0,0,0,20,40,71,87,24,10,254
