SAL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10002,5,5,12,0,0,0,23,0,0,10,0,0,0,5,0,0,4,0,0,0,9,0,0,5,0,0,0,7,0,4,0,0,0,0,6,7,0,9,0,0,0,11,7,15,11,0,0,0,30,0,8,9,0,0,0,22,5,10,5,0,0,0,18,6,7,4,5,0,0,18,0,5,9,0,4,0,24,11,15,14,0,3,0,40,4,9,3,0,0,0,15,4,6,4,0,3,0,17,13,17,15,3,0,0,43,22,47,22,4,3,0,103,4,20,0,0,0,3,35,8,15,5,0,0,0,27,7,12,15,3,10,0,44,97,187,162,22,36,7,498
SAL10003,6,4,4,0,9,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,4,5,4,0,0,0,0,7,0,0,4,0,0,0,6,4,0,0,0,0,0,11,5,7,0,0,0,0,11,4,3,0,0,0,0,14,4,0,0,4,0,0,10,3,6,0,0,0,0,5,5,15,8,0,3,0,28,0,8,0,0,0,0,6,4,5,3,0,4,0,17,9,9,5,3,0,0,25,34,30,13,0,5,0,85,17,29,9,4,5,0,60,24,50,15,0,4,0,95,6,15,0,0,0,0,28,132,183,71,15,29,0,440
SAL10004,0,0,3,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,5,0,3,0,0,0,0,14,0,4,0,0,0,0,12,8,14,0,0,0,0,23,3,8,3,0,0,0,18,4,8,0,0,0,0,20,0,4,5,0,0,0,12,0,3,0,0,3,0,7,0,11,0,0,0,0,11,0,6,0,0,4,0,11,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,7,0,0,4,34,73,32,14,12,0,169
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,3,0,0,0,0,7,0,0,0,0,0,0,5,8,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,9,4,4,12,0,0,0,18,12,7,5,6,9,0,35,14,14,7,4,0,0,38,15,21,3,5,0,0,45,10,13,4,3,0,0,24,0,10,3,0,0,0,14,4,14,4,0,8,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,3,0,16,82,102,39,32,16,0,270
SAL10007,4,0,0,0,0,0,6,0,0,0,0,0,0,0,4,5,0,0,0,0,5,0,4,0,0,0,0,4,9,5,0,0,0,0,7,7,4,0,0,0,0,11,7,11,0,0,0,0,18,11,15,0,3,0,0,31,6,17,5,0,0,0,26,9,26,4,0,0,0,31,0,5,0,0,0,0,11,11,13,3,4,0,0,37,0,5,4,0,0,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,0,0,0,15,78,120,36,7,8,0,249
SAL10008,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,5,4,0,0,0,10
SAL10009,7,0,5,0,0,0,19,0,0,4,0,0,0,7,0,0,0,0,4,0,10,0,0,0,0,0,0,4,7,4,4,0,0,0,13,7,0,4,0,0,0,16,11,14,4,5,0,0,36,17,15,11,3,3,0,48,18,34,13,8,3,0,77,21,51,9,10,7,0,96,20,58,14,0,4,0,100,30,79,21,4,3,0,145,11,39,5,0,0,0,59,11,23,3,0,3,0,44,27,40,16,0,4,0,81,9,40,12,4,0,0,67,6,9,3,0,0,0,16,0,8,5,0,0,0,8,8,23,11,4,0,0,50,220,431,146,39,42,8,883
SAL10010,4,0,6,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,3,5,0,3,0,4,0,7,3,0,0,0,0,0,8,8,7,8,4,0,0,24,13,18,4,5,0,0,37,14,23,5,3,0,0,46,8,10,3,4,0,0,28,11,18,11,3,4,0,40,4,11,4,3,0,0,20,3,18,6,0,0,0,30,0,8,0,0,0,0,11,0,0,4,0,0,0,3,5,6,0,0,0,0,8,0,12,0,0,0,0,20,0,4,3,0,0,0,4,0,0,0,0,0,0,0,4,10,0,3,0,0,13,85,148,62,21,17,5,338
